,nommun,estado,eventos,inm_30km,distancia_metros,latitud,facility_count_57,facility_count_67,facility_count_77,facility_count_87,facility_count_97
281,"Copainala, Chiapas",Chiapas,7,0,350838,17.0930214,0,0,0,0,0
282,"Los Ramones, Nuevo Leon",Nuevo Leon,7,0,1656797,25.6973768,0,0,0,0,0
283,"Coyoacan, Ciudad de Mexico",Ciudad de Mexico,1,1,986724,19.349885,2,2,3,3,3
284,"Temixco, Morelos",Morelos,7,0,1249064,18.8449428,0,0,0,0,0
285,"Tocatlan, Tlaxcala",Tlaxcala,8,1,869712,19.389167,2,2,2,2,2
286,"Texistepec, Veracruz",Veracruz,7,1,437679,17.894167,2,2,2,2,2
287,"San Dionisio Ocotepec, Oaxaca",Oaxaca,7,0,649690,16.7975187,0,0,0,0,0
288,"Santiago Pinotepa Nacional, Oaxaca",Oaxaca,7,0,861180,16.3406076,0,0,0,0,0
289,"Santa Lucia del Camino, Oaxaca",Oaxaca,6,1,700156,17.0625,0,1,1,2,2
290,"Ocampo, Guanajuato",Guanajuato,6,0,1388287,21.6042823,0,0,0,0,0
291,"Nogales, Veracruz",Veracruz,6,0,715755,18.8226013,0,1,1,1,2
292,"El Mante, Tamaulipas",Tamaulipas,6,0,1294533,22.60787365,0,0,0,0,0
293,"San Jose Tenango, Oaxaca",Oaxaca,115,0,791435,18.15,0,0,0,0,0
294,"Dolores Hidalgo Cuna de la Independencia Nacional, Guanajuato",Guanajuato,,0,1263030,21.1043597,0,0,0,0,0
295,"Tezonapa, Veracruz",Veracruz,6,0,693419,18.5587309,1,1,1,1,1
296,"Guerrero, Coahuila",Coahuila,,0,1996980,28.3093253,0,0,0,0,0
297,"Colima, Colima",Colima,6,0,1905670,19.24487816,0,0,0,0,0
298,"Salamanca, Guanajuato",Guanajuato,6,0,1266055,20.571358,0,0,0,0,0
299,"Valladolid, Yucatan",Yucatan,5,0,301516,20.6902505,0,0,0,0,0
300,"Villaflores, Chiapas",Chiapas,2,0,279966,16.37550225,0,0,0,0,0
301,"San Bartolo Coyotepec, Oaxaca",Oaxaca,5,1,704897,16.9575983,0,1,1,2,2
302,"Cedral, San Luis Potosi",San Luis Potosi,5,0,1580964,23.8205361,0,0,0,0,0
303,"San Jeronimo Zacualpan, Tlaxcala",Tlaxcala,4,2,880578,19.240833,3,3,4,4,4
304,"Apan, Hidalgo",Hidalgo,5,0,946108,19.7098559,0,0,0,0,0
305,"Ahome, Sinaloa",Sinaloa,3,0,2419440,25.9240491,0,0,0,0,0
306,"Aramberri, Nuevo Leon",Nuevo Leon,4,0,1610328,24.22172555,0,0,0,0,0
307,"Emiliano Zapata, Morelos",Morelos,4,0,1250138,18.83995,0,0,0,0,0
308,"Santa Maria Atzompa, Oaxaca",Oaxaca,4,1,712776,17.1011053,0,1,1,2,3
309,"San Felipe, Baja California",Baja California,5,0,3674555,31.0269529,0,0,0,0,0
310,"San Cristobal Suchixtlahuaca, Oaxaca",Oaxaca,4,0,820446,17.7265261,0,0,0,0,0
311,"Tolcayuca, Hidalgo",Hidalgo,,1,990540,19.956667,1,1,1,1,1
312,"Nava, Coahuila",Coahuila,,0,2050991,28.4217309,0,0,0,0,0
313,"Progreso, Yucatan",Yucatan,3,0,409524,21.2822136,0,0,0,0,0
314,"Villa Aldama, Veracruz",Veracruz,3,0,841263,19.6489805,0,0,0,0,0
315,"Yajalon, Chiapas",Chiapas,,0,191112,17.1768885,0,0,0,0,0
316,"San Sebastian Tutla, Oaxaca",Oaxaca,3,1,697961,17.059722,0,1,1,2,2
317,"Jantetelco, Morelos",Morelos,3,0,1149034,18.7167516,0,0,0,0,0
318,"Soledad de Doblado, Veracruz",Veracruz,3,0,675578,19.0452067,0,0,0,0,0
319,"Cintalapa de Figueroa, Chiapas",Chiapas,520,0,304306,16.6905402,0,0,0,1,2
320,"Pueblo Viejo, Veracruz",Veracruz,484,1,1122193,22.1638426,0,0,1,1,2
321,"San Pedro Mixtepec -Dto. 22 -, Oaxaca",Oaxaca,3,0,685010,16.271111,0,0,0,0,0
322,"Nanacamilpa de Mariano Arista, Tlaxcala",Tlaxcala,2,0,927275,19.5080315,1,1,1,1,1
323,"Tecamac, Estado de Mexico",Estado de Mexico,2,0,1014762,19.7115011,1,1,2,2,2
324,"Xalatlaco, Estado de Mexico",Estado de Mexico,2,0,1233463,19.1843821,0,0,0,1,1
325,"Ocoyoacac, Estado de Mexico",Estado de Mexico,3,0,1020043,19.2587373,0,0,0,1,1
326,"Cuautitlan, Estado de Mexico",Estado de Mexico,3,0,1029069,19.6531356,2,2,3,3,3
327,"Tres Valles, Veracruz",Veracruz,2,0,612594,18.2921576,1,1,1,1,1
328,"San Agustin de las Juntas, Oaxaca",Oaxaca,2,1,708996,17.005436,0,1,1,2,2
329,"Villa de Tamazulapam del Progreso, Oaxaca",Oaxaca,2,0,832925,17.6748203,0,0,0,0,0
330,"Cunduacan, Tabasco",Tabasco,,1,254588,18.066059,1,1,1,1,1
331,"Actopan, Hidalgo",Hidalgo,2,1,1028675,20.2687373,0,0,0,0,0
332,"Paraiso, Tabasco",Tabasco,4,0,295475,18.3987331,0,0,0,0,0
333,"Tetla de la Solidaridad, Tlaxcala",Tlaxcala,2,1,880769,19.440556,2,2,2,2,2
334,"Xochitepec, Morelos",Morelos,3,0,1245664,18.7831747,0,0,0,0,0
335,"Munoz de Domingo Arenas, Tlaxcala",Tlaxcala,2,1,913950,19.474722,2,2,2,2,2
336,"Tecolutla, Veracruz",Veracruz,2,0,874434,20.41847865,0,0,0,0,0
337,"Atitalaquia, Hidalgo",Hidalgo,2,0,1026748,20.0597395,1,1,1,2,2
338,"Papalotla de Xicohtencatl, Tlaxcala",Tlaxcala,2,2,867385,19.168611,2,2,3,3,3
339,"Leon, Guanajuato",Guanajuato,3,0,1342210,21.1218598,0,0,0,0,0
340,"San Lorenzo Cacaotepec, Oaxaca",Oaxaca,2,1,716981,17.1278714,0,1,1,2,3
341,"Bahia de Banderas, Nayarit",Nayarit,2,0,2006370,20.8290434,0,0,0,0,0
342,"Perote, Veracruz",Veracruz,2,0,859696,19.51086405,0,0,0,0,0
343,"San Pablo del Monte, Tlaxcala",Tlaxcala,2,2,859174,19.12695185,1,1,2,2,2
344,"Acacoyagua, Chiapas",Chiapas,2,0,118846,15.4060577,1,1,1,1,1
345,"Ixtaczoquitlan, Veracruz",Veracruz,2,0,703359,18.85134015,0,1,1,1,2
346,"Villa Tejupam de la Union, Oaxaca",Oaxaca,2,0,822226,17.6625,0,0,0,0,0
347,"Villa de Etla, Oaxaca",Oaxaca,2,1,722218,17.2057678,0,1,1,2,3
348,"Villa de Alvarez, Colima",Colima,2,0,1907267,19.2651417,0,0,0,0,0
349,"Ixmiquilpan, Hidalgo",Hidalgo,1,0,1068213,20.481944,0,0,0,0,0
350,"Santa Maria Tonameca, Oaxaca",Oaxaca,1,1,660595,15.745833,0,0,0,0,0
351,"Tepoztlan, Morelos",Morelos,1,0,1203122,18.9914959,0,0,0,0,0
352,"Siltepec, Chiapas",Chiapas,1,0,54276,15.5561492,0,0,0,1,1
353,"Calkini, Campeche",Campeche,1,0,395892,20.3695121,0,0,0,0,0
354,"Acambay de Ruiz Castaneda, Estado de Mexico",Estado de Mexico,1,0,1104961,19.95904705,0,0,0,0,0
355,"Alfajayucan, Hidalgo",Hidalgo,1,0,1095674,20.410277,0,0,0,0,0
356,"Teopisca, Chiapas",Chiapas,1,0,112564,16.5420839,0,0,0,0,1
357,"San Pedro Ixtlahuaca, Oaxaca",Oaxaca,1,1,715049,17.063056,0,1,1,2,3
358,"Naucalpan de Juarez, Estado de Mexico",Estado de Mexico,1,1,994871,19.4788356,3,3,4,4,4
359,"Amecameca, Estado de Mexico",Estado de Mexico,,0,982511,19.1200254,0,0,0,0,0
360,"Trinidad Zaachila, Oaxaca",Oaxaca,1,1,712433,16.921389,0,1,1,2,2
361,"Santa Maria del Tule, Oaxaca",Oaxaca,1,1,692829,17.0476822,0,1,1,2,2
362,"San Antonio de la Cal, Oaxaca",Oaxaca,1,1,705904,17.028333,0,1,1,2,2
363,"Guasave, Sinaloa",Sinaloa,1,0,2328247,25.5738,0,0,0,0,0
364,"Montemorelos, Nuevo Leon",Nuevo Leon,1,0,1581287,25.1886604,0,0,0,0,0
365,"Zapotlan el Grande, Jalisco",Jalisco,1,0,1840190,19.6973465,0,0,0,0,0
366,"Buenavista, Michoacan",Michoacan,1,0,1694373,19.21451245,0,0,0,0,0
367,"Apatzingan, Michoacan",Michoacan,1,0,1662158,19.0913792,0,0,0,0,0
368,"Lazaro Cardenas, Michoacan",Michoacan,1,0,1789505,17.9594769,0,0,0,0,0
369,"Apaseo el Alto, Guanajuato",Guanajuato,1,0,1201046,20.4562767,0,0,1,1,1
370,"El Salto, Jalisco",Jalisco,1,1,1706496,20.5196964,0,1,1,1,1
371,"San Pedro Garza Garcia, Nuevo Leon",Nuevo Leon,1,1,1666210,25.6651753,1,2,2,2,3
372,"Jerez, Zacatecas",Zacatecas,3,0,1642935,22.7105933,0,0,0,0,0
373,"Cuitzeo, Michoacan",Michoacan,1,0,1259101,19.9693141,0,0,0,0,0
374,"Uruapan, Michoacan",Michoacan,1,0,1583068,19.4147269,0,0,0,0,0
375,"Coatepec, Veracruz",Veracruz,1,0,803922,19.4543134,0,0,0,0,0
376,"Alamo Temapache, Veracruz",Veracruz,3,0,991527,20.9951932,0,0,0,0,0
377,"San Juan Evangelista, Veracruz",Veracruz,1,0,495918,17.76252635,0,0,0,0,0
378,"Emiliano Zapata, Hidalgo",Hidalgo,1,0,935615,19.6546865,0,0,0,0,0
379,"Pantepec, Chiapas",Chiapas,,0,300650,17.1944142,0,0,0,0,0
380,"Epazoyucan, Hidalgo",Hidalgo,1,1,991386,20.0181268,0,0,0,0,0
381,"Huasca de Ocampo, Hidalgo",Hidalgo,1,1,1031654,20.2231549,0,0,0,0,0
382,"Jimenez, Tamaulipas",Tamaulipas,1,0,1469584,24.2169169,0,0,0,0,0
383,"Santiago Juxtlahuaca, Oaxaca",Oaxaca,1,0,972218,17.334443,0,0,0,0,0
384,"San Juan Huactzinco, Tlaxcala",Tlaxcala,1,2,879483,19.2329326,3,3,4,4,4
385,"Amaxac de Guerrero, Tlaxcala",Tlaxcala,1,1,898212,19.348889,3,3,3,3,3
386,"Chicomuselo, Chiapas",Chiapas,,0,85686,15.7935524,0,0,0,0,0
387,"Carlos A. Carrillo, Veracruz",Veracruz,1,0,544400,18.32836115,1,1,1,1,1
388,"Puerto Penasco, Sonora",Sonora,1,0,3274463,31.3170867,0,0,0,0,0
