,ciudad,latitude,longitude,etiqueta,entidad federativa / municipio,presentados 1,canalizados 1,subtotal 1,presentados 2,canalizados 2,subtotal 2,presentados 3,canalizados 3,subtotal 3,presentados 4,canalizados 4,subtotal 4,presentados 5,canalizados 5,subtotal 5,presentados 6,canalizados 6,subtotal 6,presentados 7,canalizados 7,subtotal 7,presentados 8,canalizados 8,subtotal 8,presentados 9,canalizados 9,subtotal 9,presentados 10,canalizados 10,subtotal 10,presentados 11,canalizados 11,subtotal 11,presentados 12,canalizados 12,subtotal 12,presentados total,canalizados total,total
299,"Tampico, Tamaulipas",22.2157619,-97.8577713,municipio,"Atlangatepec, Tlax.",76,9,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76,9,85
189,"Heroica Ciudad de Huajuapan de León, Oaxaca",17.808846,-97.7780564,municipio,"Salina Cruz, Oax.",0,0,0,0,0,0,10,4,14,0,0,0,0,0,0,3,0,3,0,0,0,0,18,18,0,20,20,32,18,50,27,23,50,0,0,0,72,83,155
104,"Celaya, Guanajuato",20.521788,-100.8140458,municipio,"San Luis de la Paz, Gto.",6,0,6,30,0,30,21,0,21,8,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,0,65
177,"Parás, Nuevo León",26.4993853,-99.5229954,municipio,"Santa Catarina, NL",6,6,12,0,0,0,0,0,0,30,13,43,0,0,0,0,0,0,0,0,0,0,5,5,18,36,54,8,22,30,1,21,22,1,0,1,64,103,167
298,"Soto la Marina, Tamaulipas",23.87599915,-98.050264,municipio,"Apizaco, Tlax.",9,3,12,5,4,9,4,0,4,19,3,22,8,53,61,0,0,0,7,10,17,0,0,0,1,0,1,3,0,3,3,0,3,1,0,1,60,73,133
12,"Calakmul, Campeche",18.1073406,-89.80832804,municipio,"Los Cabos, BCS",2,0,2,0,0,0,1,0,1,2,0,2,0,0,0,0,0,0,0,0,0,6,0,6,17,0,17,2,0,2,21,0,21,6,1,7,57,1,58
125,"Huasca de Ocampo, Hidalgo",20.2231549,-98.55524673,municipio,"Tula de Allende, Hgo.",3,0,3,26,21,47,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,24,0,0,0,0,0,0,55,21,76
155,"Tepic, Nayarit",21.5119156,-104.8915889,municipio,"China, NL",0,0,0,0,0,0,49,75,124,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,6,14,20,0,0,0,0,0,0,0,0,0,55,91,146
173,"Los Ramones, Nuevo León",25.6973768,-99.6250811,municipio,"Pesquería, NL",0,0,0,0,0,0,11,13,24,0,0,0,36,0,36,0,8,8,0,0,0,0,13,13,4,5,9,3,0,3,0,0,0,0,0,0,54,39,93
180,"San Nicolás de los Garza, Nuevo León",25.7558021,-100.289648,municipio,"Chahuites, Oax.",0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,0,51,0,0,0,54,0,54
380,"Xalapa, Veracruz",19.5408338,-96.9146374,municipio,"Xalapa, Ver.",21,3,24,2,9,11,0,20,20,12,0,12,3,0,3,0,0,0,15,0,15,0,0,0,0,0,0,0,0,0,0,18,18,0,0,0,53,50,103
80,"Durango, Durango",24.833333,-104.833333,municipio,"Atlacomulco, Méx.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,0,51,0,0,0,0,0,0,0,0,0,51,0,51
291,"Jiménez, Tamaulipas",24.2169169,-98.483929,municipio,"Río Bravo, Tamps.",0,0,0,50,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,50
197,"San Antonio de la Cal, Oaxaca",17.028333,-96.700556,municipio,"San Francisco Telixtlahuaca, Oax.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,33,16,0,16,49,0,49
186,"Ciudad Ixtepec, Oaxaca",16.5564139,-95.0959653,municipio,"Matías Romero Avendaño, Oax.",20,22,42,0,35,35,0,0,0,0,0,0,0,0,0,1,0,1,0,2,2,23,37,60,0,0,0,0,0,0,0,17,17,0,0,0,44,113,157
264,"Navojoa, Sonora",27.0721872,-109.4438227,municipio,"Centla, Tab.",0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,43,0,43,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,1,45
100,"Xalatlaco, México",19.1843821,-99.4145622,municipio,"Irapuato, Gto.",5,0,5,22,0,22,6,0,6,4,0,4,1,0,1,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,0,43
175,"Montemorelos, Nuevo León",25.1886604,-99.8293539,municipio,"San Nicolás de los Garza, NL",0,0,0,0,0,0,26,7,33,0,0,0,16,0,16,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,7,50
223,"Santa María Mixtequilla, Oaxaca",16.374444,-95.259722,municipio,"Santo Domingo Yanhuitlán, Oax.",0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,15,0,15,9,0,9,19,0,19,0,0,0,0,0,0,43,1,44
222,"Santa María Jalapa del Marqués, Oaxaca",16.4403557,-95.4448148,municipio,"Santo Domingo Tehuantepec, Oax.",0,0,0,0,0,0,0,7,7,0,0,0,0,0,0,0,0,0,0,0,0,8,24,32,28,0,28,0,0,0,0,55,55,6,94,100,42,180,222
342,"Cosoleacaque, Veracruz",18.0060183,-94.61748301,municipio,"Cuitláhuac, Ver.",0,41,41,17,20,37,0,0,0,13,0,13,0,49,49,0,133,133,0,181,181,0,132,132,12,411,423,0,176,176,0,134,134,0,128,128,42,1405,1447
245,"Othón P. Blanco, Quintana Roo",18.43704555,-88.82575816,municipio,"Angostura, Sin.",20,21,41,0,0,0,21,17,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,38,79
319,"Sanctórum de Lázaro Cárdenas, Tlaxcala",19.4925,-98.471944,municipio,"Tlaxco, Tlax.",1,0,1,0,0,0,8,0,8,12,2,14,0,0,0,0,0,0,1,6,7,4,0,4,6,0,6,1,0,1,1,0,1,6,0,6,40,8,48
344,"Cuitláhuac, Veracruz",18.814226,-96.7223775,municipio,"Fortín, Ver.",2,0,2,35,0,35,0,0,0,3,0,3,0,5,5,0,4,4,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,40,14,54
6,"Playas de Rosarito, Baja California",32.25812915,-116.8733072,municipio,"Playas de Rosarito, BC",2,0,2,7,0,7,5,0,5,3,0,3,7,0,7,1,0,1,2,0,2,2,0,2,4,0,4,4,0,4,0,0,0,1,0,1,38,0,38
92,"Naucalpan de Juárez, México",19.4788356,-99.2327986,municipio,"Tlalnepantla de Baz, Méx.",0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,22,22,44,0,0,0,0,0,0,13,15,28,38,37,75
217,"Santa Lucía del Camino, Oaxaca",17.0625,-96.693333,municipio,"Santa María Mixtequilla, Oax.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,37,37,0,37
228,"Santo Domingo Tehuantepec, Oaxaca",16.3172613,-95.2468005,municipio,"Villa de Tututepec, Oax.",0,0,0,25,0,25,0,0,0,0,0,0,12,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,37
39,"Mezcalapa, Chiapas",17.2364959,-93.63497517,municipio,"Mapastepec, Chis.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,35,0,0,0,0,0,0,0,0,0,0,0,0,35,0,35
202,"San Francisco Telixtlahuaca, Oaxaca",17.296628,-96.9056112,municipio,"San Pablo Etla, Oax.",0,0,0,29,0,29,0,0,0,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,35
283,"Aldama, Tamaulipas",22.9196081,-98.0741727,municipio,"Hidalgo, Tamps.",4,1,5,12,0,12,11,0,11,4,0,4,0,0,0,2,2,4,0,0,0,0,0,0,2,2,4,0,0,0,0,7,7,0,0,0,35,12,47
206,"San Lorenzo Cacaotepec, Oaxaca",17.1278714,-96.8017692,municipio,"San Pedro Pochutla, Oax.",0,0,0,33,0,33,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,34,2,36
91,"Ixtapaluca, México",19.3129326,-98.8840481,municipio,"Texcoco, Méx.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,120,153,0,0,0,0,0,0,0,0,0,33,120,153
249,"San Luis Potosí, San Luis Potosí",22.5000001,-100.4949145,municipio,"Agua Prieta, Son.",0,0,0,0,0,0,0,0,0,13,0,13,17,2,19,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,33,2,35
121,"Atitalaquia, Hidalgo",20.0597395,-99.2132882,municipio,"Pachuca de Soto, Hgo.",1,1,2,5,0,5,0,0,0,19,1,20,0,3,3,5,1,6,0,0,0,1,0,1,0,0,0,1,0,1,0,4,4,0,0,0,32,10,42
122,"Chapulhuacán, Hidalgo",21.1263192,-98.95211916,municipio,"Tepeapulco, Hgo.",16,0,16,13,3,16,2,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,3,35
191,"Matías Romero Avendaño, Oaxaca",16.8761133,-95.0405586,municipio,"San Andrés Huaxpaltepec, Oax.",0,0,0,31,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,31
0,"Aguascalientes, Aguascalientes",22.0000001,-102.5000001,municipio,"Aguascalientes, Ags.",0,0,0,0,0,0,14,12,26,1,0,1,0,0,0,0,0,0,8,1,9,5,2,7,0,0,0,1,0,1,0,0,0,0,0,0,29,15,44
99,"Toluca, México",19.292545,-99.6569007,municipio,"Comonfort, Gto.",5,0,5,6,0,6,17,0,17,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,29
198,"San Bartolo Coyotepec, Oaxaca",16.9575983,-96.7066199,municipio,"San Jacinto Amilpas, Oax.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,16,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,16,45
293,"Miguel Alemán, Tamaulipas",26.3995446,-99.0314218,municipio,"Soto la Marina, Tamps.",0,0,0,2,0,2,14,9,23,0,1,1,0,0,0,1,2,3,0,0,0,0,0,0,12,12,24,0,1,1,0,0,0,0,0,0,29,25,54
229,"Santo Domingo Yanhuitlán, Oaxaca",17.5273478,-97.3421502,municipio,"Villa de Zaachila, Oax.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,50,78,0,0,0,0,0,0,0,0,0,28,50,78
1,"Cosío, Aguascalientes",22.3705155,-102.3120085,municipio,"Cosío, Ags.",0,0,0,0,0,0,2,1,3,19,3,22,0,0,0,0,0,0,0,4,4,5,0,5,0,0,0,0,27,27,1,20,21,0,16,16,27,71,98
184,"Asunción Nochixtlán, Oaxaca",17.457222,-97.225,municipio,"Heroica Ciudad de Huajuapan de León, Oax.",0,0,0,3,0,3,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,3,0,3,0,0,0,0,3,3,18,14,32,27,19,46
165,"García, Nuevo León",25.6651753,-100.4018251,municipio,"Hualahuises, NL",0,0,0,0,0,0,0,0,0,0,0,0,26,8,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,8,34
295,"Reynosa, Tamaulipas",26.0907673,-98.2788191,municipio,"Victoria, Tamps.",0,0,0,1,0,1,3,0,3,6,0,6,1,0,1,0,0,0,0,0,0,0,0,0,15,2,17,0,0,0,0,5,5,0,0,0,26,7,33
375,"Tihuatlán, Veracruz",20.716735,-97.53678596,municipio,"Tihuatlán, Ver.",0,0,0,1,0,1,0,0,0,25,4,29,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,9,35
385,"Calera, Zacatecas",22.97848,-102.8562229,municipio,"Calera, Zac.",0,0,0,0,0,0,0,0,0,7,1,8,0,0,0,0,0,0,18,4,22,0,0,0,0,0,0,0,0,0,1,11,12,0,0,0,26,16,42
108,"León, Guanajuato",21.1218598,-101.6825081,municipio,"Chilpancingo de los Bravo, Gro.",1,0,1,19,5,24,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,5,30
260,"Guaymas, Sonora",27.9216441,-110.8994059,municipio,"San Luis Río Colorado, Son.",0,0,0,1,0,1,0,26,26,13,2,15,0,0,0,11,14,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,42,67
156,"Anáhuac, Nuevo León",27.0285283,-100.0333715,municipio,"Ciénega de Flores, NL",3,2,5,5,3,8,5,4,9,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,8,8,16,0,0,0,24,17,41
300,"Victoria, Tamaulipas",23.7389846,-99.1441352,municipio,"Calpulalpan, Tlax.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,1,15,10,0,10,0,0,0,24,1,25
352,"Las Choapas, Veracruz",17.56348585,-93.94000864,municipio,"Las Choapas, Ver.",0,24,24,7,12,19,1,0,1,0,0,0,0,36,36,0,10,10,0,10,10,0,101,101,0,16,16,0,2,2,0,14,14,16,51,67,24,276,300
4,"Ensenada, Baja California",31.8658887,-116.602983,municipio,"Ensenada, BC",4,0,4,1,0,1,5,1,6,4,0,4,1,0,1,2,2,4,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,23,3,26
77,"Colima, Colima",19.166667,-104,municipio,"Mapimí, Dgo.",0,0,0,0,0,0,0,0,0,23,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,23
238,"El Marqués, Querétaro",20.73507785,-100.2835765,municipio,"Isla Mujeres, Q. Roo",10,0,10,4,0,4,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,7,0,7,23,1,24
97,"Texcoco, México",19.5144327,-98.8821254,municipio,"Apaseo el Grande, Gto.",0,0,0,0,0,0,0,0,0,22,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,22
120,"Apan, Hidalgo",19.7098559,-98.4502318,municipio,"Mineral de la Reforma, Hgo.",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,18,0,18,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,2,0,2,22,0,22
216,"Santa Cruz Xoxocotlán, Oaxaca",17.026389,-96.733333,municipio,"Santa María Jalapa del Marqués, Oax.",22,114,136,0,167,167,0,182,182,0,144,144,0,22,22,0,1,1,0,46,46,0,111,111,0,181,181,0,159,159,0,116,116,0,0,0,22,1243,1265
321,"Tetla de la Solidaridad, Tlaxcala",19.440556,-98.103333,municipio,"Tzompantepec, Tlax.",0,0,0,1,0,1,18,1,19,2,0,2,0,0,0,0,0,0,0,11,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,12,33
25,"Chenalhó, Chiapas",16.9717161,-92.51921238,municipio,"Berriozábal, Chis.",0,0,0,0,0,0,0,0,0,0,0,0,20,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,121,121,0,0,0,0,0,0,20,121,141
208,"San Pablo Etla, Oaxaca",17.144444,-96.76,municipio,"San Pedro Totolápam, Oax.",6,0,6,14,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,20
387,"Trancoso, Zacatecas",22.7353025,-102.3667969,municipio,"Trancoso, Zac.",0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,9,3,12,0,0,0,3,28,31,4,46,50,1,2,3,0,0,0,20,79,99
126,"Ixmiquilpan, Hidalgo",20.481944,-99.218056,municipio,"Tulancingo de Bravo, Hgo.",0,0,0,0,0,0,5,0,5,4,0,4,0,0,0,1,0,1,2,0,2,0,0,0,0,0,0,0,0,0,1,0,1,6,0,6,19,0,19
174,"Mina, Nuevo León",26.0025145,-100.5300485,municipio,"Salinas Victoria, NL",0,0,0,0,0,0,0,0,0,2,0,2,9,0,9,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,18,0,18
237,"Puebla, Puebla",18.833333,-98,municipio,"Cozumel, Q. Roo",0,0,0,15,0,15,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,6,8,0,0,0,0,0,0,0,0,0,0,0,0,18,6,24
282,"Tenosique, Tabasco",17.4707129,-91.4220212,municipio,"Gustavo Díaz Ordaz, Tamps.",0,0,0,12,0,12,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,18
127,"Mineral de la Reforma, Hidalgo",20.06063885,-98.73057242,municipio,"Villa de Tezontepec, Hgo.",8,0,8,3,0,3,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,17
302,"Apetatitlán de Antonio Carvajal, Tlaxcala",19.3505173,-98.19120205,municipio,"Cuapiaxtla, Tlax.",0,0,0,17,29,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,29,46
21,"Acacoyagua, Chiapas",15.4060577,-92.69729393,municipio,"Tenabo, Camp.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,5,20,1,0,1,0,0,0,0,0,0,0,0,0,16,5,21
287,"El Mante, Tamaulipas",22.60787365,-98.93534141,municipio,"Miguel Alemán, Tamps.",2,0,2,2,0,2,1,0,1,0,0,0,0,0,0,5,0,5,0,0,0,0,0,0,6,0,6,0,0,0,0,0,0,0,0,0,16,0,16
124,"Epazoyucan, Hidalgo",20.0181268,-98.6364294,municipio,"Tizayuca, Hgo.",0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,13,15,0,15
346,"Gutiérrez Zamora, Veracruz",20.456991,-97.08553611,municipio,"Isla, Ver.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,15
220,"Santa María del Tule, Oaxaca",17.0476822,-96.6334574,municipio,"Santiago Niltepec, Oax.",14,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,14
301,"Amaxac de Guerrero, Tlaxcala",19.348889,-98.167778,municipio,"Chiautempan, Tlax.",0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,7,4,2,6,1,0,1,14,2,16
106,"Dolores Hidalgo Cuna de la Independencia Nacional, Guanajuato",21.1043597,-100.7259581,municipio,"Acapulco de Juárez, Gro.",1,0,1,0,0,0,3,14,17,4,0,4,0,1,1,4,0,4,1,0,1,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,13,19,32
142,"Cuitzeo, Michoacán",19.9693141,-101.1412203,municipio,"Cuernavaca, Mor.",8,0,8,1,0,1,1,0,1,1,0,1,0,0,0,0,0,0,0,3,3,2,0,2,0,0,0,0,3,3,0,0,0,0,0,0,13,6,19
178,"Pesquería, Nuevo León",25.7851361,-100.0520621,municipio,"Santiago, NL",0,0,0,0,0,0,5,10,15,0,0,0,1,0,1,1,0,1,0,0,0,5,0,5,0,0,0,0,0,0,1,0,1,0,0,0,13,10,23
200,"San Cristóbal Suchixtlahuaca, Oaxaca",17.7265261,-97.3666425,municipio,"San Juan Bautista Tuxtepec, Oax.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,58,71,0,9,9,0,0,0,0,28,28,0,0,0,13,95,108
309,"Hueyotlipan, Tlaxcala",19.469444,-98.348056,municipio,"Natívitas, Tlax.",0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,12,4,16,0,0,0,0,0,0,13,4,17
110,"Salamanca, Guanajuato",20.571358,-101.192444,municipio,"Zihuatanejo de Azueta, Gro.",1,0,1,8,2,10,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,2,14
154,"Bahía de Banderas, Nayarit",20.8290434,-105.3175087,municipio,"Cadereyta Jiménez, NL",0,6,6,3,23,26,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,6,42,48,1,0,1,12,71,83
187,"Concepción Buenavista, Oaxaca",17.8781515,-97.4004708,municipio,"Miahuatlán de Porfirio Díaz, Oax.",0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,6,0,6,3,0,3,0,0,0,1,0,1,0,0,0,0,0,0,12,0,12
275,"Emiliano Zapata, Tabasco",17.693626,-91.63973456,municipio,"Aldama, Tamps.",0,0,0,8,2,10,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,2,14
294,"Nuevo Laredo, Tamaulipas",27.4950571,-99.5074431,municipio,"Tampico, Tamps.",0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,2,0,2,1,0,1,0,0,0,1,0,1,4,3,7,0,25,25,4,5,9,12,35,47
19,"Seybaplaya, Campeche",19.60337225,-90.62536696,municipio,"Palizada, Camp.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,10,21,0,0,0,0,0,0,11,10,21
157,"Apodaca, Nuevo León",25.7816542,-100.1887501,municipio,"Doctor Arroyo, NL",0,0,0,0,0,0,0,0,0,0,0,0,11,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,11
246,"Solidaridad, Quintana Roo",20.5843747,-87.50345268,municipio,"Culiacán, Sin.",2,0,2,4,0,4,2,0,2,1,0,1,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,11
314,"Natívitas, Tlaxcala",19.233333,-98.314722,municipio,"Sanctórum de Lázaro Cárdenas, Tlax.",11,2,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,2,13
20,"Tenabo, Campeche",20.0406607,-90.2254956,municipio,"Seybaplaya, Camp.",0,0,0,0,0,0,5,3,8,3,0,3,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,10,3,13
32,"Frontera Comalapa, Chiapas",15.6590135,-92.1422219,municipio,"Escuintla, Chis.",0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,7,9,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,9,19
73,"Nava, Coahuila",28.4217309,-100.7674167,municipio,"Manzanillo, Col.",1,0,1,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,5,0,5,0,0,0,1,0,1,0,0,0,10,0,10
87,"Chalco, México",19.2382585,-98.81888376,municipio,"Nezahualcóyotl, Méx.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,10,2,12,0,0,0,0,0,0,10,12,22
183,"Santiago, Nuevo León",25.4243595,-100.1513376,municipio,"El Espinal, Oax.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,6,0,6,10,0,10
339,"Coatzacoalcos, Veracruz",18.1396787,-94.4501731,municipio,"Cosamaloapan de Carpio, Ver.",0,7,7,10,123,133,0,0,0,0,19,19,0,467,467,0,204,204,0,274,274,0,389,389,0,778,778,0,432,432,0,268,268,0,124,124,10,3085,3095
46,"Salto de Agua, Chiapas",17.4348976,-92.2248025,municipio,"Salto de Agua, Chis.",0,0,0,2,0,2,2,0,2,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,9
105,"Comonfort, Guanajuato",20.7199475,-100.761188,municipio,"San Miguel de Allende, Gto.",2,0,2,5,0,5,0,1,1,1,0,1,0,0,0,1,0,1,0,0,0,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,9,7,16
163,"El Carmen, Nuevo León",25.9368419,-100.3613419,municipio,"General Zuazua, NL",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,4,4,8,22,30,0,0,0,0,0,0,0,0,0,9,26,35
181,"San Pedro Garza García, Nuevo León",25.6651753,-100.4018251,municipio,"Ciudad Ixtepec, Oax.",1,0,1,0,0,0,1,0,1,4,0,4,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,1,1,9,1,10
213,"San Pedro Tapanatepec, Oaxaca",16.3689223,-94.1927528,municipio,"Santa María Coyotepec, Oax.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,4,0,4,0,0,0,9,0,9
235,"Villa de Zaachila, Oaxaca",16.950833,-96.749167,municipio,"Bacalar, Q. Roo",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,5,0,5,0,0,0,0,0,0,0,0,0,9,0,9
278,"Macuspana, Tabasco",17.760922,-92.596108,municipio,"Camargo, Tamps.",0,0,0,0,0,0,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,16,16,0,0,0,0,0,0,9,16,25
289,"Hidalgo, Tamaulipas",24.2480354,-99.4382079,municipio,"Padilla, Tamps.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,16,25,0,0,0,0,0,0,0,0,0,9,16,25
367,"San Andrés Tuxtla, Veracruz",18.4633672,-95.19831534,municipio,"San Andrés Tuxtla, Ver.",0,18,18,0,29,29,0,0,0,9,14,23,0,4,4,0,0,0,0,0,0,0,15,15,0,0,0,0,0,0,0,13,13,0,0,0,9,93,102
145,"Uruapan, Michoacán",19.4147269,-102.0522647,municipio,"Puente de Ixtla, Mor.",0,0,0,2,0,2,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,8,0,8
160,"China, Nuevo León",25.4915799,-98.9811115,municipio,"García, NL",2,0,2,0,0,0,0,0,0,1,0,1,1,0,1,1,0,1,0,0,0,0,2,2,0,0,0,0,0,0,2,1,3,1,6,7,8,9,17
179,"Salinas Victoria, Nuevo León",26.1216805,-100.3270877,municipio,"Asunción Nochixtlán, Oax.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,6,5,11,0,0,0,0,0,0,0,0,0,8,5,13
