,ciudad,latitude,longitude,etiqueta,entidad federativa / municipio,presentados 1,canalizados 1,subtotal 1,presentados 2,canalizados 2,subtotal 2,presentados 3,canalizados 3,subtotal 3,presentados 4,canalizados 4,subtotal 4,presentados 5,canalizados 5,subtotal 5,presentados 6,canalizados 6,subtotal 6,presentados 7,canalizados 7,subtotal 7,presentados 8,canalizados 8,subtotal 8,presentados 9,canalizados 9,subtotal 9,presentados 10,canalizados 10,subtotal 10,presentados 11,canalizados 11,subtotal 11,presentados 12,canalizados 12,subtotal 12,presentados total,canalizados total,total
382,"Mérida, Yucatán",20.9670759,-89.6237402,municipio,"Mérida, Yuc.",37,12,49,35,0,35,127,1,128,336,0,336,4,0,4,10,0,10,23,0,23,38,15,53,47,21,68,80,0,80,69,37,106,29,9,38,835,95,930
257,"Caborca, Sonora",30.7166014,-112.1562598,municipio,"Navojoa, Son.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,637,1,638,196,0,196,833,1,834
279,"Paraíso, Tabasco",18.3987331,-93.2125326,municipio,"Cruillas, Tamps.",31,23,54,53,0,53,60,0,60,5,0,5,0,0,0,21,2,23,380,30,410,0,0,0,144,23,167,109,64,173,0,72,72,0,0,0,803,214,1017
107,"Irapuato, Guanajuato",20.6758761,-101.3521052,municipio,"Azoyú, Gro.",0,0,0,74,29,103,278,62,340,146,20,166,0,0,0,0,0,0,42,8,50,114,23,137,99,68,167,42,18,60,0,0,0,0,0,0,795,228,1023
388,"Zacatecas, Zacatecas",23.0823582,-103.2085698,municipio,"Zacatecas, Zac.",216,45,261,66,9,75,286,108,394,2,0,2,3,2,5,7,0,7,0,6,6,24,9,33,160,0,160,21,1,22,6,11,17,0,0,0,791,191,982
253,"Guasave, Sinaloa",25.5738,-108.4674697,municipio,"Guaymas, Son.",0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,63,63,0,0,0,0,0,0,0,0,0,96,0,96,693,7,700,789,74,863
68,"Acuña, Coahuila",29.3248796,-100.9322287,municipio,"Monclova, Coah.",147,30,177,62,8,70,183,14,197,20,0,20,6,6,12,13,0,13,0,0,0,0,0,0,91,53,144,1,0,1,34,71,105,218,247,465,775,429,1204
43,"Palenque, Chiapas",17.509188,-91.980922,municipio,"Ocozocoautla de Espinosa, Chis.",184,55,239,82,38,120,64,33,97,47,19,66,67,15,82,44,44,88,34,58,92,0,48,48,2,0,2,21,16,37,89,67,156,119,81,200,753,474,1227
76,"Torreón, Coahuila",25.542698,-103.410512,municipio,"Gómez Palacio, Dgo.",173,42,215,127,37,164,147,14,161,29,18,47,4,0,4,0,10,10,12,3,15,50,1,51,17,0,17,52,0,52,54,0,54,59,0,59,724,125,849
123,"Emiliano Zapata, Hidalgo",19.6546865,-98.544552,municipio,"Tepeji del Río de Ocampo, Hgo.",102,0,102,58,46,104,48,30,78,72,23,95,0,0,0,0,0,0,343,0,343,52,8,60,6,0,6,0,0,0,0,0,0,0,0,0,681,107,788
93,"Nezahualcóyotl, México",19.4079028,-99.0181547,municipio,"Toluca, Méx.",115,0,115,81,0,81,0,0,0,2,0,2,29,0,29,24,0,24,108,7,115,51,0,51,80,2,82,101,20,121,71,49,120,14,0,14,676,78,754
210,"San Pedro Ixtlahuaca, Oaxaca",17.063056,-96.818056,municipio,"Santa Cruz Xoxocotlán, Oax.",1,0,1,14,0,14,3,0,3,6,0,6,0,0,0,103,0,103,33,0,33,145,1,146,98,70,168,77,0,77,148,20,168,31,0,31,659,91,750
203,"San Jacinto Amilpas, Oaxaca",17.1011376,-96.7606784,municipio,"San Pablo Huitzo, Oax.",81,0,81,39,10,49,4,0,4,81,25,106,3,0,3,23,3,26,65,0,65,3,1,4,87,10,97,114,43,157,103,11,114,22,0,22,625,103,728
