name,tipo,sub_tipo,latitud,longitud,ID_Poligono,geometry
Saltillo Estacion Migratoria,INM,Estacion Migratoria INM,25.42244306,-100.9447861,PG530,"POLYGON ((-101 26, -100 26, -100 25, -101 25, -101 26))"
San Cristobal de las Casas Estacion Provisional,INM,Estacion Migratoria INM,16.73446159,-92.6491642,PG737,"POLYGON ((-93 17, -92 17, -92 16, -93 16, -93 17))"
San Gregorio Chamic Estacion Provisional,INM,Estacion Migratoria INM,15.68022929,-92.00569153,PG736,"POLYGON ((-93 16, -92 16, -92 15, -93 15, -93 16))"
San Luis Potosi Estacion Migratoria,INM,Estacion Migratoria INM,22.14359738,-100.9977651,PG527,"POLYGON ((-101 23, -100 23, -100 22, -101 22, -101 23))"
San Pedro Tapanatepec Estacion Provisional,INM,Estacion Migratoria INM,16.36976245,-94.19235706,PG683,"POLYGON ((-95 17, -94 17, -94 16, -95 16, -95 17))"
Tampico Estacion Migratoria,INM,Estacion Migratoria INM,22.26319396,-97.79580295,PG608,"POLYGON ((-98 23, -97 23, -97 22, -98 22, -98 23))"
Tapachula Estacion Migratoria (Siglo XXI),INM,Estacion Migratoria INM,14.92019548,-92.25910664,PG735,"POLYGON ((-93 15, -92 15, -92 14, -93 14, -93 15))"
Tenosique Estacion Migratoria,INM,Estacion Migratoria INM,17.45776516,-91.44521713,PG765,"POLYGON ((-92 18, -91 18, -91 17, -92 17, -92 18))"
Tijuana Estacion Migratoria,INM,Estacion Migratoria INM,32.4713011,-117.0136857,PG78,"POLYGON ((-118 33, -117 33, -117 32, -118 32, -118 33))"
Tlaxcala Estacion Migratoria,INM,Estacion Migratoria INM,19.33662649,-98.19339752,PG578,"POLYGON ((-99 20, -98 20, -98 19, -99 19, -99 20))"
Torreon Estacion Provisional,INM,Estacion Migratoria INM,25.5388592,-103.4533536,PG449,"POLYGON ((-104 26, -103 26, -103 25, -104 25, -104 26))"
Tuxtla Gutierrez Estacion Migratoria,INM,Estacion Migratoria INM,16.75392043,-93.10526848,PG710,"POLYGON ((-94 17, -93 17, -93 16, -94 16, -94 17))"
Veracruz Estacion Migratoria,INM,Estacion Migratoria INM,19.19948516,-96.14011288,PG632,"POLYGON ((-97 20, -96 20, -96 19, -97 19, -97 20))"
Villahermosa Estacion Migratoria,INM,Estacion Migratoria INM,17.9899559,-92.9429324,PG738,"POLYGON ((-93 18, -92 18, -92 17, -93 17, -93 18))"
Zacatecas Estacion Migratoria,INM,Estacion Migratoria INM,22.76581404,-102.5780582,PG473,"POLYGON ((-103 23, -102 23, -102 22, -103 22, -103 23))"
Zihuatanejo Estacion Migratoria,INM,Estacion Migratoria INM,17.64424696,-101.5539694,PG495,"POLYGON ((-102 18, -101 18, -101 17, -102 17, -102 18))"
