,Municipio,Total,Año
206,"Asunción Ixtaltepec, Oax.",12,2020
207,"Asunción Nochixtlán, Oax.",68,2020
208,"Chahuites, Oax.",25,2020
209,"Ciudad Ixtepec, Oax.",20,2020
210,"Heroica Ciudad de Huajuapan de León, Oax.",33,2020
211,"Juchitán de Zaragoza, Oax.",23,2020
212,"Matías Romero Avendaño, Oax.",125,2020
213,"Miahuatlán de Porfirio Díaz, Oax.",12,2020
214,"Nejapa de Madero, Oax.",6,2020
215,"Oaxaca de Juárez, Oax.",198,2020
216,"Ocotlán de Morelos, Oax.",1,2020
217,"Reforma de Pineda, Oax.",7,2020
218,"Salina Cruz, Oax.",67,2020
219,"San Bartolo Coyotepec, Oax.",154,2020
220,"San Francisco Ixhuatán, Oax.",9,2020
221,"San Francisco Lachigoló, Oax.",18,2020
222,"San Jacinto Amilpas, Oax.",4,2020
223,"San Jerónimo Tlacochahuaya, Oax.",1,2020
224,"San Juan Bautista Coixtlahuaca, Oax.",3,2020
225,"San Juan Bautista Tuxtepec, Oax.",32,2020
226,"San Juan Guichicovi, Oax.",119,2020
227,"San Lorenzo Cacaotepec, Oax.",5,2020
228,"San Pablo Huitzo, Oax.",96,2020
229,"San Pablo Villa de Mitla, Oax.",2,2020
230,"San Pedro Comitancillo, Oax.",1,2020
231,"San Pedro Mixtepec -Dto. 22 -, Oax.",8,2020
232,"San Pedro Tapanatepec, Oax.",735,2020
233,"San Pedro Totolápam, Oax.",2,2020
234,"San Raymundo Jalpan, Oax.",1,2020
235,"Santa Cruz Amilpas, Oax.",12,2020
236,"Santa Cruz Xoxocotlán, Oax.",12,2020
237,"Santa Lucía del Camino, Oax.",4,2020
238,"Santa María Atzompa, Oax.",4,2020
239,"Santa María del Tule, Oax.",68,2020
240,"Santa María Huatulco, Oax.",177,2020
241,"Santa María Jalapa del Marqués, Oax.",245,2020
242,"Santa María Mixtequilla, Oax.",1,2020
243,"Santiago Juxtlahuaca, Oax.",2,2020
244,"Santiago Matatlán, Oax.",3,2020
245,"Santiago Niltepec, Oax.",9,2020
246,"Santo Domingo Ingenio, Oax.",20,2020
247,"Santo Domingo Tehuantepec, Oax.",74,2020
248,"Santo Domingo Zanatepec, Oax.",111,2020
249,"Tlacolula de Matamoros, Oax.",17,2020
250,"Unión Hidalgo, Oax.",2,2020
251,"Villa de Etla, Oax.",20,2020
254,"Huejotzingo, Pue.",1,2020
255,"Hueyapan, Pue.",1,2020
256,"Palmar de Bravo, Pue.",1,2020
257,"Puebla, Pue.",894,2020
258,"Santo Tomás Hueyotlipan, Pue.",1,2020
259,"Tehuacán, Pue.",2,2020
260,"Tepeaca, Pue.",2,2020
263,"Colón, Qro.",1,2020
264,"El Marqués, Qro.",2,2020
265,"Querétaro, Qro.",324,2020
268,"Benito Juárez, Q. Roo",184,2020
269,"Cozumel, Q. Roo",2,2020
270,"Isla Mujeres, Q. Roo",8,2020
271,"Othón P. Blanco, Q. Roo",47,2020
272,"Solidaridad, Q. Roo",18,2020
273,"Puerto Morelos, Q. Roo",5,2020
276,"San Luis Potosí, SLP",1249,2020
279,"Ahome, Sin.",235,2020
280,"Culiacán, Sin.",5,2020
281,"Escuinapa, Sin.",571,2020
282,"Mazatlán, Sin.",416,2020
283,"Navolato, Sin.",1,2020
286,"Agua Prieta, Son.",228,2020
287,"Caborca, Son.",13,2020
288,"Empalme, Son.",243,2020
289,"General Plutarco Elías Calles, Son.",20,2020
290,"Guaymas, Son.",1,2020
291,"Hermosillo, Son.",3474,2020
292,"Nogales, Son.",132,2020
293,"Puerto Peñasco, Son.",14,2020
294,"San Luis Río Colorado, Son.",214,2020
295,"Sáric, Son.",4,2020
298,"Balancán, Tab.",39,2020
299,"Cárdenas, Tab.",30,2020
300,"Centla, Tab.",14,2020
301,"Centro, Tab.",1098,2020
302,"Comalcalco, Tab.",7,2020
303,"Cunduacán, Tab.",7,2020
304,"Emiliano Zapata, Tab.",67,2020
305,"Huimanguillo, Tab.",1567,2020
306,"Jalpa de Méndez, Tab.",1,2020
307,"Macuspana, Tab.",366,2020
308,"Nacajuca, Tab.",2,2020
309,"Teapa, Tab.",12,2020
310,"Tenosique, Tab.",2950,2020
313,"Aldama, Tamps.",29,2020
314,"Altamira, Tamps.",27,2020
315,"Camargo, Tamps.",12,2020
316,"Cruillas, Tamps.",86,2020
317,"El Mante, Tamps.",12,2020
318,"González, Tamps.",24,2020
319,"Guerrero, Tamps.",132,2020
320,"Gustavo Díaz Ordaz, Tamps.",77,2020
321,"Hidalgo, Tamps.",16,2020
322,"Matamoros, Tamps.",345,2020
323,"Miguel Alemán, Tamps.",7,2020
324,"Nuevo Laredo, Tamps.",873,2020
325,"Reynosa, Tamps.",13285,2020
326,"Soto la Marina, Tamps.",2,2020
327,"Tampico, Tamps.",1083,2020
328,"Victoria, Tamps.",13,2020
331,"Apetatitlán de Antonio Carvajal, Tlax.",63,2020
332,"Apizaco, Tlax.",69,2020
333,"Calpulalpan, Tlax.",1,2020
334,"Chiautempan, Tlax.",1,2020
335,"Españita, Tlax.",16,2020
336,"Ixtacuixtla de Mariano Matamoros, Tlax.",49,2020
337,"Muñoz de Domingo Arenas, Tlax.",3,2020
338,"Tlaxcala, Tlax.",1,2020
339,"Tlaxco, Tlax.",10,2020
340,"Tzompantepec, Tlax.",1,2020
341,"Xaloztoc, Tlax.",10,2020
342,"Zacatelco, Tlax.",2,2020
345,"Acayucan, Ver.",3704,2020
346,"Actopan, Ver.",42,2020
347,"Alvarado, Ver.",27,2020
348,"Córdoba, Ver.",31,2020
349,"Cosamaloapan de Carpio, Ver.",10,2020
350,"Cotaxtla, Ver.",47,2020
351,"Cuitláhuac, Ver.",21,2020
352,"Fortín, Ver.",86,2020
353,"La Antigua, Ver.",25,2020
354,"Medellín de Bravo, Ver.",44,2020
355,"Naranjos Amatlán, Ver.",15,2020
356,"Orizaba, Ver.",78,2020
357,"Ozuluama de Mascareñas, Ver.",14,2020
358,"Perote, Ver.",6,2020
359,"Pueblo Viejo, Ver.",67,2020
360,"Río Blanco, Ver.",92,2020
361,"Sayula de Alemán, Ver.",1,2020
362,"Tampico Alto, Ver.",2,2020
363,"Tierra Blanca, Ver.",160,2020
364,"Veracruz, Ver.",160,2020
367,"Mérida, Yuc.",220,2020
368,"Progreso, Yuc.",1,2020
371,"Zacatecas, Zac.",741,2020
383,"Aguascalientes, Ags.",597,2021
384,"Cosío, Ags.",195,2021
385,"El Llano, Ags.",3,2021
386,"Jesús María, Ags.",137,2021
387,"San Francisco de los Romo, Ags.",2,2021
390,"Ensenada, BC",24,2021
391,"Mexicali, BC",1410,2021
392,"Playas de Rosarito, BC",20,2021
393,"Tecate, BC",15,2021
394,"Tijuana, BC",29615,2021
397,"La Paz, BCS",47,2021
398,"Los Cabos, BCS",42,2021
399,"Mulegé, BCS",8,2021
402,"Campeche, Camp.",61,2021
403,"Carmen, Camp.",80,2021
404,"Escárcega, Camp.",53,2021
407,"Amatenango del Valle, Chis.",5,2021
408,"Arriaga, Chis.",2733,2021
409,"Benemérito de las Américas, Chis.",1,2021
410,"Berriozábal, Chis.",1,2021
411,"Cacahoatán, Chis.",1,2021
412,"Catazajá, Chis.",2224,2021
413,"Chiapa de Corzo, Chis.",956,2021
414,"Chilón, Chis.",469,2021
415,"Cintalapa de Figueroa, Chis.",46,2021
416,"Comitán de Domínguez, Chis.",1782,2021
417,"Frontera Comalapa, Chis.",1624,2021
418,"Frontera Hidalgo, Chis.",176,2021
419,"Huehuetán, Chis.",6188,2021
420,"Huixtla, Chis.",2779,2021
421,"La Concordia, Chis.",19,2021
422,"La Trinitaria, Chis.",820,2021
423,"Mapastepec, Chis.",17,2021
424,"Metapa, Chis.",2,2021
425,"Mezcalapa, Chis.",2738,2021
426,"Motozintla, Chis.",16,2021
427,"Ocosingo, Chis.",2,2021
428,"Ocozocoautla de Espinosa, Chis.",4260,2021
429,"Palenque, Chis.",8992,2021
430,"Pijijiapan, Chis.",1003,2021
431,"Salto de Agua, Chis.",1259,2021
432,"San Cristóbal de las Casas, Chis.",2790,2021
433,"Suchiate, Chis.",6338,2021
434,"Tapachula, Chis.",16334,2021
435,"Tonalá, Chis.",342,2021
436,"Tuxtla Chico, Chis.",2450,2021
437,"Tuxtla Gutiérrez, Chis.",10154,2021
438,"Unión Juárez, Chis.",87,2021
439,"Venustiano Carranza, Chis.",83,2021
440,"Villa Comaltitlán, Chis.",4,2021
441,"Villa Corzo, Chis.",74,2021
442,"Villaflores, Chis.",8,2021
445,"Ascensión, Chih.",618,2021
446,"Camargo, Chih.",1,2021
447,"Chihuahua, Chih.",439,2021
448,"Guadalupe, Chih.",47,2021
449,"Janos, Chih.",253,2021
450,"Juárez, Chih.",8236,2021
451,"Ojinaga, Chih.",511,2021
454,"Benito Juárez, CDMX",47,2021
455,"Cuauhtémoc, CDMX",168,2021
456,"Iztapalapa, CDMX",4713,2021
457,"Venustiano Carranza, CDMX",3,2021
460,"Acuña, Coah.",1900,2021
461,"Monclova, Coah.",1172,2021
462,"Piedras Negras, Coah.",7817,2021
463,"Saltillo, Coah.",5895,2021
464,"Torreón, Coah.",626,2021
467,"Colima, Col.",5,2021
468,"Manzanillo, Col.",2,2021
471,"Durango, Dgo.",234,2021
472,"Gómez Palacio, Dgo.",1053,2021
475,"Acolman, Méx.",1,2021
476,"Atenco, Méx.",2,2021
477,"Atlacomulco, Méx.",122,2021
478,"Chalco, Méx.",262,2021
479,"Ecatepec de Morelos, Méx.",98,2021
480,"Huehuetoca, Méx.",16,2021
481,"Naucalpan de Juárez, Méx.",141,2021
482,"Nezahualcóyotl, Méx.",43,2021
483,"Soyaniquilpan de Juárez, Méx.",17,2021
484,"Tepotzotlán, Méx.",1519,2021
485,"Texcoco, Méx.",137,2021
486,"Tlalnepantla de Baz, Méx.",28,2021
487,"Toluca, Méx.",304,2021
488,"Tultitlán, Méx.",28,2021
489,"Zumpango, Méx.",8,2021
492,"Dolores Hidalgo Cuna de la Independencia Nacional, Gto.",3,2021
493,"Guanajuato, Gto.",1,2021
494,"Irapuato, Gto.",2,2021
495,"León, Gto.",9,2021
496,"Ocampo, Gto.",5,2021
497,"San Miguel de Allende, Gto.",896,2021
500,"Acapulco de Juárez, Gro.",122,2021
501,"Chilpancingo de los Bravo, Gro.",5,2021
502,"Cuajinicuilapa, Gro.",239,2021
503,"Iguala de la Independencia, Gro.",3,2021
504,"Igualapa, Gro.",3,2021
505,"Zihuatanejo de Azueta, Gro.",6,2021
508,"Actopan, Hgo.",2,2021
509,"Alfajayucan, Hgo.",1,2021
510,"Almoloya, Hgo.",31,2021
511,"Apan, Hgo.",74,2021
512,"Atitalaquia, Hgo.",38,2021
513,"Atotonilco de Tula, Hgo.",15,2021
514,"El Arenal, Hgo.",4,2021
515,"Emiliano Zapata, Hgo.",18,2021
516,"Huautla, Hgo.",2,2021
517,"Huejutla de Reyes, Hgo.",15,2021
518,"Huichapan, Hgo.",281,2021
519,"Ixmiquilpan, Hgo.",33,2021
520,"Jaltocán, Hgo.",1,2021
521,"Mineral de la Reforma, Hgo.",3,2021
522,"Nopala de Villagrán, Hgo.",65,2021
523,"Pachuca de Soto, Hgo.",213,2021
524,"Progreso de Obregón, Hgo.",3,2021
525,"Tecozautla, Hgo.",1,2021
526,"Tepeapulco, Hgo.",322,2021
527,"Tepeji del Río de Ocampo, Hgo.",415,2021
528,"Tepetitlán, Hgo.",39,2021
529,"Tlaxcoapan, Hgo.",1,2021
530,"Tolcayuca, Hgo.",43,2021
531,"Tula de Allende, Hgo.",198,2021
532,"Tulancingo de Bravo, Hgo.",162,2021
533,"Villa de Tezontepec, Hgo.",18,2021
534,"Zempoala, Hgo.",1,2021
535,"Zimapán, Hgo.",98,2021
538,"Guadalajara, Jal.",430,2021
539,"Lagos de Moreno, Jal.",2,2021
542,"Buenavista, Mich.",3,2021
