,nommun,2020,2021,2022,2023,2024,id_poligon,geometry
71,"Cadereyta de Montes, Queretaro",0,0,2,0,0,,
72,"Cajeme, Sonora",0,0,0,1039,142,PG573,POINT (-109.902207535928 27.71198065)
73,"Calakmul, Campeche",0,0,72,211,0,PG1690,POINT (-89.8083280398131 18.1073406)
74,"Calera, Zacatecas",0,0,0,42,23,PG956,POINT (-102.856222886116 22.97848)
75,"Calkini, Campeche",0,0,0,1,0,PG1654,POINT (-90.0510784 20.3695121)
76,"Calpulalpan, Tlaxcala",1,678,9,25,2,PG1185,POINT (-98.569167 19.587778)
77,"Calvillo, Aguascalientes",1,0,0,0,0,,
78,"Camargo, Chihuahua",0,1,0,0,0,,
79,"Camargo, Tamaulipas",12,0,0,25,1,,
80,"Camerino Z. Mendoza, Veracruz",0,0,0,126,0,PG1262,POINT (-97.1599321403411 18.7896308)
81,"Campeche, Campeche",44,61,574,430,502,PG1654,POINT (-90.5355146399854 19.830285751988)
82,"Candelaria Loxicha, Oaxaca",0,0,0,0,14,,
83,"Carlos A. Carrillo, Veracruz",0,12,14,1,27,PG1339,POINT (-95.7154033804156 18.32836115)
84,"Carmen, Campeche",5,80,322,260,244,PG1574,POINT (-91.81492 18.651739)
85,"Carrillo Puerto, Veracruz",0,0,0,55,64,PG1301,POINT (-96.5842838954223 18.8215893)
86,"Castanos, Coahuila",14,0,0,0,0,,
87,"Catazaja, Chiapas",676,2224,1259,2052,320,PG1534,POINT (-92.0379312528531 17.76826375)
88,"Catemaco, Veracruz",0,4,23,0,4,,
89,"Cedral, San Luis Potosi",0,0,0,5,0,PG1074,POINT (-100.7242892 23.8205361)
90,"Celaya, Guanajuato",3,0,3,8,0,PG1070,POINT (-100.8140458 20.521788)
91,"Centla, Tabasco",14,0,104,45,0,PG1534,POINT (-92.6521986432691 18.3536762)
92,"Centro, Tabasco",1098,8555,20707,74160,107606,PG1495,POINT (-92.7747911804616 18.0271588)
93,"Cerralvo, Nuevo Leon",47,0,0,0,0,,
94,"Chacaltianguis, Veracruz",0,0,4,0,0,,
95,"Chahuites, Oaxaca",25,1,109,54,0,PG1414,POINT (-94.1942777 16.2885299)
96,"Chalco, Estado de Mexico",4,262,1766,411,66,PG1185,POINT (-98.8958362 19.2612215)
97,"Champoton, Campeche",0,0,14,149,0,PG1614,POINT (-90.7242742 19.3439655)
98,"Chanal, Chiapas",0,0,0,1,0,,
99,"Chapulhuacan, Hidalgo",0,0,0,18,756,PG1187,POINT (-98.9521191559816 21.1263192)
100,"Charo, Michoacan",0,0,5,4,0,,
101,"Chemax, Yucatan",0,0,0,0,68,,
102,"Chenalho, Chiapas",0,0,0,0,24,PG1532,POINT (-92.5192123769078 16.9717161)
103,"Chiapa de Corzo, Chiapas",1406,956,1752,3578,278,PG1493,POINT (-93.0115045 16.7075202)
104,"Chiautempan, Tlaxcala",1,15,7,16,2,PG1224,POINT (-98.1925 19.313889)
105,"Chicoasen, Chiapas",4,0,0,0,0,,
106,"Chicoloapan, Estado de Mexico",0,0,0,0,3,,
107,"Chicomuselo, Chiapas",0,0,13,0,0,PG1531,POINT (-92.4192662013789 15.7935524)
108,"Chihuahua, Chihuahua",113,439,537,2040,671,PG769,POINT (-106.0000001 28.5000001)
109,"Chilpancingo de los Bravo, Guerrero",1,5,25,30,2,PG1143,POINT (-99.5048416 17.5542149)
110,"Chilon, Chiapas",0,469,0,0,0,,
111,"Chimalhuacan, Estado de Mexico",0,0,0,0,10,,
112,"China, Nuevo Leon",196,1152,217,146,0,PG1194,POINT (-98.9811115045569 25.4915799)
113,"Chinameca, Veracruz",0,0,3,0,0,,
114,"Chochola, Yucatan",0,0,4,0,0,,
115,"Cihuatlan, Jalisco",1,0,0,0,0,,
116,"Cintalapa de Figueroa, Chiapas",105,46,1234,520,162,PG1454,POINT (-93.7257625 16.6905402)
117,"Ciudad Ixtepec, Oaxaca",20,10,67,10,10,PG1376,POINT (-95.0959653 16.5564139)
118,"Ciudad Madero, Tamaulipas",0,8,0,0,0,,
119,"Cienega de Flores, Nuevo Leon",4,70,37,41,31,PG1116,POINT (-100.1662028 25.956169)
120,"Coacalco de Berriozabal, Estado de Mexico",0,0,0,0,1,,
121,"Coatepec, Veracruz",0,0,0,1,3,PG1263,POINT (-96.9596375 19.4543134)
122,"Coatlan del Rio, Morelos",3,2,5,0,4,,
123,"Coatzacoalcos, Veracruz",0,427,906,316,10,PG1417,POINT (-94.4501731 18.1396787)
124,"Colima, Colima",7,5,2,6,0,PG912,POINT (-103.725030676615 19.2448781553705)
125,"Colon, Queretaro",1,0,36,16,67,,
126,"Comalcalco, Tabasco",7,51,6,334,1484,PG1495,POINT (-93.2231523 18.2615076)
127,"Comitan de Dominguez, Chiapas",1202,1782,1170,178,7,PG1531,POINT (-92.1753212427065 16.2911698)
128,"Comonfort, Guanajuato",0,0,16,29,0,PG1070,POINT (-100.761188 20.7199475)
129,"Concepcion Buenavista, Oaxaca",0,0,0,25,0,PG1261,POINT (-97.4004708 17.8781515)
130,"Contla de Juan Cuamatzi, Tlaxcala",0,0,1,0,0,,
131,"Copainala, Chiapas",0,0,30,7,0,PG1494,POINT (-93.2102105 17.0930214)
132,"Corregidora, Queretaro",0,0,1,0,0,,
133,"Cosamaloapan de Carpio, Veracruz",10,281,539,3095,335,PG1339,POINT (-95.9643574726842 18.28167395)
134,"Cosoleacaque, Veracruz",0,317,163,20,141,PG1417,POINT (-94.6174830085876 18.0060183)
135,"Cosio, Aguascalientes",4,195,12,98,120,PG994,POINT (-102.312008510523 22.3705155)
136,"Cotaxtla, Veracruz",47,86,16,144,0,PG1301,POINT (-96.350999057041 18.85765725)
137,"Coyoacan, Ciudad de Mexico",0,0,0,1,2,PG1146,POINT (-99.1623599 19.349885)
138,"Coyuca de Catalan, Guerrero",1,0,0,0,0,,
139,"Cozumel, Quintana Roo",2,57,19,24,31,PG1849,POINT (-86.9206905837727 20.4320599)
140,"Cruillas, Tamaulipas",86,185,121,1017,0,PG1193,POINT (-98.5369904 24.7554618)
141,"Cuajinicuilapa, Guerrero",1,239,1,0,0,,
142,"Cuapiaxtla, Tlaxcala",0,701,49,46,0,PG1224,POINT (-97.768912 19.2961777)
143,"Cuauhtemoc, Ciudad de Mexico",0,168,1,0,0,,
144,"Cuautepec de Hinojosa, Hidalgo",0,0,0,0,2,,
145,"Cuautitlan Izcalli, Estado de Mexico",0,0,6,0,82,,
146,"Cuautitlan, Estado de Mexico",0,0,49,3,2,PG1146,POINT (-99.2145002 19.6531356)
147,"Cuautla, Morelos",8,1,18,1,280,,
148,"Cuaxomulco, Tlaxcala",0,3,0,0,727,,
149,"Cuernavaca, Morelos",21,38,19,19,219,PG1145,POINT (-99.2342282 18.9218274)
150,"Cuichapa, Veracruz",0,0,3,0,0,,
151,"Cuitlahuac, Veracruz",21,130,208,1447,424,PG1301,POINT (-96.7223775 18.814226)
152,"Cuitzeo, Michoacan",0,0,0,1,0,PG1030,POINT (-101.1412203 19.9693141)
153,"Culiacan, Sinaloa",5,1,173,11,1,PG725,POINT (-107.393395 24.7978965)
154,"Cunduacan, Tabasco",7,264,16,0,0,PG1495,POINT (-93.173675 18.066059)
155,"Cardenas, Tabasco",30,233,821,23150,25912,PG1495,POINT (-93.3753314 17.990878)
156,"Cordoba, Veracruz",31,210,356,609,159,PG1262,POINT (-96.9352891 18.8944704)
157,"Delicias, Chihuahua",0,0,0,0,28,,
158,"Doctor Arroyo, Nuevo Leon",0,61,47,11,0,PG1113,POINT (-100.225663498075 23.80420455)
159,"Doctor Coss, Nuevo Leon",0,4,0,0,0,,
160,"Dolores Hidalgo Cuna de la Independencia Nacional, Guanajuato",0,3,0,0,0,PG1070,POINT (-100.7259581 21.1043597)
161,"Durango, Durango",9,234,157,574,9,PG841,POINT (-104.663661325132 24.0350752647048)
162,"Ecatepec de Morelos, Estado de Mexico",0,98,185,185,6,PG1146,POINT (-99.000754 19.6074415)
163,"El Arenal, Hidalgo",4,4,0,0,4,,
164,"El Barrio de la Soledad, Oaxaca",0,4,0,0,0,,
165,"El Carmen, Nuevo Leon",0,28,22,35,0,PG1116,POINT (-100.3613419 25.9368419)
166,"El Espinal, Oaxaca",0,29,0,10,13,PG1376,POINT (-95.0581833048719 16.4609135)
167,"El Higo, Veracruz",0,4,0,0,0,,
168,"El Llano, Aguascalientes",0,3,0,0,1,,
169,"El Mante, Tamaulipas",12,21,44,6,0,PG1190,POINT (-98.9353414059303 22.60787365)
170,"El Marques, Queretaro",2,634,61,0,0,PG1109,POINT (-100.283576535042 20.73507785)
171,"El Salto, Jalisco",20,0,2,1,0,PG953,POINT (-103.1813141 20.5196964)
172,"Emiliano Zapata, Hidalgo",0,18,0,1,46,PG1185,POINT (-98.544552 19.6546865)
173,"Emiliano Zapata, Morelos",0,0,1,4,0,PG1145,POINT (-99.1870274 18.83995)
174,"Emiliano Zapata, Tabasco",67,1499,1276,6555,8140,PG1572,POINT (-91.6397345576535 17.693626)
175,"Emiliano Zapata, Veracruz",0,0,50,7,0,,
176,"Empalme, Sonora",243,0,0,0,393,,
177,"Encarnacion de Diaz, Jalisco",0,0,6,0,0,,
178,"Ensenada, Baja California",19,24,81,26,482,PG189,POINT (-116.602983 31.8658887)
179,"Epazoyucan, Hidalgo",0,0,0,1,0,PG1186,POINT (-98.6364294 20.0181268)
180,"Escuinapa, Sinaloa",571,101,0,0,297,,
181,"Escuintla, Chiapas",0,0,245,19,0,PG1530,POINT (-92.5557653736153 15.35100255)
182,"Escarcega, Campeche",36,53,231,2524,2050,PG1613,POINT (-90.7385823 18.606934)
183,"Espanita, Tlaxcala",16,0,0,0,0,,
184,"Ezequiel Montes, Queretaro",0,0,2,0,0,,
185,"Felipe Carrillo Puerto, Quintana Roo",0,2,0,0,0,,
186,"Fortin, Veracruz",86,75,29,54,0,PG1262,POINT (-96.9982014 18.8993309)
187,"Fresnillo, Zacatecas",0,16,0,0,134,,
188,"Frontera Comalapa, Chiapas",776,1624,3977,793,16,PG1531,POINT (-92.1422219 15.6590135)
189,"Frontera Hidalgo, Chiapas",59,176,45,1356,31,PG1529,POINT (-92.2161368344744 14.7531678)
190,"Galeana, Nuevo Leon",829,3028,4960,5394,6235,PG1115,POINT (-100.089346003726 24.8455905995639)
191,"Garcia, Nuevo Leon",25,44,137,17,121,PG1077,POINT (-100.4018251 25.6651753)
192,"General Bravo, Nuevo Leon",276,820,1273,2056,43,PG1155,POINT (-99.1811424 25.7932962)
193,"General Escobedo, Nuevo Leon",159,491,330,1204,535,PG1116,POINT (-100.3224334 25.808517)
194,"General Plutarco Elias Calles, Sonora",20,32,0,1432,414,PG422,POINT (-112.711748945241 31.6949837)
195,"General Teran, Nuevo Leon",13,59,160,0,0,,
196,"General Trevino, Nuevo Leon",64,0,0,0,0,,
197,"General Zuazua, Nuevo Leon",0,164,97,35,0,PG1116,POINT (-100.1078021 25.8953873)
198,"Gonzalez, Tamaulipas",24,210,8,8,0,PG1190,POINT (-98.5763189554293 22.79038735)
199,"Guadalajara, Jalisco",118,430,817,1313,24,PG914,POINT (-103.338396 20.6720375)
200,"Guadalupe, Chihuahua",0,47,0,0,0,,
201,"Guadalupe, Nuevo Leon",230,179,375,223,38,PG1116,POINT (-100.2151753 25.6751114)
202,"Guadalupe, Zacatecas",0,0,0,0,7,,
203,"Guanajuato, Guanajuato",2,1,2,0,18,,
204,"Guasave, Sinaloa",0,9,121,1,3,PG648,POINT (-108.4674697 25.5738)
205,"Guaymas, Sonora",1,3,0,863,1427,PG534,POINT (-110.8994059 27.9216441)
206,"Guerrero, Tamaulipas",132,0,0,0,0,,
207,"Gustavo A. Madero, Ciudad de Mexico",0,0,99,995,47,PG1146,POINT (-99.1137888 19.4831686)
208,"Gustavo Diaz Ordaz, Tamaulipas",77,0,0,18,0,,
209,"Gutierrez Zamora, Veracruz",0,0,55,9,0,PG1264,POINT (-97.085536109707 20.456991)
210,"Gomez Palacio, Durango",194,1053,1439,849,954,PG921,POINT (-103.494779 25.5732473)
211,"Guemez, Tamaulipas",0,0,8,0,0,,
212,"Halacho, Yucatan",0,0,51,0,164,,
213,"Hermosillo, Sonora",3474,13995,23080,9823,4662,PG497,POINT (-110.9692202 29.0948207)
214,"Heroica Ciudad de Ejutla de Crespo, Oaxaca",0,1,2,0,0,,
215,"Heroica Ciudad de Huajuapan de Leon, Oaxaca",33,175,128,46,2,PG1222,POINT (-97.7780564 17.808846)
216,"Hidalgo, Nuevo Leon",2,1,4,0,0,,
217,"Hidalgo, Tamaulipas",16,440,386,47,7,PG1153,POINT (-99.4382079 24.2480354)
218,"Hualahuises, Nuevo Leon",0,15,0,34,0,PG1154,POINT (-99.6739794 24.8838044)
219,"Huamantla, Tlaxcala",0,72,34,1687,0,PG1224,POINT (-97.9230236 19.313427)
220,"Huasca de Ocampo, Hidalgo",0,0,0,1,0,PG1186,POINT (-98.5552467331717 20.2231549)
221,"Huatabampo, Sonora",0,0,0,1042,1619,PG572,POINT (-109.6420085 26.8248431)
222,"Huautla, Hidalgo",0,2,0,0,0,,
223,"Huehuetoca, Estado de Mexico",0,16,176,349,2202,PG1147,POINT (-99.2044638 19.833375)
224,"Huehuetan, Chiapas",951,6188,8326,14693,20679,PG1530,POINT (-92.4286697906319 15.0217164)
225,"Huejotzingo, Puebla",1,0,0,0,0,,
226,"Huejutla de Reyes, Hidalgo",0,15,0,0,0,,
227,"Hueyapan de Ocampo, Veracruz",0,5,8,0,0,,
228,"Hueyapan, Puebla",1,0,0,0,0,,
229,"Hueyotlipan, Tlaxcala",0,0,18,14,0,PG1185,POINT (-98.348056 19.469444)
230,"Huichapan, Hidalgo",1,281,106,0,110,,
231,"Huimanguillo, Tabasco",1567,18618,14598,86684,64851,PG1456,POINT (-93.6634408051158 17.7620967)
232,"Huitzilac, Morelos",0,2,0,0,0,,
233,"Huitzuco de los Figueroa, Guerrero",0,0,2,0,0,,
234,"Huixtla, Chiapas",938,2779,11276,23755,26336,PG1530,POINT (-92.5039970760447 15.122125)
235,"Ignacio Zaragoza, Chihuahua",0,0,1,0,0,,
236,"Iguala de la Independencia, Guerrero",0,3,0,0,0,,
237,"Igualapa, Guerrero",0,3,0,0,0,,
238,"Imuris, Sonora",0,0,0,7,149,PG538,POINT (-110.8463861 30.7874899)
239,"Irapuato, Guanajuato",0,2,8,43,0,PG1031,POINT (-101.3521052 20.6758761)
240,"Isla Mujeres, Quintana Roo",8,4,33,24,11,PG1851,POINT (-86.7350001 21.2371906)
241,"Isla, Veracruz",0,0,4,15,6,PG1339,POINT (-95.5281332 18.0276212)
242,"Iturbide, Nuevo Leon",2,54,0,0,0,,
243,"Ixhuatlan de Madero, Veracruz",0,14,0,0,0,,
244,"Ixhuatlan del Cafe, Veracruz",0,0,13,0,0,,
245,"Ixhuatlan del Sureste, Veracruz",0,8,0,2,10,,
246,"Ixmiquilpan, Hidalgo",20,33,0,1,1,PG1147,POINT (-99.218056 20.481944)
247,"Ixtacuixtla de Mariano Matamoros, Tlaxcala",49,1473,997,2544,346,PG1185,POINT (-98.3781581037396 19.34670365)
248,"Ixtaczoquitlan, Veracruz",0,0,3,2,0,PG1262,POINT (-97.0271071244907 18.85134015)
249,"Ixtapaluca, Estado de Mexico",0,0,171,11,0,PG1185,POINT (-98.8840481 19.3129326)
250,"Ixtenco, Tlaxcala",0,8,1,261,4,PG1224,POINT (-97.8947561 19.2518725)
251,"Iztapalapa, Ciudad de Mexico",737,4713,4563,6091,4380,PG1146,POINT (-99.0929294 19.3591195)
252,"Jalapa, Tabasco",0,6,341,7564,14162,PG1495,POINT (-92.812012 17.721716)
253,"Jalpa de Mendez, Tabasco",1,0,4,0,0,,
254,"Jalpan de Serra, Queretaro",0,7,0,0,0,,
255,"Jaltocan, Hidalgo",0,1,0,0,0,,
256,"Jamapa, Veracruz",0,0,9,0,0,,
257,"Janos, Chihuahua",6,253,300,116,2298,PG655,POINT (-108.1930484 30.8893267)
258,"Jantetelco, Morelos",0,0,2,3,25,PG1184,POINT (-98.7766172 18.7167516)
259,"Jaumave, Tamaulipas",0,13,345,538,89,PG1152,POINT (-99.3806698 23.40496)
260,"Jerez, Zacatecas",0,0,0,3,0,PG956,POINT (-103.00147264243 22.7105933)
