,nommun,2020,2021,2022,2023,2024,id_poligon,geometry
326,"Minatitlan, Veracruz",0,53,202,10,5,PG1417,POINT (-94.5567103 17.992773)
327,"Mineral de la Reforma, Hidalgo",2,3,6,22,0,PG1186,POINT (-98.7305724236319 20.06063885)
328,"Mixquiahuala de Juarez, Hidalgo",0,0,0,0,8,,
329,"Moloacan, Veracruz",0,268,1272,4202,233,PG1417,POINT (-94.2823290741812 17.9926405)
330,"Monclova, Coahuila",101,1172,2452,1204,3853,PG1040,POINT (-101.4171173 26.8999988)
331,"Montemorelos, Nuevo Leon",18,79,56,1,1,PG1115,POINT (-99.8293539 25.1886604)
332,"Monterrey, Nuevo Leon",230,3957,834,446,231,PG1116,POINT (-100.315258 25.6802019)
333,"Morelia, Michoacan",7,38,115,136,22,PG1029,POINT (-101.1923818 19.7027116)
334,"Motozintla, Chiapas",6,16,13,8,1,PG1530,POINT (-92.3488036187158 15.3050827)
335,"Mulege, Baja California Sur",1,8,1,0,0,,
336,"Munoz de Domingo Arenas, Tlaxcala",3,2,5,2,0,PG1224,POINT (-98.208056 19.474722)
337,"Merida, Yucatan",220,519,642,930,538,PG1694,POINT (-89.6237402 20.9670759)
338,"Nacajuca, Tabasco",2,1,32,0,0,,
339,"Namiquipa, Chihuahua",97,0,0,0,0,,
340,"Nanacamilpa de Mariano Arista, Tlaxcala",0,0,0,2,46,PG1185,POINT (-98.5432407645627 19.5080315)
341,"Nanchital de Lazaro Cardenas del Rio, Veracruz",0,0,80,0,0,,
342,"Naranjos Amatlan, Veracruz",15,0,0,21,0,PG1227,POINT (-97.6760013002664 21.3093326)
343,"Nativitas, Tlaxcala",0,0,1,17,0,PG1185,POINT (-98.314722 19.233333)
344,"Naucalpan de Juarez, Estado de Mexico",0,141,10,1,2,PG1146,POINT (-99.2327986 19.4788356)
345,"Nautla, Veracruz",0,9,0,0,0,,
346,"Navojoa, Sonora",0,0,0,834,330,PG611,POINT (-109.4438227 27.0721872)
347,"Navolato, Sinaloa",1,0,0,0,0,,
348,"Nazareno Etla, oaX.",0,7,0,0,0,,
349,"Nejapa de Madero, Oaxaca",6,0,0,0,3,,
350,"Nezahualcoyotl, Estado de Mexico",0,43,9,22,0,PG1146,POINT (-99.0181547 19.4079028)
351,"Nogales, Sonora",132,20,6,4084,1017,PG500,POINT (-110.9450472 31.3285057)
352,"Nogales, Veracruz",0,0,10,6,4,PG1262,POINT (-97.1627659 18.8226013)
353,"Nopala de Villagran, Hidalgo",0,65,14,0,0,,
354,"Nuevo Laredo, Tamaulipas",873,3297,521,143,0,PG1157,POINT (-99.5074055 27.4930466)
355,"Oaxaca de Juarez, Oaxaca",198,613,1111,1217,1815,PG1299,POINT (-96.7253575 17.0604663)
356,"Ocampo, Guanajuato",7,5,2,6,0,PG1032,POINT (-101.476239300191 21.6042823)
357,"Ocosingo, Chiapas",2,2,0,70,1699,PG1532,POINT (-92.092776 16.9057)
358,"Ocotlan de Morelos, Oaxaca",1,2,2,0,0,,
359,"Ocoyoacac, Estado de Mexico",0,0,5,3,0,PG1146,POINT (-99.4177778597143 19.2587373)
360,"Ocozocoautla de Espinosa, Chiapas",802,4260,3239,1227,1073,PG1454,POINT (-93.4569635533782 16.7931431)
361,"Ocuilan, Estado de Mexico",0,0,0,0,1,,
362,"Ojinaga, Chihuahua",393,511,602,101,29,PG887,POINT (-104.4128523 29.5654282)
363,"Omealca, Veracruz",0,0,2,0,0,,
364,"Opodepe, Sonora",0,0,0,0,828,,
365,"Orizaba, Veracruz",78,34,581,1100,4,PG1262,POINT (-97.1060062 18.8497366)
366,"Othon P. Blanco, Quintana Roo",47,330,616,347,354,PG1730,POINT (-88.8257581580335 18.43704555)
367,"Otumba, Estado de Mexico",1,0,0,0,0,,
368,"Ozuluama de Mascarenas, Veracruz",14,0,3,74,0,PG1227,POINT (-97.850556 21.661111)
369,"Pachuca de Soto, Hidalgo",93,213,148,42,101,PG1186,POINT (-98.7413535 20.1165413)
370,"Padilla, Tamaulipas",0,2,60,25,0,,
371,"Palenque, Chiapas",3309,8992,9860,7730,3527,PG1572,POINT (-91.980922 17.509188)
372,"Palizada, Campeche",0,0,86,21,0,PG1534,POINT (-92.0907089 18.2549484)
373,"Palmar de Bravo, Puebla",1,0,0,0,0,,
374,"Panotla, Tlaxcala",0,0,19,0,0,,
375,"Papalotla de Xicohtencatl, Tlaxcala",0,36,0,2,0,PG1224,POINT (-98.203889 19.168611)
376,"Papantla, Veracruz",0,3,121,48,0,PG1264,POINT (-97.3232777494493 20.4458721)
377,"Paraiso, Tabasco",0,1,24,4,1285,PG1495,POINT (-93.2125326 18.3987331)
378,"Paras, Nuevo Leon",0,0,0,13,0,PG1156,POINT (-99.5229954 26.4993853)
379,"Paso de Ovejas, Veracruz",0,0,6,0,0,,
380,"Pedro Escobedo, Queretaro",0,2,152,0,0,,
381,"Penjamillo, Michoacan",0,0,20,0,0,,
382,"Perote, Veracruz",6,25,0,2,0,PG1263,POINT (-97.2685344806973 19.51086405)
383,"Pesqueria, Nuevo Leon",0,385,421,93,21,PG1116,POINT (-100.0520621 25.7851361)
384,"Pichucalco, Chiapas",5,0,0,0,0,,
385,"Piedras Negras, Coahuila",4062,7817,20474,21530,5104,PG1081,POINT (-100.5148362 28.7041725)
386,"Pijijiapan, Chiapas",344,1003,4639,11296,20533,PG1492,POINT (-93.2080195 15.6849991)
387,"Pinotepa de Don Luis, Oaxaca",0,0,1,0,0,,
388,"Playa Vicente, Veracruz",0,0,11,0,0,,
389,"Playas de Rosarito, Baja California",49,20,14,38,17,PG189,POINT (-116.873307225176 32.25812915)
390,"Poza Rica de Hidalgo, Veracruz",0,100,24,129,21,PG1265,POINT (-97.4451247998728 20.53765745)
391,"Progreso de Obregon, Hidalgo",0,3,0,0,8,,
392,"Progreso, Yucatan",1,1,71,3,3,PG1695,POINT (-89.6636637 21.2822136)
393,"Puebla, Puebla",894,4891,6713,5069,4354,PG1223,POINT (-98.2069491554557 19.0384062279769)
394,"Pueblo Viejo, Veracruz",67,52,1015,484,120,PG1228,POINT (-97.8985550734824 22.1638426)
395,"Puente de Ixtla, Morelos",0,2,2,8,3,PG1145,POINT (-99.3192092 18.6171111)
396,"Puerto Morelos, Quintana Roo",5,0,0,0,0,,
397,"Puerto Penasco, Sonora",14,1,5,1,8,PG383,POINT (-113.531819 31.3170867)
398,"Puerto Vallarta, Jalisco",0,0,2,0,0,,
399,"Panuco, Veracruz",0,0,17,8,0,PG1228,POINT (-98.232957921869 22.08052495)
400,"Querendaro, Michoacan",0,1,0,0,0,,
401,"Queretaro, Queretaro",324,709,624,871,1964,PG1109,POINT (-100.3902245 20.5927744)
402,"Ramos Arizpe, Coahuila",2,0,0,0,0,,
403,"Reforma de Pineda, Oaxaca",7,0,2,0,0,,
404,"Reynosa, Tamaulipas",13285,17304,15142,6339,3831,PG1233,POINT (-98.2788191 26.0907673)
405,"Rosario, Sinaloa",0,369,44,0,3,,
406,"Rio Blanco, Veracruz",92,52,8,50,179,PG1262,POINT (-97.1522938888273 18.84522475)
407,"Rio Bravo, Tamaulipas",0,0,1,50,0,PG1233,POINT (-98.0945766 25.988981)
408,"Sabinas Hidalgo, Nuevo Leon",2,0,18,0,1,,
409,"Salamanca, Guanajuato",0,0,0,6,0,PG1031,POINT (-101.192444 20.571358)
410,"Salina Cruz, Oaxaca",67,184,158,155,413,PG1375,POINT (-95.195833 16.1825)
411,"Salinas Victoria, Nuevo Leon",1,0,318,18,41,PG1117,POINT (-100.327087699587 26.1216805)
412,"Saltillo, Coahuila",782,5895,5056,925,410,PG1077,POINT (-100.9927509 25.4230425)
413,"Salto de Agua, Chiapas",27,1259,226,9,9,PG1533,POINT (-92.2248024988609 17.4348976)
414,"Salvatierra, Guanajuato",0,0,1,0,0,,
415,"San Agustin de las Juntas, Oaxaca",0,0,23,2,6,PG1299,POINT (-96.7092291 17.005436)
416,"San Andres Huaxpaltepec, Oaxaca",0,0,0,31,0,PG1220,POINT (-97.9346251942668 16.3411829)
417,"San Andres Tuxtla, Veracruz",0,141,64,102,20,PG1379,POINT (-95.1983153392005 18.4633672)
418,"San Antonio de la Cal, Oaxaca",0,3,2,1,18,PG1299,POINT (-96.700556 17.028333)
419,"San Bartolo Coyotepec, Oaxaca",154,138,29,5,40,PG1298,POINT (-96.7066199 16.9575983)
420,"San Bartolo Soyaltepec, Oaxaca",0,0,0,36,0,PG1260,POINT (-97.3119436609311 17.57706925)
421,"San Carlos Yautepec, Oaxaca",0,16,0,0,27,,
422,"San Cristobal Suchixtlahuaca, Oaxaca",0,0,0,4,0,PG1261,POINT (-97.3666425 17.7265261)
423,"San Cristobal de las Casas, Chiapas",414,2790,1080,700,3,PG1532,POINT (-92.6155184199116 16.6835469)
424,"San Diego de la Union, Guanajuato",0,0,27,0,2,,
425,"San Dionisio Ocotepec, Oaxaca",0,14,0,7,0,PG1298,POINT (-96.3960971 16.7975187)
426,"San Dionisio del Mar, Oaxaca",0,0,19,0,0,,
427,"San Felipe, Baja California",0,0,6,5,2,PG305,POINT (-114.839607 31.0269529)
428,"San Fernando, Tamaulipas",0,1,182,703,141,PG1232,POINT (-98.1473493 24.8466769)
429,"San Francisco Huehuetlan, Oaxaca",0,0,0,0,1,,
430,"San Francisco Ixhuatan, Oaxaca",9,0,0,0,0,,
431,"San Francisco Lachigolo, Oaxaca",18,32,0,0,0,,
432,"San Francisco Telixtlahuaca, Oaxaca",0,23,4,49,72,PG1260,POINT (-96.9056112 17.296628)
433,"San Francisco Tetlanohcan, Tlaxcala",0,0,0,0,1,,
434,"San Francisco de los Romo, Aguascalientes",5,2,0,18,0,PG994,POINT (-102.2707133 22.0746282)
435,"San Ignacio, Sinaloa",0,0,0,0,1,,
436,"San Jacinto Amilpas, Oaxaca",4,1,0,45,26,PG1299,POINT (-96.7606784 17.1011376)
437,"San Jeronimo Tlacochahuaya, Oaxaca",1,0,0,0,0,,
438,"San Jeronimo Zacualpan, Tlaxcala",0,0,1,4,0,PG1224,POINT (-98.261389 19.240833)
439,"San Jose Teacalco, Tlaxcala",0,14,6,0,0,,
440,"San Jose Tenango, Oaxaca",0,0,0,115,0,PG1300,POINT (-96.716667 18.15)
441,"San Juan Bautista Coixtlahuaca, Oaxaca",3,259,91,0,0,,
442,"San Juan Bautista Cuicatlan, Oaxaca",0,81,0,0,9,,
443,"San Juan Bautista Guelache, Oaxaca",0,1,0,0,0,,
444,"San Juan Bautista Tuxtepec, Oaxaca",32,256,242,108,0,PG1339,POINT (-96.1227767 18.0874632)
445,"San Juan Evangelista, Veracruz",0,0,4,1,0,PG1378,POINT (-95.2304293935886 17.76252635)
446,"San Juan Guichicovi, Oaxaca",119,172,132,0,6,,
447,"San Juan Huactzinco, Tlaxcala",0,0,0,1,0,PG1224,POINT (-98.2520375 19.2329326)
448,"San Juan del Rio, Queretaro",0,108,1098,1303,275,PG1108,POINT (-99.9931982 20.3867547)
449,"San Lorenzo Cacaotepec, Oaxaca",5,42,1,2,0,PG1299,POINT (-96.8017692 17.1278714)
450,"San Luis Potosi, San Luis Potosi",1249,7988,5994,4067,2117,PG1072,POINT (-100.9755186563027 22.154834238876298)
451,"San Luis Rio Colorado, Sonora",214,96,24,67,1,PG307,POINT (-114.7652542 32.4517957)
452,"San Luis de la Paz, Guanajuato",0,0,0,65,0,PG1071,POINT (-100.516269 21.2970466)
453,"San Marcos, Guerrero",0,0,232,379,1374,PG1142,POINT (-99.390341851477 16.85734375)
454,"San Martin Texmelucan, Puebla",0,6,0,0,0,,
455,"San Martin de las Piramides, Estado de Mexico",0,0,32,0,0,,
456,"San Miguel de Allende, Guanajuato",71,896,826,16,0,PG1070,POINT (-100.743784 20.9142238)
457,"San Miguel del Puerto, Oaxaca",0,0,0,0,127,,
458,"San Nicolas de los Garza, Nuevo Leon",7,30,6,50,0,PG1116,POINT (-100.289648 25.7558021)
459,"San Pablo Etla, Oaxaca",0,14,0,35,40,PG1299,POINT (-96.7644253 17.1450449)
460,"San Pablo Huitzo, Oaxaca",96,920,539,728,162,PG1299,POINT (-96.8866692 17.2777969)
461,"San Pablo Villa de Mitla, Oaxaca",2,50,0,0,0,,
462,"San Pablo del Monte, Tlaxcala",0,135,2,2,0,PG1224,POINT (-98.1653957169548 19.12695185)
463,"San Pedro Comitancillo, Oaxaca",1,0,0,0,0,,
464,"San Pedro Garza Garcia, Nuevo Leon",6,6,1,1,0,PG1077,POINT (-100.4018251 25.6651753)
465,"San Pedro Ixtlahuaca, Oaxaca",0,0,0,1,0,PG1299,POINT (-96.818056 17.063056)
466,"San Pedro Mixtepec -Dto. 22 -, Oaxaca",8,1,183,3,9,PG1297,POINT (-96.2825 16.271111)
467,"San Pedro Pochutla, Oaxaca",0,1,2,36,20,PG1297,POINT (-96.465278 15.744444)
468,"San Pedro Tapanatepec, Oaxaca",735,1826,2521,283,1013,PG1415,POINT (-94.1927528 16.3689223)
469,"San Pedro Tlaquepaque, Jalisco",1,0,8,0,0,,
470,"San Pedro Totolapam, Oaxaca",2,60,0,20,0,PG1258,POINT (-97.0043148 15.8659835)
471,"San Quintin, Baja California",0,0,0,3,33,,
472,"San Raymundo Jalpan, Oaxaca",1,0,0,0,0,,
473,"San Salvador, Hidalgo",0,0,1,0,0,,
474,"San Sebastian Tutla, Oaxaca",0,77,11,3,0,PG1299,POINT (-96.672222 17.059722)
475,"Sanctorum de Lazaro Cardenas, Tlaxcala",0,237,48,13,0,PG1185,POINT (-98.471944 19.4925)
476,"Santa Ana, Sonora",0,0,0,12357,1495,PG499,POINT (-111.1184881 30.5410922)
477,"Santa Apolonia Teacalco, Tlaxcala",0,4,0,0,0,,
478,"Santa Catarina, Nuevo Leon",119,45,208,167,33,PG1077,POINT (-100.4616371 25.6745052)
479,"Santa Cruz Amilpas, Oaxaca",12,0,0,0,0,,
480,"Santa Cruz Quilehtla, Tlaxcala",0,0,0,9,2,PG1224,POINT (-98.221111 19.212222)
481,"Santa Cruz Tlaxcala, Tlaxcala",0,0,26,2,42,,
482,"Santa Cruz Xoxocotlan, Oaxaca",12,5,118,750,390,PG1299,POINT (-96.733333 17.026389)
483,"Santa Lucia del Camino, Oaxaca",4,11,19,6,41,PG1299,POINT (-96.693333 17.0625)
484,"Santa Maria Atzompa, Oaxaca",4,3,1,4,0,PG1299,POINT (-96.7777739 17.1011053)
485,"Santa Maria Colotepec, Oaxaca",0,0,1,0,0,,
486,"Santa Maria Coyotepec, Oaxaca",0,4,0,9,14,PG1298,POINT (-96.7108042440475 16.9716988)
487,"Santa Maria Ecatepec, Oaxaca",0,0,4,0,14,,
488,"Santa Maria Huatulco, Oaxaca",177,105,61,163,213,PG1297,POINT (-96.3214401 15.8337711)
489,"Santa Maria Jalapa del Marques, Oaxaca",245,369,817,1265,237,PG1376,POINT (-95.4448148 16.4403557)
490,"Santa Maria Mixtequilla, Oaxaca",1,0,0,37,0,PG1376,POINT (-95.259722 16.374444)
491,"Santa Maria Tonameca, Oaxaca",0,1,0,1,0,PG1297,POINT (-96.547222 15.745833)
492,"Santa Maria del Oro, Nayarit",5,105,168,0,0,,
493,"Santa Maria del Tule, Oaxaca",68,0,0,1,0,PG1299,POINT (-96.6334574 17.0476822)
494,"Santiago Juxtlahuaca, Oaxaca",2,0,0,1,0,PG1221,POINT (-98.010574 17.334443)
495,"Santiago Laollaga, Oaxaca",0,3,0,0,0,,
496,"Santiago Matatlan, Oaxaca",3,66,14,0,0,,
497,"Santiago Niltepec, Oaxaca",9,339,317,14,0,PG1415,POINT (-94.6131085 16.5614134)
498,"Santiago Pinotepa Nacional, Oaxaca",0,0,0,7,0,PG1220,POINT (-98.0536701 16.3406076)
499,"Santiago Suchilquitongo, Oaxaca",0,17,0,0,0,,
500,"Santiago Tulantepec de Lugo Guerrero, Hidalgo",1,0,0,0,0,,
501,"Santiago Yaveo, Oaxaca",0,24,5,0,0,,
502,"Santiago de Anaya, Hidalgo",0,0,0,0,5,,
503,"Santiago, Nuevo Leon",13,11,43,23,6,PG1116,POINT (-100.1513376 25.4243595)
504,"Santo Domingo Ingenio, Oaxaca",20,11,0,0,0,,
505,"Santo Domingo Tehuantepec, Oaxaca",74,486,415,222,217,PG1376,POINT (-95.2468005 16.3172613)
506,"Santo Domingo Yanhuitlan, Oaxaca",0,0,2,44,0,PG1260,POINT (-97.3421502 17.5273478)
507,"Santo Domingo Zanatepec, Oaxaca",111,5,11,0,0,,
508,"Santo Tomas Hueyotlipan, Puebla",1,0,0,0,0,,
509,"Sayula de Aleman, Veracruz",1,1073,129,9311,58,PG1378,POINT (-94.954397521018 17.74768255)
510,"Seybaplaya, Campeche",0,0,28,13,0,PG1614,POINT (-90.6253669555515 19.60337225)
511,"Siltepec, Chiapas",2,0,0,1,0,PG1530,POINT (-92.3226035 15.5561492)
512,"Singuilucan, Hidalgo",0,0,1,0,0,,
513,"Soconusco, Veracruz",0,138,9,0,0,,
514,"Soledad Etla, Oaxaca",0,0,4,0,0,,
515,"Soledad de Doblado, Veracruz",0,0,19,3,0,PG1301,POINT (-96.4233756 19.0452067)
516,"Solidaridad, Quintana Roo",18,151,147,166,243,PG1811,POINT (-87.5034526829676 20.5843747)
517,"Soltepec, Puebla",0,97,0,0,0,,
518,"Soteapan, Veracruz",0,25,0,0,0,,
519,"Soto la Marina, Tamaulipas",2,20,7,54,0,PG1230,POINT (-98.0502640007194 23.87599915)
520,"Soyaniquilpan de Juarez, Estado de Mexico",107,17,23,0,0,,
521,"Suchiate, Chiapas",3561,6338,28889,28203,32270,PG1529,POINT (-92.241963360953 14.6321744)
522,"Saric, Sonora",4,0,0,0,0,,
523,"Tacotalpa, Tabasco",0,33,387,9051,14778,PG1494,POINT (-92.8253388 17.5952197)
524,"Tacambaro, Michoacan",0,0,1,0,0,,
525,"Tampico Alto, Veracruz",2,381,0,0,0,,
526,"Tampico, Tamaulipas",1083,2019,133,47,51,PG1228,POINT (-97.8577713 22.2157619)
527,"Tantoyuca, Veracruz",0,0,4,0,0,,
528,"Tapachula, Chiapas",6260,16334,45672,70665,87845,PG1530,POINT (-92.2609265 14.9042905)
529,"Tasquillo, Hidalgo",0,0,11,0,0,,
530,"Teapa, Tabasco",12,21,632,9916,14582,PG1494,POINT (-92.9480504 17.5566526)
531,"Tecate, Baja California",15,15,8,738,2457,PG190,POINT (-116.6298787 32.5653831)
532,"Tecolutla, Veracruz",0,9,21,2,0,PG1264,POINT (-96.9936370355502 20.41847865)
533,"Tecoman, Colima",0,0,2,0,0,,
534,"Tecozautla, Hidalgo",15,1,0,0,0,,
535,"Tecpatan, Chiapas",369,0,4,0,0,,
536,"Tecamac, Estado de Mexico",0,0,0,2,0,PG1185,POINT (-98.968354 19.7115011)
537,"Tehuacan, Puebla",2,0,3,0,0,,
538,"Temixco, Morelos",0,0,5,7,0,PG1145,POINT (-99.2236369 18.8449428)
539,"Tenabo, Campeche",0,0,0,21,0,PG1654,POINT (-90.2254956 20.0406607)
540,"Tenancingo, Tlaxcala",0,0,0,0,44,,
541,"Tenango del Valle, Estado de Mexico",1,0,0,0,1,,
542,"Tenosique, Tabasco",2950,10718,5415,39620,29570,PG1572,POINT (-91.4220212 17.4707129)
543,"Teopisca, Chiapas",2,0,0,1,0,PG1532,POINT (-92.4736561 16.5420839)
544,"Teotihuacan, Estado de Mexico",2,0,0,0,0,,
545,"Teotitlan de Flores Magon, Oaxaca",0,0,19,0,6,,
546,"Teotitlan del Valle, Oaxaca",0,1,21,0,0,,
547,"Tepeaca, Puebla",2,0,0,0,0,,
548,"Tepeapulco, Hidalgo",180,322,671,35,5,PG1185,POINT (-98.5522855 19.7875962)
549,"Tepeji del Rio de Ocampo, Hidalgo",7,415,429,788,7,PG1147,POINT (-99.3487181526625 19.89368265)
550,"Tepelmeme Villa de Morelos, Oaxaca",0,31,75,0,0,,
551,"Tepetitlan, Hidalgo",0,39,85,0,106,,
552,"Tepic, Nayarit",49,254,161,219,149,PG837,POINT (-104.8915889 21.5119156)
553,"Tepotzotlan, Estado de Mexico",201,1519,1899,4934,2061,PG1146,POINT (-99.2230683 19.7173392)
554,"Tepoztlan, Morelos",0,0,1,1,0,PG1145,POINT (-99.1025453272487 18.9914959)
555,"Tequisquiapan, Queretaro",0,120,3,0,0,,
556,"Tetla de la Solidaridad, Tlaxcala",0,3,0,2,1,PG1224,POINT (-98.103333 19.440556)
557,"Texcoco, Estado de Mexico",0,137,4,153,119,PG1185,POINT (-98.8821254 19.5144327)
558,"Texistepec, Veracruz",0,57,0,7,0,PG1378,POINT (-94.816389 17.894167)
559,"Tezonapa, Veracruz",0,0,0,6,0,PG1301,POINT (-96.782341148248 18.5587309)
560,"Tezontepec de Aldama, Hidalgo",1,0,0,0,0,,
561,"Tianguistenco, Estado de Mexico",0,0,1,0,2,,
562,"Tierra Blanca, Veracruz",160,22,50,13,4,PG1301,POINT (-96.2152007748733 18.5272475)
563,"Tihuatlan, Veracruz",0,7,0,35,0,PG1265,POINT (-97.5367859622192 20.716735)
564,"Tijuana, Baja California",1424,29615,34723,27405,25642,PG190,POINT (-117.019529 32.5317397)
565,"Tizayuca, Hidalgo",0,0,35,15,72,PG1186,POINT (-98.9815648 19.841245)
566,"Tizimin, Yucatan",0,0,1,0,0,,
567,"Tlacolula de Matamoros, Oaxaca",17,37,298,351,505,PG1298,POINT (-96.4611074593091 16.9314623)
568,"Tlacotalpan, Veracruz",0,1,0,0,0,,
569,"Tlahuelilpan, Hidalgo",0,0,0,0,2,,
570,"Tlahuiltepa, Hidalgo",1,0,0,0,0,,
571,"Tlajomulco de Zuniga, Jalisco",0,0,509,113,1,PG913,POINT (-103.400509663829 20.48187375)
572,"Tlalmanalco, Estado de Mexico",0,0,3,0,0,,
573,"Tlalnepantla de Baz, Estado de Mexico",18,28,313,75,37,PG1146,POINT (-99.1899352247449 19.54649025)
574,"Tlaxcala, Tlaxcala",1,540,36,3,2,PG1224,POINT (-98.166667 19.416667)
575,"Tlaxco, Tlaxcala",10,1584,4,48,3,PG1224,POINT (-98.1707601011239 19.62058645)
576,"Tlaxcoapan, Hidalgo",0,1,0,0,1,,
577,"Tocatlan, Tlaxcala",0,408,5,8,0,PG1224,POINT (-98.03 19.389167)
578,"Tolcayuca, Hidalgo",0,43,95,0,4,PG1186,POINT (-98.920278 19.956667)
579,"Toliman, Queretaro",0,114,5,0,0,,
580,"Toluca, Estado de Mexico",13,304,299,754,755,PG1146,POINT (-99.6569007 19.292545)
581,"Tonala, Chiapas",107,342,270,230,128,PG1453,POINT (-93.7546502 16.0894476)
582,"Tonayan, Veracruz",0,24,0,0,0,,
583,"Torreon, Coahuila",114,626,2554,824,1606,PG921,POINT (-103.410512 25.542698)
584,"Totolac, Tlaxcala",0,0,0,0,4,,
585,"Trancoso, Zacatecas",0,0,0,99,21,PG995,POINT (-102.3667969 22.7353025)
586,"Tres Valles, Veracruz",0,0,39,2,0,PG1339,POINT (-96.1664119682439 18.2921576)
587,"Trinidad Zaachila, Oaxaca",0,0,6,1,0,PG1298,POINT (-96.765 16.921389)
588,"Tubutama, Sonora",0,0,0,0,19,,
589,"Tula de Allende, Hidalgo",12,198,59,76,25,PG1147,POINT (-99.3729561601143 20.0489487)
590,"Tula, Tamaulipas",0,0,11,0,0,,
591,"Tulancingo de Bravo, Hidalgo",27,162,38,19,27,PG1186,POINT (-98.3475328 20.0792094)
592,"Tultitlan, Estado de Mexico",0,28,7,0,0,,
593,"Tulum, Quintana Roo",0,4,8,13,6,PG1810,POINT (-87.4495481261673 20.1692965)
594,"Tuxpan, Veracruz",0,139,93,218,14,PG1265,POINT (-97.4073817712075 20.95647915)
595,"Tuxtla Chico, Chiapas",2594,2450,2853,19703,4291,PG1529,POINT (-92.1967524545976 14.8768619)
596,"Tuxtla Gutierrez, Chiapas",1884,10154,6858,10266,17637,PG1493,POINT (-93.115959 16.753801)
597,"Tzompantepec, Tlaxcala",1,5,6,33,10,PG1224,POINT (-98.086162281471 19.38326045)
598,"Tecpan de Galeana, Guerrero",1,0,0,0,0,,
599,"Uman, Yucatan",0,0,14,0,0,,
600,"Union Hidalgo, Oaxaca",2,7,22,0,0,,
601,"Union Juarez, Chiapas",0,87,277,2675,4556,PG1530,POINT (-92.0925428079992 15.07074175)
602,"Ursulo Galvan, Veracruz",0,7,0,0,0,,
603,"Uruapan, Michoacan",0,0,3,1,0,PG990,POINT (-102.0522647 19.4147269)
604,"Valladolid, Yucatan",0,0,1,5,0,PG1772,POINT (-88.2016999 20.6902505)
605,"Vallecillo, Nuevo Leon",0,0,120,0,1,,
606,"Vega de Alatorre, Veracruz",0,17,0,0,0,,
607,"Venustiano Carranza, Ciudad de Mexico",0,3,1045,1828,573,PG1146,POINT (-99.1135639 19.4192787)
608,"Venustiano Carranza, Chiapas",0,83,0,0,0,,
609,"Veracruz, Veracruz",160,2035,1468,2063,79,PG1302,POINT (-96.666667 19.333333)
610,"Victoria, Tamaulipas",13,241,172,33,22,PG1152,POINT (-99.1441352 23.7389846)
611,"Villa Aldama, Veracruz",0,2,0,3,0,PG1263,POINT (-97.2228382 19.6489805)
612,"Villa Comaltitlan, Chiapas",0,4,340,1823,1178,PG1530,POINT (-92.6128862908011 15.1709732)
613,"Villa Corzo, Chiapas",1,74,658,380,0,PG1492,POINT (-93.2650025252038 16.0631888)
614,"Villa Tejupam de la Union, Oaxaca",0,0,0,2,0,PG1260,POINT (-97.470833 17.6625)
615,"Villa de Cos, Zacatecas",0,0,0,0,10,,
616,"Villa de Etla, Oaxaca",20,17,0,2,92,PG1299,POINT (-96.7981939 17.2057678)
617,"Villa de Tamazulapam del Progreso, Oaxaca",0,0,0,2,0,PG1260,POINT (-97.5720083 17.6748203)
618,"Villa de Tezontepec, Hidalgo",6,18,146,17,0,PG1186,POINT (-98.8003276778997 19.9143587)
619,"Villa de Tututepec, Oaxaca",0,0,0,37,0,PG1219,POINT (-97.6080871 16.1303062)
620,"Villa de Zaachila, Oaxaca",0,2,0,78,111,PG1298,POINT (-96.749167 16.950833)
621,"Villa de Alvarez, Colima",0,0,0,2,0,PG912,POINT (-103.736013 19.2651417)
622,"Villaflores, Chiapas",32,8,72,2,0,PG1493,POINT (-93.3589334041931 16.37550225)
623,"Villaldama, Nuevo Leon",0,0,0,0,1,,
624,"Xalapa, Veracruz",0,323,63,103,0,PG1263,POINT (-96.9146374 19.5408338)
625,"Xalatlaco, Estado de Mexico",0,0,0,2,0,PG1146,POINT (-99.4145622 19.1843821)
626,"Xalisco, Nayarit",0,0,0,0,5,,
627,"Xaloztoc, Tlaxcala",10,0,391,2301,939,PG1224,POINT (-98.048611 19.403611)
628,"Xaltocan, Tlaxcala",0,0,0,301,42,,
629,"Xicotepec, Puebla",0,0,1,0,0,,
630,"Xochitepec, Morelos",2,0,3,3,1,PG1145,POINT (-99.2308448 18.7831747)
631,"Yanga, Veracruz",0,0,1,62,0,PG1301,POINT (-96.7992608 18.8313634)
632,"Yauhquemehcan, Tlaxcala",0,41,31,98,0,PG1224,POINT (-98.1824244 19.4057444)
633,"Yautepec, Morelos",0,5,0,0,2,,
634,"Zacatecas, Zacatecas",741,2938,2242,982,391,PG1223,POINT (-98.2024861642833 19.0390187823288)
635,"Zacatelco, Tlaxcala",2,4,434,8,5,PG1224,POINT (-98.239722 19.215833)
636,"Zacualtipan de Angeles, Hidalgo",0,0,2,0,0,,
637,"Zapopan, Jalisco",1,0,0,0,0,,
638,"Zapotlanejo, Jalisco",0,0,270,0,0,,
639,"Zapotlan el Grande, Jalisco",0,0,0,1,0,PG912,POINT (-103.510648021864 19.6973465)
640,"Zaragoza, Veracruz",0,0,4,0,0,,
641,"Zempoala, Hidalgo",0,1,0,0,2,,
