name,descripcion,latitud,longitud,coordenadas,tipo,direccion,bd
Comisión Nacional de los Derechos Humanos,CNDH,19.2978697,-99.2121322,"(19.2978697, -99.2121322)",OSC / ONG,"Carretera Picacho- Ajusco 238, Col. Jardines de las Montaña. C.P. 14210 Ciudad de México, México",Directorio OIM
Comisión Nacional de los Derechos Humanos,CNDH,19.43942045,-99.13470004998297,"(19.43942045, -99.13470004998297)",OSC / ONG,"República de Cuba 60, Col. Centro Histórico C.P. 06010, Ciudad de México, México",Directorio OIM
Oficina de la Comisión Nacional de Derechos Humanos,CNDH,19.3349129,-99.2043226,"(19.3349129, -99.2043226)",OSC / ONG,"Río Magdalena 108, Col. Tizapán San Ángel C.P. 01090 Ciudad de México, México",Directorio OIM
Comisión de Derechos Humanos del Distrito Federal,CNDH,19.354937,-99.1749927,"(19.354937, -99.1749927)",OSC / ONG,"Avenid Universidad No. 1449, Col. Florida, Pueblo de Axotla, Deleg. Álvaro Obregón, C.P. 01030, Ciudad de México",Directorio OIM
Comisión de Derechos Humanos del Estado de Coahuila,CNDH,,,"(nan, nan)",OSC / ONG,"Hidalgo 303, esquina con Aldama, Zona Centro, C.P. 25000, Saltillo Coahuila",Directorio OIM
Oficina de la Comisión Nacional de Derechos Humanos,CNDH,25.5538334,-103.4543634,"(25.5538334, -103.4543634)",OSC / ONG,"Eulogio Ortiz 32, Col. Ampliación Los Ángeles. Torreón, Coahuila. C.P 27140",Directorio OIM
Comisión de Derechos Humanos del Estado de Colima,CNDH,19.2340533,-103.7294894,"(19.2340533, -103.7294894)",OSC / ONG,"Degollado No. 79, Colima, Zona Centro, C.P. 28000, Colima, Colima.",Directorio OIM
Comisión Estatal de Derechos Humanos de Durango,CNDH,,,"(nan, nan)",OSC / ONG,"Cerro Gordo No. 32, int. 13, Frac. Lomas del Parque, Edificio del Bosque, C.P. 34100, Durango, Durango.",Directorio OIM
Comisión de Derechos Humanos del Estado de México,CNDH,,,"(nan, nan)",OSC / ONG,"Avenida Dr. Nicolás San Juan No. 113, Col. Ex Rancho Cuauhtémoc, C.P. 50010, Toluca, Estado de Mexico.",Directorio OIM
Procuraduría de los Derechos Humanos del Estado de Guanajuato,CNDH,21.1025899,-101.6689706,"(21.1025899, -101.6689706)",OSC / ONG,"Avenida Guty Cárdenas No. 1444, Col. Puerta San Rafael, C.P. 37480, León, Guanajuato.",Directorio OIM
