name,descripcion,latitud,longitud,coordenadas,tipo,direccion,bd
Jesús Torres,Albergue / Comedor,,,"(nan, nan)",OSC / ONG,"Yucatán 171, Col. Las Julietas C.P. 27296",Directorio OIM
Diocesana de Torreón,Albergue / Comedor,32.4649811,-117.0067088,"(32.4649811, -117.0067088)",OSC / ONG,"Av. La Paz 300, Col. Nueva California C.P. 27089",Directorio OIM
San Juan Diego,Albergue / Comedor,,,"(nan, nan)",OSC / ONG,"Camino Tequixquiac Km 50.5, Barrio San Bartolo C.P. 54680",Directorio OIM
ABBA,Albergue / Comedor,20.3641739,-101.9746263,"(20.3641739, -101.9746263)",OSC / ONG,"Eufemio Zapata 216, Col. Emiliano Zapata C.P. 03800",Directorio OIM
San Juan de Dios,Albergue / Comedor,20.6999218,-101.3497475,"(20.6999218, -101.3497475)",OSC / ONG,"Río Silao 1897, esq. Río Balsas, Col. La Pradera C.P. 36670",Directorio OIM
San Carlos Borromeo,Albergue / Comedor,20.3781593,-101.1593774,"(20.3781593, -101.1593774)",OSC / ONG,"2a Privada de Morelon 107, Col. Guanajuato C.P. 36780",Directorio OIM
"Manos Extendidas a los Necesitados, A.C.",Albergue / Comedor,20.5275419,-100.8030489,"(20.5275419, -100.8030489)",OSC / ONG,"16 de Septiembre 428-A, Barrio del Zapote C.P. 38057",Directorio OIM
Casa del Migrante “El Samaritano”,Albergue / Comedor,,,"(nan, nan)",OSC / ONG,"Estación Bojay s/n, Barrio el Carbonal (Enfrente de las vías del tren) C.P. 42827",Directorio OIM
Santo Toribio,Albergue / Comedor,21.3680904,-101.9280848,"(21.3680904, -101.9280848)",OSC / ONG,"Hernando de Martell 14-A, Col. La Luz C.P. 47400",Directorio OIM
El Refugio,Albergue / Comedor,,,"(nan, nan)",OSC / ONG,"Constitución 350, entre Melchor Ocampo e Ignacio Mejía, Col. Cerro del Cuatro C.P. 45599",Directorio OIM
"Dignidad y Justicia en el Camino, A.C.",Albergue / Comedor,20.6674802,-103.3790077,"(20.6674802, -103.3790077)",OSC / ONG,Calderón de la Barca 468-A Col. Arcos Vallarta C.P. 44130,Directorio OIM
