,Unnamed: 0,name,tipo,sub_tipo,latitud,longitud,ciudad,estado,id_poligon,region,geometry
35,35,Piedras Negras Estacion Provisional,INM,Estacion Migratoria INM,28.68038027,-100.573504,Piedras Negras,Coahuila,PG1081,Centro,POINT (-100.573504 28.68038027)
36,36,Playas de Catazaja Estacion Provisional,INM,Estacion Migratoria INM,17.7212181,-92.01599121,Playas de Catazaja,Chiapas,PG1534,Golfo,POINT (-92.01599121 17.7212181)
37,37,Playas de Catazaja Estacion Provisional,INM,Estacion Migratoria INM,17.7212181,-92.01599121,Playas de Catazaja,Chiapas,PG1534,Sur,POINT (-92.01599121 17.7212181)
38,38,Puebla Estacion Migratoria,INM,Estacion Migratoria INM,19.05984639,-98.2273221,Puebla,Puebla,PG1223,Centro,POINT (-98.2273221 19.05984639)
39,39,Saltillo Estacion Migratoria,INM,Estacion Migratoria INM,25.42244306,-100.9447861,Saltillo,Coahuila,PG1077,Golfo,POINT (-100.9447861 25.42244306)
40,40,Saltillo Estacion Migratoria,INM,Estacion Migratoria INM,25.42244306,-100.9447861,Saltillo,Coahuila,PG1077,Centro,POINT (-100.9447861 25.42244306)
41,41,San Cristobal de las Casas Estacion Provisional,INM,Estacion Migratoria INM,16.73446159,-92.6491642,San Cristobal de las Casas,Chiapas,PG1532,Sur,POINT (-92.6491642 16.73446159)
42,42,San Gregorio Chamic Estacion Provisional,INM,Estacion Migratoria INM,15.68022929,-92.00569153,San Gregorio Chamic,Chiapas,PG1531,Sur,POINT (-92.00569153 15.68022929)
43,43,San Luis Potosi Estacion Migratoria,INM,Estacion Migratoria INM,22.14359738,-100.9977651,San Luis Potosi,San Luis Potosi,PG1072,Centro,POINT (-100.9977651 22.14359738)
44,44,San Pedro Tapanatepec Estacion Provisional,INM,Estacion Migratoria INM,16.36976245,-94.19235706,San Pedro Tapanatepec,Oaxaca,PG1415,Sur,POINT (-94.19235706 16.36976245)
45,45,Tampico Estacion Migratoria,INM,Estacion Migratoria INM,22.26319396,-97.79580295,Tampico,Veracruz,PG1228,Golfo,POINT (-97.79580295 22.26319396)
46,46,Tapachula Estacion Migratoria (Siglo XXI),INM,Estacion Migratoria INM,14.92019548,-92.25910664,Tapachula,Chiapas,PG1530,Sur,POINT (-92.25910664 14.92019548)
47,47,Tenosique Estacion Migratoria,INM,Estacion Migratoria INM,17.45776516,-91.44521713,Tenosique,Tabasco,PG1572,Golfo,POINT (-91.44521713 17.45776516)
48,48,Tenosique Estacion Migratoria,INM,Estacion Migratoria INM,17.45776516,-91.44521713,Tenosique,Tabasco,PG1572,Sur,POINT (-91.44521713 17.45776516)
49,49,Tijuana Estacion Migratoria,INM,Estacion Migratoria INM,32.4713011,-117.0136857,Tijuana,Baja California,PG190,Pacifico,POINT (-117.0136857 32.4713011)
50,50,Tlaxcala Estacion Migratoria,INM,Estacion Migratoria INM,19.33662649,-98.19339752,Tlaxcala,Puebla,PG1224,Centro,POINT (-98.19339752 19.33662649)
51,51,Torreon Estacion Provisional,INM,Estacion Migratoria INM,25.5388592,-103.4533536,Torreon,Coahuila,PG921,Centro,POINT (-103.4533536 25.5388592)
52,52,Tuxtla Gutierrez Estacion Migratoria,INM,Estacion Migratoria INM,16.75392043,-93.10526848,Tuxtla Gutierrez,Chiapas,PG1493,Sur,POINT (-93.10526848 16.75392043)
53,53,Veracruz Estacion Migratoria,INM,Estacion Migratoria INM,19.19948516,-96.14011288,Veracruz,Veracruz,PG1341,Golfo,POINT (-96.14011288 19.19948516)
54,54,Villahermosa Estacion Migratoria,INM,Estacion Migratoria INM,17.9899559,-92.9429324,Villahermosa,Chiapas,PG1495,Golfo,POINT (-92.9429324 17.9899559)
55,55,Zacatecas Estacion Migratoria,INM,Estacion Migratoria INM,22.76581404,-102.5780582,Zacatecas,Aguascalientes,PG956,Centro,POINT (-102.5780582 22.76581404)
56,56,Zihuatanejo Estacion Migratoria,INM,Estacion Migratoria INM,17.64424696,-101.5539694,Zihuatanejo,Guerrero,PG1026,Pacifico,POINT (-101.5539694 17.64424696)
