ID_Poligono,geometry
PG82,"POLYGON ((-117 10, -116 10, -116 9, -117 9, -117 10))"
PG83,"POLYGON ((-117 11, -116 11, -116 10, -117 10, -117 11))"
PG84,"POLYGON ((-117 12, -116 12, -116 11, -117 11, -117 12))"
PG85,"POLYGON ((-117 13, -116 13, -116 12, -117 12, -117 13))"
PG86,"POLYGON ((-117 14, -116 14, -116 13, -117 13, -117 14))"
PG87,"POLYGON ((-117 15, -116 15, -116 14, -117 14, -117 15))"
PG88,"POLYGON ((-117 16, -116 16, -116 15, -117 15, -117 16))"
PG89,"POLYGON ((-117 17, -116 17, -116 16, -117 16, -117 17))"
PG90,"POLYGON ((-117 18, -116 18, -116 17, -117 17, -117 18))"
PG91,"POLYGON ((-117 19, -116 19, -116 18, -117 18, -117 19))"
PG92,"POLYGON ((-117 20, -116 20, -116 19, -117 19, -117 20))"
PG93,"POLYGON ((-117 21, -116 21, -116 20, -117 20, -117 21))"
PG94,"POLYGON ((-117 22, -116 22, -116 21, -117 21, -117 22))"
PG95,"POLYGON ((-117 23, -116 23, -116 22, -117 22, -117 23))"
PG96,"POLYGON ((-117 24, -116 24, -116 23, -117 23, -117 24))"
PG97,"POLYGON ((-117 25, -116 25, -116 24, -117 24, -117 25))"
PG98,"POLYGON ((-117 26, -116 26, -116 25, -117 25, -117 26))"
PG99,"POLYGON ((-117 27, -116 27, -116 26, -117 26, -117 27))"
PG100,"POLYGON ((-117 28, -116 28, -116 27, -117 27, -117 28))"
PG101,"POLYGON ((-117 29, -116 29, -116 28, -117 28, -117 29))"
PG102,"POLYGON ((-117 30, -116 30, -116 29, -117 29, -117 30))"
PG103,"POLYGON ((-117 31, -116 31, -116 30, -117 30, -117 31))"
PG104,"POLYGON ((-117 32, -116 32, -116 31, -117 31, -117 32))"
PG105,"POLYGON ((-117 33, -116 33, -116 32, -117 32, -117 33))"
PG106,"POLYGON ((-117 34, -116 34, -116 33, -117 33, -117 34))"
PG107,"POLYGON ((-117 35, -116 35, -116 34, -117 34, -117 35))"
PG108,"POLYGON ((-117 36, -116 36, -116 35, -117 35, -117 36))"
PG109,"POLYGON ((-116 10, -115 10, -115 9, -116 9, -116 10))"
PG110,"POLYGON ((-116 11, -115 11, -115 10, -116 10, -116 11))"
PG111,"POLYGON ((-116 12, -115 12, -115 11, -116 11, -116 12))"
PG112,"POLYGON ((-116 13, -115 13, -115 12, -116 12, -116 13))"
PG113,"POLYGON ((-116 14, -115 14, -115 13, -116 13, -116 14))"
PG114,"POLYGON ((-116 15, -115 15, -115 14, -116 14, -116 15))"
PG115,"POLYGON ((-116 16, -115 16, -115 15, -116 15, -116 16))"
PG116,"POLYGON ((-116 17, -115 17, -115 16, -116 16, -116 17))"
PG117,"POLYGON ((-116 18, -115 18, -115 17, -116 17, -116 18))"
PG118,"POLYGON ((-116 19, -115 19, -115 18, -116 18, -116 19))"
PG119,"POLYGON ((-116 20, -115 20, -115 19, -116 19, -116 20))"
PG120,"POLYGON ((-116 21, -115 21, -115 20, -116 20, -116 21))"
PG121,"POLYGON ((-116 22, -115 22, -115 21, -116 21, -116 22))"
PG122,"POLYGON ((-116 23, -115 23, -115 22, -116 22, -116 23))"
PG123,"POLYGON ((-116 24, -115 24, -115 23, -116 23, -116 24))"
PG124,"POLYGON ((-116 25, -115 25, -115 24, -116 24, -116 25))"
PG125,"POLYGON ((-116 26, -115 26, -115 25, -116 25, -116 26))"
PG126,"POLYGON ((-116 27, -115 27, -115 26, -116 26, -116 27))"
PG127,"POLYGON ((-116 28, -115 28, -115 27, -116 27, -116 28))"
PG128,"POLYGON ((-116 29, -115 29, -115 28, -116 28, -116 29))"
PG129,"POLYGON ((-116 30, -115 30, -115 29, -116 29, -116 30))"
PG130,"POLYGON ((-116 31, -115 31, -115 30, -116 30, -116 31))"
PG131,"POLYGON ((-116 32, -115 32, -115 31, -116 31, -116 32))"
PG132,"POLYGON ((-116 33, -115 33, -115 32, -116 32, -116 33))"
PG133,"POLYGON ((-116 34, -115 34, -115 33, -116 33, -116 34))"
PG134,"POLYGON ((-116 35, -115 35, -115 34, -116 34, -116 35))"
PG135,"POLYGON ((-116 36, -115 36, -115 35, -116 35, -116 36))"
PG136,"POLYGON ((-115 10, -114 10, -114 9, -115 9, -115 10))"
PG137,"POLYGON ((-115 11, -114 11, -114 10, -115 10, -115 11))"
PG138,"POLYGON ((-115 12, -114 12, -114 11, -115 11, -115 12))"
PG139,"POLYGON ((-115 13, -114 13, -114 12, -115 12, -115 13))"
PG140,"POLYGON ((-115 14, -114 14, -114 13, -115 13, -115 14))"
PG141,"POLYGON ((-115 15, -114 15, -114 14, -115 14, -115 15))"
PG142,"POLYGON ((-115 16, -114 16, -114 15, -115 15, -115 16))"
PG143,"POLYGON ((-115 17, -114 17, -114 16, -115 16, -115 17))"
PG144,"POLYGON ((-115 18, -114 18, -114 17, -115 17, -115 18))"
PG145,"POLYGON ((-115 19, -114 19, -114 18, -115 18, -115 19))"
PG146,"POLYGON ((-115 20, -114 20, -114 19, -115 19, -115 20))"
PG147,"POLYGON ((-115 21, -114 21, -114 20, -115 20, -115 21))"
PG148,"POLYGON ((-115 22, -114 22, -114 21, -115 21, -115 22))"
PG149,"POLYGON ((-115 23, -114 23, -114 22, -115 22, -115 23))"
PG150,"POLYGON ((-115 24, -114 24, -114 23, -115 23, -115 24))"
PG151,"POLYGON ((-115 25, -114 25, -114 24, -115 24, -115 25))"
PG152,"POLYGON ((-115 26, -114 26, -114 25, -115 25, -115 26))"
PG153,"POLYGON ((-115 27, -114 27, -114 26, -115 26, -115 27))"
PG154,"POLYGON ((-115 28, -114 28, -114 27, -115 27, -115 28))"
PG155,"POLYGON ((-115 29, -114 29, -114 28, -115 28, -115 29))"
PG156,"POLYGON ((-115 30, -114 30, -114 29, -115 29, -115 30))"
PG157,"POLYGON ((-115 31, -114 31, -114 30, -115 30, -115 31))"
PG158,"POLYGON ((-115 32, -114 32, -114 31, -115 31, -115 32))"
PG159,"POLYGON ((-115 33, -114 33, -114 32, -115 32, -115 33))"
PG160,"POLYGON ((-115 34, -114 34, -114 33, -115 33, -115 34))"
PG161,"POLYGON ((-115 35, -114 35, -114 34, -115 34, -115 35))"
PG162,"POLYGON ((-115 36, -114 36, -114 35, -115 35, -115 36))"
PG163,"POLYGON ((-114 10, -113 10, -113 9, -114 9, -114 10))"
PG164,"POLYGON ((-114 11, -113 11, -113 10, -114 10, -114 11))"
PG165,"POLYGON ((-114 12, -113 12, -113 11, -114 11, -114 12))"
PG166,"POLYGON ((-114 13, -113 13, -113 12, -114 12, -114 13))"
PG167,"POLYGON ((-114 14, -113 14, -113 13, -114 13, -114 14))"
PG168,"POLYGON ((-114 15, -113 15, -113 14, -114 14, -114 15))"
PG169,"POLYGON ((-114 16, -113 16, -113 15, -114 15, -114 16))"
PG170,"POLYGON ((-114 17, -113 17, -113 16, -114 16, -114 17))"
PG171,"POLYGON ((-114 18, -113 18, -113 17, -114 17, -114 18))"
PG172,"POLYGON ((-114 19, -113 19, -113 18, -114 18, -114 19))"
PG173,"POLYGON ((-114 20, -113 20, -113 19, -114 19, -114 20))"
PG174,"POLYGON ((-114 21, -113 21, -113 20, -114 20, -114 21))"
PG175,"POLYGON ((-114 22, -113 22, -113 21, -114 21, -114 22))"
PG176,"POLYGON ((-114 23, -113 23, -113 22, -114 22, -114 23))"
PG177,"POLYGON ((-114 24, -113 24, -113 23, -114 23, -114 24))"
PG178,"POLYGON ((-114 25, -113 25, -113 24, -114 24, -114 25))"
PG179,"POLYGON ((-114 26, -113 26, -113 25, -114 25, -114 26))"
PG180,"POLYGON ((-114 27, -113 27, -113 26, -114 26, -114 27))"
PG181,"POLYGON ((-114 28, -113 28, -113 27, -114 27, -114 28))"
PG182,"POLYGON ((-114 29, -113 29, -113 28, -114 28, -114 29))"
PG183,"POLYGON ((-114 30, -113 30, -113 29, -114 29, -114 30))"
PG184,"POLYGON ((-114 31, -113 31, -113 30, -114 30, -114 31))"
PG185,"POLYGON ((-114 32, -113 32, -113 31, -114 31, -114 32))"
PG186,"POLYGON ((-114 33, -113 33, -113 32, -114 32, -114 33))"
PG187,"POLYGON ((-114 34, -113 34, -113 33, -114 33, -114 34))"
PG188,"POLYGON ((-114 35, -113 35, -113 34, -114 34, -114 35))"
PG189,"POLYGON ((-114 36, -113 36, -113 35, -114 35, -114 36))"
PG190,"POLYGON ((-113 10, -112 10, -112 9, -113 9, -113 10))"
PG191,"POLYGON ((-113 11, -112 11, -112 10, -113 10, -113 11))"
PG192,"POLYGON ((-113 12, -112 12, -112 11, -113 11, -113 12))"
PG193,"POLYGON ((-113 13, -112 13, -112 12, -113 12, -113 13))"
PG194,"POLYGON ((-113 14, -112 14, -112 13, -113 13, -113 14))"
PG195,"POLYGON ((-113 15, -112 15, -112 14, -113 14, -113 15))"
PG196,"POLYGON ((-113 16, -112 16, -112 15, -113 15, -113 16))"
PG197,"POLYGON ((-113 17, -112 17, -112 16, -113 16, -113 17))"
PG198,"POLYGON ((-113 18, -112 18, -112 17, -113 17, -113 18))"
PG199,"POLYGON ((-113 19, -112 19, -112 18, -113 18, -113 19))"
PG200,"POLYGON ((-113 20, -112 20, -112 19, -113 19, -113 20))"
PG201,"POLYGON ((-113 21, -112 21, -112 20, -113 20, -113 21))"
PG202,"POLYGON ((-113 22, -112 22, -112 21, -113 21, -113 22))"
PG203,"POLYGON ((-113 23, -112 23, -112 22, -113 22, -113 23))"
PG204,"POLYGON ((-113 24, -112 24, -112 23, -113 23, -113 24))"
PG205,"POLYGON ((-113 25, -112 25, -112 24, -113 24, -113 25))"
PG206,"POLYGON ((-113 26, -112 26, -112 25, -113 25, -113 26))"
PG207,"POLYGON ((-113 27, -112 27, -112 26, -113 26, -113 27))"
PG208,"POLYGON ((-113 28, -112 28, -112 27, -113 27, -113 28))"
PG209,"POLYGON ((-113 29, -112 29, -112 28, -113 28, -113 29))"
PG210,"POLYGON ((-113 30, -112 30, -112 29, -113 29, -113 30))"
PG211,"POLYGON ((-113 31, -112 31, -112 30, -113 30, -113 31))"
PG212,"POLYGON ((-113 32, -112 32, -112 31, -113 31, -113 32))"
PG213,"POLYGON ((-113 33, -112 33, -112 32, -113 32, -113 33))"
PG214,"POLYGON ((-113 34, -112 34, -112 33, -113 33, -113 34))"
PG215,"POLYGON ((-113 35, -112 35, -112 34, -113 34, -113 35))"
PG216,"POLYGON ((-113 36, -112 36, -112 35, -113 35, -113 36))"
