ciudad,estado,ruta,detenciones,latitud,longitud
"Hermosillo, Sonora",Sonora,Ruta del Pacifico,9 637,29.0948207,-110.9692202
"Huatabampo, Sonora",Sonora,Ruta del Pacifico,1 045,26.8248431,-109.6420085
"Imuris, Sonora",Sonora,Ruta del Pacifico, 7,30.7874899,-110.8463861
"Navojoa, Sonora",Sonora,Ruta del Pacifico, 823,27.0721872,-109.4438227
"Nogales, Sonora",Sonora,Ruta del Pacifico,4 084,31.3285057,-110.9450472
"Puerto Penasco, Sonora",Sonora,Ruta del Pacifico, 1,31.3170867,-113.531819
"San Luis Rio Colorado, Sonora",Sonora,Ruta del Pacifico, 67,32.4517957,-114.7652542
"Santa Ana, Sonora",Sonora,Ruta del Pacifico,12 341,30.5410922,-111.1184881
"Tabasco, Tabasco",Tabasco,Ruta del Golfo,292 457,17.9999288,-92.6681659
"Balancan, Tabasco",Tabasco,Ruta del Golfo,1 472,17.79751665,-91.34585889385215
"Cardenas, Tabasco",Tabasco,Ruta del Golfo,13 100,17.990878,-93.3753314
"Centla, Tabasco",Tabasco,Ruta del Golfo, 45,18.353676200000002,-92.65219864326909
"Centro, Tabasco",Tabasco,Ruta del Golfo,71 661,18.027158800000002,-92.77479118046158
"Comalcalco, Tabasco",Tabasco,Ruta del Golfo, 368,18.2615076,-93.2231523
"Cunduacan, Tabasco",Tabasco,Ruta del Golfo, 2,18.066059,-93.173675
"Emiliano Zapata, Tabasco",Tabasco,Ruta del Golfo,6 643,17.693626000000002,-91.63973455765353
"Huimanguillo, Tabasco",Tabasco,Ruta del Golfo,97 523,17.7620967,-93.66344080511583
"Jalapa, Tabasco",Tabasco,Ruta del Golfo,7 479,17.721716,-92.812012
"Macuspana, Tabasco",Tabasco,Ruta del Golfo,34 779,17.760922,-92.596108
"Paraiso, Tabasco",Tabasco,Ruta del Golfo, 2,18.3987331,-93.2125326
"Tacotalpa, Tabasco",Tabasco,Ruta del Golfo,9 367,17.5952197,-92.8253388
"Teapa, Tabasco",Tabasco,Ruta del Golfo,9 947,17.5566526,-92.9480504
"Tenosique, Tabasco",Tabasco,Ruta del Golfo,40 069,17.4707129,-91.4220212
"Tamaulipas, Tamaulipas",Tamaulipas,Ruta del Golfo,10 810,23.9891553,-98.7026825
"Aldama, Tamaulipas",Tamaulipas,Ruta del Golfo, 14,22.9196081,-98.0741727
"Altamira, Tamaulipas",Tamaulipas,Ruta del Golfo, 833,22.3921625,-97.9362975
"Antiguo Morelos, Tamaulipas",Tamaulipas,Ruta del Golfo, 117,22.56570125,-99.08713716065975
"Cruillas, Tamaulipas",Tamaulipas,Ruta del Golfo, 985,24.7554618,-98.5369904
"El Mante, Tamaulipas",Tamaulipas,Ruta del Golfo, 6,22.607873650000002,-98.93534140593027
"Gonzalez, Tamaulipas",Tamaulipas,Ruta del Golfo, 8,22.790387350000003,-98.57631895542931
"Hidalgo, Tamaulipas",Tamaulipas,Ruta del Golfo, 45,24.2480354,-99.4382079
"Jaumave, Tamaulipas",Tamaulipas,Ruta del Golfo, 501,23.40496,-99.3806698
"Jimenez, Tamaulipas",Tamaulipas,Ruta del Golfo, 1,24.2169169,-98.483929
"Matamoros, Tamaulipas",Tamaulipas,Ruta del Golfo, 405,25.8810158,-97.5064866
"Miguel Aleman, Tamaulipas",Tamaulipas,Ruta del Golfo, 16,26.3995446,-99.0314218
"Nuevo Laredo, Tamaulipas",Tamaulipas,Ruta del Golfo, 143,27.4930466,-99.5074055
"Reynosa, Tamaulipas",Tamaulipas,Ruta del Golfo,6 356,26.0907673,-98.2788191
"Rio Bravo, Tamaulipas",Tamaulipas,Ruta del Golfo, 58,25.988981,-98.0945766
"San Fernando, Tamaulipas",Tamaulipas,Ruta del Golfo, 673,24.8466769,-98.1473493
"Soto la Marina, Tamaulipas",Tamaulipas,Ruta del Golfo, 53,23.87599915,-98.0502640007194
"Tampico, Tamaulipas",Tamaulipas,Ruta del Golfo, 563,22.2157619,-97.8577713
"Victoria, Tamaulipas",Tamaulipas,Ruta del Golfo, 33,23.7389846,-99.1441352
"Tlaxcala, Tlaxcala",Tlaxcala,Ruta Centro,8 029,19.416667,-98.166667
"Amaxac de Guerrero, Tlaxcala",Tlaxcala,Ruta Centro, 1,19.348889,-98.167778
"Apetatitlan de Antonio Carvajal, Tlaxcala",Tlaxcala,Ruta Centro, 339,19.3505173,-98.19120205454091
"Apizaco, Tlaxcala",Tlaxcala,Ruta Centro, 134,19.415556,-98.14
"Atlangatepec, Tlaxcala",Tlaxcala,Ruta Centro, 83,19.530833,-98.208333
"Calpulalpan, Tlaxcala",Tlaxcala,Ruta Centro, 25,19.587778,-98.569167
"Chiautempan, Tlaxcala",Tlaxcala,Ruta Centro, 16,19.313889,-98.1925
"Cuapiaxtla, Tlaxcala",Tlaxcala,Ruta Centro, 47,19.2961777,-97.768912
"Huamantla, Tlaxcala",Tlaxcala,Ruta Centro, 73,19.313427,-97.9230236
"Hueyotlipan, Tlaxcala",Tlaxcala,Ruta Centro, 14,19.469444,-98.348056
"Ixtacuixtla de Mariano Matamoros, Tlaxcala",Tlaxcala,Ruta Centro,2 539,19.346703650000002,-98.37815810373962
"Ixtenco, Tlaxcala",Tlaxcala,Ruta Centro, 242,19.2518725,-97.8947561
"Munoz de Domingo Arenas, Tlaxcala",Tlaxcala,Ruta Centro, 2,19.474722,-98.208056
"Nanacamilpa de Mariano Arista, Tlaxcala",Tlaxcala,Ruta Centro, 2,19.5080315,-98.54324076456274
"Nativitas, Tlaxcala",Tlaxcala,Ruta Centro, 17,19.233333,-98.314722
"Papalotla de Xicohtencatl, Tlaxcala",Tlaxcala,Ruta Centro, 2,19.168611,-98.203889
"San Jeronimo Zacualpan, Tlaxcala",Tlaxcala,Ruta Centro, 4,19.240833,-98.261389
"San Juan Huactzinco, Tlaxcala",Tlaxcala,Ruta Centro, 1,19.2329326,-98.2520375
"San Pablo del Monte, Tlaxcala",Tlaxcala,Ruta Centro, 2,19.126951849999998,-98.16539571695478
"Sanctorum de Lazaro Cardenas, Tlaxcala",Tlaxcala,Ruta Centro, 13,19.4925,-98.471944
"Santa Cruz Quilehtla, Tlaxcala",Tlaxcala,Ruta Centro, 9,19.212222,-98.221111
"Tetla de la Solidaridad, Tlaxcala",Tlaxcala,Ruta Centro, 2,19.440556,-98.103333
"Tlaxcala, Tlaxcala",Tlaxcala,Ruta Centro, 33,19.416667,-98.166667
"Tlaxco, Tlaxcala",Tlaxcala,Ruta Centro, 49,19.620586449999998,-98.17076010112392
"Tocatlan, Tlaxcala",Tlaxcala,Ruta Centro, 7,19.389167,-98.03
"Tzompantepec, Tlaxcala",Tlaxcala,Ruta Centro, 33,19.38326045,-98.08616228147103
"Xaloztoc, Tlaxcala",Tlaxcala,Ruta Centro,4 231,19.403611,-98.048611
"Yauhquemehcan, Tlaxcala",Tlaxcala,Ruta Centro, 101,19.4057444,-98.1824244
"Zacatelco, Tlaxcala",Tlaxcala,Ruta Centro, 8,19.215833,-98.239722
"Veracruz, Veracruz",Veracruz,Ruta del Golfo,66 453,19.333333,-96.666667
"Acayucan, Veracruz",Veracruz,Ruta del Golfo,45 794,17.9487862,-94.9145752
"Agua Dulce, Veracruz",Veracruz,Ruta del Golfo,4 144,18.0899541,-94.16236305223826
"Alamo Temapache, Veracruz",Veracruz,Ruta del Golfo, 1,20.995193200000003,-97.75578419140825
"Alvarado, Veracruz",Veracruz,Ruta del Golfo, 59,18.82874235,-95.9238540059007
"Amatlan de los Reyes, Veracruz",Veracruz,Ruta del Golfo, 17,18.87251165,-96.86857239686657
"Angel R. Cabada, Veracruz",Veracruz,Ruta del Golfo, 17,18.5927238,-95.38616824749718
"Camerino Z. Mendoza, Veracruz",Veracruz,Ruta del Golfo, 126,18.789630799999998,-97.15993214034107
"Carlos A. Carrillo, Veracruz",Veracruz,Ruta del Golfo, 1,18.32836115,-95.71540338041564
"Carrillo Puerto, Veracruz",Veracruz,Ruta del Golfo, 55,18.8215893,-96.58428389542232
"Coatepec, Veracruz",Veracruz,Ruta del Golfo, 1,19.4543134,-96.9596375
"Coatzacoalcos, Veracruz",Veracruz,Ruta del Golfo, 297,18.1396787,-94.4501731
"Cordoba, Veracruz",Veracruz,Ruta del Golfo, 609,18.8944704,-96.9352891
"Cosamaloapan de Carpio, Veracruz",Veracruz,Ruta del Golfo,3 096,18.28167395,-95.96435747268424
"Cosoleacaque, Veracruz",Veracruz,Ruta del Golfo, 17,18.0060183,-94.61748300858763
"Cotaxtla, Veracruz",Veracruz,Ruta del Golfo, 250,18.857657250000003,-96.35099905704104
"Cuitlahuac, Veracruz",Veracruz,Ruta del Golfo,1 345,18.814226,-96.7223775
"Fortin, Veracruz",Veracruz,Ruta del Golfo, 54,18.8993309,-96.9982014
"Gutierrez Zamora, Veracruz",Veracruz,Ruta del Golfo, 9,20.456991000000002,-97.085536109707
"Isla, Veracruz",Veracruz,Ruta del Golfo, 15,18.0276212,-95.5281332
"Ixtaczoquitlan, Veracruz",Veracruz,Ruta del Golfo, 2,18.85134015,-97.02710712449068
"Jesus Carranza, Veracruz",Veracruz,Ruta del Golfo,5 396,17.38793115,-94.90949730630518
"Juan Rodriguez Clara, Veracruz",Veracruz,Ruta del Golfo, 8,17.97320895,-95.34412799338502
"La Antigua, Veracruz",Veracruz,Ruta del Golfo, 160,19.3176799,-96.31864092519668
"Las Choapas, Veracruz",Veracruz,Ruta del Golfo, 303,17.56348585,-93.94000863532293
"Martinez de la Torre, Veracruz",Veracruz,Ruta del Golfo, 15,20.1197165,-97.04616467665727
"Medellin de Bravo, Veracruz",Veracruz,Ruta del Golfo, 27,19.0404677,-96.1442918
"Minatitlan, Veracruz",Veracruz,Ruta del Golfo, 10,17.992773,-94.5567103
"Moloacan, Veracruz",Veracruz,Ruta del Golfo, 81,17.9926405,-94.28232907418123
"Naranjos Amatlan, Veracruz",Veracruz,Ruta del Golfo, 21,21.309332599999998,-97.67600130026644
"Nogales, Veracruz",Veracruz,Ruta del Golfo, 6,18.8226013,-97.1627659
"Orizaba, Veracruz",Veracruz,Ruta del Golfo,1 100,18.8497366,-97.1060062
"Ozuluama de Mascarenas, Veracruz",Veracruz,Ruta del Golfo, 74,21.661111,-97.850556
"Panuco, Veracruz",Veracruz,Ruta del Golfo, 8,22.08052495,-98.23295792186903
"Papantla, Veracruz",Veracruz,Ruta del Golfo, 48,20.445872100000003,-97.32327774944926
"Perote, Veracruz",Veracruz,Ruta del Golfo, 2,19.510864050000002,-97.26853448069734
"Poza Rica de Hidalgo, Veracruz",Veracruz,Ruta del Golfo, 129,20.537657449999998,-97.44512479987276
"Pueblo Viejo, Veracruz",Veracruz,Ruta del Golfo, 3,22.163842600000002,-97.89855507348236
"Rio Blanco, Veracruz",Veracruz,Ruta del Golfo, 73,18.84522475,-97.15229388882733
"San Andres Tuxtla, Veracruz",Veracruz,Ruta del Golfo, 102,18.4633672,-95.19831533920046
"San Juan Evangelista, Veracruz",Veracruz,Ruta del Golfo, 1,17.76252635,-95.23042939358857
"Sayula de Aleman, Veracruz",Veracruz,Ruta del Golfo, 53,17.74768255,-94.95439752101805
"Soledad de Doblado, Veracruz",Veracruz,Ruta del Golfo, 3,19.0452067,-96.4233756
"Tecolutla, Veracruz",Veracruz,Ruta del Golfo, 2,20.41847865,-96.9936370355502
"Texistepec, Veracruz",Veracruz,Ruta del Golfo, 7,17.894167,-94.816389
"Tezonapa, Veracruz",Veracruz,Ruta del Golfo, 6,18.5587309,-96.78234114824798
"Tierra Blanca, Veracruz",Veracruz,Ruta del Golfo, 13,18.5272475,-96.21520077487331
"Tihuatlan, Veracruz",Veracruz,Ruta del Golfo, 8,20.716735,-97.5367859622192
"Tres Valles, Veracruz",Veracruz,Ruta del Golfo, 2,18.2921576,-96.16641196824392
"Tuxpan, Veracruz",Veracruz,Ruta del Golfo, 231,20.95647915,-97.40738177120747
"Veracruz, Veracruz",Veracruz,Ruta del Golfo,2 478,19.333333,-96.666667
"Villa Aldama, Veracruz",Veracruz,Ruta del Golfo, 3,19.6489805,-97.2228382
"Xalapa, Veracruz",Veracruz,Ruta del Golfo, 109,19.5408338,-96.9146374
"Yanga, Veracruz",Veracruz,Ruta del Golfo, 62,18.8313634,-96.7992608
"Yucatan, Yucatan",Yucatan,Ruta Sur, 939,20.6845957,-88.8755669
"Merida, Yucatan",Yucatan,Ruta Sur, 931,20.9670759,-89.6237402
"Progreso, Yucatan",Yucatan,Ruta Sur, 3,21.2822136,-89.6636637
"Valladolid, Yucatan",Yucatan,Ruta Sur, 5,20.6902505,-88.2016999
"Zacatecas, Zacatecas",Zacatecas,Ruta Centro,1 125,23.0823582,-103.20856984509811
"Calera, Zacatecas",Zacatecas,Ruta Centro, 42,22.978479999999998,-102.85622288611614
"Jerez, Zacatecas",Zacatecas,Ruta Centro, 1,22.7105933,-103.00147264243049
"Trancoso, Zacatecas",Zacatecas,Ruta Centro, 96,22.7353025,-102.3667969
"Zacatecas, Zacatecas",Zacatecas,Ruta Centro, 986,23.0823582,-103.20856984509811
