"Tepoztlán, Mor.", 1
"Xochitepec, Mor.", 2
,
Nayarit, 221
"Bahía de Banderas, Nay.", 2
"Tepic, Nay.", 219
,
Nuevo León,17 018
"Anáhuac, NL", 86
"Apodaca, NL",4 262
"Aramberri, NL", 4
"Cadereyta Jiménez, NL", 83
"China, NL", 146
"Ciénega de Flores, NL", 41
"Doctor Arroyo, NL", 11
"El Carmen, NL", 35
"Galeana, NL",5 407
"García, NL", 17
"General Bravo, NL",2 059
"General Escobedo, NL",1 204
"General Zuazua, NL", 35
"Guadalupe, NL", 225
"Hualahuises, NL", 34
"Juárez, NL", 180
"Linares, NL", 19
"Los Ramones, NL", 7
"Mina, NL",2 348
"Montemorelos, NL", 1
"Monterrey, NL", 449
"Parás, NL", 13
"Pesquería, NL", 93
"Salinas Victoria, NL", 18
"San Nicolás de los Garza, NL", 50
"San Pedro Garza García, NL", 1
"Santa Catarina, NL", 167
"Santiago, NL", 23
,
,
,
Oaxaca,8 834
"Asunción Nochixtlán, Oax.", 13
"Chahuites, Oax.", 54
"Ciudad Ixtepec, Oax.", 10
"Concepción Buenavista, Oax.", 25
"El Espinal, Oax.", 10
"Heroica Ciudad de Huajuapan de León, Oax.", 46
"Juchitán de Zaragoza, Oax.",2 625
"Matías Romero Avendaño, Oax.", 157
"Miahuatlán de Porfirio Díaz, Oax.", 13
"Oaxaca de Juárez, Oax.",1 270
"Salina Cruz, Oax.", 112
"San Agustín de las Juntas, Oax.", 2
"San Andrés Huaxpaltepec, Oax.", 31
"San Antonio de la Cal, Oax.", 1
"San Bartolo Coyotepec, Oax.", 5
"San Bartolo Soyaltepec, Oax.", 36
"San Cristóbal Suchixtlahuaca, Oax.", 4
"San Dionisio Ocotepec, Oax.", 7
"San Francisco Telixtlahuaca, Oax.", 49
"San Jacinto Amilpas, Oax.", 45
"San José Tenango, Oax.", 6
"San Juan Bautista Tuxtepec, Oax.", 108
"San Lorenzo Cacaotepec, Oax.", 2
"San Miguel Tequixtepec, Oax.", 109
"San Pablo Etla, Oax.", 35
"San Pablo Huitzo, Oax.", 729
"San Pedro Ixtlahuaca, Oax.", 1
"San Pedro Mixtepec -Dto. 22 -, Oax.", 3
"San Pedro Pochutla, Oax.", 36
"San Pedro Tapanatepec, Oax.", 283
"San Pedro Totolápam, Oax.", 20
"San Sebastián Tutla, Oax.", 3
"Santa Cruz Xoxocotlán, Oax.", 731
"Santa Lucía del Camino, Oax.", 6
"Santa María Atzompa, Oax.", 4
"Santa María Coyotepec, Oax.", 10
"Santa María del Tule, Oax.", 1
"Santa María Huatulco, Oax.", 170
"Santa María Jalapa del Marqués, Oax.",1 264
"Santa María Mixtequilla, Oax.", 37
"Santa María Tonameca, Oax.", 1
