name,ciudad,estado,tipo,subtipo,latitud,longitud,ID_Poligono,direccion
"Iniciativa Ciudadana y Desarrollo Social, AC (Incide Social) ","Gustavo A. Madero, Ciudad de Mexico",Ciudad de Mexico,OSC / ONG,Centros de Asistencia Social,19.38415196,-99.14045527,PG551,"Hilario Perez de Leon No. 80, Col. Ninos Heroes de Chapultepec,Delegacion Benito Juarez, Ciudad de Mexico"
Fundacion para la justicia y el estado democratico de derecho ,"Gustavo A. Madero, Ciudad de Mexico",Ciudad de Mexico,OSC / ONG,Centros de Asistencia Social,19.3837691,-99.1669696,PG551,"Calle Palenque 269, Col. Narvarte Oriente, Del. Benito Juarez,Ciudad de Mexico, Ciudad de Mexico"
"Corrientes, artisticas, sociales, ambientales. ","Gustavo A. Madero, Ciudad de Mexico",Ciudad de Mexico,OSC / ONG,Centros de Asistencia Social,19.3837691,-99.1669696,PG551,"Marroqui 83 esquina con Ayuntamiento, Col. Centro, Del. Cuauhtemoc,Ciudad de Mexico, Ciudad de Mexico"
Fondo Semillas ,"Gustavo A. Madero, Ciudad de Mexico",Ciudad de Mexico,OSC / ONG,Centros de Asistencia Social,19.38343475,-99.17825995,PG551,"Fragonard 84, Col. San Juan, Del. Benito Juarez,Ciudad de Mexico, Ciudad de Mexico"
"Instituto para la Seguridad y la Democracia, AC (INSYDE) ","Gustavo A. Madero, Ciudad de Mexico",Ciudad de Mexico,OSC / ONG,Centros de Asistencia Social,19.3833943,-99.1792214,PG551,"Carolina 80, Cd. de los Deportes, Noche Buena, 03710,Delegacion Benito Juarez, Ciudad de Mexico"
Ejercito de Salvacion Salvation Army ,"Gustavo A. Madero, Ciudad de Mexico",Ciudad de Mexico,OSC / ONG,Centros de Asistencia Social,19.3831142,-99.1741181,PG551,"San Borja #1456, Col. Vertiz Narvarte,Delegacion Benito Juarez, Ciudad de Mexico"
Misioneras de San Carlos Borromeo Scalabrinianas ,"Gustavo A. Madero, Ciudad de Mexico",Ciudad de Mexico,OSC / ONG,Centros de Asistencia Social,19.3829715,-99.18009787,PG551,"Calle Zapote 31, San Fernando,Ciudad de Mexico, Ciudad de Mexico"
Humanitaria a Migrantes en Transito,"Texcoco, Estado de Mexico",Estado de Mexico,OSC / ONG,Centros de Asistencia Social,19.3817116,-98.531076,PG578,"Calle 45 Norte 206, Col. Aquiles Serdan C.P.72140"
Sin Fronteras IAP ,"Gustavo A. Madero, Ciudad de Mexico",Ciudad de Mexico,OSC / ONG,Centros de Asistencia Social,19.3770818,-99.1943878,PG551,"Carlos Dolci # 96. Col. Alfonso XII,de Mexico, 01460 Ciudad Ciudad de Mexico, Ciudad de Mexico"
"Yolia Ninas de la Calle, A.C.","Gustavo A. Madero, Ciudad de Mexico",Ciudad de Mexico,OSC / ONG,Centros de Asistencia Social,19.3749298,-99.207294,PG551,"Av. Hidalgo Lote 19 Manzana 54, Col. Olivar Del Conde, Segunda Seccion, Del. Alvaro Obregon, Ciudad de Mexico.C.P. 01408"
"Asociacion Mexicana Pro Naciones Unidas, AC ","Gustavo A. Madero, Ciudad de Mexico",Ciudad de Mexico,OSC / ONG,Centros de Asistencia Social,19.371541,-99.1938194,PG551,"Blvd. Adolfo Lopez Mateos 1661 Edificio A12 Despacho 904 Col. Lomas de Plateros.CP 01480,Delegacion Alvaro Obregon, Ciudad de Mexico"
Casa Frida Refugio LGBT,"Gustavo A. Madero, Ciudad de Mexico",Ciudad de Mexico,OSC / ONG,Centros de Asistencia Social,19.3684659,-99.1194601,PG551,"C. Sur 105 434, Sector Popular, Heroes de Churubusco, Iztapalapa, 09090 Ciudad de Mexico, CDMX"
