Arc,From_Node,To_Node,origen_xy,destino_xy
PG1222-PG1184,PG1222,PG1184,"17.808846, -97.7780564","18.7167516, -98.7766172"
PG1184-PG1145,PG1184,PG1145,"18.7167516, -98.7766172","18.9218274, -99.2342282"
PG1145-PG1146,PG1145,PG1146,"18.9218274, -99.2342282","19.3591195, -99.0929294"
PG1146-PG1108,PG1146,PG1108,"19.3591195, -99.0929294","20.3867547, -99.9931982"
PG1108-PG1069,PG1108,PG1069,"20.3867547, -99.9931982","19.8563181, -100.770909712988"
PG1069-PG1030,PG1069,PG1030,"19.8563181, -100.770909712988","19.9693141, -101.1412203"
PG1030-PG1029,PG1030,PG1029,"19.9693141, -101.1412203","19.7027116, -101.1923818"
PG1029-PG990,PG1029,PG990,"19.7027116, -101.1923818","19.4147269, -102.0522647"
PG1530-PG1531,PG1530,PG1531,"14.9042905, -92.2609265","15.6590135, -92.1422219"
PG1261-PG1184,PG1261,PG1184,"17.801944, -97.340556","18.7167516, -98.7766172"
PG1108-PG1070,PG1108,PG1070,"20.3867547, -99.9931982","20.7199475, -100.761188"
PG1070-PG1031,PG1070,PG1031,"20.7199475, -100.761188","20.6758761, -101.3521052"
PG1031-PG994,PG1031,PG994,"20.6758761, -101.3521052","22.3705155, -102.312008510523"
PG994-PG995,PG994,PG995,"22.3705155, -102.312008510523","22.7353025, -102.3667969"
PG995-PG956,PG995,PG956,"22.7353025, -102.3667969","22.97848, -102.856222886116"
PG956-PG841,PG956,PG841,"22.97848, -102.856222886116","24.0350752647048, -104.663661325132"
PG841-PG921,PG841,PG921,"24.0350752647048, -104.663661325132","25.5732473, -103.494779"
PG921-PG769,PG921,PG769,"25.5732473, -103.494779","28.5000001, -106.0000001"
PG769-PG655,PG769,PG655,"28.5000001, -106.0000001","30.8893267, -108.1930484"
PG655-PG578,PG655,PG578,"30.8893267, -108.1930484","31.3305591, -109.5564331"
PG769-PG774,PG769,PG774,"28.5000001, -106.0000001","31.7372575, -106.485655"
PG769-PG887,PG769,PG887,"28.5000001, -106.0000001","29.5654282, -104.4128523"
PG921-PG1040,PG921,PG1040,"25.5732473, -103.494779","26.8999988, -101.4171173"
PG1040-PG1081,PG1040,PG1081,"26.8999988, -101.4171173","28.7041725, -100.5148362"
PG1081-PG1082,PG1081,PG1082,"28.7041725, -100.5148362","29.3248796, -100.9322287"
PG1081-PG1120,PG1081,PG1120,"28.7041725, -100.5148362","28.3093253, -100.3805564"
PG921-PG961,PG921,PG961,"25.5732473, -103.494779","26.23755265, -103.099655568766"
PG961-PG1040,PG961,PG1040,"26.23755265, -103.099655568766","26.8999988, -101.4171173"
PG956-PG921,PG956,PG921,"22.97848, -102.856222886116","25.5732473, -103.494779"
PG1070-PG1071,PG1070,PG1071,"20.7199475, -100.761188","21.2970466, -100.516269"
PG1071-PG1072,PG1071,PG1072,"21.2970466, -100.516269","22.5000001, -100.4949145"
PG1072-PG1074,PG1072,PG1074,"22.5000001, -100.4949145","23.8205361, -100.7242892"
PG1074-PG1077,PG1074,PG1077,"23.8205361, -100.7242892","26.0025145, -100.5300485"
PG1077-PG1040,PG1077,PG1040,"26.0025145, -100.5300485","26.8999988, -101.4171173"
PG1261-PG1223,PG1261,PG1223,"17.801944, -97.340556","19.0384062279769, -98.2069491554557"
PG1223-PG1224,PG1223,PG1224,"19.0384062279769, -98.2069491554557","19.403611, -98.048611"
PG1224-PG1185,PG1224,PG1185,"19.403611, -98.048611","19.34670365, -98.3781581037396"
