nommun,estado,region,id_poligon,codigo_uni,eventos,inm_30km,inm_in_gri,inm_in_est,eventos_ed,eventos_gr,sc_30km,promedio_s,sc_estado,geometry,distancia_metros,distancia_km,max_vul2r1_normalized,max_vul2r2_normalized,max_vul2r3_normalized,max_vul2r4_normalized,inm_30km_adjusted,log_eventos_per_inm_30km,norm_log_eventos_per_inm_30km,latitud
"San Pedro Garza Garcia, Nuevo Leon",Nuevo Leon,Golfo,PG1077,G-PG1077-4,1,1,1,0,16985,3453,99,74.2,104,POINT (-100.4018251 25.6651753),1666210,1666.21,,,,,2,0.405465108,0.01062798,25.6651753
"Cuitzeo, Michoacan",Michoacan,Pacifico,PG1030,P-PG1030-1,1,0,0,0,317,1,1,1,13,POINT (-101.1412203 19.9693141),1259101,1259.101,,,,,1,0.693147181,0.036586551,19.9693141
"Uruapan, Michoacan",Michoacan,Pacifico,PG990,P-PG990-1,1,0,0,0,317,1,1,1,13,POINT (-102.0522647 19.4147269),1583068,1583.068,,,,,1,0.693147181,0.036586551,19.4147269
"Coatepec, Veracruz",Veracruz,Golfo,PG1263,G-PG1263-3,1,0,0,3,66430,109,8,4.25,54,POINT (-96.9596375 19.4543134),803922,803.922,,,,,1,0.693147181,0.036586551,19.4543134
"San Juan Evangelista, Veracruz",Veracruz,Golfo,PG1378,G-PG1378-2,1,0,1,3,66430,45773,0,15,54,POINT (-95.2304293935886 17.76252635),495918,495.918,,,,,1,0.693147181,0.036586551,17.76252635
"Emiliano Zapata, Hidalgo",Hidalgo,Centro,PG1185,C-PG1185-8,1,0,0,1,1046,3233,1,12.92857143,6,POINT (-98.544552 19.6546865),935615,935.615,,,,,1,0.693147181,0.036586551,19.6546865
"Epazoyucan, Hidalgo",Hidalgo,Centro,PG1186,C-PG1186-7,1,1,1,1,1046,119,3,2.777777778,6,POINT (-98.6364294 20.0181268),991386,991.386,,,,,2,0.405465108,0.01062798,20.0181268
"Huasca de Ocampo, Hidalgo",Hidalgo,Centro,PG1186,C-PG1186-8,1,1,1,1,1046,119,3,2.777777778,6,POINT (-98.5552467331717 20.2231549),1031654,1031.654,,,,,2,0.405465108,0.01062798,20.2231549
"Jimenez, Tamaulipas",Tamaulipas,Golfo,PG1192,G-PG1192-1,1,0,0,3,10385,1,0,0,46,POINT (-98.483929 24.2169169),1469584,1469.584,0.120315699,0.176709872,0.108873875,0.252783581,1,0.693147181,0.036586551,24.2169169
"Santiago Juxtlahuaca, Oaxaca",Oaxaca,Sur,PG1221,S-PG1221-1,1,0,0,4,8835,1,0,0,16,POINT (-98.010574 17.334443),972218,972.218,0.389830139,0.354660551,0.41833719,0.48455639,1,0.693147181,0.036586551,17.334443
"San Juan Huactzinco, Tlaxcala",Tlaxcala,Centro,PG1224,C-PG1224-2,1,2,1,0,7686,5071,45,17.90909091,8,POINT (-98.2520375 19.2329326),879483,879.483,,,,,3,0.287682072,0,19.2329326
"Amaxac de Guerrero, Tlaxcala",Tlaxcala,Centro,PG1224,C-PG1224-12,1,1,1,0,7686,5071,11,17.90909091,8,POINT (-98.167778 19.348889),898212,898.212,,,,,2,0.405465108,0.01062798,19.348889
"Carlos A. Carrillo, Veracruz",Veracruz,Golfo,PG1339,G-PG1339-4,1,0,0,3,66430,3221,0,0.6,54,POINT (-95.7154033804156 18.32836115),544400,544.4,,,,,1,0.693147181,0.036586551,18.32836115
"Puerto Penasco, Sonora",Sonora,Pacifico,PG383,P-PG383-1,1,0,0,2,31997,1,0,0,28,POINT (-113.531819 31.3170867),3274463,3274.463,0.011225,0.005442442,0.010388597,0.090423295,1,0.693147181,0.036586551,31.3170867
"Chenalho, Chiapas",Chiapas,Sur,PG1532,S-PG1532-2,1,0,1,13,223058,771,3,2.25,117,POINT (-92.5192123769078 16.9717161),241559,241.559,,,,,1,,,16.9717161
"Allende, Coahuila",Coahuila,Centro,PG1081,C-PG1081-1,1,0,1,4,26155,21530,0,0.666666667,72,POINT (-100.8517302 28.3420816),2037885,2037.885,,,,,1,,,28.3420816
"San Miguel Tequixtepec, Oaxaca",Oaxaca,Sur,PG1261,S-PG1261-3,1,0,0,4,8835,29,0,0,16,POINT (-97.340556 17.801944),826486,826.486,,,,,1,,,17.801944
"Altar, Sonora",Sonora,Pacifico,PG460,P-PG460-2,1,0,0,2,31997,413,1,1,28,POINT (-111.8380038 30.7170323),3113353,3113.353,,,,,1,,,30.7170323
"Francisco I. Madero, Coahuila",Coahuila,Centro,PG961,C-PG961-1,1,0,0,4,26155,0,0,0,72,POINT (-103.099655568766 26.23755265),2001997,2001.997,,,,,1,,,26.23755265
"El Marques, Queretaro",Queretaro,Centro,PG1109,C-PG1109-2,1,0,0,0,2174,871,37,37,40,POINT (-100.283576535042 20.73507785),1187780,1187.78,,,,,1,,,20.73507785
"Dolores Hidalgo Cuna de la Independencia Nacional, Guanajuato",Guanajuato,Centro,PG1070,C-PG1070-4,1,0,0,0,199,75,0,9,13,POINT (-100.7259581 21.1043597),1263030,1263.03,,,,,1,,,21.1043597
"Guerrero, Coahuila",Coahuila,Centro,PG1120,C-PG1120-1,1,0,0,4,26155,0,0,0,72,POINT (-100.3805564 28.3093253),1996980,1996.98,,,,,1,,,28.3093253
"Tolcayuca, Hidalgo",Hidalgo,Centro,PG1186,C-PG1186-3,1,1,1,1,1046,119,4,2.777777778,6,POINT (-98.920278 19.956667),990540,990.54,,,,,2,,,19.956667
"Nava, Coahuila",Coahuila,Centro,PG1081,C-PG1081-2,1,0,1,4,26155,21530,0,0.666666667,72,POINT (-100.7674167 28.4217309),2050991,2050.991,,,,,1,,,28.4217309
"Yajalon, Chiapas",Chiapas,Sur,PG1533,S-PG1533-1,1,0,0,13,223058,9,0,12,117,POINT (-92.3519609858044 17.1768885),191112,191.112,,,,,1,,,17.1768885
"Cunduacan, Tabasco",Tabasco,Sur,PG1495,G-PG1495-4,1,1,1,3,290299,105212,6,2.833333333,43,POINT (-93.173675 18.066059),254588,254.588,,,,,2,,,18.066059
"Amecameca, Estado de Mexico",Estado de Mexico,Centro,PG1185,C-PG1185-5,1,0,0,1,9586,3233,1,12.92857143,,POINT (-98.7065318136262 19.1200254),982511,982.511,,,,,1,,,19.1200254
"Pantepec, Chiapas",Chiapas,Sur,PG1494,S-PG1494-2,1,0,0,13,223058,18974,0,0.25,117,POINT (-93.0524660849375 17.1944142),300650,300.65,,,,,1,,,17.1944142
"Chicomuselo, Chiapas",Chiapas,Sur,PG1531,S-PG1531-1,1,0,4,13,223058,988,0,3,117,POINT (-92.4192662013789 15.7935524),85686,85.686,,,,,1,,,15.7935524
"Villaflores, Chiapas",Chiapas,Sur,PG1493,S-PG1493-1,2,0,1,13,223058,13987,0,4.75,117,POINT (-93.3589334041931 16.37550225),279966,279.966,,,,,1,1.098612289,0.073173101,16.37550225
"Nanacamilpa de Mariano Arista, Tlaxcala",Tlaxcala,Centro,PG1185,C-PG1185-9,2,0,0,0,7686,3233,1,12.92857143,8,POINT (-98.5432407645627 19.5080315),927275,927.275,,,,,1,1.098612289,0.073173101,19.5080315
"Tecamac, Estado de Mexico",Estado de Mexico,Centro,PG1185,C-PG1185-1,2,0,0,1,9586,3233,3,12.92857143,,POINT (-98.968354 19.7115011),1014762,1014.762,,,,,1,1.098612289,0.073173101,19.7115011
"Xalatlaco, Estado de Mexico",Estado de Mexico,Centro,PG1146,C-PG1146-3,2,0,1,1,9586,14894,20,91.23076923,,POINT (-99.4145622 19.1843821),1233463,1233.463,,,,,1,1.098612289,0.073173101,19.1843821
"Tres Valles, Veracruz",Veracruz,Golfo,PG1339,G-PG1339-1,2,0,0,3,66430,3221,1,0.6,54,POINT (-96.1664119682439 18.2921576),612594,612.594,,,,,1,1.098612289,0.073173101,18.2921576
"San Agustin de las Juntas, Oaxaca",Oaxaca,Sur,PG1299,S-PG1299-10,2,1,1,4,8835,2797,8,7.785714286,16,POINT (-96.7092291 17.005436),708996,708.996,,,,,2,0.693147181,0.036586551,17.005436
"Villa de Tamazulapam del Progreso, Oaxaca",Oaxaca,Sur,PG1260,S-PG1260-1,2,0,0,4,8835,146,1,0.166666667,16,POINT (-97.5720083 17.6748203),832925,832.925,,,,,1,1.098612289,0.073173101,17.6748203
"Actopan, Hidalgo",Hidalgo,Centro,PG1186,C-PG1186-2,2,1,1,1,1046,119,4,2.777777778,6,POINT (-98.9431476 20.2687373),1028675,1028.675,,,,,2,0.693147181,0.036586551,20.2687373
"Tetla de la Solidaridad, Tlaxcala",Tlaxcala,Centro,PG1224,C-PG1224-16,2,1,1,0,7686,5071,7,17.90909091,8,POINT (-98.103333 19.440556),880769,880.769,,,,,2,0.693147181,0.036586551,19.440556
"Munoz de Domingo Arenas, Tlaxcala",Tlaxcala,Centro,PG1224,C-PG1224-6,2,1,1,0,7686,5071,7,17.90909091,8,POINT (-98.208056 19.474722),913950,913.95,,,,,2,0.693147181,0.036586551,19.474722
"Tecolutla, Veracruz",Veracruz,Golfo,PG1264,G-PG1264-4,2,0,0,3,66430,74,0,0.25,54,POINT (-96.9936370355502 20.41847865),874434,874.434,,,,,1,1.098612289,0.073173101,20.41847865
"Atitalaquia, Hidalgo",Hidalgo,Centro,PG1147,C-PG1147-5,2,0,0,1,1046,3846,4,2.75,6,POINT (-99.213288197313 20.0597395),1026748,1026.748,,,,,1,1.098612289,0.073173101,20.0597395
"Papalotla de Xicohtencatl, Tlaxcala",Tlaxcala,Centro,PG1224,C-PG1224-7,2,2,1,0,7686,5071,45,17.90909091,8,POINT (-98.203889 19.168611),867385,867.385,,,,,3,0.510825624,0.020135032,19.168611
"San Lorenzo Cacaotepec, Oaxaca",Oaxaca,Sur,PG1299,S-PG1299-3,2,1,1,4,8835,2797,8,7.785714286,16,POINT (-96.8017692 17.1278714),716981,716.981,,,,,2,0.693147181,0.036586551,17.1278714
"Bahia de Banderas, Nayarit",Nayarit,Pacifico,PG797,P-PG797-1,2,0,0,0,221,2,1,1,9,POINT (-105.317508736965 20.8290434),2006370,2006.37,0.27666194,0.034976971,0.023277103,0.256298468,1,1.098612289,0.073173101,20.8290434
"Perote, Veracruz",Veracruz,Golfo,PG1263,G-PG1263-1,2,0,0,3,66430,109,0,4.25,54,POINT (-97.2685344806973 19.51086405),859696,859.696,,,,,1,1.098612289,0.073173101,19.51086405
"San Pablo del Monte, Tlaxcala",Tlaxcala,Centro,PG1224,C-PG1224-14,2,2,1,0,7686,5071,44,17.90909091,8,POINT (-98.1653957169548 19.12695185),859174,859.174,,,,,3,0.510825624,0.020135032,19.12695185
"Acacoyagua, Chiapas",Chiapas,Sur,PG1530,S-PG1530-1,2,0,4,13,223058,113641,1,22.33333333,117,POINT (-92.6972939305788 15.4060577),118846,118.846,,,,,1,1.098612289,0.073173101,15.4060577
"Ixtaczoquitlan, Veracruz",Veracruz,Golfo,PG1262,G-PG1262-5,2,0,0,3,66430,1947,2,2,54,POINT (-97.0271071244907 18.85134015),703359,703.359,,,,,1,1.098612289,0.073173101,18.85134015
"Villa Tejupam de la Union, Oaxaca",Oaxaca,Sur,PG1260,S-PG1260-2,2,0,0,4,8835,146,0,0.166666667,16,POINT (-97.470833 17.6625),822226,822.226,,,,,1,1.098612289,0.073173101,17.6625
"Villa de Etla, Oaxaca",Oaxaca,Sur,PG1299,S-PG1299-4,2,1,1,4,8835,2797,7,7.785714286,16,POINT (-96.7981939 17.2057678),722218,722.218,,,,,2,0.693147181,0.036586551,17.2057678
"Villa de Alvarez, Colima",Colima,Pacifico,PG912,P-PG912-1,2,0,0,0,18,9,6,4.333333333,8,POINT (-103.736013 19.2651417),1907267,1907.267,,,,,1,1.098612289,0.073173101,19.2651417
"Tlaxcala, Tlaxcala",Tlaxcala,Centro,PG1224,C-PG1224-13,3,1,1,0,7686,5071,7,17.90909091,8,POINT (-98.166667 19.416667),906098,906.098,,,,,2,0.916290732,0.056721582,19.416667
"Ahome, Sinaloa",Sinaloa,Pacifico,PG609,P-PG609-1,3,0,0,1,1070,3,1,1,12,POINT (-109.205834408303 25.9240491),2419440,2419.44,0.006109734,0.001648954,0.00192161,0.010371548,1,1.386294361,0.099131672,25.9240491
"Progreso, Yucatan",Yucatan,Sur,PG1695,S-PG1695-1,3,0,0,1,938,3,0,0,9,POINT (-89.6636637 21.2822136),409524,409.524,0.064196856,0.10821588,0.056077262,0.260354366,1,1.386294361,0.099131672,21.2822136
"Villa Aldama, Veracruz",Veracruz,Golfo,PG1263,G-PG1263-2,3,0,0,3,66430,109,1,4.25,54,POINT (-97.2228382 19.6489805),841263,841.263,,,,,1,1.386294361,0.099131672,19.6489805
"San Sebastian Tutla, Oaxaca",Oaxaca,Sur,PG1299,S-PG1299-13,3,1,1,4,8835,2797,8,7.785714286,16,POINT (-96.672222 17.059722),697961,697.961,,,,,2,0.916290732,0.056721582,17.059722
"Jantetelco, Morelos",Morelos,Centro,PG1184,C-PG1184-1,3,0,0,0,45,3,1,1,9,POINT (-98.7766172 18.7167516),1149034,1149.034,0.365812499,0.419499114,0.333732909,0.481656345,1,1.386294361,0.099131672,18.7167516
"Soledad de Doblado, Veracruz",Veracruz,Golfo,PG1301,G-PG1301-6,3,0,0,3,66430,1747,0,0.75,54,POINT (-96.4233756 19.0452067),675578,675.578,,,,,1,1.386294361,0.099131672,19.0452067
"San Pedro Mixtepec -Dto. 22 -, Oaxaca",Oaxaca,Sur,PG1297,S-PG1297-4,3,0,1,4,8835,203,0,0,16,POINT (-96.2825 16.271111),685010,685.01,,,,,1,1.386294361,0.099131672,16.271111
"Ocoyoacac, Estado de Mexico",Estado de Mexico,Centro,PG1146,C-PG1146-2,3,0,1,1,9586,14894,53,91.23076923,,POINT (-99.4177778597143 19.2587373),1020043,1020.043,,,,,1,1.386294361,0.099131672,19.2587373
"Cuautitlan, Estado de Mexico",Estado de Mexico,Centro,PG1146,C-PG1146-6,3,0,1,1,9586,14894,83,91.23076923,,POINT (-99.2145002 19.6531356),1029069,1029.069,,,,,1,1.386294361,0.099131672,19.6531356
"Xochitepec, Morelos",Morelos,Centro,PG1145,C-PG1145-3,3,0,0,0,45,42,9,7.833333333,9,POINT (-99.2308448 18.7831747),1245664,1245.664,,,,,1,1.386294361,0.099131672,18.7831747
"Leon, Guanajuato",Guanajuato,Centro,PG1031,C-PG1031-1,3,0,0,0,199,52,2,2.666666667,13,POINT (-101.6825081 21.1218598),1342210,1342.21,,,,,1,1.386294361,0.099131672,21.1218598
"Jerez, Zacatecas",Zacatecas,Centro,PG956,C-PG956-1,3,0,1,0,1126,45,0,0,8,POINT (-103.00147264243 22.7105933),1642935,1642.935,,,,,1,1.386294361,0.099131672,22.7105933
"Alamo Temapache, Veracruz",Veracruz,Golfo,PG1226,G-PG1226-1,3,0,0,3,66430,3,0,0,54,POINT (-97.7557841914082 20.9951932),991527,991.527,,,,,1,1.386294361,0.099131672,20.9951932
