nommun,estado,region,id_poligon,codigo_uni,eventos,inm_30km,inm_in_gri,inm_in_est,eventos_ed,eventos_gr,sc_30km,promedio_s,sc_estado,geometry,distancia_metros,distancia_km,max_vul2r1_normalized,max_vul2r2_normalized,max_vul2r3_normalized,max_vul2r4_normalized,inm_30km_adjusted,log_eventos_per_inm_30km,norm_log_eventos_per_inm_30km,latitud
"Juan Rodriguez Clara, Veracruz",Veracruz,Golfo,PG1378,G-PG1378-1,8,0,1,3,66430,45773,0,15,54,POINT (-95.344127993385 17.97320895),492370,492.37,,,,,1,2.197224577,0.172304773,17.97320895
"Tocatlan, Tlaxcala",Tlaxcala,Centro,PG1224,C-PG1224-19,8,1,1,0,7686,5071,7,17.90909091,8,POINT (-98.03 19.389167),869712,869.712,,,,,2,1.609437912,0.119266704,19.389167
"Santa Maria Coyotepec, Oaxaca",Oaxaca,Sur,PG1298,S-PG1298-3,9,1,0,4,8835,463,8,4.857142857,16,POINT (-96.7108042440475 16.9716988),706752,706.752,,,,,2,1.704748092,0.127866878,16.9716988
"Santa Cruz Quilehtla, Tlaxcala",Tlaxcala,Centro,PG1224,C-PG1224-4,9,2,1,0,7686,5071,45,17.90909091,8,POINT (-98.221111 19.212222),872375,872.375,,,,,3,1.386294361,0.099131672,19.212222
"Salto de Agua, Chiapas",Chiapas,Sur,PG1533,S-PG1533-2,9,1,0,13,223058,9,24,12,117,POINT (-92.2248024988609 17.4348976),111398,111.398,0.002965301,0.063027654,0.001487262,0.054568062,2,1.704748092,0.127866878,17.4348976
"Bacalar, Quintana Roo",Quintana Roo,Sur,PG1769,S-PG1769-1,9,2,2,2,2492,9,22,22,74,POINT (-88.3922556 18.6782559),32916,32.916,,,,,3,1.386294361,0.099131672,18.6782559
"Gutierrez Zamora, Veracruz",Veracruz,Golfo,PG1264,G-PG1264-2,9,0,0,3,66430,74,0,0.25,54,POINT (-97.085536109707 20.456991),885859,885.859,,,,,1,2.302585093,0.181811825,20.456991
"El Espinal, Oaxaca",Oaxaca,Sur,PG1376,S-PG1376-5,10,1,1,4,8835,4326,2,1.571428571,16,POINT (-95.0581833048719 16.4609135),427981,427.981,,,,,2,1.791759469,0.135718223,16.4609135
"Minatitlan, Veracruz",Veracruz,Golfo,PG1417,G-PG1417-2,10,0,0,3,66430,4568,14,13.2,54,POINT (-94.5567103 17.992773),403180,403.18,,,,,1,2.397895273,0.190412,17.992773
"Ciudad Ixtepec, Oaxaca",Oaxaca,Sur,PG1376,S-PG1376-4,10,1,1,4,8835,4326,2,1.571428571,16,POINT (-95.0959653 16.5564139),434934,434.934,,,,,2,1.791759469,0.135718223,16.5564139
"Manzanillo, Colima",Colima,Pacifico,PG872,P-PG872-1,10,0,0,0,18,10,1,1,8,POINT (-104.3159957 19.0506256),1999809,1999.809,0.27601754,0.117809154,0.298804071,0.221422861,1,2.397895273,0.190412,19.0506256
"Ixtapaluca, Estado de Mexico",Estado de Mexico,Centro,PG1185,C-PG1185-3,11,1,0,1,9586,3233,40,12.92857143,,POINT (-98.8840481 19.3129326),949143,949.143,,,,,2,1.871802177,0.142940759,19.3129326
"Doctor Arroyo, Nuevo Leon",Nuevo Leon,Golfo,PG1113,G-PG1113-1,11,0,0,0,16985,11,0,0,104,POINT (-100.225663498075 23.80420455),1604117,1604.117,0.003545587,0.002636869,0.003241999,0.020727743,1,2.48490665,0.198263344,23.80420455
"Culiacan, Sinaloa",Sinaloa,Pacifico,PG725,P-PG725-1,11,0,0,1,1070,11,5,5,12,POINT (-107.393395 24.7978965),2194672,2194.672,0.228301902,0.069434996,0.137926639,0.155691952,1,2.48490665,0.198263344,24.7978965
"Miahuatlan de Porfirio Diaz, Oaxaca",Oaxaca,Sur,PG1298,S-PG1298-5,12,0,0,4,8835,463,0,4.857142857,16,POINT (-96.5850578538718 16.3610815),752634,752.634,,,,,1,2.564949357,0.205485881,16.3610815
"Tierra Blanca, Veracruz",Veracruz,Golfo,PG1301,G-PG1301-8,13,0,0,3,66430,1747,0,0.75,54,POINT (-96.2152007748733 18.5272475),599687,599.687,,,,,1,2.63905733,0.212172905,18.5272475
"Asuncion Nochixtlan, Oaxaca",Oaxaca,Sur,PG1260,S-PG1260-5,13,0,0,4,8835,146,0,0.166666667,16,POINT (-97.225 17.457222),784964,784.964,,,,,1,2.63905733,0.212172905,17.457222
"Sanctorum de Lazaro Cardenas, Tlaxcala",Tlaxcala,Centro,PG1185,C-PG1185-10,13,0,0,0,7686,3233,1,12.92857143,8,POINT (-98.471944 19.4925),919544,919.544,,,,,1,2.63905733,0.212172905,19.4925
"Tulum, Quintana Roo",Quintana Roo,Sur,PG1810,S-PG1810-1,13,0,0,2,2492,13,9,9,74,POINT (-87.4495481261673 20.1692965),253452,253.452,,,,,1,2.63905733,0.212172905,20.1692965
"Paras, Nuevo Leon",Nuevo Leon,Golfo,PG1156,G-PG1156-1,13,0,1,0,16985,29,0,0,104,POINT (-99.5229954 26.4993853),1784199,1784.199,,,,,1,2.63905733,0.212172905,26.4993853
"Seybaplaya, Campeche",Campeche,Sur,PG1614,S-PG1614-2,13,0,0,3,3630,162,7,3.5,10,POINT (-90.6253669555515 19.60337225),279187,279.187,,,,,1,2.63905733,0.212172905,19.60337225
"Aldama, Tamaulipas",Tamaulipas,Golfo,PG1229,G-PG1229-1,14,0,0,3,10385,14,1,1,46,POINT (-98.0741727 22.9196081),1221491,1221.491,0.003718121,0.059816107,0.003525686,0.025334669,1,2.708050201,0.218398376,22.9196081
"Zihuatanejo de Azueta, Guerrero",Guerrero,Pacifico,PG1027,P-PG1027-1,14,1,0,1,1478,14,1,1,8,POINT (-101.496952435006 17.80789995),1717296,1717.296,0.044447774,0.022976697,0.031393416,0.087653612,2,2.079441542,0.161676793,17.80789995
"Santiago Niltepec, Oaxaca",Oaxaca,Sur,PG1415,S-PG1415-1,14,0,1,4,8835,297,0,0,16,POINT (-94.6131085 16.5614134),371122,371.122,,,,,1,2.708050201,0.218398376,16.5614134
"Hueyotlipan, Tlaxcala",Tlaxcala,Centro,PG1185,C-PG1185-13,14,1,0,0,7686,3233,7,12.92857143,8,POINT (-98.348056 19.469444),930226,930.226,,,,,2,2.079441542,0.161676793,19.469444
"Martinez de la Torre, Veracruz",Veracruz,Golfo,PG1264,G-PG1264-3,15,0,0,3,66430,74,0,0.25,54,POINT (-97.0461646766573 20.1197165),861151,861.151,,,,,1,2.772588722,0.224221915,20.1197165
"Isla, Veracruz",Veracruz,Golfo,PG1339,G-PG1339-5,15,0,0,3,66430,3221,0,0.6,54,POINT (-95.5281332 18.0276212),528250,528.25,,,,,1,2.772588722,0.224221915,18.0276212
"Tizayuca, Hidalgo",Hidalgo,Centro,PG1186,C-PG1186-1,15,0,1,1,1046,119,2,2.777777778,6,POINT (-98.9815648 19.841245),1000096,1000.096,,,,,1,2.772588722,0.224221915,19.841245
"Chiautempan, Tlaxcala",Tlaxcala,Centro,PG1224,C-PG1224-8,16,2,1,0,7686,5071,35,17.90909091,8,POINT (-98.1925 19.313889),892775,892.775,,,,,3,1.84582669,0.140596899,19.313889
"Miguel Aleman, Tamaulipas",Tamaulipas,Golfo,PG1156,G-PG1156-3,16,1,1,3,10385,29,0,0,46,POINT (-99.0314218 26.3995446),1743928,1743.928,0.079825993,0.063662689,0.085886526,0.128370561,2,2.197224577,0.172304773,26.3995446
"San Miguel de Allende, Guanajuato",Guanajuato,Centro,PG1070,C-PG1070-3,16,0,0,0,199,75,0,9,13,POINT (-100.743784 20.9142238),1233678,1233.678,,,,,1,2.833213344,0.229692289,20.9142238
"La Trinitaria, Chiapas",Chiapas,Sur,PG1531,S-PG1531-4,17,2,4,13,223058,988,6,3,117,POINT (-92.0542431 16.1206164),45020,45.02,,,,,3,1.897119985,0.145225275,16.1206164
"Garcia, Nuevo Leon",Nuevo Leon,Golfo,PG1077,G-PG1077-5,17,1,1,0,16985,3453,99,74.2,104,POINT (-100.4018251 25.6651753),1666210,1666.21,,,,,2,2.251291799,0.17718345,25.6651753
"Amatlan de los Reyes, Veracruz",Veracruz,Golfo,PG1301,G-PG1301-1,17,0,0,3,66430,1747,2,0.75,54,POINT (-96.8685723968666 18.87251165),680045,680.045,,,,,1,2.890371758,0.234849895,18.87251165
"Nativitas, Tlaxcala",Tlaxcala,Centro,PG1185,C-PG1185-14,17,2,0,0,7686,3233,45,12.92857143,8,POINT (-98.314722 19.233333),878090,878.09,,,,,3,1.897119985,0.145225275,19.233333
"Villa de Tezontepec, Hidalgo",Hidalgo,Centro,PG1186,C-PG1186-4,17,1,1,1,1046,119,3,2.777777778,6,POINT (-98.8003276778997 19.9143587),1000362,1000.362,,,,,2,2.251291799,0.17718345,19.9143587
"Chapulhuacan, Hidalgo",Hidalgo,Centro,PG1187,C-PG1187-1,18,0,0,1,1046,18,1,1,6,POINT (-98.9521191559816 21.1263192),1230375,1230.375,0.592968745,0.479922161,0.572321864,0.481579673,1,2.944438979,0.239728571,21.1263192
"San Francisco de los Romo, Aguascalientes",Aguascalientes,Centro,PG994,C-PG994-3,18,1,1,2,559,515,44,29.66666667,46,POINT (-102.2707133 22.0746282),1495362,1495.362,,,,,2,2.302585093,0.181811825,22.0746282
"Salinas Victoria, Nuevo Leon",Nuevo Leon,Golfo,PG1117,G-PG1117-1,18,0,0,0,16985,18,0,0,104,POINT (-100.327087699587 26.1216805),1709835,1709.835,0.280604381,0.214074534,0.269879887,0.222451968,1,2.944438979,0.239728571,26.1216805
"Cuernavaca, Morelos",Morelos,Centro,PG1145,C-PG1145-2,19,0,0,0,45,42,7,7.833333333,9,POINT (-99.2342282 18.9218274),1225450,1225.45,0.178967319,0.019933524,0.071952355,0.111686329,1,2.995732274,0.244356947,18.9218274
"Linares, Nuevo Leon",Nuevo Leon,Golfo,PG1154,G-PG1154-2,19,0,0,0,16985,53,1,1,104,POINT (-99.5684539 24.8596282),1529703,1529.703,,,,,1,2.995732274,0.244356947,24.8596282
"Escuintla, Chiapas",Chiapas,Sur,PG1530,S-PG1530-3,19,2,4,13,223058,113641,2,22.33333333,117,POINT (-92.5557653736153 15.35100255),114031,114.031,,,,,3,1.992430165,0.153825449,15.35100255
"Tulancingo de Bravo, Hidalgo",Hidalgo,Centro,PG1186,C-PG1186-9,19,0,1,1,1046,119,0,2.777777778,6,POINT (-98.3475328 20.0792094),1009325,1009.325,,,,,1,2.995732274,0.244356947,20.0792094
"Agua Dulce, Veracruz",Veracruz,Golfo,PG1417,G-PG1417-5,20,0,0,3,66430,4568,9,13.2,54,POINT (-94.1623630522383 18.0899541),356415,356.415,,,,,1,3.044522438,0.248759456,18.0899541
"San Pedro Totolapam, Oaxaca",Oaxaca,Sur,PG1258,S-PG1258-1,20,0,0,4,8835,20,1,1,16,POINT (-97.0043148 15.8659835),723062,723.062,,,,,1,3.044522438,0.248759456,15.8659835
"Cosoleacaque, Veracruz",Veracruz,Golfo,PG1417,G-PG1417-1,20,0,0,3,66430,4568,15,13.2,54,POINT (-94.6174830085876 18.0060183),406218,406.218,,,,,1,3.044522438,0.248759456,18.0060183
"Tenabo, Campeche",Campeche,Sur,PG1654,S-PG1654-2,21,0,1,3,3630,452,0,2.666666667,10,POINT (-90.2254956 20.0406607),,,,,,,1,3.091042453,0.252957121,20.0406607
"Naranjos Amatlan, Veracruz",Veracruz,Golfo,PG1227,G-PG1227-2,21,0,0,3,66430,95,0,0,54,POINT (-97.6760013002664 21.3093326),1017942,1017.942,,,,,1,3.091042453,0.252957121,21.3093326
"Angel R. Cabada, Veracruz",Veracruz,Golfo,PG1379,G-PG1379-1,21,0,0,3,66430,123,0,0,54,POINT (-95.3861682474972 18.5927238),583334,583.334,,,,,1,3.091042453,0.252957121,18.5927238
"Palizada, Campeche",Campeche,Sur,PG1534,S-PG1534-3,21,0,1,3,3630,33857,0,6.5,10,POINT (-92.0907089 18.2549484),155838,155.838,,,,,1,3.091042453,0.252957121,18.2549484
"Mineral de la Reforma, Hidalgo",Hidalgo,Centro,PG1186,C-PG1186-6,22,1,1,1,1046,119,3,2.777777778,6,POINT (-98.7305724236319 20.06063885),989002,989.002,,,,,2,2.48490665,0.198263344,20.06063885
"Apaseo el Grande, Guanajuato",Guanajuato,Centro,PG1070,C-PG1070-5,22,0,0,0,199,75,39,9,13,POINT (-100.597986786366 20.59193265),1209772,1209.772,,,,,1,3.135494216,0.256968161,20.59193265
"Nezahualcoyotl, Estado de Mexico",Estado de Mexico,Centro,PG1146,C-PG1146-12,22,1,1,1,9586,14894,132,91.23076923,,POINT (-99.0181547 19.4079028),969262,969.262,,,,,2,2.48490665,0.198263344,19.4079028
"Santiago, Nuevo Leon",Nuevo Leon,Golfo,PG1116,G-PG1116-8,23,0,1,0,16985,6668,23,66.5,104,POINT (-100.1513376 25.4243595),1626660,1626.66,,,,,1,3.17805383,0.260808466,25.4243595
"Mapimi, Durango",Durango,Centro,PG921,C-PG921-1,23,0,1,0,1446,1696,0,2.666666667,5,POINT (-103.8480216 25.8337403),2022573,2022.573,,,,,1,3.17805383,0.260808466,25.8337403
"Isla Mujeres, Quintana Roo",Quintana Roo,Sur,PG1851,S-PG1851-1,24,0,0,2,2492,24,25,25,74,POINT (-86.7350001 21.2371906),395756,395.756,,,,,1,3.218875825,0.264491978,21.2371906
"Cozumel, Quintana Roo",Quintana Roo,Sur,PG1849,S-PG1849-1,24,0,0,2,2492,24,18,18,74,POINT (-86.9206905837727 20.4320599),341133,341.133,,,,,1,3.218875825,0.264491978,20.4320599
"Calpulalpan, Tlaxcala",Tlaxcala,Centro,PG1185,C-PG1185-6,25,0,0,0,7686,3233,1,12.92857143,8,POINT (-98.569167 19.587778),931725,931.725,,,,,1,3.258096538,0.268031002,19.587778
"Concepcion Buenavista, Oaxaca",Oaxaca,Sur,PG1261,S-PG1261-1,25,0,0,4,8835,29,0,0,16,POINT (-97.4004708 17.8781515),840651,840.651,,,,,1,3.258096538,0.268031002,17.8781515
"Ensenada, Baja California",Baja California,Pacifico,PG189,P-PG189-2,26,0,0,2,33879,64,3,8,66,POINT (-116.602983 31.8658887),4122087,4122.087,,,,,1,3.295836866,0.271436445,31.8658887
"Medellin de Bravo, Veracruz",Veracruz,Golfo,PG1340,G-PG1340-1,27,1,0,3,66430,86,3,1.5,54,POINT (-96.1442918 19.0404677),687357,687.357,,,,,2,2.674148649,0.215339319,19.0404677
"Comonfort, Guanajuato",Guanajuato,Centro,PG1070,C-PG1070-2,29,0,0,0,199,75,3,9,13,POINT (-100.761188 20.7199475),1239127,1239.127,0.227145329,0.132544706,0.217093794,0.14159278,1,3.401197382,0.280943497,20.7199475
"Chilpancingo de los Bravo, Guerrero",Guerrero,Pacifico,PG1143,P-PG1143-1,30,0,0,1,1478,30,4,4,8,POINT (-99.5048416 17.5542149),1348757,1348.757,0.271191301,0.202345064,0.230276128,0.606374228,1,3.433987204,0.283902239,17.5542149
"San Andres Huaxpaltepec, Oaxaca",Oaxaca,Sur,PG1220,S-PG1220-2,31,0,0,4,8835,38,0,0,16,POINT (-97.9346251942668 16.3411829),845650,845.65,0.345138072,0.334088456,0.392154878,0.63857789,1,3.465735903,0.286767036,16.3411829
"Acapulco de Juarez, Guerrero",Guerrero,Pacifico,PG1103,P-PG1103-1,32,0,0,1,1478,32,2,2,8,POINT (-99.8940182 16.8680495),1454199,1454.199,0.392902504,0.272238346,0.355841251,0.286920501,1,3.496507561,0.289543672,16.8680495
"Tzompantepec, Tlaxcala",Tlaxcala,Centro,PG1224,C-PG1224-17,33,1,1,0,7686,5071,7,17.90909091,8,POINT (-98.086162281471 19.38326045),874065,874.065,,,,,2,2.862200881,0.232307937,19.38326045
"Victoria, Tamaulipas",Tamaulipas,Golfo,PG1152,G-PG1152-2,33,0,0,3,10385,571,10,5,46,POINT (-99.1441352 23.7389846),1366501,1366.501,,,,,1,3.526360525,0.29223741,23.7389846
"Hualahuises, Nuevo Leon",Nuevo Leon,Golfo,PG1154,G-PG1154-1,34,0,0,0,16985,53,1,1,104,POINT (-99.6739794 24.8838044),1542629,1542.629,0.305220384,0.272419164,0.33254292,0.246857883,1,3.555348061,0.294853058,24.8838044
"Mapastepec, Chiapas",Chiapas,Sur,PG1491,S-PG1491-1,35,0,0,13,223058,35,1,1,117,POINT (-92.898367 15.43981),133622,133.622,0.431758128,0.655910283,0.481368907,0.36685971,1,3.583518938,0.297395016,15.43981
"San Pablo Etla, Oaxaca",Oaxaca,Sur,PG1299,S-PG1299-6,35,1,1,4,8835,2797,8,7.785714286,16,POINT (-96.7644253 17.1450449),715592,715.592,,,,,2,2.917770732,0.237322201,17.1450449
"El Carmen, Nuevo Leon",Nuevo Leon,Golfo,PG1116,G-PG1116-1,35,0,1,0,16985,6668,56,66.5,104,POINT (-100.3613419 25.9368419),1690397,1690.397,,,,,1,3.583518938,0.297395016,25.9368419
"General Zuazua, Nuevo Leon",Nuevo Leon,Golfo,PG1116,G-PG1116-9,35,0,1,0,16985,6668,40,66.5,104,POINT (-100.1078021 25.8953873),1686869,1686.869,,,,,1,3.583518938,0.297395016,25.8953873
"Tepeapulco, Hidalgo",Hidalgo,Centro,PG1185,C-PG1185-7,35,0,0,1,1046,3233,1,12.92857143,6,POINT (-98.5522855 19.7875962),954439,954.439,,,,,1,3.583518938,0.297395016,19.7875962
"Agua Prieta, Sonora",Sonora,Pacifico,PG578,P-PG578-2,35,1,1,2,31997,35,2,2,28,POINT (-109.5564331 31.3305591),2938631,2938.631,0.174633632,0.185731789,0.103654582,0.138158018,2,2.917770732,0.237322201,31.3305591
"Tihuatlan, Veracruz",Veracruz,Golfo,PG1265,G-PG1265-1,35,0,0,3,66430,382,1,0.666666667,54,POINT (-97.5367859622192 20.716735),945230,945.23,,,,,1,3.583518938,0.297395016,20.716735
"San Bartolo Soyaltepec, Oaxaca",Oaxaca,Sur,PG1260,S-PG1260-4,36,0,0,4,8835,146,0,0.166666667,16,POINT (-97.3119436609311 17.57706925),798804,798.804,,,,,1,3.610917913,0.299867322,17.57706925
"San Pedro Pochutla, Oaxaca",Oaxaca,Sur,PG1297,S-PG1297-2,36,1,1,4,8835,203,0,0,16,POINT (-96.465278 15.744444),653283,653.283,,,,,2,2.944438979,0.239728571,15.744444
"Villa de Tututepec, Oaxaca",Oaxaca,Sur,PG1219,S-PG1219-1,37,0,0,4,8835,37,0,0,16,POINT (-97.6080871 16.1303062),803746,803.746,0.16685018,0.142229026,0.176505821,0.140549797,1,3.63758616,0.302273693,16.1303062
"Santa Maria Mixtequilla, Oaxaca",Oaxaca,Sur,PG1376,S-PG1376-2,37,0,1,4,8835,4326,3,1.571428571,16,POINT (-95.259722 16.374444),454851,454.851,,,,,1,3.63758616,0.302273693,16.374444
"Playas de Rosarito, Baja California",Baja California,Pacifico,PG189,P-PG189-1,38,1,0,2,33879,64,13,8,66,POINT (-116.873307225176 32.25812915),4090519,4090.519,,,,,2,2.995732274,0.244356947,32.25812915
"Cienega de Flores, Nuevo Leon",Nuevo Leon,Golfo,PG1116,G-PG1116-7,41,0,1,0,16985,6668,27,66.5,104,POINT (-100.1662028 25.956169),1685478,1685.478,,,,,1,3.737669618,0.311304577,25.956169
"Pachuca de Soto, Hidalgo",Hidalgo,Centro,PG1186,C-PG1186-5,42,1,1,1,1046,119,3,2.777777778,6,POINT (-98.7413535 20.1165413),995635,995.635,0.491112758,0.389067031,0.369366925,0.37272229,2,3.091042453,0.252957121,20.1165413
"Calera, Zacatecas",Zacatecas,Centro,PG956,C-PG956-2,42,0,1,0,1126,45,0,0,8,POINT (-102.856222886116 22.97848),1634615,1634.615,0.362122998,0.271279499,0.364544718,0.416379771,1,3.761200116,0.313427817,22.97848
"Irapuato, Guanajuato",Guanajuato,Centro,PG1031,C-PG1031-2,43,0,0,0,199,52,3,2.666666667,13,POINT (-101.3521052 20.6758761),1283993,1283.993,0.615292523,0.285329113,0.629605241,0.269671708,1,3.784189634,0.315502243,20.6758761
"Aguascalientes, Aguascalientes",Aguascalientes,Centro,PG955,C-PG955-1,44,1,0,2,559,44,45,45,46,POINT (-102.5000001 22.0000001),1491359,1491.359,,,,,2,3.135494216,0.256968161,22.0000001
"Santo Domingo Yanhuitlan, Oaxaca",Oaxaca,Sur,PG1260,S-PG1260-3,44,0,0,4,8835,146,0,0.166666667,16,POINT (-97.3421502 17.5273478),796665,796.665,,,,,1,3.80666249,0.317530048,17.5273478
"Centla, Tabasco",Tabasco,Sur,PG1534,G-PG1534-1,45,0,1,3,290299,33857,0,6.5,43,POINT (-92.6521986432691 18.3536762),269539,269.539,,,,,1,3.828641396,0.319513282,18.3536762
"San Jacinto Amilpas, Oaxaca",Oaxaca,Sur,PG1299,S-PG1299-7,45,1,1,4,8835,2797,8,7.785714286,16,POINT (-96.7606784 17.1011376),710092,710.092,,,,,2,3.157000421,0.258908742,17.1011376
"Cuapiaxtla, Tlaxcala",Tlaxcala,Centro,PG1224,C-PG1224-22,46,0,1,0,7686,5071,2,17.90909091,8,POINT (-97.768912 19.2961777),840785,840.785,,,,,1,3.850147602,0.321453863,19.2961777
"Heroica Ciudad de Huajuapan de Leon, Oaxaca",Oaxaca,Sur,PG1222,S-PG1222-1,46,0,0,4,8835,46,1,1,16,POINT (-97.7780564 17.808846),873391,873.391,0.593151628,0.666151832,0.595309826,1,1,3.850147602,0.321453863,17.808846
"Tampico, Tamaulipas",Tamaulipas,Golfo,PG1228,G-PG1228-4,47,1,1,3,10385,1412,5,4,46,POINT (-97.8577713 22.2157619),1120911,1120.911,,,,,2,3.198673118,0.262669017,22.2157619
"Hidalgo, Tamaulipas",Tamaulipas,Golfo,PG1153,G-PG1153-1,47,0,0,3,10385,47,0,0,46,POINT (-99.4382079 24.2480354),1454986,1454.986,0.341178324,0.414761747,0.396470721,0.271023202,1,3.871201011,0.323353587,24.2480354
"Tlaxco, Tlaxcala",Tlaxcala,Centro,PG1224,C-PG1224-11,48,0,1,0,7686,5071,1,17.90909091,8,POINT (-98.1707601011239 19.62058645),900687,900.687,,,,,1,3.891820298,0.325214138,19.62058645
"Papantla, Veracruz",Veracruz,Golfo,PG1264,G-PG1264-1,48,0,0,3,66430,74,1,0.25,54,POINT (-97.3232777494493 20.4458721),906809,906.809,,,,,1,3.891820298,0.325214138,20.4458721
"San Francisco Telixtlahuaca, Oaxaca",Oaxaca,Sur,PG1260,S-PG1260-6,49,0,0,4,8835,146,0,0.166666667,16,POINT (-96.9056112 17.296628),741160,741.16,0.491043247,0.44215715,0.513342195,0.961767287,1,3.912023005,0.3270371,17.296628
"Rio Blanco, Veracruz",Veracruz,Golfo,PG1262,G-PG1262-3,50,0,0,3,66430,1947,2,2,54,POINT (-97.1522938888273 18.84522475),714413,714.413,,,,,1,3.931825633,0.328823961,18.84522475
"Rio Bravo, Tamaulipas",Tamaulipas,Golfo,PG1233,G-PG1233-4,50,0,0,3,10385,6389,10,10,46,POINT (-98.0945766 25.988981),1650464,1650.464,,,,,1,3.931825633,0.328823961,25.988981
"San Nicolas de los Garza, Nuevo Leon",Nuevo Leon,Golfo,PG1116,G-PG1116-4,50,1,1,0,16985,6668,99,66.5,104,POINT (-100.289648 25.7558021),1681722,1681.722,,,,,2,3.258096538,0.268031002,25.7558021
"Atlacomulco, Estado de Mexico",Estado de Mexico,Centro,PG1108,C-PG1108-2,51,0,0,1,9586,1355,1,1.666666667,,POINT (-99.8681193246918 19.81591915),1116302,1116.302,,,,,1,3.951243719,0.330576124,19.81591915
"Fortin, Veracruz",Veracruz,Golfo,PG1262,G-PG1262-6,54,0,0,3,66430,1947,2,2,54,POINT (-96.9982014 18.8993309),692623,692.623,,,,,1,4.007333185,0.335637274,18.8993309
"Chahuites, Oaxaca",Oaxaca,Sur,PG1414,S-PG1414-1,54,1,0,4,8835,54,0,0,16,POINT (-94.1942777 16.2885299),311322,311.322,0.136984844,0.258876217,0.15669533,0.128186528,2,3.33220451,0.274718027,16.2885299
"Soto la Marina, Tamaulipas",Tamaulipas,Golfo,PG1230,G-PG1230-1,54,0,0,3,10385,54,0,0,46,POINT (-98.0502640007194 23.87599915),1386501,1386.501,,,,,1,4.007333185,0.335637274,23.87599915
"Carrillo Puerto, Veracruz",Veracruz,Golfo,PG1301,G-PG1301-5,55,0,0,3,66430,1747,0,0.75,54,POINT (-96.5842838954223 18.8215893),650751,650.751,,,,,1,4.025351691,0.337263148,18.8215893
"Los Cabos, Baja California Sur",Baja California Sur,Pacifico,PG566,P-PG566-1,58,0,0,0,404,58,7,7,15,POINT (-109.689768413063 23.27184805),2817517,2817.517,,,,,1,4.077537444,0.341972053,23.27184805
"Alvarado, Veracruz",Veracruz,Golfo,PG1340,G-PG1340-2,59,0,0,3,66430,86,0,1.5,54,POINT (-95.9238540059007 18.82874235),663954,663.954,,,,,1,4.094344562,0.343488619,18.82874235
"Yanga, Veracruz",Veracruz,Golfo,PG1301,G-PG1301-2,62,0,0,3,66430,1747,2,0.75,54,POINT (-96.7992608 18.8313634),672938,672.938,,,,,1,4.143134726,0.347891128,18.8313634
"San Luis de la Paz, Guanajuato",Guanajuato,Centro,PG1071,C-PG1071-1,65,0,0,0,199,65,0,0,13,POINT (-100.516269 21.2970466),1265816,1265.816,0.24391564,0.176538839,0.235117425,0.212363973,1,4.189654742,0.352088793,21.2970466
"San Luis Rio Colorado, Sonora",Sonora,Pacifico,PG307,P-PG307-1,67,0,0,2,31997,67,2,2,28,POINT (-114.7652542 32.4517957),3495743,3495.743,0.027782006,0.019133574,0.02770311,0.039335595,1,4.219507705,0.354782532,32.4517957
"Ocosingo, Chiapas",Chiapas,Sur,PG1532,S-PG1532-4,70,0,1,13,223058,771,0,2.25,117,POINT (-92.092776 16.9057),175697,175.697,,,,,1,4.262679877,0.358678109,16.9057
"Ozuluama de Mascarenas, Veracruz",Veracruz,Golfo,PG1227,G-PG1227-1,74,0,0,3,66430,95,0,0,54,POINT (-97.850556 21.661111),1064733,1064.733,,,,,1,4.317488114,0.36362365,21.661111
"Tlalnepantla de Baz, Estado de Mexico",Estado de Mexico,Centro,PG1146,C-PG1146-7,75,1,1,1,9586,14894,129,91.23076923,,POINT (-99.1899352247449 19.54649025),994753,994.753,,,,,2,3.650658241,0.303453233,19.54649025
"Tula de Allende, Hidalgo",Hidalgo,Centro,PG1147,C-PG1147-2,76,0,0,1,1046,3846,4,2.75,6,POINT (-99.3729561601143 20.0489487),1044904,1044.904,,,,,1,4.343805422,0.365998354,20.0489487
"Villa de Zaachila, Oaxaca",Oaxaca,Sur,PG1298,S-PG1298-2,78,1,0,4,8835,463,8,4.857142857,16,POINT (-96.749167 16.950833),708564,708.564,,,,,2,3.688879454,0.306902068,16.950833
"Angostura, Sinaloa",Sinaloa,Pacifico,PG647,P-PG647-1,79,0,0,1,1070,79,0,0,12,POINT (-108.16152 25.3657471),2291946,2291.946,0.284699625,0.228960035,0.283078901,0.235069297,1,4.382026635,0.369447189,25.3657471
"Cadereyta Jimenez, Nuevo Leon",Nuevo Leon,Golfo,PG1116,G-PG1116-12,83,0,1,0,16985,6668,5,66.5,104,POINT (-99.8711735172066 25.517337),1631859,1631.859,,,,,1,4.430816799,0.373849699,25.517337
"Atlangatepec, Tlaxcala",Tlaxcala,Centro,PG1224,C-PG1224-5,85,1,1,0,7686,5071,6,17.90909091,8,POINT (-98.208333 19.530833),895388,895.388,,,,,2,3.772760938,0.314470991,19.530833
"Anahuac, Nuevo Leon",Nuevo Leon,Golfo,PG1118,G-PG1118-1,86,0,0,0,16985,86,0,0,104,POINT (-100.0333715 27.0285283),1889336,1889.336,0.542761255,0.519433064,0.604852164,0.424209663,1,4.465908119,0.377016112,27.0285283
