,arc,nommun,cvemun,region,dist_ori,dist_des,inm_30km,sc_30km,dis_tot,geometry,eventos,area,R1,R2,R3,R4,tipo_nodo,vul2r1,vul2r1_normalized
530,PG1261-PG1222,"San Cristobal Suchixtlahuaca, Oaxaca",20129.0,Desconocido,12.2,65.427,1,1,83.86314286,POINT (-97.38236416552081 17.71527256874448),4.0,33.07836483,0.01,0.01,0.01,0.460364201,intersectante,,
531,PG1261-PG1222,"Santiago Cacaloxtepec, Oaxaca",20456.0,Desconocido,73.028,12.637,1,1,83.86314286,POINT (-97.73560354844113 17.72909160276587),,39.5097098,0.01,0.01,0.01,0.489525592,intersectante,,
532,PG1261-PG1222,"Villa Tejupam de la Union, Oaxaca",20486.0,Desconocido,27.417,52.607,1,1,83.86314286,POINT (-97.45732769160495 17.665147229222182),2.0,158.3272724,0.01,0.01,0.01,0.494467828,intersectante,,
533,PG1261-PG1222,"Villa de Tamazulapam del Progreso, Oaxaca",20540.0,Desconocido,42.078,36.713,1,1,83.86314286,POINT (-97.59694875609114 17.699886792139296),2.0,179.7697625,0.01207765,0.01,0.01,0.489607485,intersectante,,
534,PG1261-PG1222,"Heroica Ciudad de Huajuapan de Leon, Oaxaca",20039.0,Sur,77.428,0.0,1,1,83.86314286,POINT (-97.77805639999998 17.808845999999996),46.0,23.71054012,0.025236097,0.01345269,0.013154442,0.476152875,destino,291431.08713986236,0.5779927750945669
535,PG1261-PG1222,"Heroica Ciudad de Huajuapan de Leon, Oaxaca",20039.0,Sur,77.428,0.0,1,1,83.86314286,POINT (-97.77805639999998 17.808845999999996),46.0,308.5903379,0.025236097,0.01345269,0.013154442,0.476152875,destino,291431.08713986236,0.5779927750945669
536,PG1222-PG1184,"Heroica Ciudad de Huajuapan de Leon, Oaxaca",20039.0,Sur,0.0,185.838,1,1,190.4467143,POINT (-97.77805639999998 17.808845999999996),46.0,23.71054012,0.025236097,0.01345269,0.013154442,0.476152875,origen,19022.230717448085,0.4526266772674324
537,PG1222-PG1184,"Heroica Ciudad de Huajuapan de Leon, Oaxaca",20039.0,Sur,0.0,185.838,1,1,190.4467143,POINT (-97.77805639999998 17.808845999999996),46.0,308.5903379,0.025236097,0.01345269,0.013154442,0.476152875,origen,19022.230717448085,0.4526266772674324
538,PG1222-PG1184,"Heroica Ciudad de Huajuapan de Leon, Oaxaca",20039.0,Desconocido,4.882,181.364,1,1,190.4467143,POINT (-97.79827950128012 17.843278521359565),46.0,23.71054012,0.025236097,0.01345269,0.013154442,0.476152875,intersectante,,
539,PG1222-PG1184,"Heroica Ciudad de Huajuapan de Leon, Oaxaca",20039.0,Desconocido,4.882,181.364,1,1,190.4467143,POINT (-97.79827950128012 17.843278521359565),46.0,308.5903379,0.025236097,0.01345269,0.013154442,0.476152875,intersectante,,
540,PG1222-PG1184,"Zapotitlan Palmas, Oaxaca",20568.0,Desconocido,13.267,173.083,1,1,190.4467143,POINT (-97.83954184424584 17.881114390443727),,41.58395116,0.01,0.01,0.010123704,0.479048217,intersectante,,
541,PG1222-PG1184,"Acatlan, Puebla",21003.0,Desconocido,67.195,127.316,1,1,190.4467143,POINT (-98.05755006252024 18.234903155619254),,165.731439,0.018310598,0.223894364,0.010494814,0.488076464,intersectante,,
542,PG1222-PG1184,"Acatlan, Puebla",21003.0,Desconocido,67.195,127.316,1,1,190.4467143,POINT (-98.05755006252024 18.234903155619254),,459.6430324,0.018310598,0.223894364,0.010494814,0.488076464,intersectante,,
543,PG1222-PG1184,"Ahuehuetitla, Puebla",21009.0,Desconocido,83.201,102.515,1,1,190.4467143,POINT (-98.19289304792161 18.227857491903954),,65.32155177,0.01069255,0.01,0.01,0.485620658,intersectante,,
544,PG1222-PG1184,"Chila, Puebla",21055.0,Desconocido,25.948,161.695,1,1,190.4467143,POINT (-97.87819100810228 17.95821077977152),,126.3166716,0.01069255,0.01,0.010123704,0.484300755,intersectante,,
545,PG1222-PG1184,"Chinantla, Puebla",21059.0,Desconocido,94.694,104.398,1,1,190.4467143,POINT (-98.27902035922152 18.23255344461023),,90.7869031,0.01,0.01,0.010061852,0.482957377,intersectante,,
546,PG1222-PG1184,"Izucar de Matamoros, Puebla",21085.0,Desconocido,143.04,51.116,1,1,190.4467143,POINT (-98.44590610543781 18.50055627233579),,532.2420202,0.023850997,0.015524304,0.013649257,0.472982882,intersectante,,
547,PG1222-PG1184,"Petlalcingo, Puebla",21112.0,Desconocido,37.921,147.894,1,1,190.4467143,POINT (-97.91298824817058 18.066453320008645),,225.1738287,0.010346275,0.01,0.01,0.494887773,intersectante,,
