Ciudad,Referencia Geográfica,Descripción,Ruta,Latitud,Longitud,Fuente
"Acapulco, Guerrero",Acapulco,,,,,"Casillas, 2088"
"Salina Cruz, Oaxaca",Salina Cruz,,,,,"Casillas, 2089"
"San Gregorio Chamicico, Oaxaca",San Gregorio Chamicico,,,,,"Casillas, 2090"
"Ciudad Cuauhtémoc, Chiapas",Ciudad Cuauhtémoc,,,,,"Casillas, 2091"
"Las Choapas, Veracruz",Las Choapas,,,,,"Casillas, 2092"
"Tapachula, Chiapas",Tapachula,,,,,"Casillas, 2093"
"Puerto Madero, Chiapas",Puerto Madero,,,,,"Casillas, 2094"
"Saltillo, Coahuila",Saltillo,,,,,"Casillas, 2095"
"Salamanca, Guanajuato",Salamanca,,,,,"Casillas, 2096"
"Tula, Hidalgo",Tula,,,,,"Casillas, 2097"
"Irapuato, Guanajuato",Irapuato,,,,,"Casillas, 2098"
"Palenque, Chiapas",Palenque,,,,,"Casillas, 2099"
"Comitán, Chiapas",Comitan,,,,,"Casillas, 2100"
"Francisco Villa, Quintana Roo",Francisco Villa,,,,,"Casillas, 2101"
"El Sauzal, Baja California",El Sauzal,,,,,"Casillas, 2102"
"Ensenada, Baja California",Ensenada,,,,,"Casillas, 2103"
"Puerto Peñasco, Sonora",Puerto Peñasco,,,,,"Casillas, 2104"
"Sonoyta, Sonora",Sonoyta,,,,,"Casillas, 2105"
"Sásabe, Sonora",Sásabe,,,,,"Casillas, 2106"
"Naco, Sonora",Naco,,,,,"Casillas, 2107"
"Agua Prieta, Sonora",Agua Prieta,,,,,"Casillas, 2108"
"Ciudad Juárez, Chihuahua",Ciudad Juárez,,,,,"Casillas, 2109"
"Benito Juárez, Chihuahua",Benito Juárez,,,,,"Casillas, 2110"
"Ciudad Acuña, Coahuila",Ciudad Acuña,,,,,"Casillas, 2111"
"Piedras Negras, Coahuila",Piedras Negras,,,,,"Casillas, 2112"
"Nuevo Laredo, Tamaulipas",Nuevo Laredo,,,,,"Casillas, 2113"
"Reynosa, Tamaulipas",Reynosa,,,,,"Casillas, 2114"
"Díaz Ordaz, Tamaulipas",Díaz Ordaz,,,,,"Casillas, 2115"
"Matamoros, Tamaulipas",Matamoros,,,,,"Casillas, 2116"
"Nuevo Progreso, Tamaulipas",Nuevo Progreso,,,,,"Casillas, 2117"
"Chihuahua, Chihuahua",Chihuahua,,,,,"Casillas, 2118"
"Durango, Durango",Durango,,,,,"Casillas, 2119"
"Torreón, Coahuila",Torreón,,,,,"Casillas, 2120"
"Saltillo,Coahuila",Saltillo,,,,,"Casillas, 2121"
"Monterrey, Nuevo León",Monterrey,,,,,"Casillas, 2122"
"Monclova, Coahuila",Monclova,,,,,"Casillas, 2123"
"Ciudad Miguel Alemán, Tamaulipas",Ciudad Miguel Alemán,,,,,"Casillas, 2124"
"Ciudad Camargo, Tamaulipas",Ciudad Camargo,,,,,"Casillas, 2125"
"Altamira, Tamaulipas",Altamira,,,,,"Casillas, 2126"
"Tampico, Tamaulipas",Tampico,,,,,"Casillas, 2127"
"Isla de Cedros, Baja California",Isla de Cedros,,,,,"Casillas, 2128"
"Guerrero Negro, Baja California Sur",Guerrero Negro,,,,,"Casillas, 2129"
"Guaymas, Sonora",Guaymas,,,,,"Casillas, 2130"
"Isla San Marcos, Baja California Sur",Isla San Marcos,,,,,"Casillas, 2131"
"Santa Rosalía, Baja California Sur",Santa Rosalía,,,,,"Casillas, 2132"
"Punta Chivato, Baja California Sur",Punta Chivato,,,,,"Casillas, 2133"
"Loreto, Baja California Sur",Loreto,,,,,"Casillas, 2134"
"Los Mochis, Sinaloa",Los Mochis,,,,,"Casillas, 2135"
"Pichilingue, Baja California Sur",Pichilingue,,,,,"Casillas, 2136"
"La Paz, Baja California Sur",La Paz,,,,,"Casillas, 2137"
"El Mezquital, Durango",El Mezquital,,,,,"Casillas, 2138"
"Cabo San Lucas, Baja California Sur",Cabo San Lucas,,,,,"Casillas, 2139"
"Mazatlán, Sinaloa",Mazatlán,,,,,"Casillas, 2140"
"Puerto Vallarta,Jalisco",Puerto Vallarta,,,,,"Casillas, 2141"
"Arriaga, Chiapas",Arriaga,,,,,"Casillas, 2142"
"Chahuitea, Oaxaca",Chahuitea,,,,,"Casillas, 2143"
"Tenosique, Tabasco",Tenosique,,,,,"Casillas, 2144"
"Medias Aguas, Veracruz",Medias Aguas,,,,,"Casillas, 2145"
"Tierra Blanca, Veracruz",Tierra Blanca,,,,,"Casillas, 2146"
"Córdoba, Veracruz",Cordoba,,,,,"Casillas, 2147"
"Ixtepec, Oaxaca",Ixtepec,,,,,"Casillas, 2148"
"Tultitlán, Estado de México",Tultitlan,,,,,"Casillas, 2149"
"Celaya, Guanajuato",Celaya,,,,,bbva
"Apizaco, Tlaxcala",Apizaco,,,,,bbva
