ID_Ruta,Filtered_Secuencias,Last_Five_IDs,Arc_Sequences,Total_Distance_km,Total_Duration_hr
RG0484,"PG1572, PG1533, PG1534, PG1495, PG1417, PG1378, PG1339, PG1301, PG1262, PG1223, PG1224, PG1185, PG1186, PG1187, PG1150, PG1152, PG1153, PG1154, PG1115, PG1116, PG1117, PG1118, PG1157","['PG1115', 'PG1116', 'PG1117', 'PG1118', 'PG1157']","PG1572-PG1533, PG1533-PG1534, PG1534-PG1495, PG1495-PG1417, PG1417-PG1378, PG1378-PG1339, PG1339-PG1301, PG1301-PG1262, PG1262-PG1223, PG1223-PG1224, PG1224-PG1185, PG1185-PG1186, PG1186-PG1187, PG1187-PG1150, PG1150-PG1152, PG1152-PG1153, PG1153-PG1154, PG1154-PG1115, PG1115-PG1116, PG1116-PG1117, PG1117-PG1118, PG1118-PG1157",2535.532,577.4366666666666
RG0485,"PG1572, PG1533, PG1534, PG1495, PG1417, PG1378, PG1339, PG1301, PG1262, PG1223, PG1224, PG1185, PG1186, PG1187, PG1150, PG1152, PG1153, PG1154, PG1115, PG1116, PG1155, PG1156","['PG1154', 'PG1115', 'PG1116', 'PG1155', 'PG1156']","PG1572-PG1533, PG1533-PG1534, PG1534-PG1495, PG1495-PG1417, PG1417-PG1378, PG1378-PG1339, PG1339-PG1301, PG1301-PG1262, PG1262-PG1223, PG1223-PG1224, PG1224-PG1185, PG1185-PG1186, PG1186-PG1187, PG1187-PG1150, PG1150-PG1152, PG1152-PG1153, PG1153-PG1154, PG1154-PG1115, PG1115-PG1116, PG1116-PG1155, PG1155-PG1156",2452.3599999999997,558.833888888889
RG0486,"PG1572, PG1533, PG1534, PG1495, PG1417, PG1378, PG1339, PG1301, PG1262, PG1223, PG1224, PG1185, PG1186, PG1187, PG1150, PG1152, PG1153, PG1154, PG1115, PG1116, PG1155, PG1233","['PG1154', 'PG1115', 'PG1116', 'PG1155', 'PG1233']","PG1572-PG1533, PG1533-PG1534, PG1534-PG1495, PG1495-PG1417, PG1417-PG1378, PG1378-PG1339, PG1339-PG1301, PG1301-PG1262, PG1262-PG1223, PG1223-PG1224, PG1224-PG1185, PG1185-PG1186, PG1186-PG1187, PG1187-PG1150, PG1150-PG1152, PG1152-PG1153, PG1153-PG1154, PG1154-PG1115, PG1115-PG1116, PG1116-PG1155, PG1155-PG1233",2468.953,562.5688888888889
RG0487,"PG1572, PG1533, PG1534, PG1495, PG1417, PG1378, PG1339, PG1301, PG1262, PG1223, PG1224, PG1185, PG1186, PG1187, PG1150, PG1190, PG1152, PG1153, PG1154, PG1115, PG1116, PG1117, PG1118","['PG1154', 'PG1115', 'PG1116', 'PG1117', 'PG1118']","PG1572-PG1533, PG1533-PG1534, PG1534-PG1495, PG1495-PG1417, PG1417-PG1378, PG1378-PG1339, PG1339-PG1301, PG1301-PG1262, PG1262-PG1223, PG1223-PG1224, PG1224-PG1185, PG1185-PG1186, PG1186-PG1187, PG1187-PG1150, PG1150-PG1190, PG1190-PG1152, PG1152-PG1153, PG1153-PG1154, PG1154-PG1115, PG1115-PG1116, PG1116-PG1117, PG1117-PG1118",2556.415,582.1724999999999
RG0488,"PG1572, PG1533, PG1534, PG1495, PG1417, PG1378, PG1339, PG1301, PG1262, PG1223, PG1224, PG1185, PG1186, PG1187, PG1150, PG1190, PG1152, PG1153, PG1154, PG1115, PG1116, PG1155, PG1156","['PG1154', 'PG1115', 'PG1116', 'PG1155', 'PG1156']","PG1572-PG1533, PG1533-PG1534, PG1534-PG1495, PG1495-PG1417, PG1417-PG1378, PG1378-PG1339, PG1339-PG1301, PG1301-PG1262, PG1262-PG1223, PG1223-PG1224, PG1224-PG1185, PG1185-PG1186, PG1186-PG1187, PG1187-PG1150, PG1150-PG1190, PG1190-PG1152, PG1152-PG1153, PG1153-PG1154, PG1154-PG1115, PG1115-PG1116, PG1116-PG1155, PG1155-PG1156",2566.4889999999996,584.4519444444445
RG0489,"PG1572, PG1533, PG1534, PG1495, PG1417, PG1378, PG1339, PG1301, PG1262, PG1223, PG1224, PG1185, PG1186, PG1187, PG1150, PG1190, PG1152, PG1153, PG1154, PG1115, PG1116, PG1155, PG1233","['PG1154', 'PG1115', 'PG1116', 'PG1155', 'PG1233']","PG1572-PG1533, PG1533-PG1534, PG1534-PG1495, PG1495-PG1417, PG1417-PG1378, PG1378-PG1339, PG1339-PG1301, PG1301-PG1262, PG1262-PG1223, PG1223-PG1224, PG1224-PG1185, PG1185-PG1186, PG1186-PG1187, PG1187-PG1150, PG1150-PG1190, PG1190-PG1152, PG1152-PG1153, PG1153-PG1154, PG1154-PG1115, PG1115-PG1116, PG1116-PG1155, PG1155-PG1233",2583.082,588.1869444444444
RG0490,"PG1572, PG1533, PG1534, PG1495, PG1417, PG1378, PG1339, PG1301, PG1262, PG1223, PG1224, PG1185, PG1186, PG1187, PG1150, PG1190, PG1229, PG1192, PG1232, PG1233","['PG1190', 'PG1229', 'PG1192', 'PG1232', 'PG1233']","PG1572-PG1533, PG1533-PG1534, PG1534-PG1495, PG1495-PG1417, PG1417-PG1378, PG1378-PG1339, PG1339-PG1301, PG1301-PG1262, PG1262-PG1223, PG1223-PG1224, PG1224-PG1185, PG1185-PG1186, PG1186-PG1187, PG1187-PG1150, PG1150-PG1190, PG1190-PG1229, PG1229-PG1192, PG1192-PG1232, PG1232-PG1233",2192.674,498.0930555555555
RG0491,"PG1572, PG1533, PG1534, PG1495, PG1417, PG1378, PG1339, PG1301, PG1262, PG1223, PG1224, PG1185, PG1186, PG1187, PG1150, PG1190, PG1229, PG1192, PG1232, PG1233, PG1272","['PG1229', 'PG1192', 'PG1232', 'PG1233', 'PG1272']","PG1572-PG1533, PG1533-PG1534, PG1534-PG1495, PG1495-PG1417, PG1417-PG1378, PG1378-PG1339, PG1339-PG1301, PG1301-PG1262, PG1262-PG1223, PG1223-PG1224, PG1224-PG1185, PG1185-PG1186, PG1186-PG1187, PG1187-PG1150, PG1150-PG1190, PG1190-PG1229, PG1229-PG1192, PG1192-PG1232, PG1232-PG1233, PG1233-PG1272",2279.611,517.6311111111111
RG0492,"PG1572, PG1533, PG1534, PG1495, PG1417, PG1378, PG1339, PG1301, PG1262, PG1223, PG1224, PG1185, PG1186, PG1187, PG1228, PG1229, PG1192, PG1232, PG1233","['PG1228', 'PG1229', 'PG1192', 'PG1232', 'PG1233']","PG1572-PG1533, PG1533-PG1534, PG1534-PG1495, PG1495-PG1417, PG1417-PG1378, PG1378-PG1339, PG1339-PG1301, PG1301-PG1262, PG1262-PG1223, PG1223-PG1224, PG1224-PG1185, PG1185-PG1186, PG1186-PG1187, PG1187-PG1228, PG1228-PG1229, PG1229-PG1192, PG1192-PG1232, PG1232-PG1233",2165.7219999999998,492.1119444444444
RG0493,"PG1572, PG1533, PG1534, PG1495, PG1417, PG1378, PG1339, PG1301, PG1262, PG1223, PG1224, PG1185, PG1186, PG1187, PG1228, PG1229, PG1192, PG1232, PG1233, PG1272","['PG1229', 'PG1192', 'PG1232', 'PG1233', 'PG1272']","PG1572-PG1533, PG1533-PG1534, PG1534-PG1495, PG1495-PG1417, PG1417-PG1378, PG1378-PG1339, PG1339-PG1301, PG1301-PG1262, PG1262-PG1223, PG1223-PG1224, PG1224-PG1185, PG1185-PG1186, PG1186-PG1187, PG1187-PG1228, PG1228-PG1229, PG1229-PG1192, PG1192-PG1232, PG1232-PG1233, PG1233-PG1272",2252.6589999999997,511.65
RG0494,"PG1572, PG1533, PG1534, PG1495, PG1417, PG1378, PG1339, PG1301, PG1302, PG1263, PG1264, PG1265, PG1226, PG1227, PG1228, PG1190, PG1152, PG1153, PG1154, PG1115, PG1116, PG1117, PG1118","['PG1154', 'PG1115', 'PG1116', 'PG1117', 'PG1118']","PG1572-PG1533, PG1533-PG1534, PG1534-PG1495, PG1495-PG1417, PG1417-PG1378, PG1378-PG1339, PG1339-PG1301, PG1301-PG1302, PG1302-PG1263, PG1263-PG1264, PG1264-PG1265, PG1265-PG1226, PG1226-PG1227, PG1227-PG1228, PG1228-PG1190, PG1190-PG1152, PG1152-PG1153, PG1153-PG1154, PG1154-PG1115, PG1115-PG1116, PG1116-PG1117, PG1117-PG1118",2366.303,538.0794444444444
