codigo_unico,Orden,nombre,ciudad,estado,latitud,longitud,codigo_ruta,ID_Poligono,eventos,eventos_in_grid,inm_30km,inm_in_grid,inm_in_estado,sc_30km,sc_in_grid,sc_in_estado
S-PG1376-7,1,"Juchitan de Zaragoza, Oaxaca","Juchitan de Zaragoza, Oaxaca",Oaxaca,16.413329,-94.9118794582709,S,PG1376,2625,4325,1,1,4,1,2,7
S-PG1376-5,2,"El Espinal, Oaxaca","El Espinal, Oaxaca",Oaxaca,16.4609135,-95.0581833048719,S,PG1376,10,4325,1,1,4,1,2,7
S-PG1376-4,3,"Ciudad Ixtepec, Oaxaca","Ciudad Ixtepec, Oaxaca",Oaxaca,16.5564139,-95.0959653,S,PG1376,10,4325,1,1,4,1,2,7
S-PG1376-6,4,"Matias Romero Avendano, Oaxaca","Matias Romero Avendano, Oaxaca",Oaxaca,16.8761133,-95.0405586,S,PG1376,157,4325,0,1,4,1,2,7
G-PG1377-1,5,"Jesus Carranza, Veracruz","Jesus Carranza, Veracruz",Veracruz,17.38793115,-94.9094973063052,G,PG1377,5396,5396,0,0,3,0,0,12
G-PG1378-3,6,"Sayula de Aleman, Veracruz","Sayula de Aleman, Veracruz",Veracruz,17.74768255,-94.954397521018,G,PG1378,53,45863,0,1,3,2,2,12
G-PG1378-4,7,"Acayucan, Veracruz","Acayucan, Veracruz",Veracruz,17.9487862,-94.9145752,G,PG1378,45794,45863,1,1,3,2,2,12
G-PG1417-1,8,"Cosoleacaque, Veracruz","Cosoleacaque, Veracruz",Veracruz,18.0060183,-94.6174830085876,G,PG1417,17,4549,0,0,3,3,3,12
G-PG1417-3,9,"Coatzacoalcos, Veracruz","Coatzacoalcos, Veracruz",Veracruz,18.1396787,-94.4501731,G,PG1417,297,4549,0,0,3,3,3,12
