,nommun,cvemun,estado,region,id_poligon,eventos,inm_30km,sc_30km,geometry
53,"Yajalon, Chiapas",17008,Chiapas,Sur,PG1533,1,0,0,POINT (-92.3519609858044 17.1768885)
54,"Cintalapa de Figueroa, Chiapas",13075,Chiapas,Sur,PG1454,520,0,1,POINT (-93.7257625 16.6905402)
55,"Acacoyagua, Chiapas",,Chiapas,Sur,PG1530,2,0,1,POINT (-92.6972939305788 15.4060577)
56,"Siltepec, Chiapas",7001,Chiapas,Sur,PG1530,1,0,1,POINT (-92.3226035 15.5561492)
57,"Teopisca, Chiapas",6010,Chiapas,Sur,PG1532,1,0,3,POINT (-92.4736561 16.5420839)
58,"Pantepec, Chiapas",19019,Chiapas,Sur,PG1494,1,0,0,POINT (-93.0524660849375 17.1944142)
59,"Chicomuselo, Chiapas",13021,Chiapas,Sur,PG1531,1,0,0,POINT (-92.4192662013789 15.7935524)
60,"Juarez, Chihuahua",8037,Chihuahua,Centro,PG774,7964,1,31,POINT (-106.485655 31.7372575)
61,"Chihuahua, Chihuahua",8019,Chihuahua,Centro,PG769,2040,1,6,POINT (-106.0000001 28.5000001)
62,"Janos, Chihuahua",28027,Chihuahua,Centro,PG655,116,1,0,POINT (-108.1930484 30.8893267)
63,"Ojinaga, Chihuahua",,Chihuahua,Centro,PG887,101,0,0,POINT (-104.4128523 29.5654282)
64,"Iztapalapa, Ciudad de Mexico",9007,Ciudad de Mexico,Centro,PG1146,6091,1,134,POINT (-99.0929294 19.3591195)
65,"Venustiano Carranza, Ciudad de Mexico",23005,Ciudad de Mexico,Centro,PG1146,1828,1,134,POINT (-99.1135639 19.4192787)
66,"Gustavo A. Madero, Ciudad de Mexico",26018,Ciudad de Mexico,Centro,PG1146,995,1,132,POINT (-99.1137888 19.4831686)
67,"Coyoacan, Ciudad de Mexico",17017,Ciudad de Mexico,Centro,PG1146,1,1,134,POINT (-99.1623599 19.349885)
68,"Piedras Negras, Coahuila",,Coahuila,Centro,PG1081,21530,1,2,POINT (-100.5148362 28.7041725)
69,"Acuna, Coahuila",4002,Coahuila,Centro,PG1082,1672,0,1,POINT (-100.9322287 29.3248796)
70,"Monclova, Coahuila",7061,Coahuila,Centro,PG1040,1204,0,1,POINT (-101.4171173 26.8999988)
71,"Saltillo, Coahuila",25012,Coahuila,Centro,PG1077,925,1,64,POINT (-100.9927509 25.4230425)
72,"Torreon, Coahuila",28003,Coahuila,Centro,PG921,824,1,4,POINT (-103.410512 25.542698)
73,"Allende, Coahuila",7019,Coahuila,Centro,PG1081,1,0,0,POINT (-100.8517302 28.3420816)
74,"Francisco I. Madero, Coahuila",12029,Coahuila,Centro,PG961,1,0,0,POINT (-103.099655568766 26.23755265)
75,"Guerrero, Coahuila",20482,Coahuila,Centro,PG1120,1,0,0,POINT (-100.3805564 28.3093253)
76,"Nava, Coahuila",13008,Coahuila,Centro,PG1081,1,0,0,POINT (-100.7674167 28.4217309)
77,"Manzanillo, Colima",20030,Colima,Pacifico,PG872,10,0,1,POINT (-104.3159957 19.0506256)
78,"Colima, Colima",20390,Colima,Pacifico,PG912,6,0,6,POINT (-103.725030676615 19.2448781553705)
79,"Villa de Alvarez, Colima",20227,Colima,Pacifico,PG912,2,0,6,POINT (-103.736013 19.2651417)
80,"Gomez Palacio, Durango",,Durango,Centro,PG921,849,1,4,POINT (-103.494779 25.5732473)
81,"Durango, Durango",7016,Durango,Centro,PG841,574,0,4,POINT (-104.663661325132 24.0350752647048)
82,"Mapimi, Durango",,Durango,Centro,PG921,23,0,0,POINT (-103.8480216 25.8337403)
83,"Tepotzotlan, Estado de Mexico",,Estado de Mexico,Centro,PG1146,4934,0,11,POINT (-99.2230683 19.7173392)
84,"Apaxco, Estado de Mexico",,Estado de Mexico,Centro,PG1147,2474,0,4,POINT (-99.1518101102043 19.9807399)
85,"Toluca, Estado de Mexico",13063,Estado de Mexico,Centro,PG1146,754,0,5,POINT (-99.6569007 19.292545)
86,"Chalco, Estado de Mexico",1001,Estado de Mexico,Centro,PG1185,411,1,25,POINT (-98.8958362 19.2612215)
87,"Huehuetoca, Estado de Mexico",27005,Estado de Mexico,Centro,PG1147,349,0,3,POINT (-99.2044638 19.833375)
88,"Ecatepec de Morelos, Estado de Mexico",20515,Estado de Mexico,Centro,PG1146,185,0,87,POINT (-99.000754 19.6074415)
89,"Zumpango, Estado de Mexico",19048,Estado de Mexico,Centro,PG1147,155,0,2,POINT (-99.081809533527 19.81293675)
90,"Texcoco, Estado de Mexico",,Estado de Mexico,Centro,PG1185,153,0,46,POINT (-98.8821254 19.5144327)
91,"Tlalnepantla de Baz, Estado de Mexico",,Estado de Mexico,Centro,PG1146,75,1,129,POINT (-99.1899352247449 19.54649025)
92,"Atlacomulco, Estado de Mexico",28016,Estado de Mexico,Centro,PG1108,51,0,1,POINT (-99.8681193246918 19.81591915)
93,"Nezahualcoyotl, Estado de Mexico",23001,Estado de Mexico,Centro,PG1146,22,1,132,POINT (-99.0181547 19.4079028)
94,"Ixtapaluca, Estado de Mexico",13069,Estado de Mexico,Centro,PG1185,11,1,40,POINT (-98.8840481 19.3129326)
95,"Tecamac, Estado de Mexico",7109,Estado de Mexico,Centro,PG1185,2,0,3,POINT (-98.968354 19.7115011)
96,"Xalatlaco, Estado de Mexico",20350,Estado de Mexico,Centro,PG1146,2,0,20,POINT (-99.4145622 19.1843821)
97,"Ocoyoacac, Estado de Mexico",17010,Estado de Mexico,Centro,PG1146,3,0,53,POINT (-99.4177778597143 19.2587373)
98,"Cuautitlan, Estado de Mexico",,Estado de Mexico,Centro,PG1146,3,0,83,POINT (-99.2145002 19.6531356)
99,"Acambay de Ruiz Castaneda, Estado de Mexico",20486,Estado de Mexico,Centro,PG1108,1,0,1,POINT (-99.8480208629308 19.95904705)
100,"Naucalpan de Juarez, Estado de Mexico",20439,Estado de Mexico,Centro,PG1146,1,1,132,POINT (-99.2327986 19.4788356)
101,"Amecameca, Estado de Mexico",17020,Estado de Mexico,Centro,PG1185,1,0,1,POINT (-98.7065318136262 19.1200254)
