,nommun,cvemun,estado,region,id_poligon,eventos,inm_30km,sc_30km,geometry
223,"San Cristobal Suchixtlahuaca, Oaxaca",24007,Oaxaca,Sur,PG1261,4,0,0,POINT (-97.3666425 17.7265261)
224,"San Sebastian Tutla, Oaxaca",20399,Oaxaca,Sur,PG1299,3,1,8,POINT (-96.672222 17.059722)
225,"San Pedro Mixtepec -Dto. 22 -, Oaxaca",31059,Oaxaca,Sur,PG1297,3,0,0,POINT (-96.2825 16.271111)
226,"San Agustin de las Juntas, Oaxaca",,Oaxaca,Sur,PG1299,2,1,8,POINT (-96.7092291 17.005436)
227,"Villa de Tamazulapam del Progreso, Oaxaca",,Oaxaca,Sur,PG1260,2,0,1,POINT (-97.5720083 17.6748203)
228,"San Lorenzo Cacaotepec, Oaxaca",27014,Oaxaca,Sur,PG1299,2,1,8,POINT (-96.8017692 17.1278714)
229,"Villa Tejupam de la Union, Oaxaca",29041,Oaxaca,Sur,PG1260,2,0,0,POINT (-97.470833 17.6625)
230,"Villa de Etla, Oaxaca",11020,Oaxaca,Sur,PG1299,2,1,7,POINT (-96.7981939 17.2057678)
231,"Santa Maria Tonameca, Oaxaca",,Oaxaca,Sur,PG1297,1,1,0,POINT (-96.547222 15.745833)
232,"San Pedro Ixtlahuaca, Oaxaca",13030,Oaxaca,Sur,PG1299,1,1,8,POINT (-96.818056 17.063056)
233,"Trinidad Zaachila, Oaxaca",7080,Oaxaca,Sur,PG1298,1,1,8,POINT (-96.765 16.921389)
234,"Santa Maria del Tule, Oaxaca",4001,Oaxaca,Sur,PG1299,1,1,8,POINT (-96.6334574 17.0476822)
235,"San Antonio de la Cal, Oaxaca",,Oaxaca,Sur,PG1299,1,1,8,POINT (-96.700556 17.028333)
236,"Santiago Juxtlahuaca, Oaxaca",,Oaxaca,Sur,PG1221,1,0,0,POINT (-98.010574 17.334443)
237,"Puebla, Puebla",21114,Puebla,Centro,PG1223,5069,1,39,POINT (-98.2069491554557 19.0384062279769)
238,"San Juan del Rio, Queretaro",14039,Queretaro,Centro,PG1108,1303,0,3,POINT (-99.9931982 20.3867547)
239,"Queretaro, Queretaro",31050,Queretaro,Centro,PG1109,871,0,37,POINT (-100.3902245 20.5927744)
240,"El Marques, Queretaro",,Queretaro,Centro,PG1109,1,0,37,POINT (-100.283576535042 20.73507785)
241,"Benito Juarez, Quintana Roo",23005,Quintana Roo,Sur,PG1850,1909,0,25,POINT (-86.9263352170841 21.07668085)
242,"Othon P. Blanco, Quintana Roo",12053,Quintana Roo,Sur,PG1730,347,0,0,POINT (-88.8257581580335 18.43704555)
243,"Solidaridad, Quintana Roo",4010,Quintana Roo,Sur,PG1811,166,0,0,POINT (-87.5034526829676 20.5843747)
244,"Isla Mujeres, Quintana Roo",2001,Quintana Roo,Sur,PG1851,24,0,25,POINT (-86.7350001 21.2371906)
245,"Cozumel, Quintana Roo",,Quintana Roo,Sur,PG1849,24,0,18,POINT (-86.9206905837727 20.4320599)
246,"Tulum, Quintana Roo",13066,Quintana Roo,Sur,PG1810,13,0,9,POINT (-87.4495481261673 20.1692965)
247,"Bacalar, Quintana Roo",19014,Quintana Roo,Sur,PG1769,9,2,22,POINT (-88.3922556 18.6782559)
248,"San Luis Potosi, San Luis Potosi",24028,San Luis Potosi,Centro,PG1072,4067,1,10,POINT (-100.9755186563027 22.154834238876298)
249,"Cedral, San Luis Potosi",11014,San Luis Potosi,Centro,PG1074,5,0,1,POINT (-100.7242892 23.8205361)
250,"Mazatlan, Sinaloa",28010,Sinaloa,Pacifico,PG761,976,1,4,POINT (-106.4208391 23.2035785)
251,"Angostura, Sinaloa",19005,Sinaloa,Pacifico,PG647,79,0,0,POINT (-108.16152 25.3657471)
252,"Culiacan, Sinaloa",20059,Sinaloa,Pacifico,PG725,11,0,5,POINT (-107.393395 24.7978965)
253,"Ahome, Sinaloa",6002,Sinaloa,Pacifico,PG609,3,0,1,POINT (-109.205834408303 25.9240491)
254,"Guasave, Sinaloa",13006,Sinaloa,Pacifico,PG648,1,0,2,POINT (-108.4674697 25.5738)
255,"Santa Ana, Sonora",26058,Sonora,Pacifico,PG499,12357,0,0,POINT (-111.1184881 30.5410922)
256,"Hermosillo, Sonora",26030,Sonora,Pacifico,PG497,9823,1,12,POINT (-110.9692202 29.0948207)
257,"Nogales, Sonora",26043,Sonora,Pacifico,PG500,4084,0,6,POINT (-110.9450472 31.3285057)
258,"General Plutarco Elias Calles, Sonora",27001,Sonora,Pacifico,PG422,1432,0,0,POINT (-112.711748945241 31.6949837)
259,"Huatabampo, Sonora",10007,Sonora,Pacifico,PG572,1042,0,0,POINT (-109.6420085 26.8248431)
260,"Cajeme, Sonora",26033,Sonora,Pacifico,PG573,1039,0,1,POINT (-109.902207535928 27.71198065)
261,"Guaymas, Sonora",22014,Sonora,Pacifico,PG534,863,0,1,POINT (-110.8994059 27.9216441)
262,"Navojoa, Sonora",,Sonora,Pacifico,PG611,834,0,1,POINT (-109.4438227 27.0721872)
263,"Caborca, Sonora",,Sonora,Pacifico,PG460,413,0,1,POINT (-112.1562598 30.7166014)
264,"San Luis Rio Colorado, Sonora",,Sonora,Pacifico,PG307,67,0,2,POINT (-114.7652542 32.4517957)
265,"Agua Prieta, Sonora",7051,Sonora,Pacifico,PG578,35,1,2,POINT (-109.5564331 31.3305591)
266,"Altar, Sonora",29033,Sonora,Pacifico,PG460,1,0,1,POINT (-111.8380038 30.7170323)
267,"Imuris, Sonora",,Sonora,Pacifico,PG538,7,0,0,POINT (-110.8463861 30.7874899)
268,"Puerto Penasco, Sonora",13022,Sonora,Pacifico,PG383,1,0,0,POINT (-113.531819 31.3170867)
269,"Huimanguillo, Tabasco",27008,Tabasco,Sur,PG1456,86684,0,0,POINT (-93.6634408051158 17.7620967)
270,"Centro, Tabasco",27004,Tabasco,Sur,PG1495,74160,1,7,POINT (-92.7747911804616 18.0271588)
271,"Tenosique, Tabasco",27017,Tabasco,Sur,PG1572,39620,1,34,POINT (-91.4220212 17.4707129)
272,"Macuspana, Tabasco",27012,Tabasco,Sur,PG1534,31739,0,3,POINT (-92.596108 17.760922)
273,"Cardenas, Tabasco",27002,Tabasco,Sur,PG1495,23150,0,1,POINT (-93.3753314 17.990878)
274,"Teapa, Tabasco",27016,Tabasco,Sur,PG1494,9916,0,1,POINT (-92.9480504 17.5566526)
275,"Tacotalpa, Tabasco",27015,Tabasco,Sur,PG1494,9051,0,0,POINT (-92.8253388 17.5952197)
276,"Jalapa, Tabasco",27009,Tabasco,Sur,PG1495,7564,0,3,POINT (-92.812012 17.721716)
277,"Emiliano Zapata, Tabasco",27007,Tabasco,Sur,PG1572,6555,0,0,POINT (-91.6397345576535 17.693626)
278,"Balancan, Tabasco",,Tabasco,Sur,PG1573,1477,0,0,POINT (-91.3458588938522 17.79751665)
279,"Comalcalco, Tabasco",10005,Tabasco,Sur,PG1495,334,0,0,POINT (-93.2231523 18.2615076)
280,"Centla, Tabasco",29034,Tabasco,Sur,PG1534,45,0,0,POINT (-92.6521986432691 18.3536762)
281,"Cunduacan, Tabasco",29021,Tabasco,Sur,PG1495,1,1,6,POINT (-93.173675 18.066059)
282,"Paraiso, Tabasco",,Tabasco,Sur,PG1495,4,0,0,POINT (-93.2125326 18.3987331)
283,"Reynosa, Tamaulipas",28032,Tamaulipas,Golfo,PG1233,6339,0,10,POINT (-98.2788191 26.0907673)
284,"Cruillas, Tamaulipas",32056,Tamaulipas,Golfo,PG1193,1017,0,0,POINT (-98.5369904 24.7554618)
285,"Altamira, Tamaulipas",26029,Tamaulipas,Golfo,PG1228,873,1,5,POINT (-97.9362975 22.3921625)
286,"San Fernando, Tamaulipas",20294,Tamaulipas,Golfo,PG1232,703,0,0,POINT (-98.1473493 24.8466769)
287,"Tampico, Tamaulipas",7102,Tamaulipas,Golfo,PG1228,47,1,5,POINT (-97.8577713 22.2157619)
288,"Jaumave, Tamaulipas",2003,Tamaulipas,Golfo,PG1152,538,0,0,POINT (-99.3806698 23.40496)
289,"Matamoros, Tamaulipas",26017,Tamaulipas,Golfo,PG1272,374,1,8,POINT (-97.5064866 25.8810158)
290,"Nuevo Laredo, Tamaulipas",20057,Tamaulipas,Golfo,PG1157,143,1,10,POINT (-99.5074055 27.4930466)
291,"Antiguo Morelos, Tamaulipas",8035,Tamaulipas,Golfo,PG1150,122,0,1,POINT (-99.0871371606598 22.56570125)
292,"Rio Bravo, Tamaulipas",,Tamaulipas,Golfo,PG1233,50,0,10,POINT (-98.0945766 25.988981)
293,"Soto la Marina, Tamaulipas",,Tamaulipas,Golfo,PG1230,54,0,0,POINT (-98.0502640007194 23.87599915)
294,"Hidalgo, Tamaulipas",,Tamaulipas,Golfo,PG1153,47,0,0,POINT (-99.4382079 24.2480354)
295,"Victoria, Tamaulipas",13061,Tamaulipas,Golfo,PG1152,33,0,10,POINT (-99.1441352 23.7389846)
296,"Miguel Aleman, Tamaulipas",19045,Tamaulipas,Golfo,PG1156,16,1,0,POINT (-99.0314218 26.3995446)
297,"Aldama, Tamaulipas",28025,Tamaulipas,Golfo,PG1229,14,0,1,POINT (-98.0741727 22.9196081)
298,"Gonzalez, Tamaulipas",20403,Tamaulipas,Golfo,PG1190,8,0,0,POINT (-98.5763189554293 22.79038735)
299,"El Mante, Tamaulipas",17018,Tamaulipas,Golfo,PG1190,6,0,1,POINT (-98.9353414059303 22.60787365)
300,"Jimenez, Tamaulipas",,Tamaulipas,Golfo,PG1192,1,0,0,POINT (-98.483929 24.2169169)
301,"Xaloztoc, Tlaxcala",29039,Tlaxcala,Centro,PG1224,2301,1,7,POINT (-98.048611 19.403611)
302,"Ixtacuixtla de Mariano Matamoros, Tlaxcala",29015,Tlaxcala,Centro,PG1185,2544,1,8,POINT (-98.3781581037396 19.34670365)
303,"Apetatitlan de Antonio Carvajal, Tlaxcala",,Tlaxcala,Centro,PG1224,321,1,12,POINT (-98.1912020545409 19.3505173)
304,"Ixtenco, Tlaxcala",20327,Tlaxcala,Centro,PG1224,261,0,0,POINT (-97.8947561 19.2518725)
305,"Apizaco, Tlaxcala",4004,Tlaxcala,Centro,PG1224,133,1,7,POINT (-98.14 19.415556)
306,"Yauhquemehcan, Tlaxcala",20283,Tlaxcala,Centro,PG1224,98,1,7,POINT (-98.1824244 19.4057444)
307,"Atlangatepec, Tlaxcala",32057,Tlaxcala,Centro,PG1224,85,1,6,POINT (-98.208333 19.530833)
308,"Huamantla, Tlaxcala",20565,Tlaxcala,Centro,PG1224,1687,1,2,POINT (-97.9230236 19.313427)
309,"Tlaxco, Tlaxcala",,Tlaxcala,Centro,PG1224,48,0,1,POINT (-98.1707601011239 19.62058645)
310,"Cuapiaxtla, Tlaxcala",19046,Tlaxcala,Centro,PG1224,46,0,2,POINT (-97.768912 19.2961777)
311,"Tlaxcala, Tlaxcala",19010,Tlaxcala,Centro,PG1224,3,1,7,POINT (-98.166667 19.416667)
312,"Tzompantepec, Tlaxcala",19025,Tlaxcala,Centro,PG1224,33,1,7,POINT (-98.086162281471 19.38326045)
313,"Calpulalpan, Tlaxcala",26004,Tlaxcala,Centro,PG1185,25,0,1,POINT (-98.569167 19.587778)
314,"Nativitas, Tlaxcala",13018,Tlaxcala,Centro,PG1185,17,2,45,POINT (-98.314722 19.233333)
315,"Chiautempan, Tlaxcala",1011,Tlaxcala,Centro,PG1224,16,2,35,POINT (-98.1925 19.313889)
316,"Hueyotlipan, Tlaxcala",4007,Tlaxcala,Centro,PG1185,14,1,7,POINT (-98.348056 19.469444)
317,"Sanctorum de Lazaro Cardenas, Tlaxcala",20066,Tlaxcala,Centro,PG1185,13,0,1,POINT (-98.471944 19.4925)
318,"Santa Cruz Quilehtla, Tlaxcala",19040,Tlaxcala,Centro,PG1224,9,2,45,POINT (-98.221111 19.212222)
319,"Zacatelco, Tlaxcala",7077,Tlaxcala,Centro,PG1224,8,2,45,POINT (-98.239722 19.215833)
320,"Tocatlan, Tlaxcala",,Tlaxcala,Centro,PG1224,8,1,7,POINT (-98.03 19.389167)
321,"San Jeronimo Zacualpan, Tlaxcala",,Tlaxcala,Centro,PG1224,4,2,45,POINT (-98.261389 19.240833)
322,"Nanacamilpa de Mariano Arista, Tlaxcala",,Tlaxcala,Centro,PG1185,2,0,1,POINT (-98.5432407645627 19.5080315)
323,"Tetla de la Solidaridad, Tlaxcala",,Tlaxcala,Centro,PG1224,2,1,7,POINT (-98.103333 19.440556)
324,"Munoz de Domingo Arenas, Tlaxcala",,Tlaxcala,Centro,PG1224,2,1,7,POINT (-98.208056 19.474722)
325,"Papalotla de Xicohtencatl, Tlaxcala",27006,Tlaxcala,Centro,PG1224,2,2,45,POINT (-98.203889 19.168611)
326,"San Pablo del Monte, Tlaxcala",29011,Tlaxcala,Centro,PG1224,2,2,44,POINT (-98.1653957169548 19.12695185)
327,"San Juan Huactzinco, Tlaxcala",,Tlaxcala,Centro,PG1224,1,2,45,POINT (-98.2520375 19.2329326)
328,"Amaxac de Guerrero, Tlaxcala",,Tlaxcala,Centro,PG1224,1,1,11,POINT (-98.167778 19.348889)
329,"Acayucan, Veracruz",,Veracruz,Golfo,PG1378,36446,1,25,POINT (-94.9145752 17.9487862)
330,"Jesus Carranza, Veracruz",,Veracruz,Golfo,PG1377,5395,0,0,POINT (-94.9094973063052 17.38793115)
331,"Agua Dulce, Veracruz",,Veracruz,Golfo,PG1417,20,0,9,POINT (-94.1623630522383 18.0899541)
332,"Cosamaloapan de Carpio, Veracruz",,Veracruz,Golfo,PG1339,3095,0,1,POINT (-95.9643574726842 18.28167395)
333,"Veracruz, Veracruz",,Veracruz,Golfo,PG1302,2063,0,1,POINT (-96.666667 19.333333)
334,"Cuitlahuac, Veracruz",26070,Veracruz,Golfo,PG1301,1447,0,2,POINT (-96.7223775 18.814226)
335,"Orizaba, Veracruz",19021,Veracruz,Golfo,PG1262,1100,0,2,POINT (-97.1060062 18.8497366)
336,"Cordoba, Veracruz",7046,Veracruz,Golfo,PG1262,609,0,2,POINT (-96.9352891 18.8944704)
337,"Las Choapas, Veracruz",7026,Veracruz,Golfo,PG1455,300,0,0,POINT (-93.9400086353229 17.56348585)
338,"Coatzacoalcos, Veracruz",29002,Veracruz,Golfo,PG1417,316,0,14,POINT (-94.4501731 18.1396787)
339,"Cotaxtla, Veracruz",,Veracruz,Golfo,PG1301,144,0,0,POINT (-96.350999057041 18.85765725)
340,"Tuxpan, Veracruz",4003,Veracruz,Golfo,PG1265,218,0,0,POINT (-97.4073817712075 20.95647915)
341,"La Antigua, Veracruz",,Veracruz,Golfo,PG1302,160,1,3,POINT (-96.3186409251967 19.3176799)
342,"Poza Rica de Hidalgo, Veracruz",19013,Veracruz,Golfo,PG1265,129,0,1,POINT (-97.4451247998728 20.53765745)
343,"Camerino Z. Mendoza, Veracruz",,Veracruz,Golfo,PG1262,126,0,2,POINT (-97.1599321403411 18.7896308)
344,"Xalapa, Veracruz",7027,Veracruz,Golfo,PG1263,103,0,8,POINT (-96.9146374 19.5408338)
345,"San Andres Tuxtla, Veracruz",,Veracruz,Golfo,PG1379,102,0,0,POINT (-95.1983153392005 18.4633672)
346,"Moloacan, Veracruz",19041,Veracruz,Golfo,PG1417,4202,0,14,POINT (-94.2823290741812 17.9926405)
347,"Ozuluama de Mascarenas, Veracruz",25002,Veracruz,Golfo,PG1227,74,0,0,POINT (-97.850556 21.661111)
348,"Rio Blanco, Veracruz",13076,Veracruz,Golfo,PG1262,50,0,2,POINT (-97.1522938888273 18.84522475)
349,"Yanga, Veracruz",,Veracruz,Golfo,PG1301,62,0,2,POINT (-96.7992608 18.8313634)
350,"Alvarado, Veracruz",26055,Veracruz,Golfo,PG1340,59,0,0,POINT (-95.9238540059007 18.82874235)
351,"Carrillo Puerto, Veracruz",3008,Veracruz,Golfo,PG1301,55,0,0,POINT (-96.5842838954223 18.8215893)
352,"Fortin, Veracruz",11033,Veracruz,Golfo,PG1262,54,0,2,POINT (-96.9982014 18.8993309)
353,"Sayula de Aleman, Veracruz",28033,Veracruz,Golfo,PG1378,9311,0,25,POINT (-94.954397521018 17.74768255)
354,"Papantla, Veracruz",28037,Veracruz,Golfo,PG1264,48,0,1,POINT (-97.3232777494493 20.4458721)
355,"Medellin de Bravo, Veracruz",20090,Veracruz,Golfo,PG1340,27,1,3,POINT (-96.1442918 19.0404677)
356,"Naranjos Amatlan, Veracruz",23001,Veracruz,Golfo,PG1227,21,0,0,POINT (-97.6760013002664 21.3093326)
357,"Angel R. Cabada, Veracruz",20333,Veracruz,Golfo,PG1379,21,0,0,POINT (-95.3861682474972 18.5927238)
358,"Cosoleacaque, Veracruz",19033,Veracruz,Golfo,PG1417,20,0,15,POINT (-94.6174830085876 18.0060183)
359,"Amatlan de los Reyes, Veracruz",13077,Veracruz,Golfo,PG1301,17,0,2,POINT (-96.8685723968666 18.87251165)
360,"Martinez de la Torre, Veracruz",,Veracruz,Golfo,PG1264,15,0,0,POINT (-97.0461646766573 20.1197165)
361,"Isla, Veracruz",29010,Veracruz,Golfo,PG1339,15,0,0,POINT (-95.5281332 18.0276212)
362,"Tierra Blanca, Veracruz",,Veracruz,Golfo,PG1301,13,0,0,POINT (-96.2152007748733 18.5272475)
363,"Minatitlan, Veracruz",29020,Veracruz,Golfo,PG1417,10,0,14,POINT (-94.5567103 17.992773)
364,"Gutierrez Zamora, Veracruz",25006,Veracruz,Golfo,PG1264,9,0,0,POINT (-97.085536109707 20.456991)
365,"Panuco, Veracruz",,Veracruz,Golfo,PG1228,8,0,1,POINT (-98.232957921869 22.08052495)
366,"Juan Rodriguez Clara, Veracruz",6007,Veracruz,Golfo,PG1378,8,0,0,POINT (-95.344127993385 17.97320895)
367,"Tihuatlan, Veracruz",7057,Veracruz,Golfo,PG1265,35,0,1,POINT (-97.5367859622192 20.716735)
368,"Texistepec, Veracruz",7107,Veracruz,Golfo,PG1378,7,1,25,POINT (-94.816389 17.894167)
369,"Nogales, Veracruz",9003,Veracruz,Golfo,PG1262,6,0,2,POINT (-97.1627659 18.8226013)
370,"Tezonapa, Veracruz",20131,Veracruz,Golfo,PG1301,6,0,0,POINT (-96.782341148248 18.5587309)
371,"Villa Aldama, Veracruz",19007,Veracruz,Golfo,PG1263,3,0,1,POINT (-97.2228382 19.6489805)
372,"Soledad de Doblado, Veracruz",20129,Veracruz,Golfo,PG1301,3,0,0,POINT (-96.4233756 19.0452067)
373,"Pueblo Viejo, Veracruz",,Veracruz,Golfo,PG1228,484,1,5,POINT (-97.8985550734824 22.1638426)
374,"Tres Valles, Veracruz",,Veracruz,Golfo,PG1339,2,0,1,POINT (-96.1664119682439 18.2921576)
375,"Tecolutla, Veracruz",20083,Veracruz,Golfo,PG1264,2,0,0,POINT (-96.9936370355502 20.41847865)
376,"Perote, Veracruz",17028,Veracruz,Golfo,PG1263,2,0,0,POINT (-97.2685344806973 19.51086405)
377,"Ixtaczoquitlan, Veracruz",13010,Veracruz,Golfo,PG1262,2,0,2,POINT (-97.0271071244907 18.85134015)
378,"Coatepec, Veracruz",,Veracruz,Golfo,PG1263,1,0,8,POINT (-96.9596375 19.4543134)
379,"Alamo Temapache, Veracruz",,Veracruz,Golfo,PG1226,3,0,0,POINT (-97.7557841914082 20.9951932)
380,"San Juan Evangelista, Veracruz",11004,Veracruz,Golfo,PG1378,1,0,0,POINT (-95.2304293935886 17.76252635)
381,"Carlos A. Carrillo, Veracruz",7067,Veracruz,Golfo,PG1339,1,0,0,POINT (-95.7154033804156 18.32836115)
382,"Merida, Yucatan",,Yucatan,Sur,PG1694,930,1,7,POINT (-89.6237402 20.9670759)
383,"Valladolid, Yucatan",,Yucatan,Sur,PG1772,5,0,1,POINT (-88.2016999 20.6902505)
384,"Progreso, Yucatan",25001,Yucatan,Sur,PG1695,3,0,0,POINT (-89.6636637 21.2822136)
385,"Zacatecas, Zacatecas",12013,Zacatecas,Centro,PG1223,982,1,39,POINT (-98.2024861642833 19.0390187823288)
386,"Trancoso, Zacatecas",14097,Zacatecas,Centro,PG995,99,1,7,POINT (-102.3667969 22.7353025)
387,"Calera, Zacatecas",20157,Zacatecas,Centro,PG956,42,0,0,POINT (-102.856222886116 22.97848)
388,"Jerez, Zacatecas",19038,Zacatecas,Centro,PG956,3,0,0,POINT (-103.00147264243 22.7105933)
