ciudad,estado,ruta,latitud,longitud,codigo_ruta,etiqueta
"Puerto Penasco, Sonora",Sonora,Ruta del Pacifico,31.3170867,-113.531819,P,P21
"Morelia, Michoacan",Michoacan,Ruta del Pacifico,19.7027116,-101.1923818,P,P22
"Sonoyta, Sonora",Sonora,Ruta del Pacifico,31.863444,-112.849739,P,P23
"Nogales, Sonora",Sonora,Ruta del Pacifico,31.3285057,-110.9450472,P,P24
"Agua Prieta, Sonora",Sonora,Ruta del Pacifico,31.3305591,-109.5564331,P,P25
"Puerto Escondido, Oaxaca",Oaxaca,Ruta Sur,15.8693331,-97.0726428,S,S1
"San Pedro Pochutla, Oaxaca",Oaxaca,Ruta Sur,15.744444,-96.465278,S,S2
"Huatulco, Oaxaca",Oaxaca,Ruta Sur,15.83133725,-96.31980130449259,S,S3
"Oaxaca, Oaxaca",Oaxaca,Ruta Sur,17.0604663,-96.7253575,S,S4
"Salina Cruz, Oaxaca",Oaxaca,Ruta Sur,16.1825,-95.195833,S,S5
"Juchitan de Zaragoza, Oaxaca",Oaxaca,Ruta Sur,16.440150611652577,-95.02226337475147,S,S6
"Ixtepec, Oaxaca",Oaxaca,Ruta Sur,16.561107098248225,-95.0973463801423,S,S7
"Arriaga, Chiapas",Chiapas,Ruta Sur,16.254951249999998,-93.89498812393427,S,S8
"Tapachula, Chiapas",Chiapas,Ruta Sur,14.9258055,-92.32219567868036,S,S9
"Tuxtla Gutierrez, Chiapas",Chiapas,Ruta Sur,16.753801,-93.115959,S,S10
"Ciudad Cuauhtemoc, Chiapas",Chiapas,Ruta Sur,15.6661005,-92.0037873,S,S11
"San Cristobal de las Casas, Chiapas",Chiapas,Ruta Sur,16.6835469,-92.61551841991157,S,S12
"Comitan, Chiapas",Chiapas,Ruta Sur,16.2441097,-92.1348514,S,S13
"Palenque, Chiapas",Chiapas,Ruta Sur,17.45316095,-91.81212411848196,S,S14
"Campeche, Campeche",Campeche,Ruta Sur,19.8381215,-90.5198253,S,S15
"Chetumal, Quintana Roo",Quintana Roo,Ruta Sur,18.5081738,-88.297144,S,S16
"Merida, Yucatan",Yucatan,Ruta Sur,20.9670759,-89.6237402,S,S17
