nombre,ciudad,estado,latitud,longitud,codigo_ruta,ID_Poligon,codigo_unico,detenciones,conteo_puntos
"San Nicolas de los Garza, Nuevo Leon","San Nicolas de los Garza, Nuevo Leon",Nuevo Leon,25.7558021,-100.289648,G,PG1116,G-PG1116-4, 50,1
"Guadalupe, Nuevo Leon","Guadalupe, Nuevo Leon",Nuevo Leon,25.6751114,-100.2151753,G,PG1116,G-PG1116-5, 225,1
"Apodaca, Nuevo Leon","Apodaca, Nuevo Leon",Nuevo Leon,25.7816542,-100.1887501,G,PG1116,G-PG1116-6,4 262,1
"Cienega de Flores, Nuevo Leon","Cienega de Flores, Nuevo Leon",Nuevo Leon,25.956169,-100.1662028,G,PG1116,G-PG1116-7, 41,0
"Santiago, Nuevo Leon","Santiago, Nuevo Leon",Nuevo Leon,25.4243595,-100.1513376,G,PG1116,G-PG1116-8, 23,0
"General Zuazua, Nuevo Leon","General Zuazua, Nuevo Leon",Nuevo Leon,25.8953873,-100.1078021,G,PG1116,G-PG1116-9, 35,0
"Juarez, Nuevo Leon","Juarez, Nuevo Leon",Nuevo Leon,25.6467011,-100.0907766,G,PG1116,G-PG1116-10, 180,1
"Pesqueria, Nuevo Leon","Pesqueria, Nuevo Leon",Nuevo Leon,25.7851361,-100.0520621,G,PG1116,G-PG1116-11, 93,0
"Cadereyta Jimenez, Nuevo Leon","Cadereyta Jimenez, Nuevo Leon",Nuevo Leon,25.517337,-99.8711735172066,G,PG1116,G-PG1116-12, 83,0
"Salinas Victoria, Nuevo Leon","Salinas Victoria, Nuevo Leon",Nuevo Leon,26.1216805,-100.3270876995874,G,PG1117,G-PG1117-1, 18,0
"Anahuac, Nuevo Leon","Anahuac, Nuevo Leon",Nuevo Leon,27.0285283,-100.0333715,G,PG1118,G-PG1118-1, 86,0
"Colombia, Puente Solidaridad (terrestre)","Colombia, Nuevo León",Nuevo León,27.69947556180477,-99.74579147498191,FN,PG1119,FN-PG1119-1,0,0
"Guerrero, Coahuila","Guerrero, Coahuila",Coahuila,28.3093253,-100.3805564,C,PG1120,C-PG1120-1, 6,0
"San Marcos, Guerrero","San Marcos, Guerrero",Guerrero,16.85734375,-99.39034185147702,P,PG1142,P-PG1142-1, 379,0
"Chilpancingo de los Bravo, Guerrero","Chilpancingo de los Bravo, Guerrero",Guerrero,17.5542149,-99.5048416,P,PG1143,P-PG1143-1, 30,0
"Puente de Ixtla, Morelos","Puente de Ixtla, Morelos",Morelos,18.6171111,-99.3192092,C,PG1145,C-PG1145-1, 8,0
"Cuernavaca, Morelos","Cuernavaca, Morelos",Morelos,18.9218274,-99.2342282,C,PG1145,C-PG1145-2, 21,0
