folio,trim,unidad,ciudad,punto,turno,p1,p2,p3a,p3n,p4,p5,p5_1,p6,p6_1,p7,p8,p8_1,p9,p9_1_1,p9_1_2,p9_1_3,p9_2,p9_3,p9_4_1,p9_4_2,p9_4_3,p9_4_4,p9_5_1,p9_5_2,p9_5_3,p9_5_4,p10p,p10_1d,p10_1m,p10_1u,p11p,p11_1d,p11_1m,p11_1u,p11_2e,p11_2m,p11_2l,p11_2u,p11_3es,p11_3cn,p11_4c,p11_4t,p12,p12_1,p12_2,p12_2_1,p12_4,p12_5,p12_6_1,p12_6_2,p12_6_3,p12_6_4,p12_6_5,p12_6_6,p12_6_7,p12_6_8,p12_7,p12_8,p12_9c,p12_9u,p12_9t,p12_10,p12_11,p12_12,p12_13_1,p12_13_2,p12_14,p13,p14,p14_1,p15,p16,p16_1,p16_2,p17,p18,p18_1,p18_1_1,p18_1_2_1,p18_1_2_2,p19,p20,p20_1c,p20_1u,p20_2,p21_1,p21_2,p21_3,p21_4,p21_5,p21_6,p22_1e,p22_1l,p22_1u,p22_2e,p22_2l,p22_2u,p23_0_1,p23_0_2,p23_0_3,p23_0_4,p23_0_5,p23_1,p23_2,p24e,p24m,p24l,p24u,p25_0_1,p25_0_2,p25_0_3,p25_0_4,p25_1,p26,p26_1_1,p26_1_2,p26_1_3,p26_1_4,p26_1_5,p26_1_6,p26_1_7,p26_2,p27_1,p27_1_1,p27_2,p27_1_2,p27_3,p27_1_3,p27_4,p27_1_4,p28,p29,p30e,p30m,p30l,p30u,p30_1c,p30_1t,p30_3,p30_4,p31,p32,p33c,p33t,p33_1c,p33_1u,p33_1_1,p34e,p34m,p34l,p34u,p34_1,p34_1_1,p34_2,p34_2_1_1,p34_2_1_2,p34_2_1_3,p34_2_1_4,p34_2_1_5,p34_2_1_6,p34_2_2,p34_2_3_1,p34_2_3_2,p34_2_3_3,p34_3_0_1,p34_3_0_2,p34_3_0_3,p34_3_0_4,p34_3_1_1,p34_3_1_2,p34_3_1_3,p34_3_1_4,p34_4c,p34_4t,p34_5_1,p34_5_2,p34_5_3,p34_5_4,p34_5_5,p34_5_6,p34_5_7,p34_6,p34_7,p34_8,p34_9,p34_10_1,p34_10_2,p34_10_3,p34_10_4,p34_10_5,p34_10_6,p34_10_7,p34_10_8,p34_11,p34_12,p34_12_1,p34_13,p34_14,p35,p36,p37,p38,p39m,p39a,p40,p41,p42,p43,p44,p45,p45_1,p45_2,p46,p47,p48,p48_1,p49,p50,p50_1,p51c,p51t,p52,p52_1,p52_2,p52_3,nivel,oficio_mx,filtro,estrato,upm,ponfin3
1307,3,192207,1,4,1,2,21,3,2,-1,2,2,4,2,6,2,2,4,1,3,0,2,2,1,0,1,0,1,2,2,2,1,11,1103,1,0,-5,-5,-5,-5,-5,-5,-5,-5,-5,777,7,2,5,-11,-11,-11,-11,-11,-11,-11,-11,-11,-11,-11,-11,-11,-11,-11,-11,-11,-11,2,2,1,96,1,5,1,1,1215013,2,-15,-15,1,0,-16,-16,-16,-16,0,2,-19,-19,-19,1,2,1,2,2,2,7,71010001,2,7,70890001,2,2,2,2,2,2,-20,-20,7,7089,70890001,2,2,2,2,2,-21,2,-22,-22,-22,-22,-22,-22,-22,-22,2,-23,2,-24,2,-25,2,-26,2,2,-27,-27,-27,-27,-27,-27,-27,-27,1,1,6,2,7000,1,2,9,9014,90140001,2,3,2,2,1,1,1,2,2,2,3,-30,-30,-30,2,2,2,2,-31,-31,-31,-31,3,2,2,2,2,2,2,2,2,1,1,2,2,1,1,1,1,1,1,1,2,1,2,-32,2,-33,0,-34,0,-35,-35,-35,0,-36,-36,-37,-37,-37,-37,-37,1,20020001,2,-41,47,1,1,5,6,2,-43,1,2,3,0,1,1041,1041192207,15.8225140817864
1407,3,192207,1,4,1,2,27,6,1,1,2,2,4,2,1,2,1,3,1,2,0,1,2,1,1,1,1,1,2,2,1,1,12,1222,2,0,-5,-5,-5,-5,-5,-5,-5,-5,-5,777,7,2,5,-11,-11,-11,-11,-11,-11,-11,-11,-11,-11,-11,-11,-11,-11,-11,-11,-11,-11,2,2,3,96,2,4,1,1,1217001,2,-15,-15,1,1,1,1,1,96,1,2,-19,-19,-19,1,2,2,1,2,2,7,70400001,2,7,70590001,2,2,2,2,2,2,-20,-20,17,17007,170070001,2,2,2,2,2,-21,2,-22,-22,-22,-22,-22,-22,-22,-22,2,-23,2,-24,2,-25,2,-26,2,2,-27,-27,-27,-27,-27,-27,-27,-27,1,1,5,2,10000,1,2,17,17007,170070001,2,3,2,2,1,1,1,2,2,2,3,-30,-30,-30,2,2,2,2,-31,-31,-31,-31,4,2,1,2,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,2,1,2,-32,2,-33,0,-34,0,-35,-35,-35,0,-36,-36,3,1,2,1,2,-40,-40,-40,-40,-40,-40,-40,-40,-40,-40,-40,-40,-40,2,0,1,1041,1041192207,15.8225140817864
2307,3,192207,1,4,1,2,26,6,1,1,1,1,6,2,1,2,1,6,2,4,0,2,2,3,1,1,1,1,2,2,2,1,8,801,2,0,-5,-5,-5,-5,-5,-5,-5,-5,-5,777,7,2,5,-11,-11,-11,-11,-11,-11,-11,-11,-11,-11,-11,-11,-11,-11,-11,-11,-11,-11,2,2,1,3,2,5,1,1,1312047,2,-15,-15,1,3,2,1,1,96,0,2,-19,-19,-19,1,2,2,2,2,2,7,70190001,2,7,70570001,2,1,2,2,2,2,-20,-20,9,9015,90150001,2,2,2,2,2,-21,2,-22,-22,-22,-22,-22,-22,-22,-22,2,-23,2,-24,2,-25,2,-26,2,2,-27,-27,-27,-27,-27,-27,-27,-27,1,1,1,3,5000,3,2,9,9015,90150001,2,4,1,3,2,2,2,2,2,1,1,1,1,1,2,2,1,2,2,2,1,2,12,2,2,1,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,1,2,-32,2,-33,0,-34,0,-35,-35,-35,0,-36,-36,-37,-37,-37,-37,-37,1,280320001,2,-41,53,1,1,7,6,1,2,1,1,2,0,1,1041,1041192207,15.8225140817864
2407,3,192207,1,4,1,2,23,6,1,1,2,2,6,2,1,2,1,4,2,2,0,1,2,1,1,3,1,1,2,2,2,1,4,406,2,0,-5,-5,-5,-5,-5,-5,-5,-5,-5,777,7,2,5,-11,-11,-11,-11,-11,-11,-11,-11,-11,-11,-11,-11,-11,-11,-11,-11,-11,-11,2,2,1,3,1,5,1,1,1312047,2,-15,-15,1,3,2,1,1,4,0,2,-19,-19,-19,1,2,2,2,2,2,7,70340001,2,7,70570001,2,2,2,2,2,2,-20,-20,9,9014,90140001,2,2,2,2,2,-21,2,-22,-22,-22,-22,-22,-22,-22,-22,2,-23,2,-24,2,-25,2,-26,2,2,-27,-27,-27,-27,-27,-27,-27,-27,1,1,14,2,5000,3,2,9,9014,90140001,2,4,1,2,2,2,2,2,2,1,1,1,1,1,2,2,2,2,-31,-31,-31,-31,1,3,2,2,2,1,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,1,2,-32,2,-33,0,-34,0,-35,-35,-35,0,-36,-36,-37,-37,-37,-37,-37,1,50250001,2,-41,34,1,1,10,6,1,2,1,1,2,0,1,1041,1041192207,15.8225140817864
43508,3,172208,1,4,1,2,33,3,2,-1,2,2,6,2,5,2,1,7,3,4,0,2,2,1,1,1,1,1,2,2,2,1,13,1312,1,0,-5,-5,-5,-5,-5,-5,-5,-5,-5,777,7,1,-10,2,6,-13,-13,-13,-13,-13,-13,-13,-13,-13,-13,-13,-13,-13,-13,-13,-13,3,2,1,96,1,5,1,1,1312047,2,-15,-15,2,0,-16,-16,-16,-16,3,2,-19,-19,-19,1,2,1,2,2,2,7,70340001,2,30,300390001,2,1,1,2,2,2,-20,-20,30,30039,300390001,2,2,2,2,2,-21,2,-22,-22,-22,-22,-22,-22,-22,-22,2,-23,2,-24,2,-25,2,-26,2,2,-27,-27,-27,-27,-27,-27,-27,-27,1,1,9,2,10000,3,1,21,21114,211140001,2,8,1,3,1,1,1,1,1,1,2,-30,-30,-30,1,1,1,2,2,2,1,2,8,2,1,1,2,1,2,1,1,1,2,2,2,2,2,2,2,2,2,2,2,1,2,-32,2,-33,0,-34,0,-35,-35,-35,0,-36,-36,-37,-37,-37,-37,-37,1,280220001,1,3,1,1,1,4,6,1,2,1,1,3,0,1,1041,1041172208,15.4269512297418
45608,3,172208,1,4,1,2,19,3,2,-1,1,1,6,2,6,2,2,8,2,6,0,3,2,1,0,1,0,1,2,2,2,1,7,712,2,0,-5,-5,-5,-5,-5,-5,-5,-5,-5,777,7,1,-10,2,6,-13,-13,-13,-13,-13,-13,-13,-13,-13,-13,-13,-13,-13,-13,-13,-13,2,2,2,96,2,5,1,1,1312047,2,-15,-15,2,0,-16,-16,-16,-16,0,2,-19,-19,-19,1,2,1,2,2,2,7,70340001,2,30,300280037,2,1,1,2,2,2,-20,-20,30,30193,301930001,2,2,2,2,2,-21,2,-22,-22,-22,-22,-22,-22,-22,-22,2,-23,2,-24,2,-25,2,-26,2,2,-27,-27,-27,-27,-27,-27,-27,-27,1,1,6,2,380,1,2,21,21114,211140001,2,8,2,3,1,1,1,1,1,1,2,-30,-30,-30,1,2,2,2,2,2,1,2,5,2,1,1,1,1,1,1,1,1,2,3,2,1,1,1,1,1,1,1,1,1,2,-32,2,-33,0,-34,0,-35,-35,-35,0,-36,-36,-37,-37,-37,-37,-37,1,280320001,1,3,36,1,1,5,6,1,1,-44,-44,3,0,1,1041,1041172208,15.4269512297418
46208,3,172208,1,4,1,2,34,3,1,1,2,2,6,2,5,2,1,6,2,4,0,2,2,1,1,1,1,1,2,2,2,1,13,1326,2,0,-5,-5,-5,-5,-5,-5,-5,-5,-5,777,7,1,-10,2,2,-13,-13,-13,-13,-13,-13,-13,-13,-13,-13,-13,-13,-13,-13,-13,-13,2,2,1,96,2,5,1,1,1312047,2,-15,-15,2,0,-16,-16,-16,-16,4,1,35000,1,1,1,2,2,2,2,2,7,70340001,2,30,300280037,2,2,2,2,2,2,-20,-20,21,21114,211140001,2,1,1,2,2,2,2,-22,-22,-22,-22,-22,-22,-22,-22,2,-23,2,-24,2,-25,2,-26,2,2,-27,-27,-27,-27,-27,-27,-27,-27,1,1,6,2,3000,1,2,21,21114,211140001,2,4,1,2,1,1,1,1,1,2,2,-30,-30,-30,1,1,2,2,2,2,1,2,5,2,1,1,1,1,1,1,1,2,2,2,2,1,1,1,1,1,1,1,1,1,2,-32,2,-33,0,-34,0,-35,-35,-35,0,-36,-36,-37,-37,-37,-37,-37,1,80410082,2,-41,12,1,1,5,6,2,-43,1,1,1,0,1,1041,1041172208,15.4269512297418
46708,3,172208,1,4,1,2,23,3,2,-1,2,2,4,2,6,2,2,6,2,4,0,2,2,1,0,1,0,1,2,2,2,1,12,1215,2,0,-5,-5,-5,-5,-5,-5,-5,-5,-5,777,7,2,1,-11,-11,-11,-11,-11,-11,-11,-11,-11,-11,-11,-11,-11,-11,-11,-11,-11,-11,2,2,1,96,2,5,1,1,1312047,2,-15,-15,2,0,-16,-16,-16,-16,4,2,-19,-19,-19,1,2,2,2,2,2,7,70340001,2,30,300280037,2,1,2,2,2,2,-20,-20,30,30003,300030001,2,2,1,2,2,2,2,-22,-22,-22,-22,-22,-22,-22,-22,2,-23,2,-24,2,-25,2,-26,2,2,-27,-27,-27,-27,-27,-27,-27,-27,1,1,18,2,45000,1,2,21,21114,211140001,2,4,1,2,1,1,1,1,1,2,1,1,1,1,1,2,2,2,2,2,1,2,5,2,1,1,1,1,1,1,1,2,2,2,2,1,1,1,1,1,1,1,1,1,2,-32,2,-33,0,-34,0,-35,-35,-35,0,-36,-36,-37,-37,-37,-37,-37,1,20020001,1,3,48,1,1,5,6,1,2,1,1,3,0,1,1041,1041172208,15.4269512297418
49008,3,172208,1,4,1,2,25,6,1,1,1,1,4,2,6,2,2,5,0,5,0,2,2,1,0,1,0,1,2,2,2,1,7,712,2,0,-5,-5,-5,-5,-5,-5,-5,-5,-5,777,7,1,-10,2,3,-13,-13,-13,-13,-13,-13,-13,-13,-13,-13,-13,-13,-13,-13,-13,-13,2,2,2,96,2,5,1,1,1305024,2,-15,-15,1,0,-16,-16,-16,-16,0,2,-19,-19,-19,1,1,1,1,2,2,7,70190001,2,21,211320001,2,2,2,2,2,2,-20,-20,21,21024,999999997,97,2,2,2,2,-21,1,1,1,1,1,1,2,2,1,2,-23,2,-24,2,-25,2,-26,2,2,-27,-27,-27,-27,-27,-27,-27,-27,1,1,5,2,2000,1,2,21,21024,999999997,97,3,1,2,1,1,1,1,1,1,1,2,2,2,2,2,2,2,-31,-31,-31,-31,4,2,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,2,2,-32,2,-33,0,-34,0,-35,-35,-35,0,-36,-36,-37,-37,-37,-37,-37,1,280320001,2,-41,48,2,-42,4,6,1,2,1,2,2,0,1,1041,1041172208,15.4269512297418
49208,3,172208,1,4,1,2,19,2,2,-1,2,2,4,2,6,2,2,5,1,4,0,2,2,1,0,1,0,1,2,2,2,1,2,201,2,0,-5,-5,-5,-5,-5,-5,-5,-5,-5,777,7,2,5,-11,-11,-11,-11,-11,-11,-11,-11,-11,-11,-11,-11,-11,-11,-11,-11,-11,-11,2,2,2,96,2,5,1,1,1312047,2,-15,-15,1,0,-16,-16,-16,-16,0,2,-19,-19,-19,1,1,1,1,2,2,7,71010001,2,21,210190001,2,2,2,2,2,2,-20,-20,21,21019,210190001,2,2,2,2,2,-21,1,1,1,1,1,1,1,2,3,2,-23,2,-24,2,-25,2,-26,2,2,-27,-27,-27,-27,-27,-27,-27,-27,1,1,3,2,2000,1,2,21,21019,999999997,97,4,1,2,1,1,1,1,1,1,1,2,2,2,2,2,2,2,-31,-31,-31,-31,4,2,1,1,1,1,1,1,1,1,1,2,2,2,2,1,1,1,1,1,2,2,2,-32,2,-33,0,-34,0,-35,-35,-35,0,-36,-36,-37,-37,-37,-37,-37,1,280320001,2,-41,28,1,1,5,6,2,-43,1,2,3,0,1,1041,1041172208,15.4269512297418
50308,3,172208,1,4,1,2,24,6,1,1,1,1,4,2,6,2,2,5,2,3,0,2,2,1,0,1,1,1,2,2,2,1,13,1326,2,0,-5,-5,-5,-5,-5,-5,-5,-5,-5,777,7,2,5,-11,-11,-11,-11,-11,-11,-11,-11,-11,-11,-11,-11,-11,-11,-11,-11,-11,-11,2,2,1,2,2,5,1,1,1312047,2,-15,-15,1,0,-16,-16,-16,-16,0,2,-19,-19,-19,1,1,1,1,2,2,7,71010001,2,21,210190001,2,2,2,2,2,2,-20,-20,21,21019,210190001,2,2,2,2,2,-21,2,-22,-22,-22,-22,-22,-22,-22,-22,2,-23,2,-24,2,-25,2,-26,2,2,-27,-27,-27,-27,-27,-27,-27,-27,1,1,8,2,2800,1,2,21,21019,210190001,2,7,1,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,-31,-31,-31,-31,5,2,2,2,2,2,2,2,2,1,1,2,2,1,1,1,1,1,1,1,1,1,2,-32,2,-33,0,-34,0,-35,-35,-35,0,-36,-36,-37,-37,-37,-37,-37,1,280320001,2,-41,36,1,2,6,6,2,-43,1,2,2,0,1,1041,1041172208,15.4269512297418
8607,3,262207,1,4,1,2,23,5,1,1,2,2,6,2,1,2,1,4,2,2,0,1,2,1,1,3,1,1,2,2,2,1,9,901,2,0,-5,-5,-5,-5,-5,-5,-5,-5,-5,777,7,2,5,-11,-11,-11,-11,-11,-11,-11,-11,-11,-11,-11,-11,-11,-11,-11,-11,-11,-11,2,2,1,96,2,5,1,1,1217001,2,-15,-15,1,3,2,1,1,96,1,2,-19,-19,-19,1,2,2,2,2,2,7,70090001,2,7,70400001,2,1,2,2,2,2,-20,-20,21,21114,211140001,2,2,2,2,2,-21,2,-22,-22,-22,-22,-22,-22,-22,-22,2,-23,2,-24,2,-25,2,-26,2,2,-27,-27,-27,-27,-27,-27,-27,-27,1,1,10,2,5000,1,2,21,21114,211140001,2,4,1,2,2,2,2,2,2,1,2,-30,-30,-30,2,2,2,2,-31,-31,-31,-31,3,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,-32,2,-33,0,-34,0,-35,-35,-35,0,-36,-36,-37,-37,-37,-37,-37,1,20030001,2,-41,48,1,1,5,6,1,1,-44,-44,1,0,1,1041,1041262207,14.8555826656772
8907,3,262207,1,4,1,2,20,0,0,2,1,1,4,2,5,2,1,2,0,2,0,1,2,1,1,1,0,1,2,2,2,1,4,405,1,0,-5,-5,-5,-5,-5,-5,-5,-5,-5,777,7,2,5,-11,-11,-11,-11,-11,-11,-11,-11,-11,-11,-11,-11,-11,-11,-11,-11,-11,-11,2,2,2,96,2,5,1,1,1312047,2,-15,-15,1,1,0,-17,-17,-17,1,2,-19,-19,-19,1,2,1,1,2,2,7,70090001,2,21,211140001,2,2,2,2,2,2,-20,-20,21,21026,210260001,1,2,2,2,2,-21,2,-22,-22,-22,-22,-22,-22,-22,-22,2,-23,2,-24,2,-25,2,-26,2,2,-27,-27,-27,-27,-27,-27,-27,-27,1,1,15,2,4000,1,2,9,9010,90100001,2,4,1,2,1,1,1,2,2,2,1,2,2,2,2,2,2,2,-31,-31,-31,-31,8,2,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,2,1,2,-32,2,-33,0,-34,0,-35,-35,-35,0,-36,-36,-37,-37,-37,-37,-37,1,20040001,2,-41,4,2,-42,5,6,2,-43,1,2,0,0,1,1041,1041262207,14.8555826656772
41709,3,232209,1,4,1,2,28,6,1,1,1,1,4,2,6,2,2,4,0,4,0,2,2,1,0,1,0,1,2,2,2,1,14,1418,1,0,-5,-5,-5,-5,-5,-5,-5,-5,-5,777,7,2,5,-11,-11,-11,-11,-11,-11,-11,-11,-11,-11,-11,-11,-11,-11,-11,-11,-11,-11,2,2,2,96,2,5,1,1,1312047,2,-15,-15,1,0,-16,-16,-16,-16,0,2,-19,-19,-19,1,1,1,1,2,2,7,70190001,2,9,90100001,2,2,2,2,2,2,-20,-20,26,26004,260040001,1,2,2,2,2,-21,2,-22,-22,-22,-22,-22,-22,-22,-22,2,-23,2,-24,2,-25,2,-26,2,2,-27,-27,-27,-27,-27,-27,-27,-27,1,1,1,5,10000,1,2,26,26004,260040001,1,6,1,2,1,1,1,1,1,1,1,2,2,2,2,2,2,2,-31,-31,-31,-31,10,2,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,2,2,-32,2,-33,0,-34,0,-35,-35,-35,0,-36,-36,-37,-37,-37,-37,-37,1,260040001,2,-41,4,2,-42,5,6,1,2,1,1,2,0,1,1041,1041232209,13.1779473073602
42409,3,232209,1,4,1,2,28,0,0,2,1,1,4,2,5,2,1,5,3,2,0,1,2,1,1,1,1,1,2,2,2,1,13,1301,2,0,-5,-5,-5,-5,-5,-5,-5,-5,-5,777,7,2,5,-11,-11,-11,-11,-11,-11,-11,-11,-11,-11,-11,-11,-11,-11,-11,-11,-11,-11,2,2,6,96,2,4,1,1,1312047,2,-15,-15,1,3,2,1,1,96,0,2,-19,-19,-19,1,2,2,2,2,2,7,70340001,2,7,70190001,2,2,2,2,2,2,-20,-20,7,7019,70190001,2,2,2,2,2,-21,2,-22,-22,-22,-22,-22,-22,-22,-22,2,-23,2,-24,2,-25,2,-26,2,2,-27,-27,-27,-27,-27,-27,-27,-27,1,1,1,2,500,1,2,7,7019,70190001,2,7,2,2,1,1,1,1,1,1,1,2,2,2,2,2,2,2,-31,-31,-31,-31,6,2,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,2,2,-32,2,-33,0,-34,0,-35,-35,-35,0,-36,-36,3,1,2,1,1,-40,-40,-40,-40,-40,-40,-40,-40,-40,-40,-40,-40,-40,0,0,1,1041,1041232209,13.1779473073602
43009,3,232209,1,4,1,2,20,3,2,-1,2,2,6,2,6,2,2,5,1,4,0,2,2,1,0,1,0,1,2,2,2,1,12,1220,1,0,-5,-5,-5,-5,-5,-5,-5,-5,-5,777,7,1,-10,2,3,-13,-13,-13,-13,-13,-13,-13,-13,-13,-13,-13,-13,-13,-13,-13,-13,2,2,2,1,2,5,1,1,1217001,2,-15,-15,1,0,-16,-16,-16,-16,1,2,-19,-19,-19,1,2,2,2,2,2,7,70890001,2,28,280320001,2,1,2,2,2,2,-20,-20,28,28032,280320001,2,2,2,2,2,-21,2,-22,-22,-22,-22,-22,-22,-22,-22,2,-23,2,-24,2,-25,2,-26,2,2,-27,-27,-27,-27,-27,-27,-27,-27,1,1,1,5,2500,3,1,28,28032,280320001,2,3,2,2,1,2,2,2,1,2,3,-30,-30,-30,2,2,2,2,-31,-31,-31,-31,4,2,2,2,2,2,1,1,2,2,2,2,2,1,2,2,2,2,2,1,2,2,2,-32,2,-33,0,-34,0,-35,-35,-35,0,-36,-36,-37,-37,-37,-37,-37,1,280320001,2,-41,53,1,1,6,6,1,2,1,1,3,0,1,1041,1041232209,13.1779473073602
43909,3,232209,1,4,1,2,21,2,3,-1,2,2,6,2,6,2,2,6,2,4,0,3,2,1,0,3,0,1,2,2,2,1,13,1326,2,0,-5,-5,-5,-5,-5,-5,-5,-5,-5,777,7,2,4,-11,-11,-11,-11,-11,-11,-11,-11,-11,-11,-11,-11,-11,-11,-11,-11,-11,-11,2,2,2,1,2,5,1,1,1312047,2,-15,-15,1,0,-16,-16,-16,-16,0,2,-19,-19,-19,1,2,2,2,2,2,7,70650001,2,21,211140001,2,1,2,2,2,2,-20,-20,26,26003,260030001,1,1,2,2,2,2,2,-22,-22,-22,-22,-22,-22,-22,-22,2,-23,2,-24,2,-25,2,-26,2,2,-27,-27,-27,-27,-27,-27,-27,-27,1,1,22,2,5000,3,2,26,26003,260030001,1,3,2,2,1,2,2,2,1,2,3,-30,-30,-30,2,2,2,2,-31,-31,-31,-31,6,2,1,2,2,2,1,1,1,2,2,3,2,1,2,2,2,2,2,1,2,2,2,-32,2,-33,0,-34,0,-35,-35,-35,0,-36,-36,-37,-37,-37,-37,-37,1,269999999,2,-41,48,1,1,9,6,1,2,1,1,4,0,1,1041,1041232209,13.1779473073602
44109,3,232209,1,4,1,2,33,3,3,-1,2,2,6,2,1,2,1,5,1,4,0,2,2,1,3,1,1,1,2,2,2,1,5,501,2,0,-5,-5,-5,-5,-5,-5,-5,-5,-5,777,7,1,-10,2,3,-13,-13,-13,-13,-13,-13,-13,-13,-13,-13,-13,-13,-13,-13,-13,-13,2,2,2,1,2,5,1,1,1217001,2,-15,-15,1,0,-16,-16,-16,-16,1,2,-19,-19,-19,1,2,2,2,2,2,7,70890001,2,26,260300001,2,1,2,2,2,2,-20,-20,26,26030,260300001,2,2,2,2,2,-21,2,-22,-22,-22,-22,-22,-22,-22,-22,2,-23,2,-24,2,-25,2,-26,2,2,-27,-27,-27,-27,-27,-27,-27,-27,1,1,20,2,2000,3,1,26,26030,260300001,2,3,1,2,1,2,2,2,1,2,3,-30,-30,-30,2,2,2,2,-31,-31,-31,-31,6,2,1,2,2,2,2,1,1,2,2,2,2,1,2,2,2,2,2,1,2,2,2,-32,2,-33,0,-34,0,-35,-35,-35,0,-36,-36,-37,-37,-37,-37,-37,1,269999999,2,-41,6,1,1,18,6,1,2,1,1,4,0,1,1041,1041232209,13.1779473073602
45609,3,232209,1,4,1,2,22,0,0,2,1,1,6,2,1,2,1,6,2,4,0,2,2,1,1,3,1,1,2,2,2,1,12,1206,1,0,-5,-5,-5,-5,-5,-5,-5,-5,-5,777,7,1,-10,2,3,-13,-13,-13,-13,-13,-13,-13,-13,-13,-13,-13,-13,-13,-13,-13,-13,2,2,2,1,2,5,1,1,1217001,2,-15,-15,1,1,0,-17,-17,-17,1,2,-19,-19,-19,1,2,2,2,2,2,7,70890001,2,20,200670001,2,1,2,2,2,2,-20,-20,20,20067,200670001,2,2,2,2,2,-21,2,-22,-22,-22,-22,-22,-22,-22,-22,2,-23,2,-24,2,-25,2,-26,2,2,-27,-27,-27,-27,-27,-27,-27,-27,1,1,10,2,5000,1,2,20,20067,200670001,2,3,1,2,1,2,2,2,1,2,3,-30,-30,-30,2,2,2,2,-31,-31,-31,-31,5,2,1,2,1,1,1,1,2,2,2,2,2,1,2,2,2,2,2,1,2,2,2,-32,2,-33,0,-34,0,-35,-35,-35,0,-36,-36,-37,-37,-37,-37,-37,1,20040001,2,-41,6,1,1,10,6,1,2,1,1,0,0,1,1041,1041232209,13.1779473073602
4308,3,22208,1,4,1,1,24,4,1,1,2,2,6,2,1,1,-2,4,2,2,0,1,1,1,1,3,1,1,2,2,2,1,11,1107,2,0,-5,-5,-5,-5,-5,-5,-5,-5,-5,777,7,2,1,-11,-11,-11,-11,-11,-11,-11,-11,-11,-11,-11,-11,-11,-11,-11,-11,-11,-11,2,2,2,1,2,5,1,1,1312047,2,-15,-15,1,2,1,1,1,96,0,2,-19,-19,-19,1,2,2,2,2,2,7,70190001,2,27,270040001,2,2,2,2,2,2,-20,-20,27,27004,270040001,2,2,2,2,2,-21,2,-22,-22,-22,-22,-22,-22,-22,-22,2,-23,2,-24,2,-25,2,-26,2,2,-27,-27,-27,-27,-27,-27,-27,-27,1,1,12,2,5000,1,2,27,27004,270040001,2,4,1,2,2,2,2,2,1,1,1,1,1,1,2,2,2,2,-31,-31,-31,-31,5,2,2,2,2,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,-32,2,-33,0,-34,0,-35,-35,-35,0,-36,-36,-37,-37,-37,-37,-37,1,50250001,2,-41,6,1,1,7,6,1,2,1,1,1,0,1,1041,1041022208,12.5304016423238
1207,3,192207,1,4,1,1,36,6,1,1,2,2,4,2,5,1,-2,4,2,2,0,2,1,1,1,1,1,2,2,2,2,1,1,129,2,0,-5,-5,-5,-5,-5,-5,-5,-5,-5,777,7,1,-10,2,1,712,1,2,2,2,2,2,2,2,2,8,6,100,3,2,236,2,2,1,2,1,5,1,1,1312047,2,-15,-15,1,0,-16,-16,-16,-16,1,2,-19,-19,-19,1,2,1,1,2,2,7,71010001,2,21,210150031,2,2,2,2,2,2,-20,-20,21,21114,211140001,2,2,2,2,2,-21,2,-22,-22,-22,-22,-22,-22,-22,-22,2,-23,2,-24,2,-25,2,-26,2,2,-27,-27,-27,-27,-27,-27,-27,-27,1,1,6,2,6000,1,2,21,21114,211140001,2,3,1,2,1,1,1,2,2,2,3,-30,-30,-30,2,2,2,2,-31,-31,-31,-31,4,2,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,2,-32,2,-33,0,-34,0,-35,-35,-35,0,-36,-36,-37,-37,-37,-37,-37,1,50250001,2,-41,48,1,1,5,6,2,-43,1,2,2,0,1,1041,1041192207,12.3927049209796
1507,3,192207,1,4,1,1,22,3,1,1,2,2,2,2,6,2,2,6,0,6,0,4,2,1,0,0,0,1,2,2,2,1,13,1330,2,0,-5,-5,-5,-5,-5,-5,-5,-5,-5,777,7,1,-10,2,1,421,1,2,2,2,2,2,2,2,2,8,6,2000,3,5,468,2,2,6,96,2,4,1,1,1312047,2,-15,-15,1,0,-16,-16,-16,-16,1,2,-19,-19,-19,1,2,2,2,2,2,7,70400001,2,7,70890001,2,2,2,2,2,2,-20,-20,7,7089,70890001,2,2,2,2,2,-21,2,-22,-22,-22,-22,-22,-22,-22,-22,2,-23,2,-24,2,-25,2,-26,2,2,-27,-27,-27,-27,-27,-27,-27,-27,1,1,2,2,300,3,2,7,7089,70890001,2,4,1,2,2,2,2,2,2,2,2,-30,-30,-30,2,2,2,2,-31,-31,-31,-31,2,2,2,2,2,2,2,2,2,1,1,2,2,1,1,1,1,1,1,1,2,1,2,-32,2,-33,0,-34,0,-35,-35,-35,0,-36,-36,4,1,2,1,2,-40,-40,-40,-40,-40,-40,-40,-40,-40,-40,-40,-40,-40,1,0,1,1041,1041192207,12.3927049209796
