nommun,2020,2021,2022,2023,2024
"Coatzacoalcos, Veracruz",0,427,906,316,10
"Colima, Colima",7,5,2,6,0
"Colon, Queretaro",1,0,36,16,67
"Comalcalco, Tabasco",7,51,6,334,1484
"Comitan de Dominguez, Chiapas",1202,1782,1170,178,7
"Comonfort, Guanajuato",0,0,16,29,0
"Concepcion Buenavista, Oaxaca",0,0,0,25,0
"Contla de Juan Cuamatzi, Tlaxcala",0,0,1,0,0
"Copainala, Chiapas",0,0,30,7,0
"Corregidora, Queretaro",0,0,1,0,0
"Cosamaloapan de Carpio, Veracruz",10,281,539,3095,335
"Cosoleacaque, Veracruz",0,317,163,20,141
"Cosio, Aguascalientes",4,195,12,98,120
"Cotaxtla, Veracruz",47,86,16,144,0
"Coyoacan, Ciudad de Mexico",0,0,0,1,2
"Coyuca de Catalan, Guerrero",1,0,0,0,0
"Cozumel, Quintana Roo",2,57,19,24,31
"Cruillas, Tamaulipas",86,185,121,1017,0
"Cuajinicuilapa, Guerrero",1,239,1,0,0
"Cuapiaxtla, Tlaxcala",0,701,49,46,0
"Cuauhtemoc, Ciudad de Mexico",0,168,1,0,0
"Cuautepec de Hinojosa, Hidalgo",0,0,0,0,2
"Cuautitlan Izcalli, Estado de Mexico",0,0,6,0,82
"Cuautitlan, Estado de Mexico",0,0,49,3,2
"Cuautla, Morelos",8,1,18,1,280
"Cuaxomulco, Tlaxcala",0,3,0,0,727
"Cuernavaca, Morelos",21,38,19,19,219
"Cuichapa, Veracruz",0,0,3,0,0
"Cuitlahuac, Veracruz",21,130,208,1447,424
"Cuitzeo, Michoacan",0,0,0,1,0
"Culiacan, Sinaloa",5,1,173,11,1
"Cunduacan, Tabasco",7,264,16,0,0
"Cardenas, Tabasco",30,233,821,23150,25912
"Cordoba, Veracruz",31,210,356,609,159
"Delicias, Chihuahua",0,0,0,0,28
"Doctor Arroyo, Nuevo Leon",0,61,47,11,0
"Doctor Coss, Nuevo Leon",0,4,0,0,0
"Dolores Hidalgo Cuna de la Independencia Nacional, Guanajuato",0,3,0,0,0
"Durango, Durango",9,234,157,574,9
"Ecatepec de Morelos, Estado de Mexico",0,98,185,185,6
"El Arenal, Hidalgo",4,4,0,0,4
"El Barrio de la Soledad, Oaxaca",0,4,0,0,0
"El Carmen, Nuevo Leon",0,28,22,35,0
"El Espinal, Oaxaca",0,29,0,10,13
"El Higo, Veracruz",0,4,0,0,0
"El Llano, Aguascalientes",0,3,0,0,1
"El Mante, Tamaulipas",12,21,44,6,0
"El Marques, Queretaro",2,634,61,0,0
"El Salto, Jalisco",20,0,2,1,0
"Emiliano Zapata, Hidalgo",0,18,0,1,46
"Emiliano Zapata, Morelos",0,0,1,4,0
"Emiliano Zapata, Tabasco",67,1499,1276,6555,8140
"Emiliano Zapata, Veracruz",0,0,50,7,0
"Empalme, Sonora",243,0,0,0,393
"Encarnacion de Diaz, Jalisco",0,0,6,0,0
"Ensenada, Baja California",19,24,81,26,482
"Epazoyucan, Hidalgo",0,0,0,1,0
"Escuinapa, Sinaloa",571,101,0,0,297
"Escuintla, Chiapas",0,0,245,19,0
"Escarcega, Campeche",36,53,231,2524,2050
"Espanita, Tlaxcala",16,0,0,0,0
"Ezequiel Montes, Queretaro",0,0,2,0,0
"Felipe Carrillo Puerto, Quintana Roo",0,2,0,0,0
"Fortin, Veracruz",86,75,29,54,0
"Fresnillo, Zacatecas",0,16,0,0,134
"Frontera Comalapa, Chiapas",776,1624,3977,793,16
"Frontera Hidalgo, Chiapas",59,176,45,1356,31
"Galeana, Nuevo Leon",829,3028,4960,5394,6235
"Garcia, Nuevo Leon",25,44,137,17,121
"General Bravo, Nuevo Leon",276,820,1273,2056,43
"General Escobedo, Nuevo Leon",159,491,330,1204,535
"General Plutarco Elias Calles, Sonora",20,32,0,1432,414
"General Teran, Nuevo Leon",13,59,160,0,0
"General Trevino, Nuevo Leon",64,0,0,0,0
"General Zuazua, Nuevo Leon",0,164,97,35,0
"Gonzalez, Tamaulipas",24,210,8,8,0
"Guadalajara, Jalisco",118,430,817,1313,24
"Guadalupe, Chihuahua",0,47,0,0,0
"Guadalupe, Nuevo Leon",230,179,375,223,38
"Guadalupe, Zacatecas",0,0,0,0,7
"Guanajuato, Guanajuato",2,1,2,0,18
"Guasave, Sinaloa",0,9,121,1,3
"Guaymas, Sonora",1,3,0,863,1427
"Guerrero, Tamaulipas",132,0,0,0,0
"Gustavo A. Madero, Ciudad de Mexico",0,0,99,995,47
"Gustavo Diaz Ordaz, Tamaulipas",77,0,0,18,0
"Gutierrez Zamora, Veracruz",0,0,55,9,0
"Gomez Palacio, Durango",194,1053,1439,849,954
"Guemez, Tamaulipas",0,0,8,0,0
"Halacho, Yucatan",0,0,51,0,164
"Hermosillo, Sonora",3474,13995,23080,9823,4662
"Heroica Ciudad de Ejutla de Crespo, Oaxaca",0,1,2,0,0
"Heroica Ciudad de Huajuapan de Leon, Oaxaca",33,175,128,46,2
"Hidalgo, Nuevo Leon",2,1,4,0,0
"Hidalgo, Tamaulipas",16,440,386,47,7
"Hualahuises, Nuevo Leon",0,15,0,34,0
"Huamantla, Tlaxcala",0,72,34,1687,0
"Huasca de Ocampo, Hidalgo",0,0,0,1,0
"Huatabampo, Sonora",0,0,0,1042,1619
"Huautla, Hidalgo",0,2,0,0,0
"Huehuetoca, Estado de Mexico",0,16,176,349,2202
"Huehuetan, Chiapas",951,6188,8326,14693,20679
"Huejotzingo, Puebla",1,0,0,0,0
"Huejutla de Reyes, Hidalgo",0,15,0,0,0
"Hueyapan de Ocampo, Veracruz",0,5,8,0,0
"Hueyapan, Puebla",1,0,0,0,0
"Hueyotlipan, Tlaxcala",0,0,18,14,0
"Huichapan, Hidalgo",1,281,106,0,110
"Huimanguillo, Tabasco",1567,18618,14598,86684,64851
"Huitzilac, Morelos",0,2,0,0,0
"Huitzuco de los Figueroa, Guerrero",0,0,2,0,0
"Huixtla, Chiapas",938,2779,11276,23755,26336
"Ignacio Zaragoza, Chihuahua",0,0,1,0,0
"Iguala de la Independencia, Guerrero",0,3,0,0,0
"Igualapa, Guerrero",0,3,0,0,0
"Imuris, Sonora",0,0,0,7,149
"Irapuato, Guanajuato",0,2,8,43,0
"Isla Mujeres, Quintana Roo",8,4,33,24,11
"Isla, Veracruz",0,0,4,15,6
"Iturbide, Nuevo Leon",2,54,0,0,0
"Ixhuatlan de Madero, Veracruz",0,14,0,0,0
"Ixhuatlan del Cafe, Veracruz",0,0,13,0,0
"Ixhuatlan del Sureste, Veracruz",0,8,0,2,10
"Ixmiquilpan, Hidalgo",20,33,0,1,1
"Ixtacuixtla de Mariano Matamoros, Tlaxcala",49,1473,997,2544,346
"Ixtaczoquitlan, Veracruz",0,0,3,2,0
"Ixtapaluca, Estado de Mexico",0,0,171,11,0
"Ixtenco, Tlaxcala",0,8,1,261,4
"Iztapalapa, Ciudad de Mexico",737,4713,4563,6091,4380
"Jalapa, Tabasco",0,6,341,7564,14162
"Jalpa de Mendez, Tabasco",1,0,4,0,0
"Jalpan de Serra, Queretaro",0,7,0,0,0
"Jaltocan, Hidalgo",0,1,0,0,0
"Jamapa, Veracruz",0,0,9,0,0
"Janos, Chihuahua",6,253,300,116,2298
"Jantetelco, Morelos",0,0,2,3,25
"Jaumave, Tamaulipas",0,13,345,538,89
"Jerez, Zacatecas",0,0,0,3,0
"Jesus Carranza, Veracruz",0,5,48,5395,3077
"Jesus Maria, Aguascalientes",13,137,211,399,94
"Jilotepec, Estado de Mexico",0,0,206,0,0
"Jimenez, Tamaulipas",0,0,0,1,0
"Jiquipilas, Chiapas",1,0,0,743,2958
"Jiutepec, Morelos",0,0,0,0,1
"Jojutla, Morelos",0,5,2,0,0
"Jonuta, Tabasco",0,11,27,0,67
"Juan Rodriguez Clara, Veracruz",0,0,33,8,4
"Juchitan de Zaragoza, Oaxaca",23,305,1288,2625,299
"Juarez, Chihuahua",794,8236,12025,7964,2134
"Juarez, Coahuila",0,0,10,0,0
"Juarez, Nuevo Leon",46,276,392,180,24
"Kanasin, Yucatan",0,0,55,0,0
"Kantunil, Yucatan",0,0,0,0,3
"La Antigua, Veracruz",25,56,29,160,0
"La Concordia, Chiapas",0,19,19,0,0
"La Independencia, Chiapas",177,0,0,0,0
"La Magdalena Tlaltelulco, Tlaxcala",0,0,27,0,5
"La Paz, Baja California Sur",6,47,94,346,413
"La Paz, Estado de Mexico",0,0,39,0,0
"La Piedad, Michoacan",0,0,19,0,0
"La Reforma, Oaxaca",0,6,0,0,42
"La Trinitaria, Chiapas",739,820,1106,17,0
"Lagos de Moreno, Jalisco",0,2,0,0,0
"Lampazos de Naranjo, Nuevo Leon",2,0,31,0,0
"Las Choapas, Veracruz",0,560,235,300,522
"Las Margaritas, Chiapas",13,0,0,0,0
"Las Vigas de Ramirez, Veracruz",0,0,1,0,0
"Lerdo de Tejada, Veracruz",0,0,34,0,0
"Leon, Guanajuato",9,9,1,3,0
"Linares, Nuevo Leon",26,285,112,19,2
"Llera, Tamaulipas",0,3,16,0,0
"Loma Bonita, Oaxaca",0,1005,1545,0,0
"Loreto, Baja California Sur",0,0,0,0,4
"Loreto, Zacatecas",0,1,0,0,0
"Los Cabos, Baja California Sur",8,42,36,58,66
"Los Ramones, Nuevo Leon",0,106,112,7,2
"Lazaro Cardenas, Michoacan",2,16,14,1,7
"Macuspana, Tabasco",366,5059,2291,31739,45254
"Magdalena Apasco, Oaxaca",0,49,0,0,0
"Magdalena Tequisistlan, Oaxaca",0,16,34,0,0
"Magdalena, Jalisco",0,0,62,0,0
"Magdalena, Sonora",0,0,0,0,52
"Manzanillo, Colima",2,2,1,10,3
"Mapastepec, Chiapas",5,17,377,35,0
"Mapimi, Durango",0,0,0,23,0
"Maravatio, Michoacan",0,0,3,0,0
"Martinez de la Torre, Veracruz",0,1,0,15,0
"Matamoros, Tamaulipas",345,325,66,374,10
"Matias Romero Avendano, Oaxaca",125,96,307,157,99
"Maxcanu, Yucatan",0,0,3,0,0
"Mazapil, Zacatecas",0,14,0,0,0
"Mazatecochco de Jose Maria Morelos, Tlaxcala",0,22,0,0,0
"Mazatepec, Morelos",0,0,1,0,0
"Mazatlan, Sinaloa",416,927,1200,976,374
"Mazatan, Chiapas",1,0,7,0,23
"Medellin de Bravo, Veracruz",44,32,0,27,0
"Metapa, Chiapas",114,2,469,0,0
"Metepec, Estado de Mexico",0,0,2,0,6
"Mexicali, Baja California",418,1410,9172,5667,2827
"Mezcalapa, Chiapas",18,2738,2309,439,354
"Miahuatlan de Porfirio Diaz, Oaxaca",12,26,76,12,3
"Miguel Aleman, Tamaulipas",7,0,32,16,10
"Mina, Nuevo Leon",5,9,663,2343,743
"Minatitlan, Veracruz",0,53,202,10,5
"Mineral de la Reforma, Hidalgo",2,3,6,22,0
"Mixquiahuala de Juarez, Hidalgo",0,0,0,0,8
"Moloacan, Veracruz",0,268,1272,4202,233
"Monclova, Coahuila",101,1172,2452,1204,3853
"Montemorelos, Nuevo Leon",18,79,56,1,1
"Monterrey, Nuevo Leon",230,3957,834,446,231
"Morelia, Michoacan",7,38,115,136,22
"Motozintla, Chiapas",6,16,13,8,1
"Mulege, Baja California Sur",1,8,1,0,0
"Munoz de Domingo Arenas, Tlaxcala",3,2,5,2,0
"Merida, Yucatan",220,519,642,930,538
"Nacajuca, Tabasco",2,1,32,0,0
"Namiquipa, Chihuahua",97,0,0,0,0
"Nanacamilpa de Mariano Arista, Tlaxcala",0,0,0,2,46
"Nanchital de Lazaro Cardenas del Rio, Veracruz",0,0,80,0,0
"Naranjos Amatlan, Veracruz",15,0,0,21,0
"Nativitas, Tlaxcala",0,0,1,17,0
"Naucalpan de Juarez, Estado de Mexico",0,141,10,1,2
"Nautla, Veracruz",0,9,0,0,0
"Navojoa, Sonora",0,0,0,834,330
"Navolato, Sinaloa",1,0,0,0,0
"Nazareno Etla, oaX.",0,7,0,0,0
"Nejapa de Madero, Oaxaca",6,0,0,0,3
"Nezahualcoyotl, Estado de Mexico",0,43,9,22,0
"Nogales, Sonora",132,20,6,4084,1017
"Nogales, Veracruz",0,0,10,6,4
"Nopala de Villagran, Hidalgo",0,65,14,0,0
"Nuevo Laredo, Tamaulipas",873,3297,521,143,0
"Oaxaca de Juarez, Oaxaca",198,613,1111,1217,1815
"Ocampo, Guanajuato",7,5,2,6,0
"Ocosingo, Chiapas",2,2,0,70,1699
"Ocotlan de Morelos, Oaxaca",1,2,2,0,0
"Ocoyoacac, Estado de Mexico",0,0,5,3,0
"Ocozocoautla de Espinosa, Chiapas",802,4260,3239,1227,1073
"Ocuilan, Estado de Mexico",0,0,0,0,1
"Ojinaga, Chihuahua",393,511,602,101,29
"Omealca, Veracruz",0,0,2,0,0
"Opodepe, Sonora",0,0,0,0,828
"Orizaba, Veracruz",78,34,581,1100,4
"Othon P. Blanco, Quintana Roo",47,330,616,347,354
"Otumba, Estado de Mexico",1,0,0,0,0
"Ozuluama de Mascarenas, Veracruz",14,0,3,74,0
"Pachuca de Soto, Hidalgo",93,213,148,42,101
"Padilla, Tamaulipas",0,2,60,25,0
"Palenque, Chiapas",3309,8992,9860,7730,3527
"Palizada, Campeche",0,0,86,21,0
"Palmar de Bravo, Puebla",1,0,0,0,0
"Panotla, Tlaxcala",0,0,19,0,0
"Papalotla de Xicohtencatl, Tlaxcala",0,36,0,2,0
"Papantla, Veracruz",0,3,121,48,0
"Paraiso, Tabasco",0,1,24,4,1285
"Paras, Nuevo Leon",0,0,0,13,0
"Paso de Ovejas, Veracruz",0,0,6,0,0
"Pedro Escobedo, Queretaro",0,2,152,0,0
"Penjamillo, Michoacan",0,0,20,0,0
"Perote, Veracruz",6,25,0,2,0
"Pesqueria, Nuevo Leon",0,385,421,93,21
"Pichucalco, Chiapas",5,0,0,0,0
"Piedras Negras, Coahuila",4062,7817,20474,21530,5104
"Pijijiapan, Chiapas",344,1003,4639,11296,20533
"Pinotepa de Don Luis, Oaxaca",0,0,1,0,0
"Playa Vicente, Veracruz",0,0,11,0,0
"Playas de Rosarito, Baja California",49,20,14,38,17
"Poza Rica de Hidalgo, Veracruz",0,100,24,129,21
"Progreso de Obregon, Hidalgo",0,3,0,0,8
"Progreso, Yucatan",1,1,71,3,3
"Puebla, Puebla",894,4891,6713,5069,4354
"Pueblo Viejo, Veracruz",67,52,1015,484,120
"Puente de Ixtla, Morelos",0,2,2,8,3
"Puerto Morelos, Quintana Roo",5,0,0,0,0
"Puerto Penasco, Sonora",14,1,5,1,8
"Puerto Vallarta, Jalisco",0,0,2,0,0
"Panuco, Veracruz",0,0,17,8,0
"Querendaro, Michoacan",0,1,0,0,0
"Queretaro, Queretaro",324,709,624,871,1964
"Ramos Arizpe, Coahuila",2,0,0,0,0
"Reforma de Pineda, Oaxaca",7,0,2,0,0
"Reynosa, Tamaulipas",13285,17304,15142,6339,3831
"Rosario, Sinaloa",0,369,44,0,3
"Rio Blanco, Veracruz",92,52,8,50,179
"Rio Bravo, Tamaulipas",0,0,1,50,0
"Sabinas Hidalgo, Nuevo Leon",2,0,18,0,1
"Salamanca, Guanajuato",0,0,0,6,0
"Salina Cruz, Oaxaca",67,184,158,155,413
"Salinas Victoria, Nuevo Leon",1,0,318,18,41
"Saltillo, Coahuila",782,5895,5056,925,410
"Salto de Agua, Chiapas",27,1259,226,9,9
"Salvatierra, Guanajuato",0,0,1,0,0
"San Agustin de las Juntas, Oaxaca",0,0,23,2,6
"San Andres Huaxpaltepec, Oaxaca",0,0,0,31,0
"San Andres Tuxtla, Veracruz",0,141,64,102,20
"San Antonio de la Cal, Oaxaca",0,3,2,1,18
"San Bartolo Coyotepec, Oaxaca",154,138,29,5,40
"San Bartolo Soyaltepec, Oaxaca",0,0,0,36,0
"San Carlos Yautepec, Oaxaca",0,16,0,0,27
"San Cristobal Suchixtlahuaca, Oaxaca",0,0,0,4,0
"San Cristobal de las Casas, Chiapas",414,2790,1080,700,3
"San Diego de la Union, Guanajuato",0,0,27,0,2
"San Dionisio Ocotepec, Oaxaca",0,14,0,7,0
"San Dionisio del Mar, Oaxaca",0,0,19,0,0
"San Felipe, Baja California",0,0,6,5,2
"San Fernando, Tamaulipas",0,1,182,703,141
"San Francisco Huehuetlan, Oaxaca",0,0,0,0,1
"San Francisco Ixhuatan, Oaxaca",9,0,0,0,0
"San Francisco Lachigolo, Oaxaca",18,32,0,0,0
"San Francisco Telixtlahuaca, Oaxaca",0,23,4,49,72
"San Francisco Tetlanohcan, Tlaxcala",0,0,0,0,1
"San Francisco de los Romo, Aguascalientes",5,2,0,18,0
"San Ignacio, Sinaloa",0,0,0,0,1
"San Jacinto Amilpas, Oaxaca",4,1,0,45,26
"San Jeronimo Tlacochahuaya, Oaxaca",1,0,0,0,0
"San Jeronimo Zacualpan, Tlaxcala",0,0,1,4,0
"San Jose Teacalco, Tlaxcala",0,14,6,0,0
"San Jose Tenango, Oaxaca",0,0,0,115,0
"San Juan Bautista Coixtlahuaca, Oaxaca",3,259,91,0,0
"San Juan Bautista Cuicatlan, Oaxaca",0,81,0,0,9
"San Juan Bautista Guelache, Oaxaca",0,1,0,0,0
"San Juan Bautista Tuxtepec, Oaxaca",32,256,242,108,0
"San Juan Evangelista, Veracruz",0,0,4,1,0
"San Juan Guichicovi, Oaxaca",119,172,132,0,6
"San Juan Huactzinco, Tlaxcala",0,0,0,1,0
"San Juan del Rio, Queretaro",0,108,1098,1303,275
"San Lorenzo Cacaotepec, Oaxaca",5,42,1,2,0
"San Luis Potosi, San Luis Potosi",1249,7988,5994,4067,2117
"San Luis Rio Colorado, Sonora",214,96,24,67,1
"San Luis de la Paz, Guanajuato",0,0,0,65,0
"San Marcos, Guerrero",0,0,232,379,1374
"San Martin Texmelucan, Puebla",0,6,0,0,0
"San Martin de las Piramides, Estado de Mexico",0,0,32,0,0
"San Miguel de Allende, Guanajuato",71,896,826,16,0
"San Miguel del Puerto, Oaxaca",0,0,0,0,127
"San Nicolas de los Garza, Nuevo Leon",7,30,6,50,0
"San Pablo Etla, Oaxaca",0,14,0,35,40
