nommun,2020,2021,2022,2023,2024
"Solidaridad, Quintana Roo",18,151,147,166,243
"Soltepec, Puebla",0,97,0,0,0
"Soteapan, Veracruz",0,25,0,0,0
"Soto la Marina, Tamaulipas",2,20,7,54,0
"Soyaniquilpan de Juarez, Estado de Mexico",107,17,23,0,0
"Suchiate, Chiapas",3561,6338,28889,28203,32270
"Saric, Sonora",4,0,0,0,0
"Tacotalpa, Tabasco",0,33,387,9051,14778
"Tacambaro, Michoacan",0,0,1,0,0
"Tampico Alto, Veracruz",2,381,0,0,0
"Tampico, Tamaulipas",1083,2019,133,47,51
"Tantoyuca, Veracruz",0,0,4,0,0
"Tapachula, Chiapas",6260,16334,45672,70665,87845
"Tasquillo, Hidalgo",0,0,11,0,0
"Teapa, Tabasco",12,21,632,9916,14582
"Tecate, Baja California",15,15,8,738,2457
"Tecolutla, Veracruz",0,9,21,2,0
"Tecoman, Colima",0,0,2,0,0
"Tecozautla, Hidalgo",15,1,0,0,0
"Tecpatan, Chiapas",369,0,4,0,0
"Tecamac, Estado de Mexico",0,0,0,2,0
"Tehuacan, Puebla",2,0,3,0,0
"Temixco, Morelos",0,0,5,7,0
"Tenabo, Campeche",0,0,0,21,0
"Tenancingo, Tlaxcala",0,0,0,0,44
"Tenango del Valle, Estado de Mexico",1,0,0,0,1
"Tenosique, Tabasco",2950,10718,5415,39620,29570
"Teopisca, Chiapas",2,0,0,1,0
"Teotihuacan, Estado de Mexico",2,0,0,0,0
"Teotitlan de Flores Magon, Oaxaca",0,0,19,0,6
"Teotitlan del Valle, Oaxaca",0,1,21,0,0
"Tepeaca, Puebla",2,0,0,0,0
"Tepeapulco, Hidalgo",180,322,671,35,5
"Tepeji del Rio de Ocampo, Hidalgo",7,415,429,788,7
"Tepelmeme Villa de Morelos, Oaxaca",0,31,75,0,0
"Tepetitlan, Hidalgo",0,39,85,0,106
"Tepic, Nayarit",49,254,161,219,149
"Tepotzotlan, Estado de Mexico",201,1519,1899,4934,2061
"Tepoztlan, Morelos",0,0,1,1,0
"Tequisquiapan, Queretaro",0,120,3,0,0
"Tetla de la Solidaridad, Tlaxcala",0,3,0,2,1
"Texcoco, Estado de Mexico",0,137,4,153,119
"Texistepec, Veracruz",0,57,0,7,0
"Tezonapa, Veracruz",0,0,0,6,0
"Tezontepec de Aldama, Hidalgo",1,0,0,0,0
"Tianguistenco, Estado de Mexico",0,0,1,0,2
"Tierra Blanca, Veracruz",160,22,50,13,4
"Tihuatlan, Veracruz",0,7,0,35,0
"Tijuana, Baja California",1424,29615,34723,27405,25642
"Tizayuca, Hidalgo",0,0,35,15,72
"Tizimin, Yucatan",0,0,1,0,0
"Tlacolula de Matamoros, Oaxaca",17,37,298,351,505
"Tlacotalpan, Veracruz",0,1,0,0,0
"Tlahuelilpan, Hidalgo",0,0,0,0,2
"Tlahuiltepa, Hidalgo",1,0,0,0,0
"Tlajomulco de Zuniga, Jalisco",0,0,509,113,1
"Tlalmanalco, Estado de Mexico",0,0,3,0,0
"Tlalnepantla de Baz, Estado de Mexico",18,28,313,75,37
"Tlaxcala, Tlaxcala",1,540,36,3,2
"Tlaxco, Tlaxcala",10,1584,4,48,3
"Tlaxcoapan, Hidalgo",0,1,0,0,1
"Tocatlan, Tlaxcala",0,408,5,8,0
"Tolcayuca, Hidalgo",0,43,95,0,4
"Toliman, Queretaro",0,114,5,0,0
"Toluca, Estado de Mexico",13,304,299,754,755
"Tonala, Chiapas",107,342,270,230,128
"Tonayan, Veracruz",0,24,0,0,0
"Torreon, Coahuila",114,626,2554,824,1606
"Totolac, Tlaxcala",0,0,0,0,4
"Trancoso, Zacatecas",0,0,0,99,21
"Tres Valles, Veracruz",0,0,39,2,0
"Trinidad Zaachila, Oaxaca",0,0,6,1,0
"Tubutama, Sonora",0,0,0,0,19
"Tula de Allende, Hidalgo",12,198,59,76,25
"Tula, Tamaulipas",0,0,11,0,0
"Tulancingo de Bravo, Hidalgo",27,162,38,19,27
"Tultitlan, Estado de Mexico",0,28,7,0,0
"Tulum, Quintana Roo",0,4,8,13,6
"Tuxpan, Veracruz",0,139,93,218,14
"Tuxtla Chico, Chiapas",2594,2450,2853,19703,4291
"Tuxtla Gutierrez, Chiapas",1884,10154,6858,10266,17637
"Tzompantepec, Tlaxcala",1,5,6,33,10
"Tecpan de Galeana, Guerrero",1,0,0,0,0
"Uman, Yucatan",0,0,14,0,0
"Union Hidalgo, Oaxaca",2,7,22,0,0
"Union Juarez, Chiapas",0,87,277,2675,4556
"Ursulo Galvan, Veracruz",0,7,0,0,0
"Uruapan, Michoacan",0,0,3,1,0
"Valladolid, Yucatan",0,0,1,5,0
"Vallecillo, Nuevo Leon",0,0,120,0,1
"Vega de Alatorre, Veracruz",0,17,0,0,0
"Venustiano Carranza, Ciudad de Mexico",0,3,1045,1828,573
"Venustiano Carranza, Chiapas",0,83,0,0,0
"Veracruz, Veracruz",160,2035,1468,2063,79
"Victoria, Tamaulipas",13,241,172,33,22
"Villa Aldama, Veracruz",0,2,0,3,0
"Villa Comaltitlan, Chiapas",0,4,340,1823,1178
"Villa Corzo, Chiapas",1,74,658,380,0
"Villa Tejupam de la Union, Oaxaca",0,0,0,2,0
"Villa de Cos, Zacatecas",0,0,0,0,10
"Villa de Etla, Oaxaca",20,17,0,2,92
"Villa de Tamazulapam del Progreso, Oaxaca",0,0,0,2,0
"Villa de Tezontepec, Hidalgo",6,18,146,17,0
"Villa de Tututepec, Oaxaca",0,0,0,37,0
"Villa de Zaachila, Oaxaca",0,2,0,78,111
"Villa de Alvarez, Colima",0,0,0,2,0
"Villaflores, Chiapas",32,8,72,2,0
"Villaldama, Nuevo Leon",0,0,0,0,1
"Xalapa, Veracruz",0,323,63,103,0
"Xalatlaco, Estado de Mexico",0,0,0,2,0
"Xalisco, Nayarit",0,0,0,0,5
"Xaloztoc, Tlaxcala",10,0,391,2301,939
"Xaltocan, Tlaxcala",0,0,0,301,42
"Xicotepec, Puebla",0,0,1,0,0
"Xochitepec, Morelos",2,0,3,3,1
"Yanga, Veracruz",0,0,1,62,0
"Yauhquemehcan, Tlaxcala",0,41,31,98,0
"Yautepec, Morelos",0,5,0,0,2
"Zacatecas, Zacatecas",741,2938,2242,982,391
"Zacatelco, Tlaxcala",2,4,434,8,5
"Zacualtipan de Angeles, Hidalgo",0,0,2,0,0
"Zapopan, Jalisco",1,0,0,0,0
"Zapotlanejo, Jalisco",0,0,270,0,0
"Zapotlan el Grande, Jalisco",0,0,0,1,0
"Zaragoza, Veracruz",0,0,4,0,0
"Zempoala, Hidalgo",0,1,0,0,2
"Zihuatanejo de Azueta, Guerrero",1,6,26,14,0
"Ziltlaltepec de Trinidad Sanchez Santos, Tlaxcala",0,0,0,18,0
"Zimapan, Hidalgo",0,98,0,0,0
"Zimatlan de Alvarez, Oaxaca",0,0,19,0,0
"Zinacantepec, Estado de Mexico",0,0,0,0,2
"Zinapecuaro, Michoacan",0,32,0,176,23
"Zumpango, Estado de Mexico",0,8,0,155,947
"Alamo Temapache, Veracruz",0,0,0,3,0
"Alvaro Obregon, Michoacan",0,0,0,1,0
"Angel Albino Corzo, Chiapas",0,0,24,0,0
"Onavas, Sonora",0,0,0,0,19
