ciudad,Latitude,Longitude,Coordinates,enero_presentados,enero_canalizados,enero_total,febrero_presentados,febrero_canalizados,febrero_total,marzo_presentados,marzo_canalizados,marzo_total,abril_presentados,abril_canalizados,abril_total,mayo_presentados,mayo_canalizados,mayo_total,junio_presentados,junio_canalizados,junio_total,julio_presentados,julio_canalizados,julio_total,agosto_presentados,agosto_canalizados,agosto_total,septiembre_presentados,septiembre_canalizados,septiembre_total,octubre_presentados,octubre_canalizados,octubre_total,noviembre_presentados,noviembre_canalizados,noviembre_total,diciembre_presentados,diciembre_canalizados,diciembre_total,total_presentados,total_canalizados,total_total
"Apaseo el Alto, Guanajuato",20.4562767,-100.621263,"20.4562767,-100.621263",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
"Apaseo el Grande, Guanajuato",20.591932649999997,-100.59798678636592,"20.591932649999997,-100.59798678636592",0,0,0,0,0,0,0,0,0,22,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,22
"Celaya, Guanajuato",20.521788,-100.8140458,"20.521788,-100.8140458",1,0,1,4,0,4,0,0,0,2,0,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,8
"Comonfort, Guanajuato",20.7199475,-100.761188,"20.7199475,-100.761188",5,0,5,6,0,6,17,0,17,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,29
"Dolores Hidalgo Cuna de la Independencia Nacional, Guanajuato",21.1043597,-100.7259581,"21.1043597,-100.7259581",6,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,6
"Irapuato, Guanajuato",20.6758761,-101.3521052,"20.6758761,-101.3521052",5,0,5,22,0,22,6,0,6,5,0,5,1,0,1,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,0,44
"León, Guanajuato",21.1218598,-101.6825081,"21.1218598,-101.6825081",2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2
"Ocampo, Guanajuato",21.6042823,-101.47623930019085,"21.6042823,-101.47623930019085",5,0,5,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,6
"Salamanca, Guanajuato",20.571358,-101.192444,"20.571358,-101.192444",0,0,0,5,0,5,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,6
"San Luis de la Paz, Guanajuato",21.2970466,-100.516269,"21.2970466,-100.516269",0,0,0,30,0,30,21,0,21,8,0,8,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,60
"San Miguel de Allende, Guanajuato",20.9142238,-100.743784,"20.9142238,-100.743784",2,0,2,5,0,5,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,8,7,15
"Acapulco de Juárez, Guerrero",16.8680495,-99.8940182,"16.8680495,-99.8940182",1,0,1,0,0,0,3,14,17,4,0,4,0,1,1,4,0,4,1,0,1,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,13,19,32
"Azoyú, Guerrero",16.730833,-98.600833,"16.730833,-98.600833",0,0,0,75,29,104,278,62,340,146,20,166,0,0,0,0,0,0,42,8,50,114,22,136,99,68,167,42,18,60,0,0,0,0,0,0,796,227,1023
"Chilpancingo de los Bravo, Guerrero",17.5542149,-99.5048416,"17.5542149,-99.5048416",1,0,1,19,5,24,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,5,30
"San Marcos, Guerrero",16.85734375,-99.39034185147702,"16.85734375,-99.39034185147702",94,19,113,168,30,198,0,0,0,0,0,0,0,0,0,0,0,0,5,4,9,8,30,38,0,7,7,0,0,0,0,14,14,0,0,0,275,104,379
"Zihuatanejo de Azueta, Guerrero",17.80789995,-101.49695243500551,"17.80789995,-101.49695243500551",1,0,1,8,2,10,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,2,14
"Actopan, Hidalgo",20.2687373,-98.9431476,"20.2687373,-98.9431476",0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2
"Alfajayucan, Hidalgo",20.410277,-99.40315343558592,"20.410277,-99.40315343558592",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
"Apan, Hidalgo",19.7098559,-98.4502318,"19.7098559,-98.4502318",0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,3,1,4
"Atitalaquia, Hidalgo",20.0597395,-99.21328819731298,"20.0597395,-99.21328819731298",0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2
"Chapulhuacán, Hidalgo",21.126319199999998,-98.95211915598165,"21.126319199999998,-98.95211915598165",0,0,0,3,15,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,15,18
"Emiliano Zapata, Hidalgo",19.6546865,-98.544552,"19.6546865,-98.544552",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
"Epazoyucan, Hidalgo",20.0181268,-98.6364294,"20.0181268,-98.6364294",0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
"Huasca de Ocampo, Hidalgo",20.223154899999997,-98.5552467331717,"20.223154899999997,-98.5552467331717",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
"Ixmiquilpan, Hidalgo",20.481944,-99.218056,"20.481944,-99.218056",0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
"Mineral de la Reforma, Hidalgo",20.06063885,-98.73057242363191,"20.06063885,-98.73057242363191",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,18,0,18,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,2,0,2,22,0,22
"Pachuca de Soto, Hidalgo",20.1165413,-98.7413535,"20.1165413,-98.7413535",1,1,2,5,0,5,1,0,1,20,1,21,0,3,3,5,1,6,1,0,1,1,0,1,0,0,0,0,0,0,0,4,4,0,0,0,34,10,44
"Tepeapulco, Hidalgo",19.7875962,-98.5522855,"19.7875962,-98.5522855",16,0,16,13,3,16,2,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,3,35
"Tepeji del Río de Ocampo, Hidalgo",19.893682650000002,-99.34871815266254,"19.893682650000002,-99.34871815266254",102,0,102,58,46,104,48,30,78,72,23,95,0,0,0,0,0,0,344,0,344,52,8,60,6,0,6,0,0,0,0,0,0,0,0,0,682,107,789
"Tizayuca, Hidalgo",19.841245,-98.9815648,"19.841245,-98.9815648",0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,13,14,0,14
"Tolcayuca, Hidalgo",19.956667,-98.920278,"19.956667,-98.920278",0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3
"Tula de Allende, Hidalgo",20.048948699999997,-99.37295616011426,"20.048948699999997,-99.37295616011426",3,0,3,26,21,47,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,26,0,0,0,0,0,0,57,21,78
"Tulancingo de Bravo, Hidalgo",20.0792094,-98.3475328,"20.0792094,-98.3475328",0,0,0,0,0,0,5,0,5,4,0,4,0,0,0,1,0,1,2,0,2,0,0,0,0,0,0,0,0,0,1,0,1,6,0,6,19,0,19
"Villa de Tezontepec, Hidalgo",19.9143587,-98.80032767789963,"19.9143587,-98.80032767789963",8,0,8,0,0,0,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,14
"El Salto, Jalisco",20.5196964,-103.1813141,"20.5196964,-103.1813141",0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
"Guadalajara, Jalisco",20.6720375,-103.338396,"20.6720375,-103.338396",215,0,215,330,0,330,261,0,261,2,0,2,1,0,1,0,0,0,123,0,123,392,0,392,2,0,2,0,0,0,5,0,5,1,0,1,1332,0,1332
"Tlajomulco de Zúñiga, Jalisco",20.48187375,-103.40050966382874,"20.48187375,-103.40050966382874",0,0,0,0,0,0,0,0,0,103,0,103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,103,0,103
"Zapotlán el Grande, Jalisco",19.697346500000002,-103.51064802186409,"19.697346500000002,-103.51064802186409",0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
"Apatzingán, Michoacán",19.0913792,-102.3537356,"19.0913792,-102.3537356",0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
"Buenavista, Michoacán",19.21451245,-102.55515798507565,"19.21451245,-102.55515798507565",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1
"Cuitzeo, Michoacán",19.9693141,-101.1412203,"19.9693141,-101.1412203",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1
"Lázaro Cárdenas, Michoacán",17.9594769,-102.198659,"17.9594769,-102.198659",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
"Morelia, Michoacán",19.7027116,-101.1923818,"19.7027116,-101.1923818",1,1,2,5,2,7,3,0,3,0,1,1,1,1,2,0,0,0,0,0,0,2,0,2,4,0,4,2,0,2,86,28,114,0,0,0,104,33,137
"Uruapan, Michoacán",19.4147269,-102.0522647,"19.4147269,-102.0522647",0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
"Zinapécuaro, Michoacán",19.856318100000003,-100.77090971298779,"19.856318100000003,-100.77090971298779",0,0,0,0,14,14,0,0,0,7,0,7,0,0,0,7,0,7,0,0,0,5,5,10,5,0,5,59,2,61,18,2,20,41,11,52,142,34,176
"Cuernavaca, Morelos",18.9218274,-99.2342282,"18.9218274,-99.2342282",8,0,8,1,0,1,1,0,1,1,0,1,0,0,0,0,0,0,1,3,4,3,0,3,0,0,0,0,3,3,0,0,0,0,0,0,15,6,21
"Emiliano Zapata, Morelos",18.83995,-99.1870274,"18.83995,-99.1870274",0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,4,0,4
"Jantetelco, Morelos",18.7167516,-98.7766172,"18.7167516,-98.7766172",0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3
"Puente de Ixtla, Morelos",18.6171111,-99.3192092,"18.6171111,-99.3192092",0,0,0,2,0,2,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,8,0,8
"Temixco, Morelos",18.8449428,-99.2236369,"18.8449428,-99.2236369",0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,2,0,2,2,0,2,1,0,1,0,0,0,0,0,0,0,0,0,7,0,7
"Tepoztlán, Morelos",18.991495899999997,-99.10254532724873,"18.991495899999997,-99.10254532724873",0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
"Xochitepec, Morelos",18.7831747,-99.2308448,"18.7831747,-99.2308448",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,0,2
"Bahía de Banderas, Nayarit",20.8290434,-105.31750873696538,"20.8290434,-105.31750873696538",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,2,0,2
"Tepic, Nayarit",21.5119156,-104.8915889,"21.5119156,-104.8915889",26,0,26,12,2,14,42,7,49,1,0,1,9,3,12,9,0,9,29,4,33,0,0,0,9,31,40,1,0,1,25,9,34,0,0,0,163,56,219
"Anáhuac, Nuevo León",27.0285283,-100.0333715,"27.0285283,-100.0333715",21,1,22,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,57,3,60,0,0,0,0,3,3,0,0,0,0,0,0,79,7,86
"Apodaca, Nuevo León",25.7816542,-100.1887501,"25.7816542,-100.1887501",152,61,213,134,54,188,543,301,844,92,18,110,120,10,130,102,26,128,125,181,306,104,264,368,159,214,373,189,190,379,474,318,792,234,197,431,2428,1834,4262
"Aramberri, Nuevo León",24.1028828,-99.8178742,"24.1028828,-99.8178742",3,0,3,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4
"Cadereyta Jiménez, Nuevo León",25.517336999999998,-99.87117351720661,"25.517336999999998,-99.87117351720661",0,6,6,3,23,26,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,6,42,48,1,0,1,12,71,83
"China, Nuevo León",25.491579899999998,-98.98111150455688,"25.491579899999998,-98.98111150455688",0,0,0,0,0,0,49,75,124,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,6,14,20,0,0,0,0,0,0,0,0,0,55,91,146
"Ciénega de Flores, Nuevo León",25.956169,-100.1662028,"25.956169,-100.1662028",3,2,5,5,3,8,5,4,9,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,8,8,16,0,0,0,24,17,41
"Doctor Arroyo, Nuevo León",23.80420455,-100.22566349807495,"23.80420455,-100.22566349807495",0,0,0,0,0,0,0,0,0,0,0,0,11,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,11
"El Carmen, Nuevo León",25.9368419,-100.3613419,"25.9368419,-100.3613419",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,30,34,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,4,31,35
"Galeana, Nuevo León",24.758306,-100.38135131017378,"24.758306,-100.38135131017378",133,64,197,144,147,291,308,289,597,183,54,237,51,4,55,46,44,90,173,371,544,255,394,649,259,229,488,546,359,905,701,201,902,276,176,452,3075,2332,5407
"García, Nuevo León",25.6651753,-100.4018251,"25.6651753,-100.4018251",2,0,2,0,0,0,0,0,0,1,0,1,1,0,1,1,0,1,0,0,0,0,2,2,0,0,0,0,0,0,2,1,3,1,6,7,8,9,17
"General Bravo, Nuevo León",25.7932962,-99.1811424,"25.7932962,-99.1811424",37,46,83,156,210,366,242,230,472,35,14,49,61,74,135,27,14,41,43,35,78,107,135,242,66,114,180,79,232,311,31,71,102,0,0,0,884,1175,2059
"General Escobedo, Nuevo León",25.808517,-100.3224334,"25.808517,-100.3224334",9,0,9,0,0,0,2,4,6,0,0,0,20,2,22,1,0,1,2,0,2,0,0,0,252,161,413,85,147,232,28,71,99,141,279,420,540,664,1204
"General Zuazua, Nuevo León",25.8953873,-100.1078021,"25.8953873,-100.1078021",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,4,4,8,22,30,0,0,0,0,0,0,0,0,0,9,26,35
"Guadalupe, Nuevo León",25.6751114,-100.2151753,"25.6751114,-100.2151753",17,14,31,8,4,12,15,4,19,20,5,25,21,0,21,10,7,17,7,3,10,33,3,36,25,11,36,3,0,3,1,9,10,2,3,5,162,63,225
"Hualahuises, Nuevo León",24.8838044,-99.6739794,"24.8838044,-99.6739794",0,0,0,0,0,0,0,0,0,0,0,0,26,8,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,8,34
"Juárez, Nuevo León",25.6467011,-100.0907766,"25.6467011,-100.0907766",56,22,78,0,0,0,58,35,93,8,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,123,57,180
"Linares, Nuevo León",24.8596282,-99.5684539,"24.8596282,-99.5684539",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,12,1,0,1,0,0,0,0,6,6,0,0,0,1,18,19
"Los Ramones, Nuevo León",25.6973768,-99.6250811,"25.6973768,-99.6250811",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,0,0,0,0,0,0,0,7,7
"Mina, Nuevo León",26.0025145,-100.5300485,"26.0025145,-100.5300485",108,49,157,86,80,166,91,96,187,18,8,26,16,0,16,81,66,147,167,190,357,97,145,242,78,104,182,95,39,134,92,92,184,394,156,550,1323,1025,2348
"Montemorelos, Nuevo León",25.1886604,-99.8293539,"25.1886604,-99.8293539",0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
"Monterrey, Nuevo León",25.6802019,-100.315258,"25.6802019,-100.315258",6,4,10,1,8,9,7,5,12,25,7,32,18,0,18,29,7,36,2,0,2,26,46,72,57,9,66,9,11,20,20,1,21,122,29,151,322,127,449
"Parás, Nuevo León",26.4993853,-99.5229954,"26.4993853,-99.5229954",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,13,0,0,0,0,0,0,0,13,13
"Pesquería, Nuevo León",25.7851361,-100.0520621,"25.7851361,-100.0520621",0,0,0,0,0,0,11,13,24,0,0,0,36,0,36,0,8,8,0,0,0,0,13,13,4,5,9,3,0,3,0,0,0,0,0,0,54,39,93
"Salinas Victoria, Nuevo León",26.1216805,-100.3270876995874,"26.1216805,-100.3270876995874",0,0,0,0,0,0,0,0,0,2,0,2,9,0,9,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,18,0,18
"San Nicolás de los Garza, Nuevo León",25.7558021,-100.289648,"25.7558021,-100.289648",0,0,0,0,0,0,26,7,33,0,0,0,16,0,16,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,7,50
"San Pedro Garza García, Nuevo León",25.6651753,-100.4018251,"25.6651753,-100.4018251",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
"Santa Catarina, Nuevo León",25.6745052,-100.4616371,"25.6745052,-100.4616371",6,6,12,0,0,0,0,0,0,30,13,43,0,0,0,0,0,0,0,0,0,0,5,5,18,36,54,8,22,30,1,21,22,1,0,1,64,103,167
"Santiago, Nuevo León",25.4243595,-100.1513376,"25.4243595,-100.1513376",0,0,0,0,0,0,5,10,15,0,0,0,1,0,1,1,0,1,0,0,0,5,0,5,0,0,0,0,0,0,1,0,1,0,0,0,13,10,23
"Asunción Nochixtlán, Oaxaca",17.457222,-97.225,"17.457222,-97.225",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,6,5,11,0,0,0,0,0,0,0,0,0,8,5,13
"Chahuites, Oaxaca",16.2885299,-94.1942777,"16.2885299,-94.1942777",0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,0,51,0,0,0,54,0,54
"Ciudad Ixtepec, Oaxaca",16.5564139,-95.0959653,"16.5564139,-95.0959653",1,0,1,0,0,0,1,0,1,4,0,4,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,1,1,9,1,10
"Concepción Buenavista, Oaxaca",17.8781515,-97.4004708,"17.8781515,-97.4004708",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,25,0,0,0,0,0,0,0,0,0,0,25,25
"El Espinal, Oaxaca",16.4609135,-95.05818330487185,"16.4609135,-95.05818330487185",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,6,0,6,10,0,10
"Heroica Ciudad de Huajuapan de León, Oaxaca",17.808846,-97.7780564,"17.808846,-97.7780564",0,0,0,3,0,3,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,3,0,3,0,0,0,0,3,3,18,14,32,27,19,46
"Juchitán de Zaragoza, Oaxaca",16.413328999999997,-94.9118794582709,"16.413328999999997,-94.9118794582709",249,108,357,434,136,570,602,187,789,490,154,644,74,36,110,18,53,71,0,0,0,0,0,0,9,0,9,15,2,17,48,6,54,4,0,4,1943,682,2625
"Matías Romero Avendaño, Oaxaca",16.8761133,-95.0405586,"16.8761133,-95.0405586",20,22,42,0,35,35,0,0,0,0,0,0,0,0,0,1,0,1,0,2,2,23,37,60,0,0,0,0,0,0,0,17,17,0,0,0,44,113,157
"Miahuatlán de Porfirio Díaz, Oaxaca",16.3610815,-96.5850578538718,"16.3610815,-96.5850578538718",0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,6,0,6,3,0,3,0,0,0,1,0,1,0,0,0,1,0,1,13,0,13
"Oaxaca de Juárez, Oaxaca",17.0604663,-96.7253575,"17.0604663,-96.7253575",17,2,19,14,3,17,16,11,27,23,25,48,6,0,6,93,28,121,47,23,70,53,278,331,11,15,26,32,147,179,205,102,307,102,17,119,619,651,1270
"Salina Cruz, Oaxaca",16.1825,-95.195833,"16.1825,-95.195833",0,0,0,0,0,0,10,4,14,0,0,0,0,0,0,3,0,3,0,0,0,0,18,18,0,20,20,6,18,24,10,23,33,0,0,0,29,83,112
"San Agustín de las Juntas, Oaxaca",17.005436,-96.7092291,"17.005436,-96.7092291",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,2,0,2
"San Andrés Huaxpaltepec, Oaxaca",16.3411829,-97.93462519426677,"16.3411829,-97.93462519426677",0,0,0,31,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,31
"San Antonio de la Cal, Oaxaca",17.028333,-96.700556,"17.028333,-96.700556",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1
"San Bartolo Coyotepec, Oaxaca",16.9575983,-96.7066199,"16.9575983,-96.7066199",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0,0,0,0,5,0,5
"San Bartolo Soyaltepec, Oaxaca",17.57706925,-97.31194366093106,"17.57706925,-97.31194366093106",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,36,0,0,0,0,0,0,0,36,36
"San Cristóbal Suchixtlahuaca, Oaxaca",17.7265261,-97.3666425,"17.7265261,-97.3666425",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4
"San Dionisio Ocotepec, Oaxaca",16.7975187,-96.3960971,"16.7975187,-96.3960971",0,0,0,0,0,0,0,0,0,7,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,7
"San Francisco Telixtlahuaca, Oaxaca",17.296628,-96.9056112,"17.296628,-96.9056112",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,33,16,0,16,49,0,49
"San Jacinto Amilpas, Oaxaca",17.1011376,-96.7606784,"17.1011376,-96.7606784",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,16,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,16,45
"San José Tenango, Oaxaca",18.15,-96.716667,"18.15,-96.716667",0,0,0,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6
"San Juan Bautista Tuxtepec, Oaxaca",18.0874632,-96.1227767,"18.0874632,-96.1227767",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,58,71,0,9,9,0,0,0,0,28,28,0,0,0,13,95,108
"San Lorenzo Cacaotepec, Oaxaca",17.1278714,-96.8017692,"17.1278714,-96.8017692",0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
"San Miguel Tequixtepec, Oaxaca",17.801944,-97.340556,"17.801944,-97.340556",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,109,109,0,0,0,0,0,0,0,0,0,0,0,0,0,109,109
"San Pablo Etla, Oaxaca",17.144444,-96.76,"17.144444,-96.76",0,0,0,29,0,29,0,0,0,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,35
"San Pablo Huitzo, Oaxaca",17.2777969,-96.8866692,"17.2777969,-96.8866692",81,0,81,39,10,49,4,0,4,81,25,106,3,0,3,23,3,26,65,0,65,3,1,4,87,10,97,115,43,158,103,11,114,22,0,22,626,103,729
"San Pedro Ixtlahuaca, Oaxaca",17.063056,-96.818056,"17.063056,-96.818056",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1
"San Pedro Mixtepec -Dto. 22 -, Oaxaca",16.271111,-96.2825,"16.271111,-96.2825",0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,3,0,3
"San Pedro Pochutla, Oaxaca",15.744444,-96.465278,"15.744444,-96.465278",0,0,0,33,0,33,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,34,2,36
