ciudad,Latitude,Longitude,Coordinates,enero_presentados,enero_canalizados,enero_total,febrero_presentados,febrero_canalizados,febrero_total,marzo_presentados,marzo_canalizados,marzo_total,abril_presentados,abril_canalizados,abril_total,mayo_presentados,mayo_canalizados,mayo_total,junio_presentados,junio_canalizados,junio_total,julio_presentados,julio_canalizados,julio_total,agosto_presentados,agosto_canalizados,agosto_total,septiembre_presentados,septiembre_canalizados,septiembre_total,octubre_presentados,octubre_canalizados,octubre_total,noviembre_presentados,noviembre_canalizados,noviembre_total,diciembre_presentados,diciembre_canalizados,diciembre_total,total_presentados,total_canalizados,total_total
"Tenabo, Campeche",20.0406607,-90.2254956,"20.0406607,-90.2254956",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,6,22,0,0,0,0,0,0,0,0,0,0,0,0,16,6,22
"Acacoyagua, Chiapas",15.4060577,-92.69729393057881,"15.4060577,-92.69729393057881",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2
"Arriaga, Chiapas",16.2344709,-93.9008414,"16.2344709,-93.9008414",285,104,389,429,287,716,737,262,999,190,50,240,1251,331,1582,1375,918,2293,1475,1170,2645,1,1430,1431,1189,1107,2296,1698,1065,2763,1722,1293,3015,522,948,1470,10874,8965,19839
"Berriozábal, Chiapas",16.871689449999998,-93.33707618047063,"16.871689449999998,-93.33707618047063",0,0,0,0,0,0,0,0,0,0,0,0,20,0,20,0,0,0,0,0,0,0,0,0,19,0,19,0,121,121,0,0,0,0,0,0,39,121,160
"Catazajá, Chiapas",17.76826375,-92.03793125285313,"17.76826375,-92.03793125285313",46,6,52,20,22,42,34,0,34,114,1,115,68,23,91,41,3,44,9,3,12,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,334,58,392
"Chenalhó, Chiapas",16.971716100000002,-92.51921237690784,"16.971716100000002,-92.51921237690784",89,2,91,38,12,50,2,2,4,3,0,3,14,9,23,5,6,11,7,3,10,0,10,10,13,0,13,30,46,76,20,28,48,0,2,2,221,120,341
"Chiapa de Corzo, Chiapas",16.7075202,-93.0115045,"16.7075202,-93.0115045",0,0,0,63,15,78,1,6,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,27,35,0,0,0,72,48,120
"Chicomuselo, Chiapas",15.7935524,-92.41926620137892,"15.7935524,-92.41926620137892",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1
"Cintalapa de Figueroa, Chiapas",16.6905402,-93.7257625,"16.6905402,-93.7257625",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,3,0,3
"Comitán de Domínguez, Chiapas",16.2911698,-92.17532124270645,"16.2911698,-92.17532124270645",73,22,95,41,6,47,109,31,140,22,6,28,0,0,0,3,11,14,1,0,1,5,0,5,1,2,3,1,1,2,0,2,2,0,0,0,256,81,337
"Copainalá, Chiapas",17.0930214,-93.2102105,"17.0930214,-93.2102105",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,6,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,7,0,7
"Escuintla, Chiapas",15.35100255,-92.55576537361532,"15.35100255,-92.55576537361532",0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,7,9,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,9,19
"Frontera Comalapa, Chiapas",15.6590135,-92.1422219,"15.6590135,-92.1422219",105,104,209,81,42,123,177,63,240,54,20,74,12,1,13,0,26,26,0,0,0,0,56,56,0,15,15,16,30,46,0,0,0,0,0,0,445,357,802
"Frontera Hidalgo, Chiapas",14.7531678,-92.21613683447438,"14.7531678,-92.21613683447438",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,2,7,9,0,0,0,0,0,0,0,0,0,0,0,0,2,13,15
"Huehuetán, Chiapas",15.021716399999999,-92.42866979063194,"15.021716399999999,-92.42866979063194",843,369,1212,670,650,1320,954,278,1232,241,33,274,796,388,1184,1367,637,2004,889,622,1511,911,574,1485,1392,332,1724,1506,1248,2754,1725,1289,3014,309,296,605,11603,6716,18319
"Huixtla, Chiapas",15.122125,-92.50399707604466,"15.122125,-92.50399707604466",801,545,1346,563,876,1439,974,443,1417,226,59,285,469,282,751,1072,581,1653,1566,1186,2752,0,1352,1352,608,1438,2046,1593,1990,3583,1600,1324,2924,1154,134,1288,10626,10210,20836
"Jiquipilas, Chiapas",16.57497565,-93.60565427888373,"16.57497565,-93.60565427888373",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,177,59,236,196,126,322,51,68,119,424,253,677
"La Trinitaria, Chiapas",16.1206164,-92.0542431,"16.1206164,-92.0542431",2,0,2,83,21,104,0,0,0,0,0,0,0,2,2,1,2,3,0,0,0,0,6,6,0,0,0,20,40,60,0,0,0,0,0,0,106,71,177
"Mapastepec, Chiapas",15.43981,-92.898367,"15.43981,-92.898367",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,35,0,0,0,0,0,0,0,0,0,0,0,0,35,1,36
"Mezcalapa, Chiapas",17.2364959,-93.6349751688609,"17.2364959,-93.6349751688609",0,0,0,55,5,60,29,23,52,12,3,15,8,5,13,12,3,15,10,12,22,0,38,38,13,0,13,46,30,76,40,27,67,32,37,69,257,183,440
"Motozintla, Chiapas",15.3050827,-92.34880361871575,"15.3050827,-92.34880361871575",2,0,2,1,0,1,0,0,0,0,0,0,0,1,1,2,0,2,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,6,2,8
"Ocosingo, Chiapas",16.9057,-92.092776,"16.9057,-92.092776",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,0,7,7,0,27,27,6,21,27,98,3,101,104,78,182
"Ocozocoautla de Espinosa, Chiapas",16.7931431,-93.45696355337824,"16.7931431,-93.45696355337824",184,55,239,82,38,120,64,33,97,47,19,66,67,15,82,44,44,88,34,58,92,0,48,48,2,0,2,21,16,37,89,66,155,119,81,200,753,473,1226
