,filtered_secuencias,last_five_id,arc_sequences,start_id,end_id,region,suma_arcos,suma_dist
5127,"PG1695, PG1654, PG1614, PG1574, PG1495, PG1417, PG1378, PG1339, PG1301, PG1302, PG1263, PG1264, PG1265, PG1226, PG1227, PG1228, PG1190, PG1229, PG1192, PG1193, PG1154, PG1115, PG1116, PG1155, PG1156","PG1154, PG1115, PG1116, PG1155, PG1156","PG1695-PG1654, PG1654-PG1614, PG1614-PG1574, PG1574-PG1495, PG1495-PG1417, PG1417-PG1378, PG1378-PG1339, PG1339-PG1301, PG1301-PG1302, PG1302-PG1263, PG1263-PG1264, PG1264-PG1265, PG1265-PG1226, PG1226-PG1227, PG1227-PG1228, PG1228-PG1190, PG1190-PG1229, PG1229-PG1192, PG1192-PG1193, PG1193-PG1154, PG1154-PG1115, PG1115-PG1116, PG1116-PG1155, PG1155-PG1156",PG1695,PG1156,Golfo,132177.5,2801.1
5128,"PG1695, PG1654, PG1614, PG1574, PG1495, PG1417, PG1378, PG1339, PG1301, PG1302, PG1263, PG1264, PG1265, PG1226, PG1227, PG1228, PG1190, PG1229, PG1192, PG1193, PG1154, PG1115, PG1116, PG1155, PG1233","PG1154, PG1115, PG1116, PG1155, PG1233","PG1695-PG1654, PG1654-PG1614, PG1614-PG1574, PG1574-PG1495, PG1495-PG1417, PG1417-PG1378, PG1378-PG1339, PG1339-PG1301, PG1301-PG1302, PG1302-PG1263, PG1263-PG1264, PG1264-PG1265, PG1265-PG1226, PG1226-PG1227, PG1227-PG1228, PG1228-PG1190, PG1190-PG1229, PG1229-PG1192, PG1192-PG1193, PG1193-PG1154, PG1154-PG1115, PG1115-PG1116, PG1116-PG1155, PG1155-PG1233",PG1695,PG1233,Golfo,135339.0,2817.7
5129,"PG1695, PG1654, PG1614, PG1574, PG1495, PG1417, PG1378, PG1339, PG1301, PG1302, PG1263, PG1264, PG1265, PG1226, PG1227, PG1228, PG1190, PG1229, PG1192, PG1193, PG1154, PG1115, PG1116, PG1117, PG1118","PG1154, PG1115, PG1116, PG1117, PG1118","PG1695-PG1654, PG1654-PG1614, PG1614-PG1574, PG1574-PG1495, PG1495-PG1417, PG1417-PG1378, PG1378-PG1339, PG1339-PG1301, PG1301-PG1302, PG1302-PG1263, PG1263-PG1264, PG1264-PG1265, PG1265-PG1226, PG1226-PG1227, PG1227-PG1228, PG1228-PG1190, PG1190-PG1229, PG1229-PG1192, PG1192-PG1193, PG1193-PG1154, PG1154-PG1115, PG1115-PG1116, PG1116-PG1117, PG1117-PG1118",PG1695,PG1118,Golfo,130174.5,2790.8000000000000
5130,"PG1695, PG1654, PG1614, PG1574, PG1456, PG1417, PG1378, PG1339, PG1301, PG1262, PG1223, PG1224, PG1185, PG1186, PG1187, PG1228, PG1229, PG1192, PG1193, PG1194, PG1155, PG1156","PG1192, PG1193, PG1194, PG1155, PG1156","PG1695-PG1654, PG1654-PG1614, PG1614-PG1574, PG1574-PG1456, PG1456-PG1417, PG1417-PG1378, PG1378-PG1339, PG1339-PG1301, PG1301-PG1262, PG1262-PG1223, PG1223-PG1224, PG1224-PG1185, PG1185-PG1186, PG1186-PG1187, PG1187-PG1228, PG1228-PG1229, PG1229-PG1192, PG1192-PG1193, PG1193-PG1194, PG1194-PG1155, PG1155-PG1156",PG1695,PG1156,Golfo,143721.5,2590.7000000000000
5131,"PG1695, PG1654, PG1614, PG1574, PG1456, PG1417, PG1378, PG1339, PG1301, PG1262, PG1223, PG1224, PG1185, PG1186, PG1187, PG1228, PG1229, PG1192, PG1193, PG1194, PG1155, PG1233","PG1192, PG1193, PG1194, PG1155, PG1233","PG1695-PG1654, PG1654-PG1614, PG1614-PG1574, PG1574-PG1456, PG1456-PG1417, PG1417-PG1378, PG1378-PG1339, PG1339-PG1301, PG1301-PG1262, PG1262-PG1223, PG1223-PG1224, PG1224-PG1185, PG1185-PG1186, PG1186-PG1187, PG1187-PG1228, PG1228-PG1229, PG1229-PG1192, PG1192-PG1193, PG1193-PG1194, PG1194-PG1155, PG1155-PG1233",PG1695,PG1233,Golfo,146883.0,2607.3
5132,"PG1695, PG1654, PG1614, PG1574, PG1495, PG1417, PG1378, PG1339, PG1301, PG1262, PG1223, PG1224, PG1185, PG1186, PG1187, PG1228, PG1229, PG1192, PG1193, PG1194, PG1155, PG1156","PG1192, PG1193, PG1194, PG1155, PG1156","PG1695-PG1654, PG1654-PG1614, PG1614-PG1574, PG1574-PG1495, PG1495-PG1417, PG1417-PG1378, PG1378-PG1339, PG1339-PG1301, PG1301-PG1262, PG1262-PG1223, PG1223-PG1224, PG1224-PG1185, PG1185-PG1186, PG1186-PG1187, PG1187-PG1228, PG1228-PG1229, PG1229-PG1192, PG1192-PG1193, PG1193-PG1194, PG1194-PG1155, PG1155-PG1156",PG1695,PG1156,Golfo,131197.5,2655.7
5133,"PG1695, PG1654, PG1614, PG1574, PG1495, PG1417, PG1378, PG1339, PG1301, PG1262, PG1223, PG1224, PG1185, PG1186, PG1187, PG1228, PG1229, PG1192, PG1193, PG1194, PG1155, PG1233","PG1192, PG1193, PG1194, PG1155, PG1233","PG1695-PG1654, PG1654-PG1614, PG1614-PG1574, PG1574-PG1495, PG1495-PG1417, PG1417-PG1378, PG1378-PG1339, PG1339-PG1301, PG1301-PG1262, PG1262-PG1223, PG1223-PG1224, PG1224-PG1185, PG1185-PG1186, PG1186-PG1187, PG1187-PG1228, PG1228-PG1229, PG1229-PG1192, PG1192-PG1193, PG1193-PG1194, PG1194-PG1155, PG1155-PG1233",PG1695,PG1233,Golfo,134359.0,2672.3000000000000
5134,"PG1695, PG1654, PG1614, PG1574, PG1456, PG1417, PG1378, PG1339, PG1301, PG1302, PG1263, PG1264, PG1265, PG1226, PG1227, PG1228, PG1190, PG1229, PG1192, PG1193, PG1194, PG1155, PG1156","PG1192, PG1193, PG1194, PG1155, PG1156","PG1695-PG1654, PG1654-PG1614, PG1614-PG1574, PG1574-PG1456, PG1456-PG1417, PG1417-PG1378, PG1378-PG1339, PG1339-PG1301, PG1301-PG1302, PG1302-PG1263, PG1263-PG1264, PG1264-PG1265, PG1265-PG1226, PG1226-PG1227, PG1227-PG1228, PG1228-PG1190, PG1190-PG1229, PG1229-PG1192, PG1192-PG1193, PG1193-PG1194, PG1194-PG1155, PG1155-PG1156",PG1695,PG1156,Golfo,135164.5,2426.0
5135,"PG1695, PG1654, PG1614, PG1574, PG1456, PG1417, PG1378, PG1339, PG1301, PG1302, PG1263, PG1264, PG1265, PG1226, PG1227, PG1228, PG1190, PG1229, PG1192, PG1193, PG1194, PG1155, PG1233","PG1192, PG1193, PG1194, PG1155, PG1233","PG1695-PG1654, PG1654-PG1614, PG1614-PG1574, PG1574-PG1456, PG1456-PG1417, PG1417-PG1378, PG1378-PG1339, PG1339-PG1301, PG1301-PG1302, PG1302-PG1263, PG1263-PG1264, PG1264-PG1265, PG1265-PG1226, PG1226-PG1227, PG1227-PG1228, PG1228-PG1190, PG1190-PG1229, PG1229-PG1192, PG1192-PG1193, PG1193-PG1194, PG1194-PG1155, PG1155-PG1233",PG1695,PG1233,Golfo,138326.0,2442.6
5136,"PG1695, PG1654, PG1614, PG1574, PG1495, PG1417, PG1378, PG1339, PG1301, PG1262, PG1223, PG1224, PG1185, PG1186, PG1187, PG1150, PG1190, PG1229, PG1192, PG1193, PG1194, PG1155, PG1156","PG1192, PG1193, PG1194, PG1155, PG1156","PG1695-PG1654, PG1654-PG1614, PG1614-PG1574, PG1574-PG1495, PG1495-PG1417, PG1417-PG1378, PG1378-PG1339, PG1339-PG1301, PG1301-PG1262, PG1262-PG1223, PG1223-PG1224, PG1224-PG1185, PG1185-PG1186, PG1186-PG1187, PG1187-PG1150, PG1150-PG1190, PG1190-PG1229, PG1229-PG1192, PG1192-PG1193, PG1193-PG1194, PG1194-PG1155, PG1155-PG1156",PG1695,PG1156,Golfo,130454.5,2682.2000000000000
5137,"PG1695, PG1654, PG1614, PG1574, PG1495, PG1417, PG1378, PG1339, PG1301, PG1262, PG1223, PG1224, PG1185, PG1186, PG1187, PG1150, PG1190, PG1229, PG1192, PG1193, PG1194, PG1155, PG1233","PG1192, PG1193, PG1194, PG1155, PG1233","PG1695-PG1654, PG1654-PG1614, PG1614-PG1574, PG1574-PG1495, PG1495-PG1417, PG1417-PG1378, PG1378-PG1339, PG1339-PG1301, PG1301-PG1262, PG1262-PG1223, PG1223-PG1224, PG1224-PG1185, PG1185-PG1186, PG1186-PG1187, PG1187-PG1150, PG1150-PG1190, PG1190-PG1229, PG1229-PG1192, PG1192-PG1193, PG1193-PG1194, PG1194-PG1155, PG1155-PG1233",PG1695,PG1233,Golfo,133616.0,2698.8
5138,"PG1695, PG1654, PG1614, PG1574, PG1495, PG1417, PG1378, PG1379, PG1340, PG1302, PG1263, PG1264, PG1265, PG1226, PG1227, PG1228, PG1229, PG1192, PG1193, PG1194, PG1155, PG1156","PG1192, PG1193, PG1194, PG1155, PG1156","PG1695-PG1654, PG1654-PG1614, PG1614-PG1574, PG1574-PG1495, PG1495-PG1417, PG1417-PG1378, PG1378-PG1379, PG1379-PG1340, PG1340-PG1302, PG1302-PG1263, PG1263-PG1264, PG1264-PG1265, PG1265-PG1226, PG1226-PG1227, PG1227-PG1228, PG1228-PG1229, PG1229-PG1192, PG1192-PG1193, PG1193-PG1194, PG1194-PG1155, PG1155-PG1156",PG1695,PG1156,Golfo,118251.5,2371.1
5139,"PG1695, PG1654, PG1614, PG1574, PG1495, PG1417, PG1378, PG1379, PG1340, PG1302, PG1263, PG1264, PG1265, PG1226, PG1227, PG1228, PG1229, PG1192, PG1193, PG1194, PG1155, PG1233","PG1192, PG1193, PG1194, PG1155, PG1233","PG1695-PG1654, PG1654-PG1614, PG1614-PG1574, PG1574-PG1495, PG1495-PG1417, PG1417-PG1378, PG1378-PG1379, PG1379-PG1340, PG1340-PG1302, PG1302-PG1263, PG1263-PG1264, PG1264-PG1265, PG1265-PG1226, PG1226-PG1227, PG1227-PG1228, PG1228-PG1229, PG1229-PG1192, PG1192-PG1193, PG1193-PG1194, PG1194-PG1155, PG1155-PG1233",PG1695,PG1233,Golfo,121413.0,2387.7
5140,"PG1695, PG1654, PG1614, PG1574, PG1495, PG1417, PG1378, PG1379, PG1340, PG1302, PG1263, PG1264, PG1265, PG1226, PG1227, PG1228, PG1190, PG1229, PG1192, PG1193, PG1194, PG1155, PG1156","PG1192, PG1193, PG1194, PG1155, PG1156","PG1695-PG1654, PG1654-PG1614, PG1614-PG1574, PG1574-PG1495, PG1495-PG1417, PG1417-PG1378, PG1378-PG1379, PG1379-PG1340, PG1340-PG1302, PG1302-PG1263, PG1263-PG1264, PG1264-PG1265, PG1265-PG1226, PG1226-PG1227, PG1227-PG1228, PG1228-PG1190, PG1190-PG1229, PG1229-PG1192, PG1192-PG1193, PG1193-PG1194, PG1194-PG1155, PG1155-PG1156",PG1695,PG1156,Golfo,118259.5,2446.5
5141,"PG1695, PG1654, PG1614, PG1574, PG1495, PG1417, PG1378, PG1379, PG1340, PG1302, PG1263, PG1264, PG1265, PG1226, PG1227, PG1228, PG1190, PG1229, PG1192, PG1193, PG1194, PG1155, PG1233","PG1192, PG1193, PG1194, PG1155, PG1233","PG1695-PG1654, PG1654-PG1614, PG1614-PG1574, PG1574-PG1495, PG1495-PG1417, PG1417-PG1378, PG1378-PG1379, PG1379-PG1340, PG1340-PG1302, PG1302-PG1263, PG1263-PG1264, PG1264-PG1265, PG1265-PG1226, PG1226-PG1227, PG1227-PG1228, PG1228-PG1190, PG1190-PG1229, PG1229-PG1192, PG1192-PG1193, PG1193-PG1194, PG1194-PG1155, PG1155-PG1233",PG1695,PG1233,Golfo,121421.0,2463.1
