name,descripcion,latitud,longitud,coordenadas,tipo,direccion,bd,cruzado,con
Mexicali Estacion Migratoria,Centro Detención INM,,,"32.5858471793, -115.438939333",GOB,"Av. Melgar Núm. 1, Garita Internacional No. 1, Mexicali, B.C.N. C.P: 21100",GLOBALDETENTIONPROJECT,no,
Miguel Aleman Estacion Provisional,Centro Detención INM,,,"26.3979434248, -99.0301179886",GOB,"Av. Hidalgo y Calle primera S/n, Puente Internacional C.P.88300, Ciudad Miguel Alemán",GLOBALDETENTIONPROJECT,no,
Monterrey Estacion Provisional,Centro Detención INM,,,"25.6427257262, -100.31873703",GOB,"C. P.º María Elena 841A, Ampliación Valle del Mirador, 66260 San Pedro Garza García, N.L.",GLOBALDETENTIONPROJECT,no,
Nuevo Laredo Estacion Migratoria,Centro Detención INM,,,"27.4980889528, -99.5072078705",GOB,"Puente Internacional Miguel Alemán, entre Av. Guerrero y 15 de Junio S/n. 2º. Piso, Sector Centro, C.P. 88000, Nuevo Laredo,",GLOBALDETENTIONPROJECT,no,
Oaxaca Estacion Migratoria,Centro Detención INM,,,"17.0613488849, -96.7223131657",GOB,"Calle Pensamientos Núm. 104, Col. Reforma, C.P. 68050 Cd. Oaxaca de Juárez, Oax.",GLOBALDETENTIONPROJECT,no,
Pachuca Estacion Migratoria,Centro Detención INM,,,"20.0847523299, -98.7593650818",GOB,"Antigua Carretera La Paz, 42086 Pachuca de Soto, Hgo.",GLOBALDETENTIONPROJECT,no,
Palenque Estacion Migratoria,Centro Detención INM,,,"17.494728952, -91.9861221313",GOB,"Carretera a Playa de Catazaja, S/n Km. 6, C.P. 29960 Palenque, Chiapas,",GLOBALDETENTIONPROJECT,no,
Piedras Negras Estacion Provisional,Centro Detención INM,,,"28.6803802726, -100.5735039711",GOB,"C. Puente Internacional 1625, Acoros, 26083 Piedras Negras, Coah.",GLOBALDETENTIONPROJECT,no,
Playas de Catazaja Estacion Provisional,Centro Detención INM,,,"17.7212180954, -92.0159912109",GOB,"Carretera a Villahermos y Palenque, con entronque a Playas de Catazaja, Chiapas.",GLOBALDETENTIONPROJECT,no,
Puebla Estacion Migratoria,Centro Detención INM,,,"19.0598463913, -98.2273221016",GOB,"Av. Independencia Núm. 349, Carretera Federal Amozoc, Col. Chapultepec, C.P. 72320",GLOBALDETENTIONPROJECT,no,
Saltillo Estacion Migratoria,Centro Detención INM,,,"25.4224430572, -100.9447860718",GOB,"Calle 17 s/n, Col. Ampliación Morelos, Col. Centro C.P.25017 en Saltillo, Coahuila.",GLOBALDETENTIONPROJECT,no,
San Cristobal de las Casas Estacion Provisional,Centro Detención INM,,,"16.7344615875, -92.6491641998",GOB,"Diagonal Hermanos Pan y Agua, No. 28, Barrio San Ramón, C.P. 29240, San Cristóbal de las Casas, Chiapas.",GLOBALDETENTIONPROJECT,no,
San Gregorio Chamic Estacion Provisional,Centro Detención INM,,,"15.6802292948, -92.0056915283",GOB,"Km. 231, 5 Carretera Panamericana 190, México, Cd. Cuahutémoc, San Gregorio Chamic",GLOBALDETENTIONPROJECT,no,
San Luis Potosi Estacion Migratoria,Centro Detención INM,,,"22.143597377, -100.9977650642",GOB,"Prolongación Santos Degollado Núm.1185, Fracc. Tangamanga, C.P. 78270, SLP",GLOBALDETENTIONPROJECT,no,
San Pedro Tapanatepec Estacion Provisional,Centro Detención INM,,,"16.3697624504, -94.1923570633",GOB,"Carretera Panamericana Km. 85.5, C.P. 70180, San Pedro Tapanatepec, Oax.",GLOBALDETENTIONPROJECT,no,
Tampico Estacion Migratoria,Centro Detención INM,,,"22.2631939604, -97.7958029509",GOB,"Emiliano Carranza Núm. 302, Esq. Sor Juana Inés de la Cruz, Col. Centro, C.P. 89000, Tampico, Tamaulipas.",GLOBALDETENTIONPROJECT,no,
Tapachula Estacion Migratoria (Siglo XXI),Centro Detención INM,,,"14.9201954792, -92.259106636",GOB,"Carretera Nueva Alemania, Km. 1.5 a un costado del Hospital, COFAL, C.P. 30710, Tapachula, Chiapas.",GLOBALDETENTIONPROJECT,no,
Tenosique Estacion Migratoria,Centro Detención INM,,,"17.4577651556, -91.4452171326",GOB,"Carretera Federal Tenosique, Emiliano Zapata Km.1; C.P.86901, Col. Estación Nueva,",GLOBALDETENTIONPROJECT,no,
Tijuana Estacion Migratoria,Centro Detención INM,,,"32.4713011026, -117.0136857033",GOB,"Boulevar Esmeralda S/N, Fracc. La Esmeralda, C.P. 22640, Tijuana B.C",GLOBALDETENTIONPROJECT,no,
Tlaxcala Estacion Migratoria,Centro Detención INM,,,"19.3366264861, -98.193397522",GOB,"Calle Santos Degollado Núm. 62, Col. Centro, C.P. 90600, San Pablo Apetatitlan, Tlaxcala.",GLOBALDETENTIONPROJECT,no,
Torreón Estacion Provisional,Centro Detención INM,,,"25.5388592, -103.4533536",GOB,"Palacio Federal Planta Baja, Zona Centro C.P. 27000",GLOBALDETENTIONPROJECT,no,
Tuxtla Gutierrez Estacion Migratoria,Centro Detención INM,,,"16.753920429, -93.1052684784",GOB,"Libramiento Norte Oriente S/n, Fracc. Las Palmas (junto a la Universidad Pablo",GLOBALDETENTIONPROJECT,no,
Veracruz Estacion Migratoria,Centro Detención INM,,,"19.1994851593, -96.1401128769",GOB,"Miguel Lerdo Núm. 311, Esq. 5 de Mayo, Col. Centro, C.P.91700, Veracruz, Ver.",GLOBALDETENTIONPROJECT,no,
Villahermosa Estacion Migratoria,Centro Detención INM,,,"17.9899559, -92.9429324",GOB,"Av. Paseo Usumacinta Núm. 927, Fracc. José Colomo, C.P.86100, Villahermosa, Tabasco.",GLOBALDETENTIONPROJECT,no,
Zacatecas Estacion Migratoria,Centro Detención INM,,,"22.7658140374, -102.5780582428",GOB,"Av. De la Constitución Núm. 122, Col. Lomas de la Soledad, C.P. 98040, Zacatecas, Zacatecas.",GLOBALDETENTIONPROJECT,no,
Zihuatanejo Estacion Migratoria,Centro Detención INM,,,"17.6442469586, -101.5539693832",GOB,"H. Heroico Colegio Milita Nún. 115, Col. Centro C.P. 40880, Zihuatanejo, Guerrero.",GLOBALDETENTIONPROJECT,no,
