folio,trimestre,unidad,ciudad,punto,turno,p1,p2,p3a,p3n,p4,p5,p5_1,p6,p6_1,p7,p8,p8_1,p9,p9_1_1,p9_1_2,p9_1_3,p9_2,p9_3,p9_4_1,p9_4_2,p9_4_3,p9_4_4,p9_5_1,p9_5_2,p9_5_3,p9_5_4,p10p,p10_1d,p10_1m,p10_1u,p11p,p11_1d,p11_1m,p11_1u,p11_2e,p11_2m,p11_2l,p11_2u,p11_3es,p11_3cn,p11_4c,p11_4t,p12,p12_1,p12_2,p12_2_1,p12_4,p12_5,p12_6_1,p12_6_2,p12_6_3,p12_6_4,p12_6_5,p12_6_6,p12_6_7,p12_6_8,p12_7,p12_8,p12_9c,p12_9u,p12_9t,p12_10,p12_11,p12_12,p12_13_1,p12_13_2,p12_14,p13,p14,p14_1,p15,p16,p16_1,p16_2,p17,p18,p18_1,p18_1_1,p18_1_2_1,p18_1_2_2,p19,p20,p20_1c,p20_1u,p20_2,p21_1,p21_2,p21_3,p21_4,p21_5,p21_6,p22_1e,p22_1l,p22_1u,p22_2e,p22_2l,p22_2u,p23_0_1,p23_0_2,p23_0_3,p23_0_4,p23_0_5,p23_1,p23_2,p24e,p24m,p24l,p24u,p25_0_1,p25_0_2,p25_0_3,p25_0_4,p25_1,p26,p26_1_1,p26_1_2,p26_1_3,p26_1_4,p26_1_5,p26_1_6,p26_1_7,p26_2,p27_1,p27_1_1,p27_2,p27_1_2,p27_3,p27_1_3,p27_4,p27_1_4,p28,p29,p30e,p30m,p30l,p30u,p30_1c,p30_1t,p30_3,p30_4,p31,p32,p33c,p33t,p33_1c,p33_1u,p33_1_1,p34e,p34m,p34l,p34u,p34_1,p34_1_1,p34_2,p34_2_1_1,p34_2_1_2,p34_2_1_3,p34_2_1_4,p34_2_1_5,p34_2_1_6,p34_2_2,p34_2_3_1,p34_2_3_2,p34_2_3_3,p34_3_0_1,p34_3_0_2,p34_3_0_3,p34_3_0_4,p34_3_1_1,p34_3_1_2,p34_3_1_3,p34_3_1_4,p34_4c,p34_4t,p34_5_1,p34_5_2,p34_5_3,p34_5_4,p34_5_5,p34_5_6,p34_5_7,p34_6,p34_7,p34_8,p34_9,p34_10_1,p34_10_2,p34_10_3,p34_10_4,p34_10_5,p34_10_6,p34_10_7,p34_10_8,p34_11,p34_12,p34_12_1,p34_13,p34_14,p35,p36,p37,p38,p39m,p39a,p40,p41,p42,p43,p44,p45,p45_1,p45_2,p46,p47,p48,p48_1,p49,p50,p50_1,p51c,p51t,p52,p52_1,p52_2,p52_3,nivel,oficio_mx,filtro,estrato,upm,ponfin3
61511,4,162211,8,1,1,1,32,3,2,-1,2,2,6,2,1,1,-2,3,1,2,0,1,1,3,1,1,1,2,1,2,2,1,1,137,99,1,1,137,99,-8,-8,-8,-8,-8,-8,777,7,1,-10,1,-12,834,1,1,2,2,2,2,2,2,2,17,6,4000,3,5,485,3,2,1,96,1,5,1,1,1312047,2,-15,-15,1,0,-16,-16,-16,-16,5,1,999999,99,3,1,2,2,2,2,2,21,999999999,99,26,999999999,99,1,2,2,2,2,-20,-20,26,99999,999999999,99,2,2,2,2,-21,2,-22,-22,-22,-22,-22,-22,-22,-22,2,-23,2,-24,2,-25,2,-26,2,2,-27,-27,-27,-27,-27,-27,-27,-27,1,1,17,2,999999,99,1,99,99999,999999999,99,6,1,3,1,2,2,1,1,1,2,-30,-30,-30,2,2,2,2,-31,-31,-31,-31,4,2,1,1,1,1,1,2,1,2,2,4,2,1,2,2,2,2,2,2,2,1,2,-32,1,4,0,-34,1,2022,10,2022,1,2,99,-37,-37,-37,-37,-37,1,999999999,1,1,99,2,-42,5,6,1,2,1,2,3,0,1,8011,8011162211,111.602404
50910,4,252210,8,1,1,2,25,5,1,1,2,2,6,2,5,2,1,3,1,2,0,1,2,7,1,1,1,1,2,2,2,1,18,1801,99,1,18,1801,99,-8,-8,-8,-8,-8,-8,777,7,1,-10,2,8,-13,-13,-13,-13,-13,-13,-13,-13,-13,-13,-13,-13,-13,-13,-13,-13,5,2,1,96,2,5,1,1,9999999,1,7,5,1,0,-16,-16,-16,-16,3,2,-19,-19,-19,1,2,2,2,2,2,7,70890001,2,9,999999999,99,1,1,2,2,2,-20,-20,9,99999,999999999,99,2,2,2,2,-21,2,-22,-22,-22,-22,-22,-22,-22,-22,2,-23,2,-24,2,-25,2,-26,2,2,-27,-27,-27,-27,-27,-27,-27,-27,1,1,10,2,3500,2,2,15,99999,999999999,99,4,1,5,2,2,2,2,2,2,2,-30,-30,-30,2,2,2,2,-31,-31,-31,-31,10,2,1,2,1,1,1,2,1,1,2,5,2,1,2,2,2,2,2,2,2,1,2,-32,2,-33,1,2022,1,2022,9,2022,1,2,8,-37,-37,-37,-37,-37,1,289999999,1,3,99,2,-42,999,99,1,2,1,1,1,0,1,8011,8011252210,101.38469
61011,4,162211,8,1,1,2,20,6,1,1,1,1,6,2,6,1,-2,8,99,99,99,3,1,1,0,1,0,2,2,2,2,1,13,1326,99,1,13,1326,99,-8,-8,-8,-8,-8,-8,777,7,2,1,-11,-11,-11,-11,-11,-11,-11,-11,-11,-11,-11,-11,-11,-11,-11,-11,-11,-11,3,2,1,2,1,5,1,1,1217001,2,-15,-15,2,1,0,-17,-17,-17,3,98,999997,97,97,1,2,2,2,2,2,97,999999997,97,97,999999997,97,1,2,2,2,2,-20,-20,8,8037,80370001,2,2,2,2,2,-21,2,-22,-22,-22,-22,-22,-22,-22,-22,2,-23,2,-24,2,-25,2,-26,2,2,-27,-27,-27,-27,-27,-27,-27,-27,1,1,4,2,15000,1,1,8,8037,80370001,2,8,1,3,2,2,2,2,1,1,2,-30,-30,-30,2,2,2,2,-31,-31,-31,-31,4,2,1,2,1,1,1,1,1,1,2,2,2,1,1,1,1,1,1,1,1,1,2,-32,1,4,0,-34,0,-35,-35,-35,0,-36,-36,-37,-37,-37,-37,-37,1,80410082,98,98,31,1,2,777,7,1,1,-44,-44,2,0,1,8011,8011162211,100.258193
12711,4,42211,8,1,1,1,24,2,3,-1,1,1,6,2,6,1,-2,1,-3,-3,-3,-3,-3,3,0,5,0,2,2,2,2,1,13,1326,99,1,13,1326,99,-8,-8,-8,-8,-8,-8,777,7,2,7,-11,-11,-11,-11,-11,-11,-11,-11,-11,-11,-11,-11,-11,-11,-11,-11,-11,-11,2,2,3,96,2,5,1,1,1305024,2,-15,-15,2,0,-16,-16,-16,-16,3,1,115000,3,5,2,2,1,2,2,2,99,999999999,99,99,999999999,99,1,2,2,2,2,-20,-20,99,99999,999999999,99,2,2,2,2,-21,2,-22,-22,-22,-22,-22,-22,-22,-22,2,-23,2,-24,2,-25,2,-26,2,2,-27,-27,-27,-27,-27,-27,-27,-27,1,1,45,2,115000,3,2,99,99999,999999999,99,4,2,3,2,2,2,1,1,1,2,-30,-30,-30,2,2,2,2,-31,-31,-31,-31,7,2,1,2,1,1,2,1,1,1,2,3,2,1,2,2,2,2,2,2,2,1,2,-32,2,-33,999,9999,1,2022,9,2022,0,-36,-36,-37,-37,-37,-37,-37,3,999999999,1,2,6,1,1,5,6,1,2,1,1,4,0,1,8011,8011042211,99.062808
12311,4,42211,8,1,1,2,32,1,4,-1,2,2,6,2,5,1,-2,8,0,8,0,2,1,1,1,1,1,2,2,2,2,1,10,9999,99,1,10,1010,99,-8,-8,-8,-8,-8,-8,777,7,1,-10,1,-12,253,1,2,2,2,2,2,2,2,2,8,5,1500,3,5,621,2,2,1,2,1,5,1,1,9999999,2,-15,-15,2,0,-16,-16,-16,-16,3,1,999997,97,97,1,2,2,1,2,2,21,999999999,99,22,999999999,99,1,2,2,2,2,-20,-20,26,99999,999999999,99,2,2,2,2,-21,2,-22,-22,-22,-22,-22,-22,-22,-22,2,-23,2,-24,2,-25,2,-26,2,2,-27,-27,-27,-27,-27,-27,-27,-27,1,1,1,3,2500,3,1,26,99999,999999999,99,4,1,3,2,2,2,2,2,2,1,1,1,1,2,2,2,2,-31,-31,-31,-31,5,2,1,1,1,1,1,1,1,2,2,3,2,2,1,2,2,2,2,2,2,1,2,-32,1,1,0,-34,1,2022,10,2022,1,2,8,-37,-37,-37,-37,-37,1,269999999,1,2,6,1,1,10,6,1,2,1,1,5,0,1,8011,8011042211,88.993228
55811,4,152211,8,1,1,1,26,3,3,-1,2,2,6,2,1,1,-2,4,0,4,0,2,1,1,1,1,0,1,2,2,2,1,10,1001,99,1,10,1001,99,-8,-8,-8,-8,-8,-8,777,7,1,-10,2,1,252,1,2,2,1,1,1,2,2,2,8,6,2400,3,5,561,3,2,2,96,1,5,1,1,9999999,1,2,2,1,0,-16,-16,-16,-16,3,2,-19,-19,-19,1,2,2,2,2,2,27,999999999,99,21,999999999,99,2,2,2,2,2,-20,-20,19,19039,999999999,99,2,2,2,2,-21,1,2,1,2,2,2,2,2,5,2,-23,2,-24,2,-25,2,-26,2,2,-27,-27,-27,-27,-27,-27,-27,-27,1,2,12,2,5000,3,2,19,19039,999999999,99,3,2,2,-29,-29,-29,-29,-29,-29,-29,-29,-29,-29,2,2,2,2,-31,-31,-31,-31,3,2,2,2,1,1,1,1,1,1,2,1,2,1,1,1,1,1,1,1,2,1,2,-32,1,4,0,-34,0,-35,-35,-35,0,-36,-36,-37,-37,-37,-37,-37,1,999999997,2,-41,98,1,1,997,97,1,2,1,97,4,0,1,8011,8011152211,72.729657
56111,4,152211,8,1,1,1,35,3,3,-1,2,2,3,2,1,1,-2,5,2,3,0,1,1,1,1,5,1,1,2,2,2,1,18,1801,99,1,18,1801,99,-8,-8,-8,-8,-8,-8,777,7,1,-10,1,-12,721,6,1,1,2,2,2,2,2,2,10,5,2000,3,5,238,2,2,1,96,2,5,1,1,1705099,2,-15,-15,1,0,-16,-16,-16,-16,3,2,-19,-19,-19,1,2,2,2,2,2,9,999999999,99,9,999999998,98,1,1,2,2,2,-20,-20,9,99999,999999999,99,2,2,2,2,-21,2,-22,-22,-22,-22,-22,-22,-22,-22,2,-23,2,-24,2,-25,2,-26,2,2,-27,-27,-27,-27,-27,-27,-27,-27,2,1,30,2,2000,2,1,99,99999,999999999,99,6,1,3,1,2,2,2,1,1,3,-30,-30,-30,2,2,2,2,-31,-31,-31,-31,12,2,1,1,1,1,1,1,1,1,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,4,0,1,8011,8011152211,72.729657
1711,4,22211,8,1,1,1,25,3,2,-1,2,1,6,2,1,1,-2,5,2,3,0,2,1,1,1,1,1,1,2,2,2,1,1,101,99,1,1,101,99,-8,-8,-8,-8,-8,-8,777,7,1,-10,1,-12,923,1,2,2,2,2,2,2,2,2,10,6,600,3,3,337,3,2,1,2,1,5,1,1,1217001,2,-15,-15,2,0,-16,-16,-16,-16,1,2,-19,-19,-19,2,1,2,2,2,2,21,999999999,99,7,70090001,2,1,1,1,2,2,6,2,8,8037,80370001,2,2,2,2,2,-21,2,-22,-22,-22,-22,-22,-22,-22,-22,2,-23,2,-24,2,-25,2,-26,2,1,7,7009,70090001,2,15,2,922,236,1,1,3,5,5000,3,2,8,8037,80370001,2,4,1,3,1,2,2,2,2,2,1,1,1,1,2,2,2,2,-31,-31,-31,-31,8,2,1,1,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,1,2,-32,2,-33,0,-34,1,2022,7,2022,1,2,97,-37,-37,-37,-37,-37,1,89999999,2,-41,48,1,2,10,6,2,-43,1,1,3,3,1,8011,8011022211,69.594758
44710,4,242210,8,1,1,2,21,6,1,1,2,2,6,2,6,2,2,8,4,4,0,1,2,1,0,1,0,2,2,2,2,1,12,1206,99,1,12,1206,99,-8,-8,-8,-8,-8,-8,777,7,2,5,-11,-11,-11,-11,-11,-11,-11,-11,-11,-11,-11,-11,-11,-11,-11,-11,-11,-11,3,2,1,96,1,5,1,1,9999997,2,-15,-15,2,1,0,-17,-17,-17,3,2,-19,-19,-19,1,2,2,2,2,2,97,999999997,97,97,999999997,97,1,2,1,1,1,6,2,97,99997,999999997,97,2,2,1,1,5,2,-22,-22,-22,-22,-22,-22,-22,-22,2,-23,2,-24,2,-25,2,-26,2,2,-27,-27,-27,-27,-27,-27,-27,-27,2,1,1,3,3000,3,1,26,26030,999999999,99,8,1,4,1,2,2,1,1,1,2,-30,-30,-30,2,2,2,2,-31,-31,-31,-31,1,3,1,2,1,1,2,2,1,2,2,4,2,1,2,2,2,2,2,2,2,1,2,-32,2,-33,2,2022,1,2022,10,2022,0,-36,-36,-37,-37,-37,-37,-37,1,260040001,2,-41,13,1,1,5,6,1,2,1,2,2,0,1,8011,8011242210,66.087798
45010,4,242210,8,1,1,2,23,2,3,-1,2,2,6,2,5,2,1,6,2,4,0,4,2,0,1,1,1,2,2,2,2,1,10,1001,99,1,10,1001,98,-8,-8,-8,-8,-8,-8,777,7,1,-10,2,3,-13,-13,-13,-13,-13,-13,-13,-13,-13,-13,-13,-13,-13,-13,-13,-13,4,2,1,2,1,5,1,1,1312047,2,-15,-15,2,2,0,-17,-17,-17,3,2,-19,-19,-19,1,2,2,2,2,2,97,999999997,97,97,999999997,97,1,1,2,2,2,-20,-20,97,99997,999999997,97,1,1,1,2,8,2,-22,-22,-22,-22,-22,-22,-22,-22,2,-23,2,-24,2,-25,2,-26,2,2,-27,-27,-27,-27,-27,-27,-27,-27,1,1,4,2,1600,3,2,26,26030,260300001,2,4,4,5,2,2,2,2,2,2,1,1,1,1,1,1,1,2,1,1,1,2,4,2,1,2,1,1,1,2,1,2,2,5,2,2,2,2,2,2,2,2,2,1,2,-32,1,4,0,-34,1,2022,10,2022,0,-36,-36,-37,-37,-37,-37,-37,1,269999999,2,-41,97,2,-42,3,6,1,2,1,2,4,0,1,8011,8011242210,66.087798
