,sexo,edad,pais
209,Hombre,27,México
210,Mujer,25,Guatemala
211,Mujer,22,Guatemala
212,Mujer,23,Guatemala
213,Mujer,23,El Salvador
214,Hombre,24,Guatemala
215,Hombre,26,Guatemala
216,Mujer,22,Guatemala
217,Mujer,20,México
218,Hombre,27,Guatemala
219,Hombre,28,Estados Unidos
220,Hombre,27,Estados Unidos
221,Mujer,17,México
222,Mujer,33,Guatemala
223,Mujer,20,Honduras
224,Mujer,25,Argentina
225,Hombre,23,Guatemala
226,Hombre,24,Honduras
227,Mujer,18,Honduras
228,Hombre,19,Honduras
229,Hombre,25,Guatemala
230,Hombre,23,Guatemala
231,Hombre,19,Guatemala
232,Hombre,23,Guatemala
233,Mujer,22,Guatemala
234,Mujer,20,Honduras
235,Hombre,22,
236,Hombre,22,
237,Hombre,35,Guatemala
238,Hombre,25,Guatemala
239,Hombre,21,Guatemala
240,Hombre,24,Guatemala
241,Hombre,17,Guatemala
242,Hombre,19,Guatemala
243,Hombre,26,Guatemala
244,Hombre,28,Guatemala
245,Mujer,17,Guatemala
246,Hombre,25,Guatemala
247,Hombre,22,Guatemala
248,Hombre,27,Guatemala
249,Hombre,27,Guatemala
250,Hombre,17,Guatemala
251,Hombre,20,Guatemala
252,Hombre,16,Guatemala
253,Hombre,24,Guatemala
254,Hombre,24,Guatemala
255,Hombre,20,Guatemala
256,Hombre,23,Guatemala
257,Hombre,20,Guatemala
258,Hombre,22,Guatemala
259,Hombre,20,Guatemala
260,Hombre,26,Guatemala
261,Hombre,28,Guatemala
262,Hombre,21,Guatemala
263,Hombre,37,Guatemala
264,Hombre,20,Guatemala
265,Hombre,21,Guatemala
266,Hombre,20,Guatemala
267,Hombre,28,Guatemala
268,Hombre,23,Guatemala
269,Hombre,23,Guatemala
270,Mujer,21,Guatemala
271,Hombre,28,Guatemala
272,Hombre,22,Guatemala
273,Hombre,20,Guatemala
274,Hombre,26,Guatemala
275,Hombre,28,Guatemala
276,Hombre,25,Guatemala
277,Hombre,25,Guatemala
278,Hombre,33,Guatemala
279,Hombre,23,Guatemala
280,Hombre,23,Guatemala
281,Hombre,21,Guatemala
282,Hombre,20,Guatemala
283,Hombre,23,Guatemala
284,Hombre,25,Guatemala
285,Hombre,18,Guatemala
286,Hombre,22,Guatemala
287,Hombre,25,Guatemala
288,Hombre,28,Guatemala
289,Hombre,26,Guatemala
