folio,unidad,trimestre,region,ciudad,punto,turno,sexo,edad,nacio,cruzar,trabajar,estuvo,p1,p1_1,p1_2,p1_2_1,p1_2_2_1,p1_2_2_2,p1_3,p2,p2_1,p3a,p3n,p4,p4_1,p5,p6,p6_1,p7,p7_1_1,p7_1_2,p7_1_3,p7_2,p7_3,p8,p8_1d,p8_1m,p8_1u,p8_1_1,p8_2e,p8_2m,p8_2l,p8_2u,p9,p9_1,p9_2,p9_2_1,p9_4,p9_5,p9_6_1,p9_6_2,p9_6_3,p9_6_4,p9_6_5,p9_6_6,p9_6_7,p9_7,p9_8,p9_9c,p9_9u,p9_9t,p9_10,p9_11,p9_11_1_1,p9_11_1_2,p9_12,p9_13,p9_14,p9_15_1,p9_15_2,p10,p11,p12,p13,p13_1,p13_2,p14,p14_1,p14_2,p15,p16,p16_1,p16_2,p16_3,p16_4,p17,p17_1f,p17_1p,p17_1u,p17_2e,p17_2m,p17_3,p18,p18_1,p18_2,p18_2_1,p18_2_2c,p18_2_2t,p19c,p19t,p20,p20_1c,p20_1t,p20_2,p21,p21_1c,p21_1t,p22c,p22t,p23,p24m,p24a,p25_1,p25_1_1,p25_2,p25_2_1,p25_3,p25_3_1,p26,p26_1,p26_2,p27,p28,p28_1f,p28_1p,p28_1u,p28_2e,p28_2m,p28_4,p28_5,p28_6,p28_7_1,p28_7_2,p28_7_3,p28_7_4,p28_7_5,p28_7_6,p28_7_7,p28_8,p28_9,p28_10c,p28_10u,p28_10t,p28_10_1,p28_11,p28_12,p29,p30,p31,nivel,oficio_mx,filtro,estrato,upm,ponfin3
1184510,282210,4,1,3,3,2,2,49,1,1,2,1,2,1,1,1,1,96,1,2,2,6,1,1,2,5,2,1,6,2,4,0,2,2,4,-12,-12,-12,-12,7,7006,70060004,1,1,-14,2,6,-17,-17,-17,-17,-17,-17,-17,-17,-17,-17,-17,-17,-17,-17,-17,2,-18,-18,2,2,2,3,96,0,1312047,2,1,4,2,-21,-21,-21,2,4,-24,-24,-24,-24,2,-27,70060004,1,7,7006,1,2,-28,-28,-28,-28,-28,888,8,0,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,2,-45,2,2,0, ,3032,3032282210,38.6166931596
1184511,272211,4,1,3,3,2,2,23,1,1,1,-4,1,-5,-5,-5,-5,-5,-5,1,1,4,1,1,2,6,2,2,6,2,4,0,3,2,1,13,1312,1,1,-13,-13,-13,-13,2,2,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,2,-18,-18,2,2,2,1,96,0,1312047,1,1,2,2,-21,-21,-21,2,4,-24,-24,-24,-24,2,-27,70060014,1,7,7006,2,1,4,1,1,1,6,777,7,2,-33,-33,-33,1,1,5,5,5,2022,6,2022,2,-37,2,-38,2,-39,2,-40,-40,1,2,-42,70340022,1,7,7034,411,1,2,2,1,2,2,2,2,2,12,6,600,1,3,1,311,2,2,-45,2,1,4,1,3032,3032272211,12.8722310532
1184710,282210,4,1,3,3,2,1,26,1,1,1,-4,1,-5,-5,-5,-5,-5,-5,1,1,5,1,1,2,1,1,-9,5,2,3,0,2,1,1,13,1312,1,1,-13,-13,-13,-13,1,-14,2,4,-17,-17,-17,-17,-17,-17,-17,-17,-17,-17,-17,-17,-17,-17,-17,2,-18,-18,2,2,2,1,96,0,1312047,1,2,-20,-20,2,-22,1,1,4,-24,-24,-24,-24,2,-27,70340001,2,7,7034,2,1,1,1,1,8,5,11,1,888,5,5,6,-34,-34,-34,11,1,2019,-36,-36,2,-37,2,-38,2,-39,2,-40,-40,1,1,70340047,-43,1,7,7034,611,2,2,1,2,2,2,2,2,2,11,6,320,1,2,1,111,1,2,-45,2,1,1,1,3032,3032282210,3.9174633405
1184810,282210,4,1,3,3,2,1,20,1,1,1,-4,1,-5,-5,-5,-5,-5,-5,1,1,5,1,1,2,6,2,2,6,1,5,0,3,2,1,13,1312,1,1,-13,-13,-13,-13,2,2,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,2,-18,-18,2,2,2,2,96,0,1312047,1,2,-20,-20,2,-22,2,2,4,-24,-24,-24,-24,1,70340442,-26,1,7,7034,2,1,1,1,1,1,6,3,5,8,-33,-33,-33,2,3,5,3,5,2018,7,2022,2,-37,2,-38,2,-39,2,-40,-40,1,1,70340442,-43,1,7,7034,611,2,2,1,1,2,2,2,2,2,9,6,180,1,2,1,111,2,2,-45,2,1,1,1,3032,3032282210,27.4222433835
1184910,282210,4,1,3,3,2,1,40,1,1,1,-4,1,-5,-5,-5,-5,-5,-5,1,1,0,0,2,2,5,1,-9,7,2,5,0,3,2,1,13,1312,1,1,-13,-13,-13,-13,1,-14,1,-16,611,2,1,1,2,2,2,2,2,9,6,50,3,2,111,2,-18,-18,2,2,2,2,96,0,1312047,1,2,-20,-20,2,-22,1,2,4,-24,-24,-24,-24,1,70340398,-26,1,7,7034,2,1,1,1,1,3,6,777,7,23,-33,-33,-33,2,2,5,4,5,2003,6,2022,2,-37,2,-38,2,-39,2,-40,-40,1,1,70340050,-43,1,7,7034,611,2,2,1,1,2,2,2,2,2,9,6,180,1,2,1,111,2,2,-45,2,0,1,1,3032,3032282210,3.9174633405
1184911,272211,4,1,3,3,2,2,23,1,1,1,-4,1,-5,-5,-5,-5,-5,-5,2,2,5,1,1,2,6,2,2,6,2,3,1,2,1,1,13,1312,1,1,-13,-13,-13,-13,2,1,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,2,-18,-18,2,2,2,2,96,0,1312047,1,1,2,2,-21,-21,-21,2,4,-24,-24,-24,-24,2,-27,70340001,2,7,7034,1,1,5,1,1,2,6,777,7,3,-33,-33,-33,1,1,5,10,5,2018,2,2022,2,-37,2,-38,2,-39,2,-40,-40,1,2,-42,70340001,2,7,7034,961,1,2,1,1,2,2,2,2,2,10,6,2500,1,5,1,814,2,2,-45,2,1,6,1,3032,3032272211,4.2907436844
1185010,282210,4,1,3,3,2,2,21,1,1,1,-4,1,-5,-5,-5,-5,-5,-5,1,1,4,1,1,2,6,2,2,6,2,4,0,2,2,1,13,1318,1,1,-13,-13,-13,-13,2,1,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,2,-18,-18,2,2,2,2,96,0,1312047,1,2,-20,-20,2,-22,1,2,4,-24,-24,-24,-24,2,-27,70340001,2,7,7034,2,1,5,1,1,2,6,777,7,6,-33,-33,-33,1,2,5,10,5,2019,1,2022,2,-37,2,-38,2,-39,2,-40,-40,1,2,-42,70340001,2,7,7034,961,1,2,1,1,2,2,2,2,2,9,6,1800,1,4,1,814,2,2,-45,2,1,6,1,3032,3032282210,15.0176028954
1185011,272211,4,1,3,3,2,2,34,1,1,1,-4,1,-5,-5,-5,-5,-5,-5,2,2,4,1,1,2,5,1,-9,5,3,2,0,1,1,1,13,1312,99,1,-13,-13,-13,-13,2,1,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,2,-18,-18,2,2,2,1,96,0,1312047,1,1,2,2,-21,-21,-21,2,4,-24,-24,-24,-24,1,70990347,-26,1,7,7099,1,1,1,1,2,-30,-30,777,7,3,-33,-33,-33,2,4,5,2,5,2017,9,2022,2,-37,2,-38,2,-39,2,-40,-40,1,99,999999999,-43,99,7,7034,611,2,2,1,1,2,2,2,2,2,8,6,180,1,2,1,111,2,2,-45,2,1,1,1,3032,3032272211,51.4889242128
1185111,272211,4,1,3,3,2,1,23,1,1,1,-4,1,-5,-5,-5,-5,-5,-5,1,1,4,1,1,2,6,2,2,6,2,4,0,2,2,1,13,1312,1,1,-13,-13,-13,-13,2,2,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,2,-18,-18,5,2,2,2,96,0,1312047,1,1,2,2,-21,-21,-21,2,5,1,2,2,6,-25,-25,-25,-25,-25,-25,1,2,-28,-28,-28,-28,-28,15,2,0,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,2,-45,2,1,0, ,3032,3032272211,3.9174633405
1185211,272211,4,1,3,3,2,1,34,1,1,1,-4,1,-5,-5,-5,-5,-5,-5,1,1,3,1,1,2,1,1,-9,5,2,2,1,1,1,1,13,1312,1,1,-13,-13,-13,-13,2,1,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,2,-18,-18,2,2,2,2,96,0,1312047,1,1,2,2,-21,-21,-21,2,4,-24,-24,-24,-24,1,70990347,-26,1,7,7099,1,1,1,1,1,5,6,3,5,15,-33,-33,-33,2,3,5,3,5,2013,8,2022,2,-37,2,-38,2,-39,2,-40,-40,1,1,999999999,-43,99,7,7034,611,2,2,1,1,2,2,2,2,2,8,6,180,1,2,1,111,2,2,-45,2,1,1,1,3032,3032272211,78.34926681
