folio,unidad,trimestre,region,ciudad,punto,turno,sexo,edad,nacio,cruzar,trabajar,estuvo,p1,p1_1,p1_2,p1_2_1,p1_2_2_1,p1_2_2_2,p1_3,p2,p2_1,p3a,p3n,p4,p4_1,p5,p6,p6_1,p7,p7_1_1,p7_1_2,p7_1_3,p7_2,p7_3,p8,p8_1d,p8_1m,p8_1u,p8_1_1,p8_2e,p8_2m,p8_2l,p8_2u,p9,p9_1,p9_2,p9_2_1,p9_4,p9_5,p9_6_1,p9_6_2,p9_6_3,p9_6_4,p9_6_5,p9_6_6,p9_6_7,p9_7,p9_8,p9_9c,p9_9u,p9_9t,p9_10,p9_11,p9_11_1_1,p9_11_1_2,p9_12,p9_13,p9_14,p9_15_1,p9_15_2,p10,p11,p12,p13,p13_1,p13_2,p14,p14_1,p14_2,p15,p16,p16_1,p16_2,p16_3,p16_4,p17,p17_1f,p17_1p,p17_1u,p17_2e,p17_2m,p17_3,p18,p18_1,p18_2,p18_2_1,p18_2_2c,p18_2_2t,p19c,p19t,p20,p20_1c,p20_1t,p20_2,p21,p21_1c,p21_1t,p22c,p22t,p23,p24m,p24a,p25_1,p25_1_1,p25_2,p25_2_1,p25_3,p25_3_1,p26,p26_1,p26_2,p27,p28,p28_1f,p28_1p,p28_1u,p28_2e,p28_2m,p28_4,p28_5,p28_6,p28_7_1,p28_7_2,p28_7_3,p28_7_4,p28_7_5,p28_7_6,p28_7_7,p28_8,p28_9,p28_10c,p28_10u,p28_10t,p28_10_1,p28_11,p28_12,p29,p30,p31,nivel,oficio_mx,filtro,estrato,upm,ponfin3
210,12210,4,1,3,2,3,1,32,1,1,1,-4,1,-5,-5,-5,-5,-5,-5,2,2,6,1,1,2,1,1,-9,5,2,3,0,2,1,1,13,1312,1,1,-13,-13,-13,-13,1,-14,2,4,-17,-17,-17,-17,-17,-17,-17,-17,-17,-17,-17,-17,-17,-17,-17,2,-18,-18,1,2,2,1,96,0,1312047,1,2,-20,-20,2,-22,1,2,4,-24,-24,-24,-24,1,70340452,-26,1,7,7034,2,1,1,2,-29,-29,-29,6,5,1,-32,-32,-32,-32,-32,-32,-32,-32,-32,4,2022,2,-37,2,-38,2,-39,2,-40,-40,1,99,999999999,-43,99,7,7034,611,2,2,2,2,2,2,2,2,2,8,6,190,1,2,1,111,2,2,-45,2,2,1,1,3023,3023012210,18.9937619233606
310,12210,4,1,3,2,3,1,42,1,1,1,-4,1,-5,-5,-5,-5,-5,-5,2,2,6,1,1,2,5,1,-9,6,99,99,99,99,1,1,13,1312,1,1,-13,-13,-13,-13,1,-14,2,4,-17,-17,-17,-17,-17,-17,-17,-17,-17,-17,-17,-17,-17,-17,-17,2,-18,-18,1,2,2,1,96,0,1312047,1,2,-20,-20,2,-22,1,2,4,-24,-24,-24,-24,1,70611360,-26,1,7,7061,2,1,1,2,-29,-29,-29,8,5,1,-32,-32,-32,-32,-32,-32,-32,-32,-32,2,2022,2,-37,2,-38,2,-39,2,-40,-40,1,1,999999999,-43,99,99,99999,611,2,2,2,2,2,2,2,2,2,7,6,190,1,2,1,111,2,2,-45,2,2,1,1,3023,3023012210,7.12266120291555
410,12210,4,1,3,2,3,1,41,1,1,1,-4,1,-5,-5,-5,-5,-5,-5,2,2,5,1,1,2,1,1,-9,7,3,2,2,2,1,1,13,1312,1,1,-13,-13,-13,-13,1,-14,2,4,-17,-17,-17,-17,-17,-17,-17,-17,-17,-17,-17,-17,-17,-17,-17,2,-18,-18,1,2,2,1,96,0,1312047,1,2,-20,-20,2,-22,1,2,4,-24,-24,-24,-24,1,70340031,-26,1,7,7034,2,1,1,2,-29,-29,-29,5,5,1,-32,-32,-32,-32,-32,-32,-32,-32,-32,5,2022,2,-37,2,-38,2,-39,2,-40,-40,1,1,999999999,-43,99,7,7034,611,2,2,2,2,2,2,2,2,2,8,6,150,1,2,1,111,2,2,-45,2,1,1,1,3023,3023012210,28.4906422428338
510,12210,4,1,3,2,3,2,35,1,1,1,-4,1,-5,-5,-5,-5,-5,-5,2,2,5,1,1,2,1,2,1,5,2,3,0,2,2,1,13,1312,2,1,-13,-13,-13,-13,1,-14,2,4,-17,-17,-17,-17,-17,-17,-17,-17,-17,-17,-17,-17,-17,-17,-17,2,-18,-18,1,2,2,1,96,0,1312047,1,2,-20,-20,2,-22,2,2,4,-24,-24,-24,-24,1,999999999,-26,99,7,7034,2,1,5,2,-29,-29,-29,8,5,1,-32,-32,-32,-32,-32,-32,-32,-32,-32,2,2022,2,-37,2,-38,2,-39,2,-40,-40,1,2,-42,70340001,2,7,7034,961,1,2,1,1,2,2,2,2,2,12,6,2200,1,4,1,814,2,2,-45,2,1,6,1,3023,3023012210,101.417577867018
610,12210,4,1,3,2,3,1,47,1,1,1,-4,1,-5,-5,-5,-5,-5,-5,2,2,5,1,1,2,1,1,-9,6,3,2,1,2,1,1,13,1305,1,1,-13,-13,-13,-13,1,-14,2,4,-17,-17,-17,-17,-17,-17,-17,-17,-17,-17,-17,-17,-17,-17,-17,2,-18,-18,1,2,2,1,96,0,1312047,1,2,-20,-20,2,-22,1,1,4,-24,-24,-24,-24,1,70611160,-26,1,7,7061,2,1,1,2,-29,-29,-29,6,5,1,-32,-32,-32,-32,-32,-32,-32,-32,-32,4,2022,2,-37,2,-38,2,-39,2,-40,-40,1,1,999999999,-43,99,7,7034,611,2,2,2,2,2,2,2,2,2,8,6,200,1,2,1,111,2,2,-45,2,1,1,1,3023,3023012210,78.34926681
710,12210,4,1,3,2,3,1,37,1,1,1,-4,1,-5,-5,-5,-5,-5,-5,2,2,5,1,1,2,5,1,-9,6,2,3,1,2,2,1,13,1312,1,1,-13,-13,-13,-13,1,-14,2,4,-17,-17,-17,-17,-17,-17,-17,-17,-17,-17,-17,-17,-17,-17,-17,2,-18,-18,1,2,2,1,96,0,1312047,1,2,-20,-20,2,-22,1,2,4,-24,-24,-24,-24,1,70340031,-26,1,7,7034,2,1,1,2,-29,-29,-29,7,5,1,-32,-32,-32,-32,-32,-32,-32,-32,-32,3,2022,2,-37,2,-38,2,-39,2,-40,-40,1,1,999999999,-43,99,7,7034,611,2,2,2,2,2,2,2,2,2,8,6,190,1,2,1,111,2,2,-45,2,1,1,1,3023,3023012210,113.962570255749
810,12210,4,1,3,2,3,1,27,1,1,1,-4,1,-5,-5,-5,-5,-5,-5,2,1,4,1,1,2,1,1,-9,4,2,2,0,1,1,1,13,1307,98,1,-13,-13,-13,-13,2,1,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,2,-18,-18,2,2,2,2,96,0,1312047,1,2,-20,-20,2,-22,2,2,4,-24,-24,-24,-24,2,-27,70340001,2,7,7034,2,1,4,2,-29,-29,-29,777,7,0,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,2,-45,2,1,0,1,3023,3023012210,78.34926681
910,12210,4,1,3,2,3,1,39,1,1,1,-4,1,-5,-5,-5,-5,-5,-5,2,2,4,1,1,2,1,1,-9,6,2,2,2,1,1,1,13,1307,99,1,-13,-13,-13,-13,2,2,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,2,-18,-18,1,2,2,2,96,0,1312047,1,2,-20,-20,2,-22,2,2,4,-24,-24,-24,-24,2,-27,80490169,1,8,8049,2,1,4,2,-29,-29,-29,4,5,8,-33,-33,-33,2,1,5,5,5,2018,3,2022,2,-37,2,-38,2,-39,2,-40,-40,1,2,-42,70340053,1,7,7034,411,2,2,1,1,2,2,2,2,2,8,6,1600,1,4,1,463,2,2,-45,2,1,4,1,3023,3023012210,92.5945879314169
911,12211,4,1,2,6,2,1,40,1,1,1,-4,1,-5,-5,-5,-5,-5,-5,2,2,4,1,1,2,6,2,4,4,99,99,99,1,1,1,12,1219,1,2,-13,-13,-13,-13,2,3,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,3,-18,-18,2,2,2,1,96,0,1215013,1,1,2,2,-21,-21,-21,1,4,-24,-24,-24,-24,1,70150102,-26,1,7,7015,2,1,1,1,1,20,6,1,5,888,20,6,6,-34,-34,-34,1,5,9999,10,2022,2,-37,2,-38,2,-39,2,-40,-40,1,1,70150102,-43,1,7,7015,611,2,2,1,1,2,2,2,2,2,10,6,150,1,2,97,111,2,2,-45,2,1,1,1,2062,2062012211,43.5036405972981
1010,12210,4,1,3,2,3,1,24,1,1,1,-4,1,-5,-5,-5,-5,-5,-5,2,2,4,1,1,2,1,1,-9,5,3,2,0,1,1,1,13,1301,99,1,-13,-13,-13,-13,2,2,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,2,-18,-18,1,2,2,2,96,0,1312047,1,2,-20,-20,2,-22,2,2,4,-24,-24,-24,-24,2,-27,70340053,1,7,7034,2,1,2,2,-29,-29,-29,6,5,0,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,2,-45,2,1,0,1,3023,3023012210,7.12266120291555
1110,12210,4,1,3,2,3,2,28,1,1,1,-4,2,1,0,-6,-6,-6,-6,1,1,3,1,1,2,6,2,2,6,1,3,2,4,2,1,13,1310,99,1,-13,-13,-13,-13,1,-14,2,6,-17,-17,-17,-17,-17,-17,-17,-17,-17,-17,-17,-17,-17,-17,-17,2,-18,-18,2,2,2,2,96,0,1312047,1,2,-20,-20,1,2,-23,1,4,-24,-24,-24,-24,2,-27,70780001,2,7,7078,1,1,5,2,-29,-29,-29,777,7,1,-32,-32,-32,-32,-32,-32,-32,-32,-32,3,2020,2,-37,2,-38,2,-39,2,-40,-40,2,-41,-41,-41,-41,-41,-41,-41,-41,-41,-41,-41,-41,-41,-41,-41,-41,-41,-41,-41,-41,-41,-41,-41,-41,2,-45,2,1,0,1,3023,3023012210,156.027043196982
1210,12210,4,1,3,2,3,1,28,2,1,1,-4,2,3,0,-6,-6,-6,-6,2,2,6,1,1,2,5,1,-9,99,99,99,99,3,1,2,-11,-11,-11,-11,-11,-11,-11,-11,1,-14,2,8,-17,-17,-17,-17,-17,-17,-17,-17,-17,-17,-17,-17,-17,-17,-17,2,-18,-18,2,2,2,1,96,0,1312047,5,2,-20,-20,2,-22,4,1,5,1,2,2,13,-25,-25,-25,-25,-25,-25,1,2,-28,-28,-28,-28,-28,777,7,0,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,2,-45,1,2,0, ,3023,3023012210,78.34926681
1310,12210,4,1,3,2,3,1,44,1,1,1,-4,1,-5,-5,-5,-5,-5,-5,2,2,4,1,1,2,1,1,-9,5,2,3,0,2,1,1,13,1312,99,1,-13,-13,-13,-13,1,-14,2,4,-17,-17,-17,-17,-17,-17,-17,-17,-17,-17,-17,-17,-17,-17,-17,2,-18,-18,1,2,2,1,96,0,1312047,1,2,-20,-20,2,-22,1,2,4,-24,-24,-24,-24,1,70611160,-26,1,7,7061,2,1,1,2,-29,-29,-29,8,5,1,-32,-32,-32,-32,-32,-32,-32,-32,-32,2,2022,2,-37,2,-38,2,-39,2,-40,-40,1,1,999999999,-43,99,7,7034,611,2,2,2,2,2,2,2,2,2,8,6,180,1,2,1,111,2,2,-45,2,1,1,1,3023,3023012210,71.2266056070845
1710,12210,4,1,3,2,3,1,38,1,1,1,-4,1,-5,-5,-5,-5,-5,-5,2,2,6,1,1,2,1,1,-9,6,2,4,0,2,1,1,13,1312,1,1,-13,-13,-13,-13,1,-14,2,4,-17,-17,-17,-17,-17,-17,-17,-17,-17,-17,-17,-17,-17,-17,-17,2,-18,-18,1,2,2,1,96,0,1312047,1,2,-20,-20,2,-22,1,1,4,-24,-24,-24,-24,1,70340452,-26,1,7,7034,2,1,1,2,-29,-29,-29,4,5,1,-32,-32,-32,-32,-32,-32,-32,-32,-32,6,2022,2,-37,2,-38,2,-39,2,-40,-40,1,1,999999999,-43,99,7,7034,611,2,2,2,2,2,2,2,2,2,8,6,200,1,2,1,111,2,2,-45,2,2,1,1,3023,3023012210,128.207891377166
1810,12210,4,1,3,2,3,1,42,1,1,1,-4,1,-5,-5,-5,-5,-5,-5,2,2,4,1,1,2,1,1,-9,6,3,3,0,1,1,1,13,1303,99,1,-13,-13,-13,-13,2,2,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,2,-18,-18,1,2,2,2,96,0,1312047,1,2,-20,-20,2,-22,2,2,4,-24,-24,-24,-24,2,-27,999999999,99,7,7034,2,1,1,2,-29,-29,-29,4,5,5,-33,-33,-33,2,1,5,4,5,2019,3,2022,2,-37,2,-38,2,-39,2,-40,-40,1,2,-42,70300338,1,7,7030,611,2,2,1,1,2,2,2,2,2,8,6,245,1,2,1,111,2,2,-45,2,1,1,1,3023,3023012210,7.12266120291555
1910,12210,4,1,3,2,3,1,36,1,1,1,-4,1,-5,-5,-5,-5,-5,-5,2,2,3,1,1,2,1,1,-9,5,2,3,0,1,1,1,13,1309,99,1,-13,-13,-13,-13,2,2,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,2,-18,-18,1,2,2,2,96,0,1312047,1,2,-20,-20,2,-22,2,2,4,-24,-24,-24,-24,2,-27,70340053,1,7,7034,2,1,4,2,-29,-29,-29,777,7,0,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,2,-45,2,1,0,1,3023,3023012210,7.12266120291555
2010,12210,4,1,3,2,3,1,26,1,1,1,-4,1,-5,-5,-5,-5,-5,-5,2,2,6,1,1,2,1,1,-9,6,3,3,0,1,1,1,11,1107,99,1,-13,-13,-13,-13,2,1,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,1,8,96,1,2,2,2,96,0,1312047,1,2,-20,-20,1,2,-23,1,4,-24,-24,-24,-24,2,-27,70300001,1,7,7030,2,1,2,2,-29,-29,-29,5,5,8,-33,-33,-33,1,1,5,5,5,2014,3,2022,2,-37,2,-38,2,-39,2,-40,-40,1,2,-42,70300001,1,7,7030,922,2,2,1,1,2,2,2,2,2,8,6,230,1,2,1,236,2,2,-45,2,2,3,1,3023,3023012210,7.12266120291555
2110,12210,4,1,3,2,3,1,34,1,1,1,-4,1,-5,-5,-5,-5,-5,-5,2,2,5,1,1,2,1,1,-9,5,3,2,0,1,1,1,13,1311,99,1,-13,-13,-13,-13,2,2,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,2,-18,-18,1,2,2,2,96,0,1312047,1,2,-20,-20,2,-22,2,2,4,-24,-24,-24,-24,2,-27,70340001,2,7,7034,2,1,3,2,-29,-29,-29,5,5,8,-33,-33,-33,2,1,5,4,5,2018,3,2022,2,-37,2,-38,2,-39,2,-40,-40,1,2,-42,70340001,2,7,7034,731,2,2,1,1,2,2,99,2,2,8,6,1500,1,4,1,337,2,2,-45,2,1,2,1,3023,3023012210,7.12266120291555
2610,12210,4,1,3,2,3,1,41,1,1,1,-4,1,-5,-5,-5,-5,-5,-5,2,2,5,1,1,2,1,1,-9,6,1,3,2,2,1,1,13,1311,99,1,-13,-13,-13,-13,2,2,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,2,-18,-18,1,2,2,2,96,0,1312047,1,2,-20,-20,2,-22,2,2,4,-24,-24,-24,-24,2,-27,70340001,2,7,7034,2,1,3,2,-29,-29,-29,777,7,0,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,2,-45,2,1,0,1,3023,3023012210,71.2266056070845
2710,12210,4,1,3,2,3,1,34,1,1,1,-4,1,-5,-5,-5,-5,-5,-5,2,2,6,1,1,2,1,1,-9,5,3,2,0,1,1,1,13,1303,99,1,-13,-13,-13,-13,2,2,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,2,-18,-18,1,2,2,2,96,0,1312047,1,2,-20,-20,2,-22,2,2,4,-24,-24,-24,-24,2,-27,70060038,1,7,7006,2,1,4,2,-29,-29,-29,7,5,9,-33,-33,-33,1,2,5,7,5,2013,1,2022,2,-37,2,-38,2,-39,2,-40,-40,1,2,-42,70520078,1,7,7052,411,2,2,1,1,2,2,2,2,2,8,6,1250,1,4,1,461,2,2,-45,2,2,4,1,3023,3023012210,7.12266120291555
3010,12210,4,1,3,2,3,1,32,1,1,1,-4,1,-5,-5,-5,-5,-5,-5,1,1,0,0,1,2,1,1,-9,4,2,2,0,2,1,1,8,805,1,1,-13,-13,-13,-13,1,-14,1,-16,411,6,1,2,2,2,2,2,2,12,6,600,3,2,463,2,-18,-18,1,2,2,2,96,0,1312047,1,2,-20,-20,2,-22,4,1,4,-24,-24,-24,-24,2,-27,70340239,1,7,7034,1,1,4,1,1,10,6,3,2,20,-33,-33,-33,4,1,3,3,2,2014,9,2022,2,-37,2,-38,2,-39,2,-40,-40,1,2,-42,70340239,1,7,7034,411,6,-44,1,1,2,2,2,2,2,10,3,2000,1,2,1,463,2,2,-45,2,0,4,1,3023,3023012210,7.12266120291555
3210,12210,4,1,3,2,3,2,26,1,1,1,-4,1,-5,-5,-5,-5,-5,-5,2,2,2,2,-8,2,6,2,2,4,1,3,0,3,2,1,13,1311,1,1,-13,-13,-13,-13,1,-14,1,-16,922,1,1,2,2,2,2,2,2,9,6,1800,3,5,236,2,-18,-18,1,2,2,1,96,0,1312047,5,2,-20,-20,2,-22,1,1,5,1,1,2,35,-25,-25,-25,-25,-25,-25,1,2,-28,-28,-28,-28,-28,777,7,0,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,2,-45,1,3,0, ,3023,3023012210,7.80135279290964
3310,12210,4,1,3,2,3,1,50,1,1,1,-4,1,-5,-5,-5,-5,-5,-5,1,1,0,0,2,2,1,1,-9,5,0,4,1,3,1,1,13,1301,2,1,-13,-13,-13,-13,1,-14,1,-16,611,2,1,2,2,2,2,2,2,6,5,140,3,2,111,2,-18,-18,1,2,2,6,96,0,1312047,3,1,2,2,-21,-21,-21,1,4,-24,-24,-24,-24,2,-27,70340001,2,7,7034,1,2,-28,-28,-28,-28,-28,2,3,10,-33,-33,-33,3,6,5,2,3,2017,4,2022,2,-37,2,-38,2,-39,2,-40,-40,2,-41,-41,-41,-41,-41,-41,-41,-41,-41,-41,-41,-41,-41,-41,-41,-41,-41,-41,-41,-41,-41,-41,-41,-41,2,-45,2,0,0, ,3023,3023012210,7.12266120291555
3510,12210,4,1,3,2,3,2,31,1,1,1,-4,1,-5,-5,-5,-5,-5,-5,1,1,0,0,2,2,1,2,1,5,0,4,1,4,2,1,13,1319,98,1,-13,-13,-13,-13,1,-14,2,3,-17,-17,-17,-17,-17,-17,-17,-17,-17,-17,-17,-17,-17,-17,-17,2,-18,-18,2,2,2,2,96,0,1312047,1,1,2,2,-21,-21,-21,2,4,-24,-24,-24,-24,2,-27,70160121,1,7,7016,1,1,6,1,2,-30,-30,777,7,10,-33,-33,-33,2,5,5,5,5,2016,2,2022,2,-37,2,-38,2,-39,2,-40,-40,1,2,-42,70160121,1,7,7016,962,2,2,1,2,2,2,2,2,2,10,6,250,1,2,1,812,2,2,-45,2,0,7,1,3023,3023012210,7.80135279290964
3810,12210,4,1,3,2,3,1,25,1,1,1,-4,1,-5,-5,-5,-5,-5,-5,2,2,6,1,1,2,1,1,-9,5,2,3,0,1,1,1,13,1311,99,1,-13,-13,-13,-13,2,2,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,2,-18,-18,1,2,2,2,96,0,1312047,1,2,-20,-20,2,-22,2,2,4,-24,-24,-24,-24,2,-27,70340001,2,7,7034,2,1,3,2,-29,-29,-29,7,5,8,-33,-33,-33,1,1,5,7,5,2014,2,2022,2,-37,2,-38,2,-39,2,-40,-40,1,2,-42,70340001,2,7,7034,263,2,2,1,1,2,2,2,2,2,8,6,1500,1,4,1,811,2,2,-45,2,2,8,1,3023,3023012210,64.1039456885831
3910,12210,4,1,3,2,3,1,32,1,1,1,-4,1,-5,-5,-5,-5,-5,-5,2,2,5,1,1,2,1,1,-9,6,2,2,2,2,1,1,13,1309,99,1,-13,-13,-13,-13,2,2,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,2,-18,-18,1,2,2,2,96,0,1312047,1,2,-20,-20,2,-22,2,2,4,-24,-24,-24,-24,2,-27,70340001,2,7,7034,2,1,2,2,-29,-29,-29,777,7,0,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,2,-45,2,1,0,1,3023,3023012210,113.962570255749
4010,12210,4,1,3,2,3,2,33,1,1,1,-4,1,-5,-5,-5,-5,-5,-5,1,1,0,0,2,2,1,2,1,5,1,3,1,3,1,1,9,913,99,1,-13,-13,-13,-13,1,-14,1,-16,411,2,1,2,2,2,2,2,2,8,6,300,3,2,461,2,-18,-18,2,2,2,2,96,0,1312047,1,1,2,1,-21,-21,-21,2,5,1,1,2,47,-25,-25,-25,-25,-25,-25,1,2,-28,-28,-28,-28,-28,777,7,0,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,2,-45,1,0,0, ,3023,3023012210,7.80135279290964
4310,12210,4,1,3,2,3,1,48,1,1,1,-4,2,2,0,-6,-6,-6,-6,1,1,6,1,1,2,1,1,-9,7,1,4,2,4,1,1,8,803,99,1,-13,-13,-13,-13,1,-14,1,-16,411,4,1,1,2,2,2,2,2,12,6,2500,3,5,463,2,-18,-18,1,2,2,2,96,0,1312047,1,2,-20,-20,2,-22,1,2,4,-24,-24,-24,-24,2,-27,70340239,1,7,7034,2,1,4,1,1,6,6,3,2,888,6,6,2,-34,-34,-34,3,2,2016,-36,-36,2,-37,2,-38,2,-39,2,-40,-40,1,2,-42,70340239,1,7,7034,411,4,2,1,1,2,2,2,2,2,10,6,5000,1,5,1,463,2,2,-45,2,2,4,1,3023,3023012210,85.4719280129156
4410,12210,4,1,3,2,3,1,47,1,1,1,-4,1,-5,-5,-5,-5,-5,-5,1,1,3,1,1,2,1,1,-9,4,0,3,1,3,1,1,13,1320,1,1,-13,-13,-13,-13,1,-14,1,-16,952,6,1,2,2,2,2,2,2,8,6,200,3,2,461,2,-18,-18,2,2,2,2,96,0,1312047,1,2,-20,-20,2,-22,3,1,4,-24,-24,-24,-24,2,-27,70340239,1,7,7034,1,1,4,1,1,8,6,1,3,888,6,5,3,-34,-34,-34,1,3,2016,-36,-36,2,-37,2,-38,2,-39,2,-40,-40,1,2,-42,70340239,1,7,7034,411,6,-44,1,2,2,2,2,2,2,10,6,350,1,2,1,461,2,2,-45,2,1,4,1,3023,3023012210,106.839909052834
4610,12210,4,1,3,2,3,1,40,1,1,1,-4,1,-5,-5,-5,-5,-5,-5,2,2,5,1,1,2,1,1,-9,5,2,3,0,2,1,1,13,1312,1,1,-13,-13,-13,-13,1,-14,2,4,-17,-17,-17,-17,-17,-17,-17,-17,-17,-17,-17,-17,-17,-17,-17,2,-18,-18,1,2,2,1,96,0,1312047,1,2,-20,-20,2,-22,1,1,4,-24,-24,-24,-24,1,70611360,-26,1,7,7061,2,1,1,2,-29,-29,-29,8,5,1,-32,-32,-32,-32,-32,-32,-32,-32,-32,3,2022,2,-37,2,-38,2,-39,2,-40,-40,1,1,999999999,-43,99,7,7034,611,2,2,2,2,2,2,2,2,2,8,6,180,1,2,1,111,2,2,-45,2,1,1,1,3023,3023012210,142.453212498583
5911,12211,4,1,2,6,2,2,38,1,1,1,-4,1,-5,-5,-5,-5,-5,-5,2,1,3,1,1,2,5,2,1,4,2,2,0,1,2,1,12,1215,99,1,-13,-13,-13,-13,2,3,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,2,-18,-18,2,2,2,1,96,0,1215013,1,1,1,1,-21,-21,-21,1,4,-24,-24,-24,-24,2,-27,70890001,2,7,7089,1,1,5,1,1,3,6,7,1,888,3,6,5,-34,-34,-34,8,1,2019,-36,-36,2,-37,2,-38,2,-39,2,-40,-40,1,2,-42,70890001,2,7,7089,961,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,1,6,1,2062,2062012211,44.5848116561677
9211,12211,4,1,2,6,2,2,43,1,1,1,-4,1,-5,-5,-5,-5,-5,-5,2,2,3,4,-8,2,6,1,-9,5,2,3,0,2,1,1,9,909,2,1,-13,-13,-13,-13,2,3,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,2,-18,-18,2,2,2,1,2,0,1215013,1,1,2,2,-21,-21,-21,1,4,-24,-24,-24,-24,98,999999999,-26,99,99,99999,2,1,6,1,1,20,6,8,1,888,20,6,7,-34,-34,-34,8,1,2002,10,2022,2,-37,2,-38,2,-39,2,-40,-40,1,98,999999999,-43,99,98,99998,265,6,-44,1,2,2,2,2,2,2,8,7,99999,99,99,98,541,2,2,-45,2,5,8,1,2062,2062012211,44.5848116561677
10911,12211,4,1,2,6,2,1,73,1,1,1,-4,1,-5,-5,-5,-5,-5,-5,1,2,3,1,1,2,1,1,-9,4,99,99,99,1,1,1,12,1215,99,2,-13,-13,-13,-13,2,3,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,2,-18,-18,1,2,2,1,96,0,1215013,1,1,2,1,-21,-21,-21,1,4,-24,-24,-24,-24,1,70890759,-26,1,7,7089,2,1,1,1,1,10,6,10,1,888,10,6,6,-34,-34,-34,8,1,1990,-36,-36,2,-37,2,-38,2,-39,2,-40,-40,1,1,70890759,-43,1,7,7089,611,2,2,1,2,2,2,2,2,2,8,6,150,1,2,97,111,2,2,-45,2,1,1,1,2062,2062012211,43.5036405972981
