folio,unidad,trim,region,ciudad,punto,turno,sexo,edad,nacio,vieneud,paisvive,trabaja,estuvo,p1,p1_1,p1_1_1,p1_1_2_1,p1_1_2_2,p1_2,p2,p2_1,p3a,p3n,p4,p4_1,p5,p6,p6_1,p7,p7_1_1,p7_1_2,p7_1_3,p7_2,p7_3,p8,p8_1c,p8_1t,p8_2m,p8_2a,p9,p9_1,p10,p11,p11_1,p11_1_1,p11_1_2,p12,p12_1c,p12_1u,p12_2,p13c,p13t,p13_1_1c,p13_1_1t,p13_1_2c,p13_1_2t,p13_1_3c,p13_1_3t,p14,p14_1,p14_1_1f,p14_1_1p,p14_1_1u,p14_1_2e,p14_1_2m,p14_1_3,p14_3,p14_4,p14_5,p14_6_0_1,p14_6_0_2,p14_6_0_3,p14_6_0_4,p14_6_0_5,p14_6_0_6,p14_6_0_7,p14_6_1,p14_7_1,p14_7_2,p14_7_3,p14_7_4,p14_7_5,p14_7_6,p14_7_7,p14_8,p14_9,p14_10c,p14_10u,p14_10t,p14_10_1,p14_11,p14_12,p14_12_1,p14_12_2,p14_12_3,p14_12_4,p14_12_5,p14_12_6,p15,p15_1,p15_2c,p15_2t,p16c,p16t,p17,p17_1_1,p17_1_2,p17_1_3,p17_2,p18_1,p18_1_1,p18_2,p18_2_1,p18_3,p18_3_1,p18_4,p18_4_1,p19_0_1,p19_0_2,p19_0_3,p19_0_4,p19_1,p20,p21,p22,p23c,p23t,p23_1,p23_2c,p23_2t,p23_3,p23_4c,p23_4t,p23_5,p24,p24_1,p25a,p25m,p26p,p26_1e,p26_1m,p26_1l,p26_1u,p26_2d,p26_2m,p26_2b,p26_2u,p27,p27_1,p27_2,p27_2_1,p27_4,p27_5,p27_6,p27_7,p27_8,p28,p29,p29_1m,p29_1a,p29_2,p29_3,p29_3_1,p29_4,p29_5c,p29_5t,p29_6,p29_7,p30,filtro,estrato,upm,ponfin3
1180708,292208,3,1,3,1,2,1,23,1,1,1,1,-5,0,-6,-6,-6,-6,-6,1,1,6,1,1,2,6,2,2,5,0,5,0,3,2,1,-12,-12,8,2022,0,1312047,1,2,-14,-14,1,2,-17,-17,-17,6,1,6,1,999,99,999,99,1,2,-19,70060038,1,7,7006,2,712,2,2,2,2,2,2,2,2,2,-22,2,2,-23,2,2,2,2,10,6,200,1,2,1,236,2,-24,-24,-24,-24,-24,-24,1,-29,1,2,4,5,2,-31,-31,-31,-31,2,-32,2,-33,2,-34,2,-35,2,2,2,2,-36,1,1,7,888,88,-39,4,5,6,-42,-42,-42,0,-43,2020,-998,1,-44,-44,-44,-44,13,1311,1311007,1,1,-47,2,4,-50,-50,-50,-50,-50,2,-51,-51,-51,-51,-51,-51,-51,-51,-51,-51,-51,2,1,3012,3012292208,14.6929694799919
1171708,302208,3,1,3,1,2,2,21,1,1,1,1,-5,0,-6,-6,-6,-6,-6,1,1,5,1,1,2,6,2,2,4,0,4,0,2,2,1,-12,-12,4,2022,0,1312047,1,1,2,1,-16,2,-17,-17,-17,4,5,4,5,999,99,3,2,1,2,-19,70190001,2,7,7019,2,961,1,2,1,1,2,2,2,2,2,4,2,2,2,2,1,2,2,12,6,2000,1,4,1,814,2,-24,-24,-24,-24,-24,-24,2,99,999,99,4,5,2,-31,-31,-31,-31,2,-32,2,-33,2,-34,2,-35,2,2,2,2,-36,1,1,2,996,96,-38,-38,-38,-38,-38,-38,-38,-38,-38,-38,-38,1,-44,-44,-44,-44,13,1312,1312049,1,2,2,-48,-48,-48,-48,-48,-48,-48,2,-51,-51,-51,-51,-51,-51,-51,-51,-51,-51,-51,2,1,3012,3012302208,53.8817538175289
1158408,292208,3,1,3,1,2,1,25,1,1,1,1,-5,0,-6,-6,-6,-6,-6,1,1,1,1,1,2,6,2,2,5,0,5,0,4,2,1,-12,-12,5,2022,0,1312047,1,2,-14,-14,2,2,-17,-17,-17,3,5,3,5,2,2,2,2,1,2,-19,70190001,2,7,7019,2,713,2,2,1,1,2,2,2,2,2,2,2,2,-23,2,2,2,2,8,6,4500,1,4,1,236,2,-24,-24,-24,-24,-24,-24,1,-29,2,5,3,5,2,-31,-31,-31,-31,2,-32,2,-33,2,-34,2,-35,2,2,2,2,-36,1,1,4,5,5,-40,-40,-40,-40,3,5,2,0,-43,2020,-998,1,-44,-44,-44,-44,13,1312,1312049,1,2,3,-48,-48,-48,-48,-48,-48,-48,2,-51,-51,-51,-51,-51,-51,-51,-51,-51,-51,-51,2,1,3012,3012292208,14.6929694799919
1158108,292208,3,1,3,1,2,1,24,2,1,1,1,-5,0,-6,-6,-6,-6,-6,2,2,5,1,1,2,6,2,2,3,0,3,0,2,2,1,-12,-12,4,2022,0,1312047,1,2,-14,-14,3,2,-17,-17,-17,4,5,4,5,1,2,1,2,1,2,-19,70340001,2,7,7034,2,263,2,2,1,1,2,2,2,2,2,2,2,2,-23,2,2,2,2,12,6,4500,1,4,1,811,2,-24,-24,-24,-24,-24,-24,1,-29,1,5,4,5,2,-31,-31,-31,-31,2,-32,2,-33,2,-34,2,-35,2,2,2,2,-36,1,1,4,5,5,-40,-40,-40,-40,4,5,2,0,-43,2019,-998,1,-44,-44,-44,-44,13,1312,1312010,2,2,3,-48,-48,-48,-48,-48,-48,-48,2,-51,-51,-51,-51,-51,-51,-51,-51,-51,-51,-51,2, ,3012,3012292208,14.6929694799919
1145208,272208,3,1,3,2,2,1,25,1,1,1,1,-5,0,-6,-6,-6,-6,-6,1,1,2,1,1,2,6,2,2,3,0,2,1,1,1,1,-12,-12,1,2021,0,1312047,1,2,-14,-14,4,2,-17,-17,-17,998,98,19,5,2,3,1,5,1,2,-19,70940001,2,7,7094,1,611,1,2,1,1,2,2,2,2,2,2,2,2,-23,2,2,2,2,8,6,2500,1,4,1,111,2,-24,-24,-24,-24,-24,-24,2,2,-30,-30,19,5,2,-31,-31,-31,-31,2,-32,2,-33,2,-34,2,-35,2,2,2,2,-36,1,1,5,996,96,-38,-38,-38,-38,-38,-38,-38,-38,-38,-38,-38,1,-44,-44,-44,-44,13,1327,9999999,99,1,-47,1,-49,611,111,2,2,2,2,-51,-51,-51,-51,-51,-51,-51,-51,-51,-51,-51,2, ,3022,3022272208,10.9415304857358
1143908,272208,3,1,3,2,2,2,17,1,1,1,1,-5,0,-6,-6,-6,-6,-6,1,1,6,1,1,2,6,2,2,4,0,4,0,2,2,1,-12,-12,7,2022,0,1312047,1,2,-14,-14,4,2,-17,-17,-17,1,5,1,5,999,99,999,99,1,2,-19,70990001,1,7,7099,2,511,1,2,1,1,2,2,2,2,2,3,2,2,2,2,2,2,2,10,6,3500,1,5,1,722,2,-24,-24,-24,-24,-24,-24,1,-29,1,3,1,6,2,-31,-31,-31,-31,2,-32,2,-33,2,-34,2,-35,2,2,2,2,-36,2,-37,4,1,5,-40,-40,-40,-40,1,5,12,0,-43,2021,99,1,-44,-44,-44,-44,14,1405,1405047,1,1,-47,2,4,-50,-50,-50,-50,-50,2,-51,-51,-51,-51,-51,-51,-51,-51,-51,-51,-51,2,1,3022,3022272208,16.5319022935274
1141408,272208,3,1,3,2,2,2,21,1,1,4,-4,-4,0,-6,-6,-6,-6,-6,2,2,3,3,-9,1,6,2,2,6,0,4,2,2,2,3,10,6,99,9999,0,1312047,1,1,2,1,-16,2,-17,-17,-17,777,7,777,7,777,7,777,7,1,2,-19,70190001,2,7,7019,1,141,1,2,2,2,2,2,2,2,2,-22,2,2,2,2,2,2,2,10,6,2500,1,4,1,463,2,-24,-24,-24,-24,-24,-24,99,1,999,99,999,99,2,-31,-31,-31,-31,2,-32,2,-33,2,-34,2,-35,2,2,2,2,-36,2,-37,4,779,77,2,-41,-41,-41,-41,-41,-41,-41,-41,-41,-41,4,7,7019,70190001,2,-46,-46,-46,-46,-46,-46,-46,-46,-46,-46,-46,-46,-46,2,-51,-51,-51,-51,-51,-51,-51,-51,-51,-51,-51,2, ,3022,3022272208,5.51063365858904
1138808,282208,3,1,3,1,2,1,18,1,1,1,1,-5,0,-6,-6,-6,-6,-6,2,2,5,1,1,2,6,2,2,5,0,5,0,3,2,1,-12,-12,6,2022,0,1312047,1,2,-14,-14,2,2,-17,-17,-17,2,5,2,5,1,2,1,2,1,2,-19,70340014,1,7,7034,2,712,1,2,1,2,2,2,2,2,2,-22,2,2,-23,2,2,2,2,8,6,1800,1,3,1,236,2,-24,-24,-24,-24,-24,-24,2,1,2,5,2,5,2,-31,-31,-31,-31,2,-32,2,-33,2,-34,2,-35,2,2,2,2,-36,2,-37,2,2,5,-40,-40,-40,-40,2,5,3,0,-43,2017,13,1,-44,-44,-44,-44,13,1312,1312177,1,2,1,-48,-48,-48,-48,-48,-48,-48,2,-51,-51,-51,-51,-51,-51,-51,-51,-51,-51,-51,2,1,3012,3012282208,14.7486240529461
1133208,272208,3,1,3,2,3,1,23,1,1,1,1,-5,0,-6,-6,-6,-6,-6,1,1,1,2,-9,2,6,2,2,5,0,5,0,3,2,1,-12,-12,7,2022,0,1312047,1,2,-14,-14,1,2,-17,-17,-17,1,5,1,5,999,99,999,99,1,2,-19,70340053,1,7,7034,2,712,1,2,1,1,2,2,2,2,2,4,2,2,-23,2,2,2,2,11,6,1800,1,4,1,236,2,-24,-24,-24,-24,-24,-24,1,-29,3,2,6,5,2,-31,-31,-31,-31,2,-32,2,-33,2,-34,2,-35,2,2,2,2,-36,1,1,2,996,96,-38,-38,-38,-38,-38,-38,-38,-38,-38,-38,-38,1,-44,-44,-44,-44,13,1311,1311077,1,1,-47,2,4,-50,-50,-50,-50,-50,2,-51,-51,-51,-51,-51,-51,-51,-51,-51,-51,-51,2,1,3023,3023272208,15.5647127680574
1120808,272208,3,1,3,2,2,2,25,1,1,4,-4,-4,0,-6,-6,-6,-6,-6,2,2,3,2,-9,2,6,2,2,6,0,6,0,3,2,3,8,6,99,9999,0,1312047,2,1,4,-15,-15,2,-17,-17,-17,777,7,777,7,777,7,777,7,1,2,-19,70190001,2,7,7019,1,312,1,2,2,2,2,2,2,2,2,-22,2,2,2,2,2,2,2,9,6,1800,1,4,1,461,2,-24,-24,-24,-24,-24,-24,1,-29,777,7,999,99,2,-31,-31,-31,-31,2,-32,2,-33,2,-34,2,-35,2,2,2,2,-36,1,2,4,779,77,2,-41,-41,-41,-41,-41,-41,-41,-41,-41,-41,4,7,7019,70190001,2,-46,-46,-46,-46,-46,-46,-46,-46,-46,-46,-46,-46,-46,2,-51,-51,-51,-51,-51,-51,-51,-51,-51,-51,-51,2, ,3022,3022272208,16.5319022935274
