folio,trim,unidad,region,ciudad,punto,turno,sexo,edad,nacio,cruzar,trabajar,estuvo,p1,p1_1,p1_2,p1_2_1,p1_2_2_1,p1_2_2_2,p1_3,p2,p2_1,p3a,p3n,p4,p4_1,p5,p6,p6_1,p7,p7_1_1,p7_1_2,p7_1_3,p7_2,p7_3,p8,p8_1d,p8_1m,p8_1u,p8_1_1,p8_2e,p8_2m,p8_2l,p8_2u,p9,p9_1,p9_2,p9_2_1,p9_4,p9_5,p9_6_1,p9_6_2,p9_6_3,p9_6_4,p9_6_5,p9_6_6,p9_6_7,p9_7,p9_8,p9_9c,p9_9u,p9_9t,p9_10,p9_11,p9_11_1_1,p9_11_1_2,p9_12,p9_13,p9_14,p9_15_1,p9_15_2,p10,p11,p12,p13,p13_1,p13_2,p14,p14_1,p14_2,p15,p16,p16_1,p16_2,p16_3,p16_4,p17,p17_1f,p17_1p,p17_1u,p17_2e,p17_2m,p17_3,p18,p18_1,p18_2,p18_2_1,p18_2_2c,p18_2_2t,p19c,p19t,p20,p20_1c,p20_1t,p20_2,p21,p21_1c,p21_1t,p22c,p22t,p23,p24m,p24a,p25_1,p25_1_1,p25_2,p25_2_1,p25_3,p25_3_1,p26,p26_1,p26_2,p27,p28,p28_1f,p28_1p,p28_1u,p28_2e,p28_2m,p28_4,p28_5,p28_6,p28_7_1,p28_7_2,p28_7_3,p28_7_4,p28_7_5,p28_7_6,p28_7_7,p28_8,p28_9,p28_10c,p28_10u,p28_10t,p28_10_1,p28_11,p28_12,p29,p30,p31,filtro,estrato,upm,ponfin3
479307,3,282207,1,1,3,3,2,22,1,1,2,1,2,2,2,1,1,96,2,2,2,3,1,2,2,5,2,1,4,2,2,0,1,2,4,-12,-12,-12,-12,7,7087,70870001,2,2,5,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,2,-18,-18,2,2,2,7,96,1,1217001,2,2,-20,-20,2,-22,5,1,4,-24,-24,-24,-24,2,-27,70870001,2,7,7087,1,2,-28,-28,-28,-28,-28,888,8,0,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,2,-45,2, ,1033,1033282207,39.0139533075303
498307,3,312207,1,3,3,3,2,35,1,1,2,1,1,-5,-5,-5,-5,-5,-5,2,2,6,1,1,2,4,1,-9,5,2,3,0,2,2,4,-12,-12,-12,-12,7,7005,999999999,99,2,5,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,2,-18,-18,1,2,2,3,96,0,1312047,2,2,-20,-20,1,4,-23,1,4,-24,-24,-24,-24,2,-27,70050001,1,7,7005,1,2,-28,-28,-28,-28,-28,888,8,999,999,99,99,99,996,96,-35,-35,9999,99,9999,2,-37,2,-38,2,-39,2,-40,-40,2,-41,-41,-41,-41,-41,-41,-41,-41,-41,-41,-41,-41,-41,-41,-41,-41,-41,-41,-41,-41,-41,-41,-41,-41,2,-45,2, ,3033,3033312207,7.79898427343026
516409,3,162209,1,1,3,2,1,26,16,1,1,-4,2,1,0,-6,-6,-6,-6,2,2,2,2,-8,2,1,1,-9,5,1,4,0,1,1,6,-11,-11,-11,-11,-11,-11,-11,-11,1,-14,2,3,-17,-17,-17,-17,-17,-17,-17,-17,-17,-17,-17,-17,-17,-17,-17,2,-18,-18,1,2,2,4,96,1,1217001,5,2,-20,-20,2,-22,5,1,5,5,2,2,36,-25,-25,-25,-25,-25,-25,2,2,-28,-28,-28,-28,-28,888,8,0,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,2,-45,1, ,1032,1032162209,21.411526845491
516809,3,162209,1,1,3,2,1,46,56,1,1,-4,1,-5,-5,-5,-5,-5,-5,2,2,6,1,1,2,1,1,-9,5,0,5,0,2,1,6,-11,-11,-11,-11,-11,-11,-11,-11,1,-14,1,-16,421,1,2,2,2,2,2,2,2,8,6,300,2,5,461,1,3,96,2,2,2,1,3,1,1217001,5,2,-20,-20,2,-22,5,1,5,5,2,2,12,-25,-25,-25,-25,-25,-25,1,2,-28,-28,-28,-28,-28,888,8,0,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,2,-45,1, ,1032,1032162209,21.411526845491
517709,3,162209,1,1,3,2,2,23,1,1,2,1,2,1,0,-6,-6,-6,-6,2,2,6,1,1,2,1,2,1,5,2,3,0,1,2,4,-12,-12,-12,-12,7,7087,70870001,2,2,5,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,2,-18,-18,2,2,2,3,96,1,1217001,2,1,2,2,-21,-21,-21,1,4,-24,-24,-24,-24,2,-27,70870001,2,7,7087,1,2,-28,-28,-28,-28,-28,888,8,8,-33,-33,-33,2,996,96,-35,-35,2018,8,2022,2,-37,2,-38,2,-39,2,-40,-40,2,-41,-41,-41,-41,-41,-41,-41,-41,-41,-41,-41,-41,-41,-41,-41,-41,-41,-41,-41,-41,-41,-41,-41,-41,2,-45,2, ,1032,1032162209,22.1657977324644
527309,3,162209,1,1,3,2,1,23,56,1,1,-4,2,2,0,-6,-6,-6,-6,2,2,3,2,-8,2,1,1,-9,4,1,3,0,1,1,6,-11,-11,-11,-11,-11,-11,-11,-11,1,-14,2,3,-17,-17,-17,-17,-17,-17,-17,-17,-17,-17,-17,-17,-17,-17,-17,1,3,96,2,2,2,2,4,0,1217001,5,2,-20,-20,2,-22,2,1,5,5,2,2,34,-25,-25,-25,-25,-25,-25,1,2,-28,-28,-28,-28,-28,888,8,0,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,2,-45,1, ,1032,1032162209,21.411526845491
527409,3,162209,1,1,3,2,1,39,56,1,1,-4,2,2,0,-6,-6,-6,-6,2,2,3,3,-8,2,1,1,-9,5,1,4,0,2,1,6,-11,-11,-11,-11,-11,-11,-11,-11,1,-14,2,3,-17,-17,-17,-17,-17,-17,-17,-17,-17,-17,-17,-17,-17,-17,-17,2,-18,-18,2,2,2,2,4,0,1217001,5,2,-20,-20,2,-22,2,1,5,5,2,2,34,-25,-25,-25,-25,-25,-25,1,2,-28,-28,-28,-28,-28,888,8,0,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,2,-45,1, ,1032,1032162209,21.411526845491
538509,3,162209,1,1,3,3,2,39,1,1,2,1,1,-5,-5,-5,-5,-5,-5,2,2,2,2,-8,2,5,2,1,4,1,3,0,1,2,4,-12,-12,-12,-12,7,7040,70400001,2,2,5,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,2,-18,-18,2,2,2,3,96,2,1217001,2,1,5,2,-21,-21,-21,1,4,-24,-24,-24,-24,2,-27,70400001,2,7,7040,1,2,-28,-28,-28,-28,-28,888,8,1,-32,-32,-32,-32,-32,-32,-32,-32,-32,6,2010,2,-37,2,-38,2,-39,2,-40,-40,2,-41,-41,-41,-41,-41,-41,-41,-41,-41,-41,-41,-41,-41,-41,-41,-41,-41,-41,-41,-41,-41,-41,-41,-41,2,-45,2, ,1033,1033162209,28.9698098432728
545409,3,162209,1,1,3,3,1,26,1,1,2,1,2,1,0,-6,-6,-6,-6,2,2,99,99,99,2,6,2,2,6,2,4,0,3,2,4,-12,-12,-12,-12,7,7054,70540001,1,1,-14,1,-16,999,1,2,2,2,2,2,2,2,8,6,7500,1,4,999,2,-18,-18,2,2,2,2,96,0,1217001,2,1,4,2,-21,-21,-21,2,4,-24,-24,-24,-24,1,999999999,-26,99,7,7054,1,1,1,1,1,1,6,888,8,1,-32,-32,-32,-32,-32,-32,-32,-32,-32,5,2015,2,-37,2,-38,2,-39,2,-40,-40,1,1,999999999,-43,99,7,7054,999,1,1,2,2,1,2,1,2,2,8,6,7500,1,4,1,999,2,2,-45,2, ,1033,1033162209,27.9840080043463
565508,3,192208,1,3,3,3,1,24,1,1,1,-4,1,-5,-5,-5,-5,-5,-5,1,2,6,1,1,2,2,1,-9,1,-10,-10,-10,-10,-10,1,13,1312,1,1,-13,-13,-13,-13,1,-14,2,3,-17,-17,-17,-17,-17,-17,-17,-17,-17,-17,-17,-17,-17,-17,-17,2,-18,-18,2,2,2,2,96,0,1312047,2,1,2,2,-21,-21,-21,1,4,-24,-24,-24,-24,2,-27,70340014,1,7,7034,2,1,1,2,-29,-29,-29,888,8,0,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,2,-45,2, ,3033,3033192208,23.5961634934742
