Folio,trim,unidad,ciudad,punto,turno,sexo,edad,pasmex,p1a,p1n,p2,p3,p3_1,p4,p4_1,p5,p6,p6_1,p7,p7_1_1,p7_1_2,p7_1_3,p7_2,p7_3,p7_4_1,p7_4_2,p7_4_3,p7_4_4,p7_5,p7_5_1,p7_5_2,p7_5_2_1,p8,p9_1,p9_2,p9_3,p9_4,p10p,p10_1d,p10_1m,p10_1u,p11p,p11_1d,p11_1m,p11_1u,p11_2e,p11_2m,p11_2l,p11_2u,p11_3es,p11_3cn,p11_3cd,p12c,p12t,p13,p13_1,p13_2,p13_2_1,p13_4,p13_5,p13_6_1,p13_6_2,p13_6_3,p13_6_4,p13_6_5,p13_6_6,p13_6_7,p13_6_8,p13_7,p13_8,p13_9c,p13_9u,p13_9t,p13_10,p13_11,p13_12,p13_13_1,p13_13_2,p13_14,p14,p14_1,p15,p16,p16_1,p17,p17_1c,p17_1u,p18_0_1,p18_0_2,p18_0_3,p18_0_4,p18_0_5,p18_1,p18_2,p19_1e,p19_1l,p19_1u,p19_2e,p19_2l,p19_2u,p20e,p20l,p20u,p21c,p21t,p22,p22_1e,p22_1m,p22_1l,p22_1u,p22_3,p22_4,p23_1,p23_2,p23_3,p23_4,p23_5,p23_6,p24_0_1,p24_0_2,p24_0_3,p24_0_4,p24_1,p25,p25_1_1,p25_1_2,p25_1_3,p25_1_4,p25_1_5,p25_1_6,p25_1_7,p25_1_8,p25_2,p26,p26_1c,p26_1t,p26_2,p26_3,p27,p27_1c,p27_1u,p27_1_1,p27_2,p28c,p28u,p28_1,p29_0_1,p29_0_2,p29_0_3,p29_0_4,p29_0_5,p29_1,p29_2,p30,p31,p31_1,p31_2,p32,p32_1,p33,p33_1,p33_1_1,p33_1_2,p34,p35es,p35cn,p35cd,p35_1,p35_1_1,p35_2,p35_2_1_1,p35_2_1_2,p35_2_1_3,p35_2_1_4,p35_2_1_5,p35_2_1_6,p35_2_2,p35_2_3_1,p35_2_3_2,p35_2_3_3,p35_3_1,p35_3_2,p35_3_3,p35_3_4,p35_4c,p35_4t,p35_5,p35_6,p35_7,p35_8,p35_9,p35_9_1,p36es,p36cn,p36cd,p37c,p37t,p38,p38_2,p38_2_1,p38_2_2,p38_3c,p38_3u,p38_3t,p38_4,p38_5,p39,p39_1,p39_2_1,p39_2_2,p40,p41,p42,p43,p43_1,p43_2,p44,p44_1,p45,p46m,p46a,p47,p48,p48_1,p49,p50,p50_1,nivel,oficio_res,filtro
3708,3,32208,1,1,1,1,25,1,6,1,1,2,1,6,2,6,2,2,5,0,0,0,3,1,1,0,1,0,-5,-5,-5,-5,-5,2,2,2,1,2,16,1604,97,2,97,9997,97,-13,-13,-13,-13,-13,-13,-13,5,6,2,8,-16,-16,-16,-16,-16,-16,-16,-16,-16,-16,-16,-16,-16,-16,-16,-16,-16,-16,1,2,3,1,2,1,9999997,3,2,-20,2,-21,-21,2,2,2,2,2,-22,-22,15,150990001,2,2,20040187,2,21,210150001,2,7,2,2,-23,-23,-23,-23,-23,-23,1,2,2,2,2,2,2,2,2,2,-24,2,-25,-25,-25,-25,-25,-25,-25,-25,-25,999999997,999,99,1,8,2,-28,-28,-28,-28,999999,99,2,2,2,2,2,2,-31,-31,2,1,1,1,1,8,0,-34,-34,-34,-34,33,33009,9999999997,3,4,3,1,2,2,2,2,2,1,2,1,2,2,2,2,2,7,2,2,2,2,4,2,-38,99,99999,9999999999,999,99,2,-41,-41,-41,-41,-41,-41,-41,2,0,-42,-42,-42,1,1,-44,9999,2,2,1,-46,-46,98,9998,0,0,-49,1,-50,-50,2,0,1
3308,3,32208,1,1,1,2,26,1,99,99,99,2,2,6,2,6,1,-3,4,1,0,0,1,1,1,1,1,1,1,1,2,-7,5,2,2,1,2,2,5,502,98,2,5,502,99,-13,-13,-13,-13,-13,-13,-13,26,6,1,-15,2,1,511,7,1,1,1,1,1,1,1,2,15,7,6000,4,2,722,1,2,1,6,1,1,9999997,3,2,-20,2,-21,-21,2,2,2,2,2,-22,-22,97,999999997,97,97,999999997,97,97,999999997,97,1,2,2,-23,-23,-23,-23,-23,-23,2,2,1,2,2,2,2,2,2,2,-24,2,-25,-25,-25,-25,-25,-25,-25,-25,-25,999999997,2,2,1,8,2,-28,-28,-28,-28,999997,97,2,2,2,2,2,2,-31,-31,7,2,1,1,2,-33,0,-34,-34,-34,-34,97,99997,9999999997,6,4,2,1,2,2,2,2,2,2,-37,-37,-37,2,2,2,2,5,2,2,2,2,4,2,-38,99,99999,9999999999,5,2,-39,-39,-39,-39,-39,-39,-39,-39,-39,-39,-39,-39,-39,1,1,-44,2022,2,2,0,-45,-45,-45,-45,-45,-45,-45,-45,-45,-45,99,7,1
16008,3,122208,1,1,1,1,24,1,3,2,-2,2,2,3,2,6,2,2,4,1,2,0,2,2,1,0,1,0,-5,-5,-5,-5,-5,1,2,2,2,2,2,207,1,0,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,777,7,2,5,-16,-16,-16,-16,-16,-16,-16,-16,-16,-16,-16,-16,-16,-16,-16,-16,-16,-16,1,2,1,96,1,1,9999999,3,2,-20,2,-21,-21,1,1,2,2,2,-22,-22,6,60020001,2,13,999999997,97,1,10050001,2,1,2,2,-23,-23,-23,-23,-23,-23,1,2,2,2,2,2,1,1,2,2,6,2,-25,-25,-25,-25,-25,-25,-25,-25,-25,20030001,2,2,1,2,2,-28,-28,-28,-28,2000,1,2,2,2,2,2,2,-31,-31,2,2,2,-32,2,-33,0,-34,-34,-34,-34,48,48309,4830910828,3,4,5,1,1,1,1,1,1,2,-37,-37,-37,1,1,2,2,15,2,2,2,2,4,2,-38,48,48309,4830910828,15,2,2,-41,-41,-41,-41,-41,-41,-41,2,0,-42,-42,-42,2,1,-44,2021,2,2,1,-46,-46,2,2021,0,0,-49,2,2,2,3,0,1
9208,3,82208,1,1,1,2,26,1,6,1,1,2,2,6,2,6,2,2,2,0,2,0,2,2,1,0,0,0,-5,-5,-5,-5,-5,1,2,2,2,2,5,501,2,2,5,501,2,-13,-13,-13,-13,-13,-13,-13,23,6,2,1,-16,-16,-16,-16,-16,-16,-16,-16,-16,-16,-16,-16,-16,-16,-16,-16,-16,-16,1,2,2,1,1,1,9999999,3,2,-20,2,-21,-21,2,2,2,2,2,-22,-22,26,999999997,97,97,999999997,97,97,999999997,97,6,2,2,-23,-23,-23,-23,-23,-23,1,2,2,2,2,2,1,1,1,2,6,2,-25,-25,-25,-25,-25,-25,-25,-25,-25,999999997,1,2,2,-27,2,-28,-28,-28,-28,999998,98,2,2,1,2,2,2,-31,-31,2,1,1,2,2,-33,0,-34,-34,-34,-34,6,6015,9999999997,3,4,4,1,2,2,1,1,1,2,-37,-37,-37,1,1,2,2,15,2,2,2,2,4,2,-38,6,99997,9999999998,15,2,2,-41,-41,-41,-41,-41,-41,-41,3,0,-42,-42,-42,2,1,-44,9999,2,2,1,-46,-46,99,9999,0,0,-49,1,-50,-50,2,0,1
9108,3,82208,1,1,1,1,32,1,2,2,-2,2,2,6,2,4,1,-3,2,0,2,0,2,1,1,1,1,1,2,-6,-6,-6,-6,2,2,2,1,2,2,205,99,0,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,30,6,1,-15,1,-17,611,2,1,2,2,2,2,1,2,2,12,7,99998,98,98,111,3,2,2,96,1,1,9999999,3,2,-20,2,-21,-21,1,1,1,2,2,6,2,24,999999997,97,22,999999997,97,2,20041624,2,20,2,2,-23,-23,-23,-23,-23,-23,1,2,2,2,2,2,1,1,2,2,6,2,-25,-25,-25,-25,-25,-25,-25,-25,-25,280320001,1,2,2,-27,2,-28,-28,-28,-28,16000,2,2,1,1,2,2,2,-31,-31,2,1,1,1,2,-33,0,-34,-34,-34,-34,6,6017,9999999997,3,4,5,1,1,1,1,1,1,2,-37,-37,-37,1,1,1,2,26,2,2,2,2,4,2,-38,6,6017,9999999997,26,2,2,-41,-41,-41,-41,-41,-41,-41,3,0,-42,-42,-42,2,0,-43,-43,-43,-43,1,-46,-46,98,9998,0,0,-49,1,-50,-50,3,1,1
8908,3,82208,1,1,1,1,33,1,3,2,-2,2,2,3,2,5,1,-3,5,2,2,1,2,1,1,1,1,0,-5,-5,-5,-5,-5,1,2,2,2,2,3,301,98,0,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,30,6,2,1,-16,-16,-16,-16,-16,-16,-16,-16,-16,-16,-16,-16,-16,-16,-16,-16,-16,-16,1,2,1,96,1,1,9999999,3,2,-20,2,-21,-21,1,1,2,2,2,-22,-22,7,999999997,97,1,999999997,97,1,999999997,97,9,2,2,-23,-23,-23,-23,-23,-23,1,2,2,2,2,2,1,1,2,2,6,2,-25,-25,-25,-25,-25,-25,-25,-25,-25,20030001,2,2,2,-27,2,-28,-28,-28,-28,0,0,-30,1,1,1,2,2,6,2,2,1,2,-32,2,-33,0,-34,-34,-34,-34,97,99997,9999999997,3,4,5,1,1,1,1,1,1,2,-37,-37,-37,1,1,1,2,15,2,2,2,2,4,2,-38,98,99998,9999999998,15,2,2,-41,-41,-41,-41,-41,-41,-41,2,0,-42,-42,-42,2,0,-43,-43,-43,-43,0,-45,-45,-45,-45,-45,-45,-45,-45,-45,-45,3,0,1
7308,3,52208,1,1,1,1,31,1,6,1,1,2,2,6,2,1,1,-3,4,1,3,0,1,1,1,1,1,1,1,2,2,-7,5,1,2,2,2,2,6,606,99,2,6,606,97,-13,-13,-13,-13,-13,-13,-13,22,6,1,-15,2,8,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,1,2,1,96,1,1,9999999,3,2,-20,2,-21,-21,2,1,1,2,2,6,2,19,190050001,2,7,70400001,2,4,999999999,99,4,2,2,-23,-23,-23,-23,-23,-23,2,1,1,2,2,2,1,2,2,2,3,2,-25,-25,-25,-25,-25,-25,-25,-25,-25,190000000,1,2,2,-27,2,-28,-28,-28,-28,8000,2,2,1,1,2,2,2,-31,-31,2,1,1,1,2,-33,0,-34,-34,-34,-34,22,22047,9999999997,1,4,4,1,2,1,1,1,1,2,-37,-37,-37,1,1,2,2,5,3,2,2,2,4,2,-38,22,22047,9999999997,4,6,1,817,7,6,85,2,1,327,1,99,500,4,6,2,1,-44,2018,2,2,1,-46,-46,6,2019,0,0,-49,1,-50,-50,2,0,1
7108,3,52208,1,1,1,2,22,1,2,2,-2,2,2,6,2,1,1,-3,2,0,2,0,1,2,1,1,1,0,-5,-5,-5,-5,-5,1,2,2,2,2,5,502,1,2,5,502,1,-13,-13,-13,-13,-13,-13,-13,22,6,2,1,-16,-16,-16,-16,-16,-16,-16,-16,-16,-16,-16,-16,-16,-16,-16,-16,-16,-16,1,2,1,96,1,1,9999999,3,2,-20,2,-21,-21,2,2,2,2,2,-22,-22,32,999999997,97,2,999999997,97,97,999999997,97,4,2,2,-23,-23,-23,-23,-23,-23,1,2,2,2,2,2,2,2,2,2,-24,2,-25,-25,-25,-25,-25,-25,-25,-25,-25,190000000,5,2,2,-27,2,-28,-28,-28,-28,999998,98,2,2,2,2,2,2,-31,-31,2,1,2,-32,2,-33,0,-34,-34,-34,-34,23,99997,9999999997,3,4,4,1,2,1,1,1,2,2,-37,-37,-37,2,2,2,2,4,2,2,2,2,4,2,-38,97,99997,9999999997,4,2,-39,-39,-39,-39,-39,-39,-39,-39,-39,-39,-39,-39,-39,2,1,-44,2022,2,2,1,-46,-46,7,2022,0,0,-49,1,-50,-50,3,0,1
3808,3,32208,1,1,1,2,17,1,99,99,99,2,1,6,1,6,2,2,7,0,2,1,5,2,1,1,1,0,-5,-5,-5,-5,-5,2,2,2,1,2,10,1011,99,0,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,17,6,2,8,-16,-16,-16,-16,-16,-16,-16,-16,-16,-16,-16,-16,-16,-16,-16,-16,-16,-16,1,2,1,6,1,1,9999999,5,2,-20,2,-21,-21,2,2,2,2,2,-22,-22,23,230010001,2,23,230020001,2,8,80190001,2,7,2,2,-23,-23,-23,-23,-23,-23,2,1,1,2,2,2,2,2,2,2,-24,2,-25,-25,-25,-25,-25,-25,-25,-25,-25,190000000,7,2,1,8,2,-28,-28,-28,-28,0,0,-30,2,2,2,2,2,-31,-31,7,6,1,2,1,8,0,-34,-34,-34,-34,6,6017,9999999997,3,2,2,1,2,1,1,1,1,2,-37,-37,-37,2,2,2,2,6,2,2,2,2,4,2,-38,99,99999,9999999999,3,3,2,-41,-41,-41,-41,-41,-41,-41,3,0,-42,-42,-42,2,0,-43,-43,-43,-43,1,-46,-46,99,9999,0,0,-49,1,-50,-50,99,0, 
3608,3,32208,1,1,1,1,23,1,99,99,99,2,1,6,2,1,1,-3,3,1,0,0,0,1,1,1,0,1,1,1,2,-7,5,1,2,2,2,2,1,107,98,2,1,107,99,-13,-13,-13,-13,-13,-13,-13,23,6,1,-15,2,8,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,1,2,1,96,2,1,9999999,4,2,-20,1,16,2,1,1,1,1,2,8,2,30,300390021,2,97,999999997,97,30,300390021,2,1,2,2,-23,-23,-23,-23,-23,-23,2,2,2,1,2,2,2,2,2,2,-24,2,-25,-25,-25,-25,-25,-25,-25,-25,-25,50250001,2,2,1,8,2,-28,-28,-28,-28,16000,2,2,2,2,2,2,2,-31,-31,7,1,2,-32,2,-33,0,-34,-34,-34,-34,97,99997,9999999997,3,1,3,1,2,2,2,1,1,2,-37,-37,-37,2,2,2,2,9,2,2,2,2,4,1,6,51,51530,9999999999,9,2,2,-41,-41,-41,-41,-41,-41,-41,2,0,-42,-42,-42,2,1,-44,2022,2,2,1,-46,-46,98,9998,0,0,-49,98,98,2,99,0,1
