folio,unidad,trim,region,ciudad,punto,turno,sexo,edad,nacio,vieneud,paisvive,trabaja,estuvo,p1,p1_1,p1_1_1,p1_1_2_1,p1_1_2_2,p1_2,p2,p2_1,p3a,p3n,p4,p4_1,p5,p6,p6_1,p7,p7_1_1,p7_1_2,p7_1_3,p7_2,p7_3,p8,p8_1c,p8_1t,p8_2m,p8_2a,p9,p9_1,p10,p11,p11_1,p11_1_1,p11_1_2,p12,p12_1c,p12_1u,p12_2,p13c,p13t,p13_1_1c,p13_1_1t,p13_1_2c,p13_1_2t,p13_1_3c,p13_1_3t,p14,p14_1,p14_1_1f,p14_1_1p,p14_1_1u,p14_1_2e,p14_1_2m,p14_1_3,p14_3,p14_4,p14_5,p14_6_0_1,p14_6_0_2,p14_6_0_3,p14_6_0_4,p14_6_0_5,p14_6_0_6,p14_6_0_7,p14_6_1,p14_7_1,p14_7_2,p14_7_3,p14_7_4,p14_7_5,p14_7_6,p14_7_7,p14_8,p14_9,p14_10c,p14_10u,p14_10t,p14_10_1,p14_11,p14_12,p14_12_1,p14_12_2,p14_12_3,p14_12_4,p14_12_5,p14_12_6,p15,p15_1,p15_2c,p15_2t,p16c,p16t,p17,p17_1_1,p17_1_2,p17_1_3,p17_2,p18_1,p18_1_1,p18_2,p18_2_1,p18_3,p18_3_1,p18_4,p18_4_1,p19_0_1,p19_0_2,p19_0_3,p19_0_4,p19_1,p20,p21,p22,p23c,p23t,p23_1,p23_2c,p23_2t,p23_3,p23_4c,p23_4t,p23_5,p24,p24_1,p25a,p25m,p26p,p26_1e,p26_1m,p26_1l,p26_1u,p26_2d,p26_2m,p26_2b,p26_2u,p27,p27_1,p27_2,p27_2_1,p27_4,p27_5,p27_6,p27_7,p27_8,p28,p29,p29_1m,p29_1a,p29_2,p29_3,p29_3_1,p29_4,p29_5c,p29_5t,p29_6,p29_7,p30,nivel,oficio_mx,filtro,estrato,upm,ponfin3
240111,62211,4,1,3,1,2,1,33,1,1,1,1,-5,0,-6,-6,-6,-6,-6,1,1,4,1,1,2,1,1,-10,5,3,2,0,1,1,1,-12,-12,8,2022,0,1312047,1,2,-14,-14,2,2,-17,-17,-17,3,5,3,5,1,2,1,2,1,1,70340227,-20,1,7,7034,1,611,2,2,1,1,2,2,2,2,2,2,2,2,-23,2,2,2,2,12,6,170,1,2,1,111,2,-24,-24,-24,-24,-24,-24,1,-29,3,5,3,5,2,-31,-31,-31,-31,2,-32,2,-33,2,-34,2,-35,2,2,2,2,-36,2,-37,2,3,5,-40,-40,-40,-40,3,5,2,0,-43,2013,13,1,-44,-44,-44,-44,13,1312,1312031,1,2,1,-48,-48,-48,-48,-48,-48,-48,2,-51,-51,-51,-51,-51,-51,-51,-51,-51,-51,-51,2,1,1,1,3012,3012062211,4.0194362841
1150610,242210,4,1,3,1,2,1,26,1,1,1,1,-5,2,1,1,1,96,1,1,1,0,0,2,2,5,1,-10,3,1,2,0,1,1,1,-12,-12,8,2022,0,1312047,1,2,-14,-14,3,2,-17,-17,-17,2,5,2,5,2,2,2,2,1,1,70390015,-20,1,7,7039,2,611,2,2,1,1,2,2,2,2,2,2,2,2,-23,2,2,2,2,8,6,300,1,2,1,111,2,-24,-24,-24,-24,-24,-24,1,-29,2,5,2,5,2,-31,-31,-31,-31,2,-32,2,-33,2,-34,2,-35,2,2,2,2,-36,1,1,2,4,5,-40,-40,-40,-40,2,5,3,0,-43,2020,-998,1,-44,-44,-44,-44,13,1312,1312171,1,2,1,-48,-48,-48,-48,-48,-48,-48,2,-51,-51,-51,-51,-51,-51,-51,-51,-51,-51,-51,2,0,1,1,3012,3012242210,4.0194362841
532810,102210,4,1,3,1,2,1,24,1,1,1,1,-5,0,-6,-6,-6,-6,-6,1,1,0,0,2,2,6,2,2,5,0,5,0,5,2,1,-12,-12,7,2022,0,1312047,1,2,-14,-14,2,2,-17,-17,-17,3,5,3,5,1,2,1,2,1,1,70260155,-20,1,7,7026,2,611,2,2,1,1,2,2,2,2,2,2,2,2,-23,2,2,2,2,8,6,300,1,2,1,111,2,-24,-24,-24,-24,-24,-24,1,-29,2,5,3,5,2,-31,-31,-31,-31,2,-32,2,-33,2,-34,2,-35,2,2,2,2,-36,1,1,2,5,5,-40,-40,-40,-40,3,5,2,0,-43,2018,13,1,-44,-44,-44,-44,13,1311,1311051,1,2,2,-48,-48,-48,-48,-48,-48,-48,2,-51,-51,-51,-51,-51,-51,-51,-51,-51,-51,-51,2,0,1,1,3012,3012102210,3.90080756410465
731911,142211,4,1,3,1,2,1,42,1,1,1,1,-5,0,-6,-6,-6,-6,-6,1,1,4,1,1,2,5,1,-10,6,3,3,0,3,1,1,-12,-12,7,2022,0,1312047,1,2,-14,-14,2,2,-17,-17,-17,4,5,4,5,2,2,2,2,1,1,70990347,-20,1,7,7099,1,611,2,2,1,1,2,2,2,2,2,2,2,2,-23,2,2,2,2,8,6,200,1,2,1,111,2,-24,-24,-24,-24,-24,-24,1,-29,2,5,4,5,2,-31,-31,-31,-31,2,-32,2,-33,2,-34,2,-35,2,2,2,2,-36,2,-37,2,2,5,-40,-40,-40,-40,4,5,2,0,-43,2008,13,1,-44,-44,-44,-44,13,1312,9999999,99,2,2,-48,-48,-48,-48,-48,-48,-48,2,-51,-51,-51,-51,-51,-51,-51,-51,-51,-51,-51,2,1,1,1,3012,3012142211,3.57283210610578
488111,112211,4,1,3,1,2,1,33,1,1,1,1,-5,0,-6,-6,-6,-6,-6,1,1,3,1,1,2,5,1,-10,3,3,0,0,1,1,1,-12,-12,8,2022,0,1312047,1,2,-14,-14,2,2,-17,-17,-17,3,5,3,5,2,2,2,2,1,1,70300017,-20,1,7,7030,1,611,2,2,1,2,2,2,2,2,2,-22,2,2,-23,2,2,2,2,8,6,160,1,2,2,111,2,-24,-24,-24,-24,-24,-24,1,-29,3,5,3,5,2,-31,-31,-31,-31,2,-32,2,-33,2,-34,2,-35,2,2,2,2,-36,2,-37,2,3,5,-40,-40,-40,-40,3,5,2,0,-43,2012,13,1,-44,-44,-44,-44,13,1312,1312057,1,2,2,-48,-48,-48,-48,-48,-48,-48,2,-51,-51,-51,-51,-51,-51,-51,-51,-51,-51,-51,2,1,1,1,3012,3012112211,3.57283210610578
1668511,302211,4,1,3,2,2,2,35,1,1,1,1,-5,2,2,1,1,96,2,1,1,0,0,2,2,5,1,-10,7,4,2,1,1,2,1,-12,-12,9,2022,0,1312047,1,2,-14,-14,1,2,-17,-17,-17,2,5,2,5,1,2,1,2,1,1,70340442,-20,1,7,7034,2,611,2,2,1,1,2,2,2,2,2,4,2,2,2,2,2,2,2,8,6,160,1,2,1,111,2,-24,-24,-24,-24,-24,-24,1,-29,4,5,2,5,2,-31,-31,-31,-31,2,-32,2,-33,2,-34,2,-35,2,2,2,2,-36,2,-37,2,2,5,-40,-40,-40,-40,4,5,2,0,-43,2013,13,1,-44,-44,-44,-44,13,1311,1311100,1,2,2,-48,-48,-48,-48,-48,-48,-48,2,-51,-51,-51,-51,-51,-51,-51,-51,-51,-51,-51,2,0,1,1,3022,3022302211,3.54614416526702
1268210,262210,4,1,3,2,2,2,24,1,1,1,1,-5,0,-6,-6,-6,-6,-6,1,1,6,1,1,2,6,2,2,5,0,5,0,3,2,1,-12,-12,7,2022,0,1312047,1,2,-14,-14,2,2,-17,-17,-17,3,5,3,5,2,2,2,2,1,1,70340320,-20,1,7,7034,2,611,2,2,1,1,2,2,2,2,2,4,2,2,2,2,2,2,2,9,6,160,1,2,1,111,2,-24,-24,-24,-24,-24,-24,1,-29,3,5,3,5,2,-31,-31,-31,-31,2,-32,2,-33,2,-34,2,-35,2,2,2,2,-36,2,-37,2,3,5,-40,-40,-40,-40,3,5,2,0,-43,2020,-998,1,-44,-44,-44,-44,13,1307,9999999,99,2,2,-48,-48,-48,-48,-48,-48,-48,2,-51,-51,-51,-51,-51,-51,-51,-51,-51,-51,-51,2,2,1,1,3022,3022262210,3.54614416526702
1681411,302211,4,1,3,2,2,1,38,1,1,1,1,-5,0,-6,-6,-6,-6,-6,1,1,4,1,1,2,5,1,-10,5,3,2,0,1,1,1,-12,-12,8,2022,0,1312047,1,2,-14,-14,2,2,-17,-17,-17,3,5,3,5,2,2,2,2,1,1,70340058,-20,1,7,7034,1,611,2,2,1,1,2,2,2,2,2,2,2,2,-23,2,2,2,2,8,6,180,1,2,1,111,2,-24,-24,-24,-24,-24,-24,1,-29,3,5,3,5,2,-31,-31,-31,-31,2,-32,2,-33,2,-34,2,-35,2,2,2,2,-36,2,-37,2,3,5,-40,-40,-40,-40,3,5,2,0,-43,2009,13,1,-44,-44,-44,-44,13,1303,1303005,1,2,2,-48,-48,-48,-48,-48,-48,-48,2,-51,-51,-51,-51,-51,-51,-51,-51,-51,-51,-51,2,1,1,1,3022,3022302211,3.49516210076939
172011,52211,4,1,3,2,2,1,38,1,1,1,1,-5,0,-6,-6,-6,-6,-6,1,1,4,1,1,2,1,1,-10,6,4,2,0,1,1,1,-12,-12,8,2022,0,1312047,1,2,-14,-14,2,2,-17,-17,-17,3,5,3,5,2,2,2,2,1,1,70340058,-20,1,7,7034,1,611,1,1,1,1,2,2,2,2,2,2,2,2,-23,2,2,2,2,8,6,1500,1,3,1,111,2,-24,-24,-24,-24,-24,-24,2,1,3,5,3,5,2,-31,-31,-31,-31,2,-32,2,-33,2,-34,2,-35,2,2,2,2,-36,2,-37,2,3,5,-40,-40,-40,-40,3,5,2,0,-43,2010,13,1,-44,-44,-44,-44,13,1304,1304034,1,2,2,-48,-48,-48,-48,-48,-48,-48,2,-51,-51,-51,-51,-51,-51,-51,-51,-51,-51,-51,2,1,1,1,3022,3022052211,3.49516210076939
163611,52211,4,1,3,2,2,1,17,1,1,1,1,-5,0,-6,-6,-6,-6,-6,1,1,6,1,1,2,6,2,2,8,2,5,1,3,1,1,-12,-12,9,2022,0,1312047,1,2,-14,-14,2,2,-17,-17,-17,2,5,2,5,1,2,1,2,1,1,70691988,-20,1,7,7069,1,611,2,2,1,1,2,2,2,2,2,2,2,2,-23,2,2,2,2,9,6,180,1,2,1,111,2,-24,-24,-24,-24,-24,-24,2,1,2,5,2,5,2,-31,-31,-31,-31,2,-32,2,-33,2,-34,2,-35,2,2,2,2,-36,2,-37,7,996,96,-38,-38,-38,-38,-38,-38,-38,-38,-38,-38,-38,1,-44,-44,-44,-44,13,1327,1327004,1,2,2,-48,-48,-48,-48,-48,-48,-48,2,-51,-51,-51,-51,-51,-51,-51,-51,-51,-51,-51,2,2,1,1,3022,3022052211,3.49516210076939
