folio,unidad,trim,region,ciudad,punto,turno,sexo,edad,nacio,vieneud,paisvive,trabaja,estuvo,p1,p1_1,p1_1_1,p1_1_2_1,p1_1_2_2,p1_2,p2,p2_1,p3a,p3n,p4,p4_1,p5,p6,p6_1,p7,p7_1_1,p7_1_2,p7_1_3,p7_2,p7_3,p8,p8_1c,p8_1t,p8_2m,p8_2a,p9,p9_1,p10,p11,p11_1,p11_1_1,p11_1_2,p12,p12_1c,p12_1u,p12_2,p13c,p13t,p13_1_1c,p13_1_1t,p13_1_2c,p13_1_2t,p13_1_3c,p13_1_3t,p14,p14_1,p14_1_1f,p14_1_1p,p14_1_1u,p14_1_2e,p14_1_2m,p14_1_3,p14_3,p14_4,p14_5,p14_6_0_1,p14_6_0_2,p14_6_0_3,p14_6_0_4,p14_6_0_5,p14_6_0_6,p14_6_0_7,p14_6_1,p14_7_1,p14_7_2,p14_7_3,p14_7_4,p14_7_5,p14_7_6,p14_7_7,p14_8,p14_9,p14_10c,p14_10u,p14_10t,p14_10_1,p14_11,p14_12,p14_12_1,p14_12_2,p14_12_3,p14_12_4,p14_12_5,p14_12_6,p15,p15_1,p15_2c,p15_2t,p16c,p16t,p17,p17_1_1,p17_1_2,p17_1_3,p17_2,p18_1,p18_1_1,p18_2,p18_2_1,p18_3,p18_3_1,p18_4,p18_4_1,p19_0_1,p19_0_2,p19_0_3,p19_0_4,p19_1,p20,p21,p22,p23c,p23t,p23_1,p23_2c,p23_2t,p23_3,p23_4c,p23_4t,p23_5,p24,p24_1,p25a,p25m,p26p,p26_1e,p26_1m,p26_1l,p26_1u,p26_2d,p26_2m,p26_2b,p26_2u,p27,p27_1,p27_2,p27_2_1,p27_4,p27_5,p27_6,p27_7,p27_8,p28,p29,p29_1m,p29_1a,p29_2,p29_3,p29_3_1,p29_4,p29_5c,p29_5t,p29_6,p29_7,p30,nivel,oficio_mx,filtro,estrato,upm,ponfin3
81710,12210,4,1,3,2,2,2,42,1,1,4,-4,-4,1,0,-7,-7,-7,1,2,2,2,2,-9,1,1,2,1,4,0,4,0,0,2,3,2,6,99,2020,0,1312047,2,1,4,-15,-15,2,-17,-17,-17,777,7,777,7,777,7,777,7,1,2,-19,70340053,1,7,7034,1,411,6,-21,2,2,2,2,2,2,2,-22,2,2,2,2,2,2,2,8,4,3000,1,5,1,465,2,-24,-24,-24,-24,-24,-24,1,-29,777,7,999,99,1,2,1,1,1,2,-32,2,-33,2,-34,2,-35,2,2,2,2,-36,1,2,4,779,77,99,-41,-41,-41,-41,-41,-41,-41,-41,-41,-41,4,-44,-44,-44,-44,99,9999,9999999,99,1,-47,99,99,999,999,2,2,2,2,-51,-51,-51,-51,-51,-51,-51,-51,-51,-51,-51,2,3,4, ,3022,3022012210,17.7307208263351
574010,112210,4,1,3,1,2,1,34,1,1,4,-4,-4,0,-6,-6,-6,-6,-6,1,1,6,1,1,2,6,2,2,4,0,4,0,2,2,1,-12,-12,1,2019,0,1312047,2,1,4,-15,-15,2,-17,-17,-17,777,7,777,7,777,7,777,7,1,2,-19,70340053,1,7,7034,1,923,1,2,1,2,2,2,2,2,2,-22,2,2,-23,2,2,2,2,10,5,2500,1,4,1,811,2,-24,-24,-24,-24,-24,-24,1,-29,777,7,8,5,1,2,1,1,1,2,-32,2,-33,1,2,2,-35,2,2,2,2,-36,1,2,4,779,77,17,-41,-41,-41,-41,-41,-41,-41,-41,-41,-41,4,-44,-44,-44,-44,99,9999,9999999,99,1,-47,99,99,999,999,2,2,2,2,-51,-51,-51,-51,-51,-51,-51,-51,-51,-51,-51,2,2,2, ,3012,3012112210,15.4078395283327
754611,152211,4,1,3,1,2,1,47,1,1,4,-4,-4,0,-6,-6,-6,-6,-6,1,1,6,1,1,2,5,1,-10,8,3,3,2,2,1,1,-12,-12,1,2015,0,1312047,2,1,4,-15,-15,2,-17,-17,-17,777,7,777,7,777,7,777,7,1,2,-19,70340239,1,7,7034,1,411,6,-21,2,2,2,2,2,2,2,-22,2,2,-23,2,2,2,2,10,6,25000,1,4,1,465,2,-24,-24,-24,-24,-24,-24,1,-29,777,7,4,6,1,2,1,1,1,2,-32,1,2,1,2,1,2,2,2,2,2,-36,1,1,4,779,77,10,-41,-41,-41,-41,-41,-41,-41,-41,-41,-41,4,-44,-44,-44,-44,99,9999,9999999,99,1,-47,99,99,999,999,2,2,2,2,-51,-51,-51,-51,-51,-51,-51,-51,-51,-51,-51,2,2,4, ,3012,3012152211,4.0194362841
1367911,262211,4,1,3,2,2,2,36,1,1,1,1,-5,0,-6,-6,-6,-6,-6,1,2,6,1,1,2,5,1,-10,5,2,3,0,0,2,1,-12,-12,99,9999,0,1312047,1,2,-14,-14,4,2,-17,-17,-17,4,1,4,5,4,5,4,5,2,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,4,5,2,-31,-31,-31,-31,2,-32,2,-33,2,-34,2,-35,2,2,2,2,-36,1,1,4,4,5,-40,-40,-40,-40,4,5,999,0,-43,2019,-998,1,-44,-44,-44,-44,13,1311,1311001,2,1,-47,2,99,421,463,2,2,2,2,-51,-51,-51,-51,-51,-51,-51,-51,-51,-51,-51,2,2,0,1,3022,3022262211,5.38689074466463
844110,172210,4,1,2,3,3,1,59,1,1,1,1,-5,0,-6,-6,-6,-6,-6,2,2,2,1,1,2,1,1,-10,3,0,3,0,1,1,1,-12,-12,10,2022,0,1215013,1,1,2,1,-16,2,-17,-17,-17,8,1,8,1,999,99,999,99,1,2,-19,70890001,2,7,7089,1,951,1,2,2,2,2,2,2,2,2,-22,2,2,-23,2,2,2,2,8,6,250,1,2,1,466,2,-24,-24,-24,-24,-24,-24,1,-29,8,1,8,1,2,-31,-31,-31,-31,2,-32,2,-33,2,-34,2,-35,2,2,2,2,-36,1,2,7,888,88,-39,30,6,6,-42,-42,-42,0,-43,9999,10,1,-44,-44,-44,-44,12,1215,1215130,1,1,-47,2,99,999,999,1,2,2,2,-51,-51,-51,-51,-51,-51,-51,-51,-51,-51,-51,2,1,5,1,2033,2033172210,45.6733280946863
388110,72210,4,1,3,2,3,2,43,1,1,1,2,1,0,-6,-6,-6,-6,-6,2,2,6,1,1,2,5,2,1,6,2,4,0,2,2,1,-12,-12,9,2022,0,1312047,3,1,2,-15,-15,2,-17,-17,-17,1,5,999,99,999,99,999,99,2,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,999,99,2,-31,-31,-31,-31,2,-32,2,-33,2,-34,2,-35,2,2,2,2,-36,1,1,7,5,5,-40,-40,-40,-40,1,5,4,0,-43,9999,99,1,-44,-44,-44,-44,13,1302,9999999,99,1,-47,2,99,999,999,2,2,2,2,-51,-51,-51,-51,-51,-51,-51,-51,-51,-51,-51,2,2,0, ,3023,3023072210,4.79772390833215
220510,32210,4,1,2,1,3,1,43,1,1,1,1,-5,0,-6,-6,-6,-6,-6,2,2,2,1,1,2,5,1,-10,7,2,5,0,3,1,1,-12,-12,10,2022,0,1215013,1,1,2,2,-16,2,-17,-17,-17,8,1,8,1,999,99,998,98,1,2,-19,70150001,2,7,7015,2,922,2,2,2,2,2,2,2,2,2,-22,2,2,-23,2,2,2,2,8,6,1000,1,3,98,236,2,-24,-24,-24,-24,-24,-24,1,-29,16,1,998,98,2,-31,-31,-31,-31,2,-32,2,-33,2,-34,2,-35,2,2,2,2,-36,1,1,7,888,88,-39,15,2,6,-42,-42,-42,0,-43,2022,99,1,-44,-44,-44,-44,12,1216,1216073,1,1,-47,2,98,998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,1,3,1,2013,2013032210,35.37110160975
1662111,292211,4,1,3,1,3,1,25,1,1,1,2,1,0,-6,-6,-6,-6,-6,2,2,5,4,-9,2,6,1,-10,1,-11,-11,-11,-11,-11,1,-12,-12,10,2022,0,1312047,9,1,1,-15,-15,2,-17,-17,-17,1,5,1,5,999,99,999,99,1,2,-19,70340001,2,7,7034,2,998,6,-21,1,1,1,2,2,2,2,2,2,2,-23,2,2,2,2,8,5,99999,99,99,1,999,2,-24,-24,-24,-24,-24,-24,99,99,999,99,1,5,2,-31,-31,-31,-31,2,-32,2,-33,2,-34,2,-35,2,2,2,2,-36,1,2,2,996,96,-38,-38,-38,-38,-38,-38,-38,-38,-38,-38,-38,1,-44,-44,-44,-44,13,1301,9999999,99,1,-47,2,8,-50,-50,-50,-50,-50,2,-51,-51,-51,-51,-51,-51,-51,-51,-51,-51,-51,2,5,99, ,3013,3013292211,5.58255024815578
378411,92211,4,1,1,2,3,1,43,9,1,9,2,1,0,-6,-6,-6,-6,-6,2,2,3,2,-9,2,6,1,-10,2,0,2,0,1,1,1,-12,-12,10,2022,0,1217001,4,1,3,-15,-15,2,-17,-17,-17,1,5,999,99,999,99,999,99,2,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,999,99,2,-31,-31,-31,-31,2,-32,2,-33,2,-34,2,-35,2,2,2,2,-36,2,-37,7,0,0,-38,-38,-38,-38,-38,-38,-38,-38,-38,-38,-38,9,-45,-45,-45,-45,-45,-45,-45,-45,1,-47,2,8,-50,-50,-50,-50,-50,2,-51,-51,-51,-51,-51,-51,-51,-51,-51,-51,-51,2,3,0, ,1023,1023092211,19.0469374505588
382011,92211,4,1,1,2,3,1,39,9,1,9,2,1,0,-6,-6,-6,-6,-6,2,2,3,2,-9,2,1,1,-10,4,2,2,0,2,1,1,-12,-12,10,2022,0,1217001,4,1,3,-15,-15,2,-17,-17,-17,1,5,998,98,998,98,998,98,2,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,998,98,2,-31,-31,-31,-31,2,-32,2,-33,2,-34,2,-35,2,2,2,2,-36,2,-37,6,0,0,-38,-38,-38,-38,-38,-38,-38,-38,-38,-38,-38,9,-45,-45,-45,-45,-45,-45,-45,-45,1,-47,2,8,-50,-50,-50,-50,-50,2,-51,-51,-51,-51,-51,-51,-51,-51,-51,-51,-51,2,3,0, ,1023,1023092211,9.52346923590091
657211,142211,4,1,1,1,2,2,25,1,1,1,2,1,1,0,-7,-7,-7,1,2,2,1,2,-9,2,6,2,2,7,2,4,1,2,2,1,-12,-12,9,2022,0,1217001,3,1,2,-15,-15,2,-17,-17,-17,2,5,999,99,999,99,999,99,2,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,999,99,2,-31,-31,-31,-31,2,-32,2,-33,2,-34,2,-35,2,2,2,2,-36,1,1,7,0,0,-38,-38,-38,-38,-38,-38,-38,-38,-38,-38,-38,1,-44,-44,-44,-44,9,919,919103,2,1,-47,2,8,-50,-50,-50,-50,-50,2,-51,-51,-51,-51,-51,-51,-51,-51,-51,-51,-51,2,3,0, ,1012,1012142211,13.826513268
797310,152210,4,1,3,1,2,1,29,1,1,1,2,1,0,-6,-6,-6,-6,-6,2,2,3,3,-9,2,5,1,-10,7,3,4,0,2,1,1,-12,-12,9,2022,0,1312047,3,1,2,-15,-15,2,-17,-17,-17,3,3,999,99,999,99,3,3,2,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,999,99,2,-31,-31,-31,-31,2,-32,2,-33,2,-34,2,-35,2,2,2,2,-36,1,1,7,0,0,-38,-38,-38,-38,-38,-38,-38,-38,-38,-38,-38,1,-44,-44,-44,-44,13,1312,1312034,1,1,-47,2,8,-50,-50,-50,-50,-50,2,-51,-51,-51,-51,-51,-51,-51,-51,-51,-51,-51,2,4,0, ,3012,3012152210,13.3981213862827
1294110,272210,4,1,1,1,2,2,36,1,1,1,2,1,0,-6,-6,-6,-6,-6,2,2,3,3,-9,2,6,2,2,4,1,3,0,2,2,1,-12,-12,9,2022,0,1217001,3,1,2,-15,-15,2,-17,-17,-17,1,5,999,99,999,99,999,99,2,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,999,99,2,-31,-31,-31,-31,2,-32,2,-33,2,-34,2,-35,2,2,2,2,-36,1,1,7,3,6,-40,-40,-40,-40,1,5,3,0,-43,9999,99,1,-44,-44,-44,-44,9,920,920001,2,1,-47,2,8,-50,-50,-50,-50,-50,2,-51,-51,-51,-51,-51,-51,-51,-51,-51,-51,-51,2,4,0, ,1012,1012272210,7.40005744058124
924811,192211,4,1,3,1,2,2,27,1,1,1,2,1,0,-6,-6,-6,-6,-6,2,2,6,1,1,2,2,2,2,6,1,4,1,3,2,1,-12,-12,10,2022,0,1312047,3,1,2,-15,-15,2,-17,-17,-17,1,5,999,99,999,99,1,5,2,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,999,99,2,-31,-31,-31,-31,2,-32,2,-33,2,-34,2,-35,2,2,2,2,-36,1,1,7,0,0,-38,-38,-38,-38,-38,-38,-38,-38,-38,-38,-38,1,-44,-44,-44,-44,13,1332,1332001,-998,1,-47,2,8,-50,-50,-50,-50,-50,2,-51,-51,-51,-51,-51,-51,-51,-51,-51,-51,-51,2,2,0, ,3012,3012192211,5.43742132082357
1213310,242210,4,1,3,1,3,1,47,1,1,1,2,1,1,0,-7,-7,-7,1,2,2,6,1,1,2,5,1,-10,5,0,5,0,2,1,1,-12,-12,9,2022,0,1312047,3,1,2,-15,-15,2,-17,-17,-17,1,5,999,99,999,99,1,5,2,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,999,99,2,-31,-31,-31,-31,2,-32,2,-33,2,-34,2,-35,2,2,2,2,-36,1,1,7,0,0,-38,-38,-38,-38,-38,-38,-38,-38,-38,-38,-38,1,-44,-44,-44,-44,13,1312,1312010,2,1,-47,2,8,-50,-50,-50,-50,-50,2,-51,-51,-51,-51,-51,-51,-51,-51,-51,-51,-51,2,2,0, ,3013,3013242210,3.34953067603265
740810,142210,4,1,3,1,2,2,41,1,1,1,1,-5,0,-6,-6,-6,-6,-6,1,1,6,1,1,2,1,1,-10,6,2,3,1,2,2,1,-12,-12,5,2022,0,1312047,9,1,1,-15,-15,2,-17,-17,-17,1,1,999,99,999,99,1,5,2,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,1,1,2,-31,-31,-31,-31,2,-32,2,-33,2,-34,2,-35,2,2,2,2,-36,1,2,6,888,88,-39,9,5,6,-42,-42,-42,0,-43,2022,1,1,-44,-44,-44,-44,13,1312,1312100,1,1,-47,2,8,-50,-50,-50,-50,-50,2,-51,-51,-51,-51,-51,-51,-51,-51,-51,-51,-51,2,2,0, ,3012,3012142210,10.8748413045764
1225910,242210,4,1,3,1,2,1,24,1,1,1,1,-5,0,-6,-6,-6,-6,-6,1,1,6,1,1,2,5,1,-10,5,2,3,0,1,1,1,-12,-12,1,2022,0,1312047,1,2,-14,-14,2,2,-17,-17,-17,1,1,1,1,999,99,999,99,2,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,1,1,2,-31,-31,-31,-31,2,-32,2,-33,2,-34,2,-35,2,2,2,2,-36,1,1,6,888,88,-39,9,5,6,-42,-42,-42,0,-43,2022,1,1,-44,-44,-44,-44,13,1312,1312001,1,1,-47,2,8,-50,-50,-50,-50,-50,2,-51,-51,-51,-51,-51,-51,-51,-51,-51,-51,-51,2,2,0,1,3012,3012242210,6.69906003421735
736011,112211,4,1,3,2,3,2,59,1,1,1,2,1,2,0,-7,-7,-7,2,2,2,6,1,1,2,5,2,1,4,0,4,0,2,2,1,-12,-12,10,2022,0,1312047,3,1,2,-15,-15,2,-17,-17,-17,1,5,999,99,999,99,1,5,2,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,999,99,2,-31,-31,-31,-31,2,-32,2,-33,2,-34,2,-35,2,2,2,2,-36,1,1,7,0,0,-38,-38,-38,-38,-38,-38,-38,-38,-38,-38,-38,1,-44,-44,-44,-44,1,101,101004,1,1,-47,2,7,-50,-50,-50,-50,-50,2,-51,-51,-51,-51,-51,-51,-51,-51,-51,-51,-51,2,2,0, ,3023,3023112211,14.3931730620671
434511,102211,4,1,3,1,2,1,58,1,1,1,2,1,2,0,-7,-7,-7,2,2,2,6,1,1,2,5,1,-10,5,0,5,0,3,2,1,-12,-12,10,2022,0,1312047,3,1,2,-15,-15,2,-17,-17,-17,1,5,999,99,999,99,1,5,2,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,999,99,2,-31,-31,-31,-31,2,-32,2,-33,2,-34,2,-35,2,2,2,2,-36,1,1,7,0,0,-38,-38,-38,-38,-38,-38,-38,-38,-38,-38,-38,1,-44,-44,-44,-44,13,1312,1312004,1,1,-47,2,7,-50,-50,-50,-50,-50,2,-51,-51,-51,-51,-51,-51,-51,-51,-51,-51,-51,2,2,0, ,3012,3012102211,8.0388725682
1205710,242210,4,1,3,1,3,1,64,1,1,1,2,1,2,0,-7,-7,-7,2,2,2,3,1,1,2,5,1,-10,4,0,4,0,2,2,1,-12,-12,9,2022,0,1312047,3,1,2,-15,-15,2,-17,-17,-17,1,5,999,99,999,99,1,5,2,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,999,99,2,-31,-31,-31,-31,2,-32,2,-33,2,-34,2,-35,2,2,2,2,-36,1,1,7,0,0,-38,-38,-38,-38,-38,-38,-38,-38,-38,-38,-38,1,-44,-44,-44,-44,13,1311,1311058,1,1,-47,2,7,-50,-50,-50,-50,-50,2,-51,-51,-51,-51,-51,-51,-51,-51,-51,-51,-51,2,1,0, ,3013,3013242210,6.69906003421735
137711,42211,4,1,3,1,2,1,62,1,1,1,2,1,2,0,-7,-7,-7,2,2,2,3,1,1,2,5,1,-10,4,0,4,0,2,2,1,-12,-12,10,2022,0,1312047,3,1,2,-15,-15,2,-17,-17,-17,3,3,999,99,999,99,3,3,2,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,999,99,2,-31,-31,-31,-31,2,-32,2,-33,2,-34,2,-35,2,2,2,2,-36,1,1,7,0,0,-38,-38,-38,-38,-38,-38,-38,-38,-38,-38,-38,1,-44,-44,-44,-44,13,1312,9999999,99,1,-47,2,7,-50,-50,-50,-50,-50,2,-51,-51,-51,-51,-51,-51,-51,-51,-51,-51,-51,2,1,0, ,3012,3012042211,5.35924881808265
1362011,262211,4,1,3,2,2,1,45,1,1,1,2,1,0,-6,-6,-6,-6,-6,1,1,6,1,1,2,5,1,-10,6,4,2,0,3,2,1,-12,-12,9,2022,0,1312047,3,1,2,-15,-15,2,-17,-17,-17,2,5,999,99,999,99,999,99,2,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,999,99,2,-31,-31,-31,-31,2,-32,2,-33,2,-34,2,-35,2,2,2,2,-36,1,1,7,0,0,-38,-38,-38,-38,-38,-38,-38,-38,-38,-38,-38,1,-44,-44,-44,-44,13,1302,1302001,2,1,-47,2,7,-50,-50,-50,-50,-50,2,-51,-51,-51,-51,-51,-51,-51,-51,-51,-51,-51,2,2,0, ,3022,3022262211,5.30944470790275
1019810,192210,4,1,3,2,2,1,58,1,1,1,2,1,0,-6,-6,-6,-6,-6,2,2,4,1,1,2,1,1,-10,5,0,5,0,2,2,1,-12,-12,10,2022,0,1312047,3,1,2,-15,-15,2,-17,-17,-17,2,3,999,99,999,99,2,3,2,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,999,99,2,-31,-31,-31,-31,2,-32,2,-33,2,-34,2,-35,2,2,2,2,-36,1,1,7,0,0,-38,-38,-38,-38,-38,-38,-38,-38,-38,-38,-38,1,-44,-44,-44,-44,13,1312,1312177,1,1,-47,2,7,-50,-50,-50,-50,-50,2,-51,-51,-51,-51,-51,-51,-51,-51,-51,-51,-51,2,1,0, ,3022,3022192210,3.49516210076939
823711,172211,4,1,3,1,2,1,49,1,1,1,2,1,1,0,-7,-7,-7,1,2,2,6,1,1,2,5,1,-10,6,1,5,0,3,2,1,-12,-12,10,2022,0,1312047,3,2,-14,-14,4,2,-17,-17,-17,1,5,999,99,999,99,999,99,2,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,999,99,2,-31,-31,-31,-31,2,-32,2,-33,2,-34,2,-35,2,2,2,2,-36,1,1,7,0,0,-38,-38,-38,-38,-38,-38,-38,-38,-38,-38,-38,1,-44,-44,-44,-44,13,1312,1312009,2,1,-47,2,7,-50,-50,-50,-50,-50,2,-51,-51,-51,-51,-51,-51,-51,-51,-51,-51,-51,2,2,0, ,3012,3012172211,8.0388725682
83110,12210,4,1,3,2,2,2,20,1,1,1,1,-5,0,-6,-6,-6,-6,-6,1,1,6,1,1,2,6,2,2,6,1,5,0,3,2,1,-12,-12,8,2022,0,1312047,1,1,2,1,-16,2,-17,-17,-17,1,5,1,5,999,99,999,99,1,2,-19,70780001,2,7,7078,2,961,1,2,1,1,2,2,2,2,2,4,2,2,2,2,1,2,2,12,7,2850,1,4,1,814,2,-24,-24,-24,-24,-24,-24,1,-29,1,3,1,5,2,-31,-31,-31,-31,2,-32,2,-33,2,-34,2,-35,2,2,2,2,-36,1,1,7,996,96,-38,-38,-38,-38,-38,-38,-38,-38,-38,-38,-38,1,-44,-44,-44,-44,13,1310,9999999,99,1,-47,2,6,-50,-50,-50,-50,-50,2,-51,-51,-51,-51,-51,-51,-51,-51,-51,-51,-51,2,2,6,1,3022,3022012210,3.54614416526702
1010510,192210,4,1,3,1,3,2,32,1,1,1,1,-5,0,-6,-6,-6,-6,-6,1,1,2,1,1,2,5,2,1,5,2,2,1,2,2,1,-12,-12,7,2022,0,1312047,1,2,-14,-14,2,2,-17,-17,-17,8,1,8,1,999,99,2,3,1,2,-19,70340239,1,7,7034,2,511,1,2,1,2,1,1,2,2,2,-22,2,2,2,2,2,2,2,8,6,3200,1,4,1,722,2,-24,-24,-24,-24,-24,-24,1,-29,1,2,8,1,2,-31,-31,-31,-31,2,-32,2,-33,2,-34,2,-35,2,2,2,2,-36,1,1,7,888,88,-39,3,5,6,-42,-42,-42,0,-43,2022,99,1,-44,-44,-44,-44,13,1312,1312100,1,1,-47,2,6,-50,-50,-50,-50,-50,2,-51,-51,-51,-51,-51,-51,-51,-51,-51,-51,-51,2,1,7,1,3013,3013192210,16.9919397891014
831511,172211,4,1,3,1,2,2,22,1,1,1,1,-5,0,-6,-6,-6,-6,-6,1,1,4,1,1,2,6,2,2,6,0,5,1,3,2,1,-12,-12,3,2022,0,1312047,1,2,-14,-14,4,2,-17,-17,-17,7,5,7,5,2,2,3,2,1,2,-19,71010001,2,7,7101,2,961,1,2,1,1,2,2,2,2,2,4,2,2,2,2,1,2,2,10,7,3100,1,4,1,814,2,-24,-24,-24,-24,-24,-24,1,-29,2,3,7,6,2,-31,-31,-31,-31,2,-32,2,-33,2,-34,2,-35,2,2,2,2,-36,1,1,4,996,96,-38,-38,-38,-38,-38,-38,-38,-38,-38,-38,-38,1,-44,-44,-44,-44,13,1312,1312010,2,1,-47,2,6,-50,-50,-50,-50,-50,2,-51,-51,-51,-51,-51,-51,-51,-51,-51,-51,-51,2,1,6,1,3012,3012172211,14.9529069609264
1147710,242210,4,1,3,1,2,2,22,1,1,1,1,-5,0,-6,-6,-6,-6,-6,1,1,6,1,1,2,6,2,2,12,4,8,0,4,1,1,-12,-12,4,2022,0,1312047,1,2,-14,-14,2,2,-17,-17,-17,6,5,6,5,1,3,3,3,1,2,-19,70340001,2,7,7034,1,961,1,2,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,10,6,5000,1,5,1,814,2,-24,-24,-24,-24,-24,-24,1,-29,2,3,6,5,2,-31,-31,-31,-31,2,-32,2,-33,2,-34,2,-35,2,2,2,2,-36,1,2,4,996,96,-38,-38,-38,-38,-38,-38,-38,-38,-38,-38,-38,1,-44,-44,-44,-44,13,1311,1311058,1,1,-47,2,6,-50,-50,-50,-50,-50,2,-51,-51,-51,-51,-51,-51,-51,-51,-51,-51,-51,2,2,6,1,3012,3012242210,14.9529069609264
