folio,unidad,trimestre,ciudad,punto,turno,p1,p2,p3a,p3n,p4,p5,p5_1,p6,p6_1,p7,p8,p8_1,p9,p9_1_1,p9_1_2,p9_1_3,p9_2,p9_3,p9_4_1,p9_4_2,p9_4_3,p9_4_4,p9_5_1,p9_5_2,p9_5_3,p9_5_4,p10p,p10_1d,p10_1m,p10_1u,p11p,p11_1d,p11_1m,p11_1u,p11_2e,p11_2m,p11_2l,p11_2u,p11_3es,p11_3cn,p11_4c,p11_4t,p12,p12_1,p12_2,p12_2_1,p12_4,p12_5,p12_6_1,p12_6_2,p12_6_3,p12_6_4,p12_6_5,p12_6_6,p12_6_7,p12_6_8,p12_7,p12_8,p12_9c,p12_9u,p12_9t,p12_10,p12_11,p12_12,p12_13_1,p12_13_2,p12_14,p13,p14,p14_1,p15,p16,p16_1,p16_2,p17,p18,p18_1,p18_1_1,p18_1_2_1,p18_1_2_2,p19,p20,p20_1c,p20_1u,p20_2,p21_1,p21_2,p21_3,p21_4,p21_5,p21_6,p22_1e,p22_1l,p22_1u,p22_2e,p22_2l,p22_2u,p23_0_1,p23_0_2,p23_0_3,p23_0_4,p23_0_5,p23_1,p23_2,p24e,p24m,p24l,p24u,p25_0_1,p25_0_2,p25_0_3,p25_0_4,p25_1,p26,p26_1_1,p26_1_2,p26_1_3,p26_1_4,p26_1_5,p26_1_6,p26_1_7,p26_2,p27_1,p27_1_1,p27_2,p27_1_2,p27_3,p27_1_3,p27_4,p27_1_4,p28,p29,p30e,p30m,p30l,p30u,p30_1c,p30_1t,p30_3,p30_4,p31,p32,p33c,p33t,p33_1c,p33_1u,p33_1_1,p34e,p34m,p34l,p34u,p34_1,p34_1_1,p34_2,p34_2_1_1,p34_2_1_2,p34_2_1_3,p34_2_1_4,p34_2_1_5,p34_2_1_6,p34_2_2,p34_2_3_1,p34_2_3_2,p34_2_3_3,p34_3_0_1,p34_3_0_2,p34_3_0_3,p34_3_0_4,p34_3_1_1,p34_3_1_2,p34_3_1_3,p34_3_1_4,p34_4c,p34_4t,p34_5_1,p34_5_2,p34_5_3,p34_5_4,p34_5_5,p34_5_6,p34_5_7,p34_6,p34_7,p34_8,p34_9,p34_10_1,p34_10_2,p34_10_3,p34_10_4,p34_10_5,p34_10_6,p34_10_7,p34_10_8,p34_11,p34_12,p34_12_1,p34_13,p34_14,p35,p36,p37,p38,p39m,p39a,p40,p41,p42,p43,p44,p45,p45_1,p45_2,p46,p47,p48,p48_1,p49,p50,p50_1,p51c,p51t,p52,p52_1,p52_2,p52_3,nivel,oficio_mx,filtro,estrato,upm,ponfin3
87311,242211,4,1,1,1,1,37,6,1,1,2,2,6,2,1,1,-2,2,0,2,0,1,1,0,1,1,0,1,2,2,2,2,8,801,2,0,-5,-5,-5,-5,-5,-5,-5,-5,-5,777,7,1,-10,1,-12,531,2,2,2,2,2,2,2,2,2,99,6,8000,4,5,462,3,2,2,1,2,5,2,1,1217001,2,-15,-15,1,1,0,-17,-17,-17,0,2,-19,-19,-19,2,2,2,2,2,2,7,70650001,2,20,200140001,2,2,2,2,2,2,-20,-20,7,7089,70890001,2,2,2,2,2,-21,2,-22,-22,-22,-22,-22,-22,-22,-22,2,-23,2,-24,2,-25,2,-26,2,2,-27,-27,-27,-27,-27,-27,-27,-27,1,1,10,2,10000,4,2,20,20301,203010001,1,4,1,3,2,2,2,2,2,2,2,-30,-30,-30,2,2,2,2,-31,-31,-31,-31,5,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,-32,2,-33,0,-34,0,-35,-35,-35,0,-36,-36,-37,-37,-37,-37,-37,8,999999997,2,-41,12,2,-42,888,8,1,2,1,2,2,0,1,1011,1011242211,7.341696
87411,242211,4,1,1,1,1,22,0,0,2,2,2,6,2,6,2,2,10,4,5,1,5,2,1,0,5,1,1,2,2,2,2,3,318,1,0,-5,-5,-5,-5,-5,-5,-5,-5,-5,777,7,1,-10,1,-12,712,2,2,2,2,2,2,2,2,2,8,6,400,4,2,236,3,2,4,96,2,5,2,1,1705099,2,-15,-15,2,1,0,-17,-17,-17,3,2,-19,-19,-19,1,2,1,2,2,2,7,70270001,2,7,70650001,2,2,2,2,2,2,-20,-20,7,7065,70650001,2,2,2,2,2,-21,1,2,2,2,2,1,2,2,5,2,-23,2,-24,2,-25,2,-26,2,2,-27,-27,-27,-27,-27,-27,-27,-27,1,1,4,2,2000,4,2,30,30003,300030001,2,3,1,2,2,2,2,2,2,2,2,-30,-30,-30,2,2,2,2,-31,-31,-31,-31,8,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,-32,2,-33,0,-34,0,-35,-35,-35,0,-36,-36,-37,-37,-37,-37,-37,6,50250001,2,-41,48,1,1,8,6,1,1,-44,-44,0,0,1,1011,1011242211,7.341696
87511,242211,4,1,1,1,1,18,0,0,2,2,2,6,2,6,2,2,6,3,3,0,3,2,1,0,1,0,2,2,2,2,2,16,1613,1,0,-5,-5,-5,-5,-5,-5,-5,-5,-5,777,7,1,-10,1,-12,611,2,2,2,2,2,2,2,2,2,7,6,200,4,2,111,2,2,2,1,2,5,2,1,1705099,2,-15,-15,2,1,0,-17,-17,-17,0,2,-19,-19,-19,2,2,2,2,2,2,7,70650001,2,30,301740001,2,2,2,2,2,2,-20,-20,7,7065,70650001,2,2,2,2,2,-21,2,-22,-22,-22,-22,-22,-22,-22,-22,2,-23,2,-24,2,-25,2,-26,2,2,-27,-27,-27,-27,-27,-27,-27,-27,1,1,30,2,3000,4,1,30,30118,301180001,2,5,1,2,1,2,2,2,2,2,2,-30,-30,-30,2,2,2,2,-31,-31,-31,-31,10,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,-32,2,-33,0,-34,0,-35,-35,-35,0,-36,-36,-37,-37,-37,-37,-37,8,999999997,2,-41,97,2,-42,888,8,1,2,1,2,0,0,1,1011,1011242211,7.341696
87611,242211,4,1,1,1,1,25,6,1,1,2,2,6,2,6,1,-2,1,-3,-3,-3,-3,-3,1,0,1,0,1,2,2,2,2,7,716,1,0,-5,-5,-5,-5,-5,-5,-5,-5,-5,777,7,1,-10,1,-12,611,2,2,2,2,2,2,2,2,2,8,6,150,4,2,111,3,2,1,2,2,5,2,1,1705099,2,-15,-15,2,0,-16,-16,-16,-16,0,2,-19,-19,-19,1,1,2,2,2,2,7,70890001,2,7,70090001,2,2,2,2,2,2,-20,-20,19,19039,190390001,2,2,2,2,2,-21,2,-22,-22,-22,-22,-22,-22,-22,-22,2,-23,2,-24,2,-25,2,-26,2,1,30,30174,301740001,2,2,3,933,311,1,1,3,5,1000,4,2,19,19039,190390001,2,5,1,4,2,2,2,2,2,2,2,-30,-30,-30,1,1,2,2,2,2,1,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,-32,1,1,0,-34,0,-35,-35,-35,0,-36,-36,-37,-37,-37,-37,-37,6,999999997,2,-41,48,2,-42,888,8,1,2,1,2,2,7,1,1011,1011242211,7.341696
87711,242211,4,1,1,1,1,28,4,1,1,2,2,6,2,1,1,-2,3,1,2,0,2,2,0,1,1,1,1,2,2,2,2,6,606,1,0,-5,-5,-5,-5,-5,-5,-5,-5,-5,777,7,1,-10,1,-12,611,2,2,2,2,2,2,2,2,2,8,6,150,4,2,111,2,2,1,2,2,5,2,1,1705099,2,-15,-15,1,0,-16,-16,-16,-16,1,2,-19,-19,-19,1,1,2,2,2,2,7,70890001,2,30,300390001,2,2,2,2,2,2,-20,-20,30,30039,300390001,2,2,2,2,2,-21,1,1,1,2,2,2,2,2,4,1,2,2,-24,2,-25,2,-26,2,1,30,30039,300390001,2,3,2,922,236,1,1,22,2,1800,4,2,30,30077,300770001,2,4,1,2,2,2,2,2,2,2,2,-30,-30,-30,2,2,2,2,-31,-31,-31,-31,5,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,-32,1,2,0,-34,4,2015,11,2022,0,-36,-36,-37,-37,-37,-37,-37,6,50250001,2,-41,51,1,2,888,8,1,2,1,1,1,3,1,1011,1011242211,7.341696
87911,242211,4,1,1,1,1,25,6,1,1,2,2,6,2,6,2,2,2,0,2,0,2,1,1,0,1,0,1,2,2,2,2,5,506,99,0,-5,-5,-5,-5,-5,-5,-5,-5,-5,777,7,1,-10,1,-12,933,2,2,2,2,2,2,2,2,2,8,6,250,4,2,493,4,2,1,2,2,5,2,1,1705099,2,-15,-15,1,1,0,-17,-17,-17,3,2,-19,-19,-19,1,2,2,2,2,2,7,70090001,2,7,70190001,2,2,2,2,2,2,-20,-20,30,30174,301740001,2,2,2,2,2,-21,1,2,2,2,2,1,2,2,5,1,1,2,-24,2,-25,2,-26,2,2,-27,-27,-27,-27,-27,-27,-27,-27,1,1,30,2,5000,4,2,29,29005,290050001,2,5,4,4,1,2,2,1,1,2,2,-30,-30,-30,2,2,2,2,-31,-31,-31,-31,2,3,2,2,2,2,2,2,2,2,2,5,2,2,2,2,2,2,2,2,2,1,2,-32,2,-33,0,-34,0,-35,-35,-35,0,-36,-36,-37,-37,-37,-37,-37,1,280320001,2,-41,48,2,-42,888,8,1,2,1,2,2,0,1,1011,1011242211,7.341696
88011,242211,4,1,1,1,1,25,6,1,1,2,2,6,2,6,2,2,5,0,5,0,2,1,1,0,1,0,1,2,2,2,2,8,811,1,0,-5,-5,-5,-5,-5,-5,-5,-5,-5,777,7,1,-10,1,-12,611,2,2,2,2,2,2,2,2,2,6,6,150,4,2,111,2,2,1,2,2,5,2,1,1705099,2,-15,-15,1,3,0,-17,-17,-17,0,2,-19,-19,-19,1,2,2,2,2,2,7,70650001,2,97,999999997,97,2,2,2,2,2,-20,-20,7,7065,70650001,2,2,2,2,2,-21,2,-22,-22,-22,-22,-22,-22,-22,-22,2,-23,2,-24,2,-25,2,-26,2,2,-27,-27,-27,-27,-27,-27,-27,-27,1,1,5,2,4500,4,1,7,7065,70650001,2,3,2,2,2,2,2,2,2,2,2,-30,-30,-30,2,2,2,2,-31,-31,-31,-31,5,2,2,2,2,2,2,2,2,1,1,2,2,2,2,2,2,2,2,2,2,1,2,-32,2,-33,0,-34,0,-35,-35,-35,0,-36,-36,-37,-37,-37,-37,-37,8,20040001,2,-41,12,2,-42,888,8,1,2,1,2,2,0,1,1011,1011242211,7.341696
88211,242211,4,1,1,1,1,20,6,1,1,2,2,6,2,1,1,-2,3,1,2,0,1,1,1,1,1,1,1,2,2,2,2,8,801,1,2,18,1801,1,-8,-8,-8,-8,-8,-8,5,6,1,-10,1,-12,611,2,2,2,2,2,2,2,2,2,8,6,150,4,2,111,2,2,1,2,2,5,2,1,1705099,2,-15,-15,1,0,-16,-16,-16,-16,0,2,-19,-19,-19,2,2,2,2,2,2,27,270040001,2,7,70650001,2,2,1,2,2,2,-20,-20,27,27004,270040001,2,2,2,2,2,-21,2,-22,-22,-22,-22,-22,-22,-22,-22,2,-23,2,-24,2,-25,2,-26,2,2,-27,-27,-27,-27,-27,-27,-27,-27,1,1,5,2,4000,4,1,27,27004,270040001,2,3,1,2,2,2,2,2,2,2,3,-30,-30,-30,2,2,2,2,-31,-31,-31,-31,3,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,1,2,-32,2,-33,0,-34,0,-35,-35,-35,0,-36,-36,-37,-37,-37,-37,-37,8,999999997,2,-41,12,1,2,888,8,1,2,1,2,2,0,1,1011,1011242211,7.341696
88311,242211,4,1,1,1,1,27,6,1,1,2,2,6,2,5,2,2,4,1,3,0,2,1,1,1,1,1,1,2,2,2,2,18,1803,1,2,2,208,1,-8,-8,-8,-8,-8,-8,22,6,1,-10,2,1,812,1,2,2,2,2,2,2,2,2,8,7,250,4,2,327,3,2,1,96,2,4,2,1,1705099,2,-15,-15,1,0,-16,-16,-16,-16,0,2,-19,-19,-19,1,2,2,2,2,2,7,70650001,2,97,999999997,97,2,2,2,2,2,-20,-20,7,7065,70650001,2,2,2,2,2,-21,2,-22,-22,-22,-22,-22,-22,-22,-22,2,-23,2,-24,2,-25,2,-26,2,2,-27,-27,-27,-27,-27,-27,-27,-27,1,1,2,3,17000,4,1,7,7002,999999997,97,4,4,2,1,2,2,2,2,2,2,-30,-30,-30,2,2,2,2,-31,-31,-31,-31,6,2,2,2,2,2,1,1,1,2,2,4,2,1,2,2,2,2,2,1,2,1,2,-32,1,1,0,-34,0,-35,-35,-35,0,-36,-36,6,1,2,1,1,-40,-40,-40,-40,-40,-40,-40,-40,-40,-40,-40,-40,-40,2,0,1,1011,1011242211,7.341696
88411,242211,4,1,1,1,1,45,3,2,-1,2,2,6,2,1,1,-2,2,0,2,0,1,1,1,1,5,0,1,1,2,2,2,7,703,1,0,-5,-5,-5,-5,-5,-5,-5,-5,-5,777,7,1,-10,1,-12,834,2,2,2,2,2,2,2,2,2,9,5,15000,4,5,484,1,2,1,4,2,5,2,1,1217001,2,-15,-15,1,0,-16,-16,-16,-16,0,2,-19,-19,-19,1,2,2,2,2,2,7,70090001,2,7,70890001,2,2,2,2,2,2,-20,-20,7,7089,70890001,2,2,2,2,2,-21,2,-22,-22,-22,-22,-22,-22,-22,-22,2,-23,2,-24,2,-25,2,-26,2,2,-27,-27,-27,-27,-27,-27,-27,-27,1,1,5,2,26000,4,2,7,7009,70090001,2,4,1,2,2,2,2,2,2,2,2,-30,-30,-30,2,2,2,2,-31,-31,-31,-31,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,2,0,-34,0,-35,-35,-35,0,-36,-36,-37,-37,-37,-37,-37,1,269999999,2,-41,36,1,2,3,6,1,2,1,1,3,0,1,1011,1011242211,7.341696
