ciudad,estado,ruta,detenciones,latitud,longitud,tipo,ID_Poligono,geometry,codigo_ruta,contador_xy,codigo_unico
"Tuxtla Chico, Chiapas",Chiapas,Ruta Sur, 595,14.8768619,-92.19675245459756,Presencia Migración Irregular,PG735,"POLYGON ((-93 15, -92 15, -92 14, -93 14, -93 15))",S,3,S-PG735-3
"Frontera Hidalgo, Chiapas",Chiapas,Ruta Sur, 15,14.7531678,-92.21613683447438,Presencia Migración Irregular,PG735,"POLYGON ((-93 15, -92 15, -92 14, -93 14, -93 15))",S,2,S-PG735-2
"Suchiate, Chiapas",Chiapas,Ruta Sur,25 989,14.6321744,-92.24196336095298,Presencia Migración Irregular,PG735,"POLYGON ((-93 15, -92 15, -92 14, -93 14, -93 15))",S,1,S-PG735-1
"Pantepec, Chiapas",Chiapas,Ruta Sur, 1,17.194414199999997,-93.05246608493754,Presencia Migración Irregular,PG711,"POLYGON ((-94 18, -93 18, -93 17, -94 17, -94 18))",S,2,S-PG711-2
"Chiapa de Corzo, Chiapas",Chiapas,Ruta Sur, 120,16.7075202,-93.0115045,Presencia Migración Irregular,PG710,"POLYGON ((-94 17, -93 17, -93 16, -94 16, -94 17))",S,7,S-PG710-7
"Berriozabal, Chiapas",Chiapas,Ruta Sur, 160,16.871689449999998,-93.33707618047065,Presencia Migración Irregular,PG710,"POLYGON ((-94 17, -93 17, -93 16, -94 16, -94 17))",S,10,S-PG710-10
"Ocozocoautla de Espinosa, Chiapas",Chiapas,Ruta Sur,1 226,16.7931431,-93.45696355337824,Presencia Migración Irregular,PG710,"POLYGON ((-94 17, -93 17, -93 16, -94 16, -94 17))",S,9,S-PG710-9
"Tuxtla Gutierrez, Chiapas",Chiapas,Ruta Sur,15 141,16.753801,-93.115959,Presencia Migración Irregular,PG710,"POLYGON ((-94 17, -93 17, -93 16, -94 16, -94 17))",S,8,S-PG710-8
"Villa Comaltitlan, Chiapas",Chiapas,Ruta Sur,1 835,15.1709732,-92.61288629080111,Presencia Migración Irregular,PG736,"POLYGON ((-93 16, -92 16, -92 15, -93 15, -93 16))",S,4,S-PG736-4
"Cintalapa de Figueroa, Chiapas",Chiapas,Ruta Sur, 3,16.6905402,-93.7257625,Presencia Migración Irregular,PG710,"POLYGON ((-94 17, -93 17, -93 16, -94 16, -94 17))",S,6,S-PG710-6
"Jiquipilas, Chiapas",Chiapas,Ruta Sur, 677,16.57497565,-93.60565427888372,Presencia Migración Irregular,PG710,"POLYGON ((-94 17, -93 17, -93 16, -94 16, -94 17))",S,5,S-PG710-5
"Villaflores, Chiapas",Chiapas,Ruta Sur, 5,16.37550225,-93.3589334041931,Presencia Migración Irregular,PG710,"POLYGON ((-94 17, -93 17, -93 16, -94 16, -94 17))",S,4,S-PG710-4
"Arriaga, Chiapas",Chiapas,Ruta Sur,19 839,16.2344709,-93.9008414,Presencia Migración Irregular,PG710,"POLYGON ((-94 17, -93 17, -93 16, -94 16, -94 17))",S,3,S-PG710-3
"Tonala, Chiapas",Chiapas,Ruta Sur, 230,16.0894476,-93.7546502,Presencia Migración Irregular,PG710,"POLYGON ((-94 17, -93 17, -93 16, -94 16, -94 17))",S,2,S-PG710-2
"Villa Corzo, Chiapas",Chiapas,Ruta Sur, 8,16.0631888,-93.26500252520376,Presencia Migración Irregular,PG710,"POLYGON ((-94 17, -93 17, -93 16, -94 16, -94 17))",S,1,S-PG710-1
"Pijijiapan, Chiapas",Chiapas,Ruta Sur,11 297,15.6849991,-93.2080195,Presencia Migración Irregular,PG709,"POLYGON ((-94 16, -93 16, -93 15, -94 15, -94 16))",S,1,S-PG709-1
"Copainala, Chiapas",Chiapas,Ruta Sur, 7,17.0930214,-93.2102105,Presencia Migración Irregular,PG711,"POLYGON ((-94 18, -93 18, -93 17, -94 17, -94 18))",S,1,S-PG711-1
"Motozintla, Chiapas",Chiapas,Ruta Sur, 8,15.3050827,-92.34880361871576,Presencia Migración Irregular,PG736,"POLYGON ((-93 16, -92 16, -92 15, -93 15, -93 16))",S,5,S-PG736-5
"Huehuetan, Chiapas",Chiapas,Ruta Sur,18 319,15.0217164,-92.42866979063194,Presencia Migración Irregular,PG736,"POLYGON ((-93 16, -92 16, -92 15, -93 15, -93 16))",S,1,S-PG736-1
"Chicomuselo, Chiapas",Chiapas,Ruta Sur, 1,15.7935524,-92.41926620137892,Presencia Migración Irregular,PG736,"POLYGON ((-93 16, -92 16, -92 15, -93 15, -93 16))",S,11,S-PG736-11
"Comitan de Dominguez, Chiapas",Chiapas,Ruta Sur, 337,16.2911698,-92.17532124270645,Presencia Migración Irregular,PG737,"POLYGON ((-93 17, -92 17, -92 16, -93 16, -93 17))",S,2,S-PG737-2
"Teopisca, Chiapas",Chiapas,Ruta Sur, 1,16.5420839,-92.4736561,Presencia Migración Irregular,PG737,"POLYGON ((-93 17, -92 17, -92 16, -93 16, -93 17))",S,3,S-PG737-3
"Escuintla, Chiapas",Chiapas,Ruta Sur, 19,15.35100255,-92.55576537361532,Presencia Migración Irregular,PG736,"POLYGON ((-93 16, -92 16, -92 15, -93 15, -93 16))",S,6,S-PG736-6
"Acacoyagua, Chiapas",Chiapas,Ruta Sur, 2,15.4060577,-92.6972939305788,Presencia Migración Irregular,PG736,"POLYGON ((-93 16, -92 16, -92 15, -93 15, -93 16))",S,7,S-PG736-7
"Mapastepec, Chiapas",Chiapas,Ruta Sur, 36,15.43981,-92.898367,Presencia Migración Irregular,PG736,"POLYGON ((-93 16, -92 16, -92 15, -93 15, -93 16))",S,8,S-PG736-8
"La Trinitaria, Chiapas",Chiapas,Ruta Sur, 177,16.1206164,-92.0542431,Presencia Migración Irregular,PG737,"POLYGON ((-93 17, -92 17, -92 16, -93 16, -93 17))",S,1,S-PG737-1
"Siltepec, Chiapas",Chiapas,Ruta Sur, 1,15.5561492,-92.3226035,Presencia Migración Irregular,PG736,"POLYGON ((-93 16, -92 16, -92 15, -93 15, -93 16))",S,9,S-PG736-9
