name,descripcion,latitud,longitud,coordenadas,tipo,direccion,bd
 Casa del Migrante San Juan Diego y San Francisco de Asís A.C. ,,,,,OSC / ONG,"Avenida Golfo de Mexico No. 48, Colonia Ampliación Solidaridad C.P. 87456,Matamoros, Tamaulipas",redes
 Fundación Despierta al Mundo A.C. ,,,,,OSC / ONG,"Villa de Aguayo 255, Fracc. Haciendas del Santuario, Cd. Victoria, Tamaulipas, México,Ciudad Victoria, Tamaulipas",redes
 Centro Fray Julián Garces A. C. ,,,,,OSC / ONG,"Calle 11 No. 214,Loma Xicohténcatl, Tlaxcala",redes
 Un Mundo Una Nación A. C. ,,,,,OSC / ONG,"6a Avenida No. 2903, Col. El Carmen,Apizaco, Tlaxcala",redes
 Albergue para migrantes “La Sagrada familia” ,,,,,OSC / ONG,"3ª Privada Álvaro Obregón s/n, Col. Ferrocarrilera,Apizaco, Tlaxcala",redes
 Instituto Nacional de Salud Pública (INSP) ,,,,,OSC / ONG,"Universidad No. 655 Colonia Santa María Ahuacatitlán, Cerrada Los Pinos y Caminera C.P. 62100, Cuernavaca, Morelos. México,Cuernavaca, Morelos",redes
 Migrante Hagamos un puente contigo SEDESO ,,,,,OSC / ONG,"Plan de Ayala número 825 Plaza Cristal local 26 y 27a 3er nivel Teopanzolco C.P. 62350 Cuernavaca, Morelos,Cuernavaca, Morelos",redes
 Centro Casa Origen Nayarit ,,,,,OSC / ONG,"Privada Margarita No. 32, Col. Villas de San Juan, C.P. 63130,Tepic, Nayarit",redes
 Casa de la Esperanza San José ,,,,,OSC / ONG,"Padre Enrique Mejía 194, Col. Centro, C.P. 63000,Tepic, Nayarit",redes
 Albergue Obsidiana ,,,,,OSC / ONG,"Calle Amado Nervo 164 A, Col. Everardo Peña Navarro C.P. 63940,Ixtlán del Río, Nayarit",redes
 Ayuda Humanitaria al Migrante Casa Monarca ,,,,,OSC / ONG,"Priv. Nicolás Bravo 510, Col. Nueva Santa Catarina C.P. 66350,Santa Catarina, Nuevo León",redes
" Paso de Esperanza, A.C ",,,,,OSC / ONG,"Condominio Acero, Oficina 612, Zaragoza 1000-B esq. con Ocampo,Monterrey, Nuevo León",redes
 Hogar de las Bienaventuranzas A.C. ,,,,,OSC / ONG,"Emilio Carranza 301 Norte Esquina con Alvino Espinoza, Col. Centro,Monterrey, Nuevo León",redes
