nombre,latitud,longitud,edo,tipo,ciudad,ID_Poligono,geometry,codigo_ruta,secuencia,codigo_unico
Guaymas (marítimo),27.91204358490404,-110.90950296274391,Sonora,Puerto Internacion Maritimo,"Guaymas , Sonora",PG262,"POLYGON ((-111 28, -110 28, -110 27, -111 27, -111 28))",PM,1,PM-PG262-1
"Guaymas, A. I. ""Gral. José M. Yáñez """,27.936284582108204,-110.92463295581996,Sonora,Aeropuerto Internacional,"Guaymas, Sonora",PG262,"POLYGON ((-111 28, -110 28, -110 27, -111 27, -111 28))",AI,2,AI-PG262-2
"Nogales, A. I.",31.2251354460074,-110.97570638912968,Sonora,Aeropuerto Internacional,"Nogales, Sonora",PG266,"POLYGON ((-111 32, -110 32, -110 31, -111 31, -111 32))",AI,1,AI-PG266-1
Nogales Uno (terrestre) 13,31.36902805394341,-110.92226029044784,Sonora,Cruce Fronterizo Terrestre,"Nogales Uno , Sonora",PG266,"POLYGON ((-111 32, -110 32, -110 31, -111 31, -111 32))",FN,2,FN-PG266-2
Cabo San Lucas (marítimo),22.8938884,-109.92006,Baja California Sur,Puerto Internacion Maritimo,"Cabo San Lucas , Baja California Sur",PG284,"POLYGON ((-110 23, -109 23, -109 22, -110 22, -110 23))",PM,1,PM-PG284-1
Santa María (marítimo),22.9336002729533,-109.816132024212,Baja California Sur,Puerto Internacion Maritimo,"Santa María , Baja California Sur",PG284,"POLYGON ((-110 23, -109 23, -109 22, -110 22, -110 23))",PM,2,PM-PG284-2
"Los Cabos, Aeródromo",22.959873043803224,-109.92559532568326,Baja California Sur,Aeropuerto Internacional,"Los Cabos, Baja California Sur",PG284,"POLYGON ((-110 23, -109 23, -109 22, -110 22, -110 23))",AI,3,AI-PG284-3
"San José del Cabo, A. I.",23.1457824105046,-109.71746184206972,Baja California Sur,Aeropuerto Internacional,"San José del Cabo, Baja California Sur",PG285,"POLYGON ((-110 24, -109 24, -109 23, -110 23, -110 24))",AI,1,AI-PG285-1
Topolobampo (marítimo),25.60387911314669,-109.05300948725206,Sinaloa,Puerto Internacion Maritimo,"Topolobampo , Sinaloa",PG287,"POLYGON ((-110 26, -109 26, -109 25, -110 25, -110 26))",PM,1,PM-PG287-1
"Los Mochis, A. I. ""Del Valle del Fuerte""",25.68979113419113,-109.08235705680256,Sinaloa,Aeropuerto Internacional,"Los Mochis, Sinaloa",PG287,"POLYGON ((-110 26, -109 26, -109 25, -110 25, -110 26))",AI,2,AI-PG287-2
"Ciudad Obregón, A. I.",27.50090547950112,-109.91148308929876,Sonora,Aeropuerto Internacional,"Ciudad Obregón, Sonora",PG289,"POLYGON ((-110 28, -109 28, -109 27, -110 27, -110 28))",AI,1,AI-PG289-1
Agua Prieta (terrestre),31.329756729149427,-109.54851121539532,Sonora,Cruce Fronterizo Terrestre,"Agua Prieta , Sonora",PG293,"POLYGON ((-110 32, -109 32, -109 31, -110 31, -110 32))",FN,1,FN-PG293-1
Naco (terrestre),31.445106759029134,-109.80021547124612,Sonora,Cruce Fronterizo Terrestre,"Naco , Sonora",PG293,"POLYGON ((-110 32, -109 32, -109 31, -110 31, -110 32))",FN,2,FN-PG293-2
El Berrendo (terrestre),31.332426830940964,-108.5316032312158,Chihuahua,Cruce Fronterizo Terrestre,"El Berrendo , Chihuahua",PG320,"POLYGON ((-109 32, -108 32, -108 31, -109 31, -109 32))",FN,1,FN-PG320-1
"Culiacán, A. I.",24.767907517172475,-107.46919674204472,Sinaloa,Aeropuerto Internacional,"Culiacán, Sinaloa",PG340,"POLYGON ((-108 25, -107 25, -107 24, -108 24, -108 25))",AI,1,AI-PG340-1
"Gral. Rodrígo M. Quevedo, Puerto Palomas (terrestre)",31.783335880695912,-107.62951151770936,Chihuahua,Cruce Fronterizo Terrestre,"Gral, Chihuahua",PG347,"POLYGON ((-108 32, -107 32, -107 31, -108 31, -108 32))",FN,1,FN-PG347-1
"Mazatlán, A. I.",23.16731734153696,-106.26973139073984,Sinaloa,Aeropuerto Internacional,"Mazatlán, Sinaloa",PG366,"POLYGON ((-107 24, -106 24, -106 23, -107 23, -107 24))",AI,1,AI-PG366-1
Mazatlán (marítimo) 12,23.2035785,-106.4208391,Sinaloa,Puerto Internacion Maritimo,"Mazatlán , Sinaloa",PG366,"POLYGON ((-107 24, -106 24, -106 23, -107 23, -107 24))",PM,2,PM-PG366-2
"Ciudad Juárez, A. I. ""Abraham González""",31.637004781234303,-106.43581922607838,Chihuahua,Aeropuerto Internacional,"Ciudad Juárez, Chihuahua",PG374,"POLYGON ((-107 32, -106 32, -106 31, -107 31, -107 32))",AI,1,AI-PG374-1
"Ciudad Juárez, Córdova (terrestre)",31.75899892717944,-106.46192972829584,Chihuahua,Cruce Fronterizo Terrestre,"Ciudad Juárez, Chihuahua",PG374,"POLYGON ((-107 32, -106 32, -106 31, -107 31, -107 32))",FN,2,FN-PG374-2
Puerto Vallarta (marítimo),20.6575466806308,-105.223625418493,Jalisco,Puerto Internacion Maritimo,"Puerto Vallarta , Jalisco",PG390,"POLYGON ((-106 21, -105 21, -105 20, -106 20, -106 21))",PM,1,PM-PG390-1
"Tepic, A. I. ""Amado Nervo""",20.67842378342501,-105.24821075510602,Nayarit,Aeropuerto Internacional,"Tepic, Nayarit",PG390,"POLYGON ((-106 21, -105 21, -105 20, -106 20, -106 21))",AI,2,AI-PG390-2
"Puerto Vallarta, A. I.",20.68078939353811,-105.25179684769772,Jalisco,Aeropuerto Internacional,"Puerto Vallarta, Jalisco",PG390,"POLYGON ((-106 21, -105 21, -105 20, -106 20, -106 21))",AI,3,AI-PG390-3
Nuevo Vallarta (marítimo),20.7027575,-105.2885106,Nayarit,Puerto Internacion Maritimo,"Nuevo Vallarta , Nayarit",PG390,"POLYGON ((-106 21, -105 21, -105 20, -106 20, -106 21))",PM,4,PM-PG390-4
"Chihuahua, A. I.",28.70410047956093,-105.96905656410009,Chihuahua,Aeropuerto Internacional,"Chihuahua, Chihuahua",PG398,"POLYGON ((-106 29, -105 29, -105 28, -106 28, -106 29))",AI,1,AI-PG398-1
Manzanillo (marítimo),19.0506256,-104.3159957,Colima,Puerto Internacion Maritimo,"Manzanillo , Colima",PG416,"POLYGON ((-105 20, -104 20, -104 19, -105 19, -105 20))",PM,1,PM-PG416-1
"Manzanillo, A. I.",19.148393533597485,-104.5596499318661,Colima,Aeropuerto Internacional,"Manzanillo, Colima",PG416,"POLYGON ((-105 20, -104 20, -104 19, -105 19, -105 20))",AI,2,AI-PG416-2
"Durango, A. I.",24.12622308638842,-104.53399226426316,Durango,Aeropuerto Internacional,"Durango, Durango",PG421,"POLYGON ((-105 25, -104 25, -104 24, -105 24, -105 25))",AI,1,AI-PG421-1
Ojinaga (terrestre),29.53236756891329,-104.39109084872342,Chihuahua,Cruce Fronterizo Terrestre,"Ojinaga , Chihuahua",PG426,"POLYGON ((-105 30, -104 30, -104 29, -105 29, -105 30))",FN,1,FN-PG426-1
"Guadalajara, A. I.",20.525697239677125,-103.30903145634774,Jalisco,Aeropuerto Internacional,"Guadalajara, Jalisco",PG444,"POLYGON ((-104 21, -103 21, -103 20, -104 20, -104 21))",AI,1,AI-PG444-1
"Torreón, A. I.",25.563469070397623,-103.398585712627,Coahuila,Aeropuerto Internacional,"Torreón, Coahuila",PG449,"POLYGON ((-104 26, -103 26, -103 25, -104 25, -104 26))",AI,1,AI-PG449-1
Lazaro Cardenas (marítimo),17.9303820562962,-102.164313852854,Michoacán,Puerto Internacion Maritimo,"Lazaro Cardenas , Michoacán",PG468,"POLYGON ((-103 18, -102 18, -102 17, -103 17, -103 18))",PM,1,PM-PG468-1
"Uruapan, A. I.",19.39746891637824,-102.0385908968237,Michoacán,Aeropuerto Internacional,"Uruapan, Michoacán",PG470,"POLYGON ((-103 20, -102 20, -102 19, -103 19, -103 20))",AI,1,AI-PG470-1
"Aguascalientes, A. I. ""Jésus Terán""",21.701467443187862,-102.31592719740514,Aguascalientes,Aeropuerto Internacional,"Aguascalientes, Aguascalientes",PG472,"POLYGON ((-103 22, -102 22, -102 21, -103 21, -103 22))",AI,1,AI-PG472-1
"Zacatecas, A. I. ""Gral. Leobardo C. Ruiz """,22.900349311520312,-102.67976330345344,Zacatecas,Aeropuerto Internacional,"Zacatecas, Zacatecas",PG473,"POLYGON ((-103 23, -102 23, -102 22, -103 22, -103 23))",AI,1,AI-PG473-1
"Zihuatanejo, A. I.",17.606402787545065,-101.46368974724702,Guerrero,Aeropuerto Internacional,"Zihuatanejo, Guerrero",PG495,"POLYGON ((-102 18, -101 18, -101 17, -102 17, -102 18))",AI,1,AI-PG495-1
Zihuatanejo (marítimo) 11,17.6467874,-101.551974,Guerrero,Puerto Internacion Maritimo,"Zihuatanejo , Guerrero",PG495,"POLYGON ((-102 18, -101 18, -101 17, -102 17, -102 18))",PM,2,PM-PG495-2
"Morelia, A. I.",19.84663603872126,-101.02791189930817,Michoacán,Aeropuerto Internacional,"Morelia, Michoacán",PG497,"POLYGON ((-102 20, -101 20, -101 19, -102 19, -102 20))",AI,1,AI-PG497-1
"Silao, A. I. ""El Bajio""",20.993496947322715,-101.48192173816992,Guanajuato,Aeropuerto Internacional,"Silao, Guanajuato",PG498,"POLYGON ((-102 21, -101 21, -101 20, -102 20, -102 21))",AI,1,AI-PG498-1
"Monclova, A. I.",26.953670691302094,-101.45671951338323,Coahuila,Aeropuerto Internacional,"Monclova, Coahuila",PG504,"POLYGON ((-102 27, -101 27, -101 26, -102 26, -102 27))",AI,1,AI-PG504-1
"Querétaro, A. I. ""Ing. Fernando Espinosa""",20.62685196117201,-100.1830794323552,Querétaro,Aeropuerto Internacional,"Querétaro, Querétaro",PG525,"POLYGON ((-101 21, -100 21, -100 20, -101 20, -101 21))",AI,1,AI-PG525-1
"San Luis Potosí, A. I. ""Ponciano Arriaga """,22.3563762491891,-100.82316583967602,San Luis Potosí,Aeropuerto Internacional,"San Luis Potosí, San Luis Potosí",PG527,"POLYGON ((-101 23, -100 23, -100 22, -101 22, -101 23))",AI,1,AI-PG527-1
