nombre,latitud,longitud,edo,tipo,ciudad,ID_Poligono,geometry,codigo_ruta,secuencia,codigo_unico
Dos Bocas (marítimo),18.427157442805235,-93.17918382698396,Tabasco,Puerto Internacion Maritimo,"Dos Bocas , Tabasco",PG712,"POLYGON ((-94 19, -93 19, -93 18, -94 18, -94 19))",PM,1,PM-PG712-1
Ciudad Hidalgo-Suchiate I (terrestre),14.68799531358006,-92.1808588142041,Chiapas,Cruce Fronterizo Terrestre,"Ciudad Hidalgo-Suchiate I , Chiapas",PG735,"POLYGON ((-93 15, -92 15, -92 14, -93 14, -93 15))",FS,1,FS-PG735-1
Puerto Chiapas (marítimo),14.7157931,-92.4184006,Chiapas,Puerto Internacion Maritimo,"Puerto Chiapas , Chiapas",PG735,"POLYGON ((-93 15, -92 15, -92 14, -93 14, -93 15))",PM,2,PM-PG735-2
"Tapachula, A. I.",14.79025685293486,-92.36930090497722,Chiapas,Aeropuerto Internacional,"Tapachula, Chiapas",PG735,"POLYGON ((-93 15, -92 15, -92 14, -93 14, -93 15))",AI,3,AI-PG735-3
"Tuxtla Gutierrez, A. I.",14.792368750969782,-92.36655942450882,Chiapas,Aeropuerto Internacional,"Tuxtla Gutierrez, Chiapas",PG735,"POLYGON ((-93 15, -92 15, -92 14, -93 14, -93 15))",AI,4,AI-PG735-4
Ciudad Hidalgo-Suchiate II (terrestre),14.964129597821664,-92.043529713347,Chiapas,Cruce Fronterizo Terrestre,"Ciudad Hidalgo-Suchiate II , Chiapas",PG735,"POLYGON ((-93 15, -92 15, -92 14, -93 14, -93 15))",FS,5,FS-PG735-5
Talismán (terrestre),14.965561378581375,-92.14662549919798,Chiapas,Cruce Fronterizo Terrestre,"Talismán , Chiapas",PG735,"POLYGON ((-93 15, -92 15, -92 14, -93 14, -93 15))",FS,6,FS-PG735-6
Unión Juárez (terrestre),15.071268746922,-92.06011670900683,Chiapas,Cruce Fronterizo Terrestre,"Unión Juárez , Chiapas",PG736,"POLYGON ((-93 16, -92 16, -92 15, -93 15, -93 16))",FS,1,FS-PG736-1
"Palenque, A. I.",17.537463026223353,-92.01566329629594,Chiapas,Aeropuerto Internacional,"Palenque, Chiapas",PG738,"POLYGON ((-93 18, -92 18, -92 17, -93 17, -93 18))",AI,1,AI-PG738-1
"Villahermosa, A. I. ""Cap. P. A. Carlos Rovirosa""",17.99576228255418,-92.81674300543784,Tabasco,Aeropuerto Internacional,"Villahermosa, Tabasco",PG738,"POLYGON ((-93 18, -92 18, -92 17, -93 17, -93 18))",AI,2,AI-PG738-2
Ciudad Cuauhtémoc (terrestre),15.666405692905212,-91.98042052001313,Chiapas,Cruce Fronterizo Terrestre,"Ciudad Cuauhtémoc , Chiapas",PG763,"POLYGON ((-92 16, -91 16, -91 15, -92 15, -92 16))",FS,1,FS-PG763-1
Carmen Xhan (terrestre),16.044149172156096,-91.74892763802065,Chiapas,Cruce Fronterizo Terrestre,"Carmen Xhan , Chiapas",PG764,"POLYGON ((-92 17, -91 17, -91 16, -92 16, -92 17))",FS,1,FS-PG764-1
"Ciudad del Carmén, A. I.",18.652648475521712,-91.80216090453976,Campeche,Aeropuerto Internacional,"Ciudad del Carmén, Campeche",PG766,"POLYGON ((-92 19, -91 19, -91 18, -92 18, -92 19))",AI,1,AI-PG766-1
Isla del Carmen (marítimo),18.7033370047266,-91.6670300243354,Campeche,Puerto Internacion Maritimo,"Isla del Carmen , Campeche",PG766,"POLYGON ((-92 19, -91 19, -91 18, -92 18, -92 19))",PM,2,PM-PG766-2
Rosarito (marítimo),32.365166,-117.0557923,Baja California,Puerto Internacion Maritimo,"Rosarito , Baja California",PG78,"POLYGON ((-118 33, -117 33, -117 32, -118 32, -118 33))",PM,1,PM-PG78-1
"Tijuana, Chaparral (terrestre) 6",32.541079374432634,-117.03474641976088,Baja California,Cruce Fronterizo Terrestre,"Tijuana, Baja California",PG78,"POLYGON ((-118 33, -117 33, -117 32, -118 32, -118 33))",FN,2,FN-PG78-2
Frontera Corozal (terrestre),16.81715718603847,-90.88312905371498,Chiapas,Cruce Fronterizo Terrestre,"Frontera Corozal , Chiapas",PG791,"POLYGON ((-91 17, -90 17, -90 16, -91 16, -91 17))",FS,1,FS-PG791-1
"Tenosique, El Ceibo (terrestre)",17.26314112503493,-90.994678912203,Tabasco,Cruce Fronterizo Terrestre,"Tenosique, Tabasco",PG792,"POLYGON ((-91 18, -90 18, -90 17, -91 17, -91 18))",FS,1,FS-PG792-1
Seybaplaya (marítimo),19.6615536682989,-90.705014471757,Campeche,Puerto Internacion Maritimo,"Seybaplaya , Campeche",PG794,"POLYGON ((-91 20, -90 20, -90 19, -91 19, -91 20))",PM,1,PM-PG794-1
"Campeche, A. I. ""Ing. Alberto Acuña Ongay""",19.81417549913841,-90.503651170473,Campeche,Aeropuerto Internacional,"Campeche, Campeche",PG794,"POLYGON ((-91 20, -90 20, -90 19, -91 19, -91 20))",AI,2,AI-PG794-2
"Mérida, A. I.",20.934008690570018,-89.66313737785104,Yucatán,Aeropuerto Internacional,"Mérida, Yucatán",PG822,"POLYGON ((-90 21, -89 21, -89 20, -90 20, -90 21))",AI,1,AI-PG822-1
Yucalpetén (marítimo),21.277343620573653,-89.70780286901356,Yucatán,Puerto Internacion Maritimo,"Yucalpetén , Yucatán",PG823,"POLYGON ((-90 22, -89 22, -89 21, -90 21, -90 22))",PM,1,PM-PG823-1
Progreso (marítimo),21.281194984849257,-89.6614200993187,Yucatán,Puerto Internacion Maritimo,"Progreso , Yucatán",PG823,"POLYGON ((-90 22, -89 22, -89 21, -90 21, -90 22))",PM,2,PM-PG823-2
"Chetumal, Subteniente López (terrestre)",18.498656350307385,-88.29440046988813,Quintana Roo,Cruce Fronterizo Terrestre,"Chetumal, Quintana Roo",PG847,"POLYGON ((-89 19, -88 19, -88 18, -89 18, -89 19))",FS,1,FS-PG847-1
"Chetumal, Subteniente López II, ""Chactemal"" (terrestre)",18.498656350307385,-88.29440046988813,Quintana Roo,Aeropuerto Internacional,"Chetumal, Quintana Roo",PG847,"POLYGON ((-89 19, -88 19, -88 18, -89 18, -89 19))",AI,2,AI-PG847-2
"Chetumal, A. I.",18.508656507611217,-88.33599767359823,Quintana Roo,Aeropuerto Internacional,"Chetumal, Quintana Roo",PG847,"POLYGON ((-89 19, -88 19, -88 18, -89 18, -89 19))",AI,3,AI-PG847-3
Chetumal (marítimo),18.51276193723529,-88.28850093373718,Quintana Roo,Puerto Internacion Maritimo,"Chetumal , Quintana Roo",PG847,"POLYGON ((-89 19, -88 19, -88 18, -89 18, -89 19))",PM,4,PM-PG847-4
"Chichén Itzá, A. I.",20.63889712943009,-88.44900371463103,Yucatán,Aeropuerto Internacional,"Chichén Itzá, Yucatán",PG849,"POLYGON ((-89 21, -88 21, -88 20, -89 20, -89 21))",AI,1,AI-PG849-1
Majahual (marítimo),18.719650167334983,-87.70645572060837,Quintana Roo,Puerto Internacion Maritimo,"Majahual , Quintana Roo",PG874,"POLYGON ((-88 19, -87 19, -87 18, -88 18, -88 19))",PM,1,PM-PG874-1
Puerto Aventuras (marítimo),20.50558187554634,-87.22967723651287,Quintana Roo,Puerto Internacion Maritimo,"Puerto Aventuras , Quintana Roo",PG876,"POLYGON ((-88 21, -87 21, -87 20, -88 20, -88 21))",PM,1,PM-PG876-1
Las Coloradas (marítimo),21.608472609767105,-87.98693491692732,Yucatán,Puerto Internacion Maritimo,"Las Coloradas , Yucatán",PG877,"POLYGON ((-88 22, -87 22, -87 21, -88 21, -88 22))",PM,1,PM-PG877-1
Isla Cozumel (marítimo),20.424284487559028,-86.92302523442432,Quintana Roo,Puerto Internacion Maritimo,"Isla Cozumel , Quintana Roo",PG903,"POLYGON ((-87 21, -86 21, -86 20, -87 20, -87 21))",PM,1,PM-PG903-1
"Cozumel, A. I.",20.511447997508093,-86.92973712442246,Quintana Roo,Aeropuerto Internacional,"Cozumel, Quintana Roo",PG903,"POLYGON ((-87 21, -86 21, -86 20, -87 20, -87 21))",AI,2,AI-PG903-2
Puerto Morelos (marítimo),20.85815998998016,-86.90113782430916,Quintana Roo,Puerto Internacion Maritimo,"Puerto Morelos , Quintana Roo",PG903,"POLYGON ((-87 21, -86 21, -86 20, -87 20, -87 21))",PM,3,PM-PG903-3
"Cancún, A. I.",21.042093408580968,-86.87419128578394,Quintana Roo,Aeropuerto Internacional,"Cancún, Quintana Roo",PG904,"POLYGON ((-87 22, -86 22, -86 21, -87 21, -87 22))",AI,1,AI-PG904-1
Cancún (marítimo),21.1617854,-86.8510468,Quintana Roo,Puerto Internacion Maritimo,"Cancún , Quintana Roo",PG904,"POLYGON ((-87 22, -86 22, -86 21, -87 21, -87 22))",PM,2,PM-PG904-2
Puerto Juárez (marítimo),21.182852796331428,-86.80841142327992,Quintana Roo,Puerto Internacion Maritimo,"Puerto Juárez , Quintana Roo",PG904,"POLYGON ((-87 22, -86 22, -86 21, -87 21, -87 22))",PM,3,PM-PG904-3
Isla Mujeres (marítimo),21.236991379008483,-86.73303480278628,Quintana Roo,Puerto Internacion Maritimo,"Isla Mujeres , Quintana Roo",PG904,"POLYGON ((-87 22, -86 22, -86 21, -87 21, -87 22))",PM,4,PM-PG904-4
